Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,154,0.00349629582572509,5146.278999999998,5162.021763654369,0.0030497282605850148,0.08365514532361956,0.08169870327459275,0.18111443400375948,0.17731977062307894,1684.652,1688.5174472691256,0.07803646274640129,0.07815117960541984,0.042200740516718425,0.04229757044787657,15.742763654371629,150.62199999999999
Aerospace/Defense,131,0.0025391211710936033,25456.389999999992,25851.941094069894,0.015300634201144636,0.10233113145987423,0.10219071744817239,0.24490660196439942,0.2446238651682467,5841.165999999999,5848.327781186019,0.09169995619791882,0.09118246955523832,0.06632632384732613,0.06640764573036587,395.5510940699023,435.317
Air Transport,78,0.02113245178037852,215670.40100000007,218816.73282927214,0.014378844746425012,0.47737966938440857,0.4806251098663932,0.7198414761365566,0.7224566255754513,4566.221000000004,4466.023634145589,0.01619451711304742,0.015642143979374277,0.025100698899146318,0.02454990998402389,3146.331829272065,319.1
Apparel,936,0.00820980495006237,65958.78000000004,66109.48128152733,0.0022795713807756027,0.19030213104627358,0.19032528158069226,0.31575982439162975,0.3157922846243687,13506.729999999989,13512.023743694532,0.0764197101086865,0.07637464918597733,0.055602108609789966,0.05562390095418838,150.70128152729012,140.62
Auto & Truck,86,0.0015438533736415944,198174.16100000002,198375.91263826017,0.0010170168120564194,0.283421554193643,0.2832770203447367,0.3803468409299342,0.38017910295662133,35591.18400000001,35595.96567234797,0.0933045488111268,0.09326125443203731,0.054428538942938885,0.05443585141221789,201.75163826014614,343.07000000000005
Auto Parts,545,0.001387471983424669,78593.62899999996,78678.6619721158,0.0010807628140141082,0.16544211074763004,0.16494032751734608,0.2758047430953017,0.2750785614894205,17048.88800000001,17059.07740557684,0.07875894035273538,0.07877016440275553,0.049729653285257296,0.04975937461409227,85.03297211584868,371.942
Bank (Money Center),459,0.005992138948838413,7032992.83,7036732.250620329,0.0005314143677982198,0.6645226584947963,0.6646401950999232,0.6016403222932815,0.6017666873108661,7652.447999999999,7754.798875934051,0.0007177711000367141,0.0007270476144033359,0.006006270754102247,0.006086604141899124,3739.4206203287467,30.1
Banks (Regional),100,0.002805507347690859,1019980.25,1020180.6802716983,0.00019646546496538146,0.8536084254121974,0.8536329766552879,0.7362814555905008,0.7363196054773931,-37.8,-22.973054339641543,-2.677953583624563e-05,-1.6272601984529163e-05,-0.0004797518083977889,-0.0002915704858165001,200.43027169827837,0
Beverage (Alcoholic),126,0.0023891633705756354,21492.80099999999,21702.472257384157,0.009661169239040457,0.027875347826542513,0.02811273273240026,0.12301801980529657,0.12396231642131728,40106.90899999998,40181.54374852314,0.36900405325589347,0.368840931112064,0.2973648522354982,0.2979182170177661,209.6712573841687,21.256999999999998
Beverage (Soft),40,0.003078713893431826,6770.229,6772.189185380472,0.000289446341030036,0.05018928615968866,0.050203087954263446,0.24984106844516982,0.24989532840722994,4980.311999999997,4981.797962923903,0.3252625765886824,0.3253118427980388,0.15584806216483613,0.15589456215161196,1.9601853804715574,0
