Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,154,0.20703891934969987,0.028706339231827454,0.04430417433002131,0.042200740516718425,0.03738122895679823,0.04229757044787657,0.03746700048076141,0.04209802116472716,0.037267451197612,0.05354426305455243,0.19598169467241242,0.06679154487192285,0.7929610806503001,0.013247281817370426,0.14243743161786,0.002103433813302883,0.00349629582572509
Aerospace/Defense,131,0.20760668983196157,0.054594040440875256,0.06841591271017995,0.06632632384732613,0.05961902399426316,0.06640764573036587,0.05969212214014208,0.06976473879186555,0.06304921520164178,0.08901016764662983,0.1757086543741058,0.13053034513405318,0.7923933101680385,0.04152017748742335,0.08669848672747596,0.0020895888628538117,0.0025391211710936033
Air Transport,78,0.1859604117480757,0.020588107407101805,0.026007748957225293,0.025100698899146318,0.02223824032413769,0.02454990998402389,0.0217502628255199,0.024710125608711078,0.021910478450207087,0.022351491833405165,0.09044676037177356,0.023684743883842264,0.8140395882519242,0.0013332520504370994,0.0680952685383684,0.0009070500580789743,0.02113245178037852
Apparel,936,0.22927465613790546,0.038013822515097856,0.05647703908929835,0.055602108609789966,0.04827025689696606,0.05562390095418838,0.0482891756410353,0.05539046375874386,0.04805573844559078,0.08800365733916041,0.23300485539980642,0.09538377349098154,0.7707253438620946,0.0073801161518211355,0.145001198060646,0.0008749304795083879,0.00820980495006237
Auto & Truck,86,0.2016387971997068,0.04277598592672534,0.05553279440687393,0.054428538942938885,0.04808825549070678,0.05443585141221789,0.04809471614347803,0.05707504368666022,0.05073390841792036,0.06408170109196232,0.1538239269617592,0.097420202441187,0.7983612028002932,0.033338501349224677,0.0897422258697969,0.001104255463935038,0.0015438533736415944
Auto Parts,545,0.17717497060151371,0.03889524107135016,0.05113642921656653,0.049729653285257296,0.042925676554657344,0.04975937461409227,0.04295133143185962,0.05122764957477723,0.04441960639254458,0.07798952457179478,0.1535838486592419,0.10744225032788479,0.8228250293984862,0.029452725756090006,0.07559432408744714,0.0014067759313092366,0.001387471983424669
Bank (Money Center),459,0.9929953966733376,0.3865037076307893,0.0075218792015483696,0.006006270754102247,0.0047328992006202865,0.006086604141899124,0.004796201346403055,0.006086604141899124,0.004796201346403055,0.0037549552659097538,0.34598379235380705,0.0037549552659097538,0.0070046033266624175,0,0.3422288370878973,0.0015156084474461232,0.005992138948838413
Banks (Regional),100,0.9899162135042774,0.41145959537884796,-0.00031418666711341967,-0.0004797518083977889,-0.00040533705236479054,-0.0002915704858165001,-0.0002463447124298006,-0.00029297928080941426,-0.0002477535074227148,0.001001386711179512,0.4201302589619035,0.001007631099796753,0.010083786495722613,6.244388617241063e-06,0.4191288722507239,0.0001655651412843692,0.002805507347690859
Beverage (Alcoholic),126,0.5779417607832357,0.2290846721776209,0.2991617980015631,0.2973648522354982,0.24897909344846444,0.2979182170177661,0.2494424174116013,0.2978419223374039,0.24936612273123912,0.30589348268511474,0.5085690977258035,0.3085989403030572,0.42205823921676433,0.0027054576179425015,0.20267561504068873,0.0017969457660648909,0.0023891633705756354
Beverage (Soft),40,0.4432530011937279,0.11098731667134029,0.15619569422535548,0.15584806216483613,0.1358362624629968,0.15589456215161196,0.1358767915803978,0.15623803852416332,0.13622026795294917,0.17916510163395208,0.4476571229477498,0.18078819819665054,0.5567469988062721,0.0016230965626984264,0.2684920213137977,0.00034763206051933407,0.003078713893431826
Broadcasting,63,0.3058831429268896,0.01796216026036942,0.05199057678708447,0.05151298104935364,0.044796045980185245,0.0515415435864137,0.044820884160725154,0.05133657191830497,0.04461591249261643,0.17720172824186994,0.3794110631821111,0.1812148474358607,0.6941168570731104,0.004013119193990743,0.20220933494024113,0.0004775957377308327,0.012726933168072713
