Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,154,0.41561040150307615,0.3886245792818524,0.9183012967254073,0.08169870327459275
Aerospace/Defense,131,0.30648514524161513,0.2834123691065415,0.8978092825518276,0.10219071744817239
Air Transport,78,0.268877154169354,0.17708855156732276,0.5193748901336068,0.4806251098663932
Apparel,936,0.3387783498578605,0.24947244894046927,0.8096747184193077,0.19032528158069226
Auto & Truck,86,0.31234168668946355,0.237354971487142,0.7167229796552633,0.2832770203447367
Auto Parts,545,0.3198145166431276,0.2597217988336709,0.8350596724826539,0.16494032751734608
Bank (Money Center),459,0.2023868474663595,0.11118941956170525,0.3353598049000768,0.6646401950999232
Banks (Regional),100,0.21158234445196528,0.10169669842090524,0.14636702334471208,0.8536329766552879
Beverage (Alcoholic),126,0.2568860929584996,0.2609237620722885,0.9718872672675998,0.02811273273240026
Beverage (Soft),40,0.24354815765831578,0.1843598554242397,0.9497969120457366,0.050203087954263446
Broadcasting,63,0.34435988675470985,0.25500729051522797,0.7695950827298988,0.23040491727010115
Brokerage & Investment Banking,431,0.336784722661935,0.16258185921526785,0.3070332654337431,0.6929667345662569
Building Materials,255,0.2983906430133178,0.2477969723836921,0.7884115011584707,0.21158849884152933
Business & Consumer Services,338,0.3552101824082538,0.2829867399124566,0.8664982469396891,0.13350175306031084
Cable TV,32,0.31933711848895735,0.2700734554902198,0.7418333236133272,0.25816667638667273
Chemical (Basic),707,0.2881063834822014,0.22560122290075438,0.7077143698261368,0.29228563017386316
Chemical (Diversified),30,0.2436955194177624,0.21183654177289632,0.7724230592539133,0.2275769407460867
Chemical (Specialty),656,0.3011878636923943,0.2526367606689389,0.8227443073955903,0.17725569260440963
Coal & Related Energy,95,0.3591204772846801,0.20723514222651507,0.821025387391997,0.17897461260800301
Computer Services,603,0.3543206236377449,0.29758674928059853,0.932054538801868,0.06794546119813206
Computers/Peripherals,228,0.3210462723610615,0.2749236712056139,0.8969146562033651,0.10308534379663492
Construction Supplies,552,0.27799625591652655,0.2203598464283714,0.7030156780893126,0.2969843219106874
Diversified,212,0.259112968922331,0.12769387738062005,0.4720579238396456,0.5279420761603544
Drugs (Biotechnology),332,0.3893550934004017,0.3616760893346944,0.9443142971352928,0.055685702864707226
Drugs (Pharmaceutical),717,0.3006607098453748,0.28674842629521086,0.9057892573399571,0.09421074266004296
Education,155,0.36315468021171116,0.2785634726271391,0.7288415009643407,0.27115849903565925
Electrical Equipment,726,0.32192011526050346,0.2571994163234034,0.8516618696146672,0.14833813038533283
Electronics (Consumer & Office),77,0.3211381423546983,0.24342141169359072,0.7194564814274524,0.28054351857254756
Electronics (General),1024,0.31242497405614467,0.26384376578107094,0.8172531710013318,0.18274682899866826
Engineering/Construction,890,0.3383084642912485,0.1710288287091981,0.3980085415375394,0.6019914584624606
Entertainment,335,0.3945954782504927,0.31944209734782225,0.8652052843315989,0.1347947156684011
Environmental & Waste Services,203,0.30164983720797184,0.21985983000668854,0.5901674280134878,0.40983257198651224
Farming/Agriculture,297,0.3110566098538647,0.2237251956513079,0.5989043241870695,0.40109567581293054
Financial Svcs. (Non-bank & Insurance),672,0.34618436666643426,0.17084821356242696,0.40734663818965144,0.5926533618103486
Food Processing,957,0.2951380294659029,0.23868097716343703,0.7253440380302745,0.2746559619697255
Food Wholesalers,103,0.36788571260395597,0.21069208042900792,0.6026949266722451,0.3973050733277549
Furn/Home Furnishings,275,0.27788289439332303,0.24317358337492687,0.8301258042999191,0.1698741957000809
Green & Renewable Energy,137,0.2919363985395121,0.18400217098510302,0.6401974260814245,0.35980257391857545
Healthcare Products,343,0.3507028170970805,0.3368451476922298,0.9530959436500261,0.046904056349973904
Healthcare Support Services,217,0.33561682640619056,0.24357521037471414,0.7002723738868908,0.29972762611310927
Heathcare Information and Technology,129,0.38532130626243416,0.35362467694041966,0.9498526447283631,0.05014735527163697
Homebuilding,43,0.40517957023115486,0.23875767091492567,0.5725346497123514,0.4274653502876486
Hospitals/Healthcare Facilities,147,0.27625042732452115,0.20391848856381165,0.8859970915775962,0.11400290842240376
Hotel/Gaming,412,0.32003420174618935,0.21029520665459894,0.6480925626334415,0.35190743736655844
Household Products,309,0.30541413055085687,0.2844437682427785,0.934238524751494,0.06576147524850592
Information Services,39,0.3626499799970387,0.31266537048938353,0.8580677886945445,0.14193221130545552
Insurance (General),135,0.2313588694310793,0.18385189252109913,0.7399872852220508,0.2600127147779491
Insurance (Life),82,0.26220374181476147,0.16237907430543613,0.5481227189248696,0.4518772810751303
Insurance (Prop/Cas.),144,0.28540042127265985,0.2077414697407999,0.7992342702496764,0.20076572975032356
Investments & Asset Management,481,0.3217572836011524,0.13186073313473673,0.285820731300525,0.714179268699475
Machinery,911,0.3151119466989465,0.2526350007977997,0.8824298754479803,0.11757012455201965
Metals & Mining,331,0.3331053026240699,0.23613677107938486,0.740728321364752,0.25927167863524797
Office Equipment & Services,71,0.3264273706996392,0.3079348294442567,0.8646936610367165,0.1353063389632835
Oil/Gas (Integrated),16,0.2564365280409755,0.18819517454244716,0.8958516318781732,0.10414836812182686
Oil/Gas (Production and Exploration),103,0.3471761128036734,0.2722899655762382,0.7469074435545744,0.25309255644542566
