Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Advertising,154,2.4226804485299183,0.05042276225441169,2.5209565126801063,0.0717707217983304
Aerospace/Defense,131,2.845169911957808,0.08113238647512426,2.5612625414113825,0.08116489537651599
Air Transport,78,2.812907214414886,0.057492117319957244,1.5943277413656711,0.015714099352628602
Apparel,936,1.9634852629182764,0.07333828829860588,1.7745130592103109,0.07338306712586468
Auto & Truck,86,1.5518938456093392,0.11066197106888036,1.248548779937574,0.08274117121263258
Auto Parts,545,1.9211286963014034,0.07619163588801188,1.7211938684372665,0.07024222946629713
Bank (Money Center),459,0.7624563080691261,0.1197908001065137,0.8796173854554494,0.0007270476144033359
Banks (Regional),100,0.4788070994571741,0.10087912931150986,0.8484019487497778,-1.6365639621453086e-05
Beverage (Alcoholic),126,4.891924251227433,0.22833998176940376,6.758113302478694,0.3642453660240997
Beverage (Soft),40,6.302844453198689,0.20960965049997773,7.672920310319245,0.32261041451036077
Broadcasting,63,0.7689240967780296,0.013338783854959338,0.8250528086320311,0.030932116299677497
Brokerage & Investment Banking,431,1.0086822962007063,0.057865170606290636,1.0054930464354632,0.0014270034368057973
Building Materials,255,1.8174810172136502,0.07880312546707262,1.56557014406885,0.06983360791595164
Business & Consumer Services,338,3.252846908545355,0.07579987251950224,2.955229252389948,0.08604027202507908
Cable TV,32,1.3112014961051808,-0.01078491994065458,1.4020530390227692,0.016400198775297206
Chemical (Basic),707,1.5095850859166884,0.033870759158775375,1.3425380286159612,0.03812832148591284
Chemical (Diversified),30,1.824449553722118,0.10867938572378637,1.612004377786758,0.11378962192157467
Chemical (Specialty),656,2.172406024188352,0.12268903168846543,1.911823763577077,0.1237878554492584
Coal & Related Energy,95,1.4297080659419508,0.20840263099936018,1.4187800266046797,0.2879259035013908
Computer Services,603,4.58505197314278,0.15852421074666162,4.4349274543494355,0.16691178454843117
Computers/Peripherals,228,1.7740550606914944,0.0978527196956385,1.5167820154395684,0.02425281297319097
Construction Supplies,552,1.2529937058419554,0.055291043271541794,1.1943916040477403,0.054423378696470424
Diversified,212,0.7483161549840837,0.08309625180685672,0.889010347232267,0.08372332286662025
Drugs (Biotechnology),332,3.449722756862119,-0.013023425236293844,2.92839876702014,-0.008520472555415378
Drugs (Pharmaceutical),717,2.6447399428674325,0.0935785338550432,2.3776006694537037,0.09340859486552133
Education,155,1.4969719164026392,0.06517294637597333,1.6043868316386387,0.10187117886983994
Electrical Equipment,726,2.6620846680955816,0.103099616659247,2.3024677044344153,0.09820298019022247
Electronics (Consumer & Office),77,1.322754472400448,0.04310350100365346,1.0375127164709792,0.05261786307560241
Electronics (General),1024,2.049098614293562,0.05615946961254142,1.705695068528483,0.04270096518988239
Engineering/Construction,890,0.6844613885819084,0.08461556632422568,0.7373512972620557,0.067817022887493
Entertainment,335,2.1465648901258194,-0.005347534224753208,2.0722238579851773,0.03409259285671443
Environmental & Waste Services,203,1.3580611110292606,0.02099798772827468,1.2086395553005067,0.044639623460931054
Farming/Agriculture,297,1.3508380438736949,0.05215407248965251,1.2089545605354155,0.05609022506529749
Financial Svcs. (Non-bank & Insurance),672,1.860707690635941,0.12189569028424026,1.2522274866949703,0.01282421613259045
Food Processing,957,2.110873035475941,0.0937069816426397,1.842578470318085,0.08934580878928146
Food Wholesalers,103,1.2513992664850881,0.06216298246481212,1.4506024659251782,0.0816887836266404
Furn/Home Furnishings,275,2.1072510908396582,0.16293905272358766,1.9052406658845296,0.15532792870152784
Green & Renewable Energy,137,2.3556136137225927,0.12290934082758909,1.621740490176356,0.07930947537207733
Healthcare Products,343,3.072985103958498,0.05948574514946571,3.1486052703548766,0.07360724392962437
Healthcare Support Services,217,1.3474909283617962,0.048043979143756986,1.5048617750916502,0.10668360847527485
Heathcare Information and Technology,129,3.8481883940351915,0.07937480087918469,3.8322209993753575,0.08474187745336811
Homebuilding,43,1.254744563039972,0.0240967809742264,1.1072764448756678,0.0527025234142715
Hospitals/Healthcare Facilities,147,4.531578409356127,0.11780155376679993,4.166670231737395,0.1296294736105316
Hotel/Gaming,412,1.5307190456405118,0.01025770407697831,1.3496986276978222,0.03320169325776584
