Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,154,2815.0360000000005,572.529,679.132,1.1861966817401388,0.11420443103387916,0.20338247894520706,0.31870052768550833,0.24125162164888828,0.39076231021647706
Aerospace/Defense,131,7327.451000000003,1038.8039999999999,2814.471,2.7093378539166197,0.1011257591857833,0.1417688088258795,0.15907301945164476,0.3840996002566239,0.4411378574319288
Air Transport,78,15214.833000000002,2442.159,2907.584999999999,1.190579728838294,0.11403899893424821,0.16051171905731726,0.3465783878964119,0.1911019989506292,0.49567053184617743
Apparel,936,16992.61400000001,3424.942000000001,5181.465000000004,1.5128621156212287,0.1318628357114675,0.20155474607967905,0.2373277757369569,0.3049245395676028,0.3825928845291215
Auto & Truck,86,50385.63700000002,11636.846000000001,16082.233000000002,1.382009609820393,0.11648821694220116,0.23095561935636533,0.2676226652734356,0.31918288539251766,0.37733690862030583
Auto Parts,545,19984.40300000001,3731.321000000001,6294.2559999999985,1.686870681991712,0.13681930761855995,0.1867116570857783,0.20180110224654227,0.3149584203240895,0.35289022947584436
Bank (Money Center),459,599073.0340000001,96069.26800000004,147062.54199999987,1.5307969453873616,0.21200701826707616,0.16036319872144342,0.16017533358964942,0.24548349475533202,0.2459833072116487
Banks (Regional),100,38844.04600000001,5559.657999999998,12330.107000000002,2.217781561383813,0.15511094430580427,0.14312767521694306,0.13842387367352554,0.3174259190198673,0.31990320586153065
Beverage (Alcoholic),126,41699.816000000006,9310.706999999997,24807.903000000006,2.664448897382338,0.16271512394045362,0.22327933053709387,0.22195598141991377,0.5949163660578263,0.6026591101094178
Beverage (Soft),40,5164.701999999999,1283.4999999999998,1361.0649999999996,1.060432411375146,0.12840582952307383,0.24851385423592687,0.2502386740357317,0.26353214570753547,0.26507619456793086
Broadcasting,63,1160.1439999999996,251.86500000000004,360.3740000000002,1.4308220673773655,0.13039305690216269,0.21709804989725426,0.37677077697606515,0.31062868057758375,0.6073927252563153
Brokerage & Investment Banking,431,33095.774000000005,4880.8369999999995,9901.717000000002,2.028692414846061,0.11972010101816692,0.14747614000506526,0.15372754208310818,0.2991837265990516,0.3217902383106484
Building Materials,255,5350.1359999999995,904.1329999999998,1764.066,1.9511133870791137,0.13113031867505456,0.1689925265451196,0.19724971907637223,0.32972358085850534,0.40062071177008696
Business & Consumer Services,338,4311.538000000002,817.2709999999998,1732.5250000000003,2.11989046472957,0.12947424546926425,0.1895544003091239,0.22354761059461056,0.40183456576284365,0.48280379415605434
Chemical (Basic),707,30241.595999999987,5450.411000000002,16742.811,3.071843756369932,0.13607067271022347,0.18022894691139993,0.1650983712355527,0.5536351652869117,0.7573091127980398
Chemical (Diversified),30,4515.16,941.9760000000001,1655.629,1.75761272049394,0.2255366171798991,0.20862516499968997,0.21019138351082073,0.3666822438186022,0.36869919785500815
Chemical (Specialty),656,40586.58299999998,7572.7310000000025,12334.863999999998,1.6288527877195154,0.14491587705888143,0.18658212739909658,0.19023245527771043,0.3039148183526562,0.32248389007233064
Coal & Related Energy,95,61790.78000000001,13720.599000000006,32933.55900000001,2.4003003804717267,0.1990874326928287,0.222049292790931,0.22340922462028648,0.5329850019695496,0.5346959294651715
Computer Services,603,27154.71999999999,6111.1330000000025,6770.31,1.1078649409201202,0.12813747117289112,0.22504864715968365,0.23912766214835188,0.24932350618971594,0.264712844287864
Construction Supplies,552,37570.254000000015,7675.167000000001,14860.801999999994,1.936218716804467,0.14809310638667658,0.2042883979437562,0.22489937137010305,0.39554701972469997,0.46081402217983436
Diversified,212,90077.35100000001,17773.085000000006,19932.921,1.1215228532356645,0.14707994448803524,0.19730914378243655,0.20812861380776798,0.22128671390436422,0.2308108069677095
Drugs (Pharmaceutical),717,34032.98599999999,5615.210000000002,12249.036000000007,2.181403010751157,0.13587157057550103,0.1649931628097518,0.18798644834405692,0.35991658210654837,0.4080900813978906
Education,155,2771.8559999999993,312.3700000000001,373.1089999999999,1.1944456894067925,0.10428933141527268,0.11269344439249376,0.1167644131423511,0.13460619887901826,0.19494034634907112
Electrical Equipment,726,38536.72799999998,5745.231000000005,11872.552000000003,2.0665055939439148,0.1250192669972813,0.1490845564262749,0.1498437149081667,0.3080840698255443,0.33276295578760784
Electronics (Consumer & Office),77,2966.3340000000003,522.483,1207.2980000000002,2.3106933622720747,0.12226329429827258,0.1761376163304604,0.18868797803490864,0.40700002090122017,0.4984663659541084
Electronics (General),1024,44732.42400000002,6490.715999999999,9362.272999999994,1.442409897459694,0.10391056417161576,0.1451009227668949,0.17267555608322321,0.20929500712950386,0.2965682053246346
Engineering/Construction,890,63982.82300000003,12590.175000000001,36839.64499999998,2.9260629816503725,0.1315685144944519,0.19677429675148897,0.2204474828168951,0.5757739854648171,0.647394890542991
Entertainment,335,6170.453000000002,1055.871,1798.8190000000002,1.7036351978603448,0.08976409722743997,0.17111725832771107,1.7632244318181862,0.29152138424844976,3.1939257812500066
Environmental & Waste Services,203,4807.487999999999,832.089,1411.8859999999995,1.6967968570669718,0.12377198152610325,0.17308186728703226,0.38990382035335436,0.2936847684279191,0.8418766062239499
Farming/Agriculture,297,10205.443999999996,2131.198,14480.761000000002,6.794657746488127,0.14574225446701028,0.20882952275275832,0.28905538622586396,1.4189251344674478,2.0702852054013885
Financial Svcs. (Non-bank & Insurance),672,49704.39499999998,11373.175000000001,11384.243999999992,1.0009732550497104,0.15540358008717184,0.22881628475711263,0.24013248764356235,0.22903898136170847,0.25709818790313
Food Processing,957,44574.86999999998,9508.661000000002,12712.641000000007,1.3369538571203667,0.1550736383074173,0.21331887227040722,0.22676818107581773,0.2851974890784878,0.3308733201939802
Food Wholesalers,103,2020.6109999999999,419.62500000000006,564.188,1.3445052129877866,0.14557833526427852,0.2076723327745915,0.21062570512272163,0.2792165340087726,0.3035359298527642
Furn/Home Furnishings,275,20289.997999999996,3253.8320000000017,6882.797999999998,2.1152899104809326,0.1315675944282261,0.1603663046196457,0.1623228672010459,0.3392212261430484,0.35678478077230774
Green & Renewable Energy,137,17352.383999999995,2756.118,4708.960000000003,1.708548037493316,0.12386254009475527,0.1588322388439537,0.16198726231796567,0.2713725099675067,0.27758809326190315
