Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,154,1.7006809860260048,1.6134431636228455,0.2018797305540795,8.424228531305804,7.992100837437152
Aerospace/Defense,131,0.9807953737205186,0.9449840091861004,0.15475524604738666,6.33771971400695,6.106313248319495
Air Transport,78,0.8637460030469729,1.3341046904993525,0.22954181254209377,3.7629135776235874,5.812033440551064
Apparel,936,0.7575722849554473,0.8043143651734884,0.14902712162701,5.083452439291716,5.397100584057128
Auto & Truck,86,1.2044683476882339,1.2932820518883044,0.19896825501182824,6.053570443268102,6.499941670652042
Auto Parts,545,1.2903791545173997,1.3227085420235596,0.1987369436554544,6.4929002669704925,6.655574538354119
Bank (Money Center),459,0.4060805959420398,0.7813609786752927,0.1900709697877168,2.136468269697241,4.110890682296017
Banks (Regional),100,0.1646289879887161,0.7835726226510902,0.18196683460473456,0.9047197438276077,4.306128775351586
Beverage (Alcoholic),126,0.838663138125482,0.7975729165737366,0.18078419442211296,4.639029096577368,4.41174030242646
Beverage (Soft),40,0.4470321832496949,0.44007083605137,0.1388389703985819,3.219788953824314,3.169649233122409
Broadcasting,63,1.0022559993196705,1.041471526165343,0.17121377464070578,5.853828066245938,6.082872294305082
Brokerage & Investment Banking,431,0.38163443920949564,0.9150536866013019,0.1819379610797657,2.0976075412990833,5.029481924336404
Building Materials,255,0.9417568423300263,1.0316138656624652,0.18345876562417282,5.133343392592515,5.623137505327999
Business & Consumer Services,338,0.9654295422462839,0.9580645423211414,0.159289428284065,6.060851323570627,6.014614733958362
Cable TV,32,0.9150755993079667,1.0132354806560642,0.16572455828366167,5.521665640777765,6.113973035437297
Chemical (Basic),707,0.9219807356074841,1.085672259003882,0.19716431210764154,4.676204967074011,5.50643393522029
Chemical (Diversified),30,0.9533694438844531,1.0611761692284847,0.17549969728582313,5.432313893577675,6.046598288430247
Chemical (Specialty),656,0.9535106551048911,1.0025606302667978,0.17814511922627416,5.352437716206936,5.627774898471272
Coal & Related Energy,95,0.804393825388049,0.7544277177119801,0.14060610695028064,5.720902475967766,5.3655401893656824
Computer Services,603,1.0061343652878383,1.0088955409935285,0.1701734032388943,5.912406675415653,5.928632334967245
Computers/Peripherals,228,1.428466860572747,1.322763321249197,0.2230324274083419,6.4047496463705675,5.9308116609760875
Construction Supplies,552,0.8957462651827356,1.003058241605434,0.18711733850570703,4.787083187138297,5.360584164010227
Diversified,212,0.536546022698102,0.8885916584420943,0.18588032713139044,2.8865132258931405,4.7804502614953375
Drugs (Biotechnology),332,1.4120484224579104,1.357110199734937,0.17245373603995368,8.18798394794283,7.86941605846408
Drugs (Pharmaceutical),717,0.8984802648921713,0.884814966445048,0.15208664349668352,5.907686856878816,5.817834795363491
Education,155,0.7077475989124744,0.7938358904217057,0.14151043630640942,5.001380939706837,5.60973389060034
Electrical Equipment,726,1.0863597436670944,1.0799955932140095,0.18202564863544382,5.968168507081258,5.933205574655011
Electronics (Consumer & Office),77,1.236089841876282,1.2646303008425706,0.2246238787634234,5.502931605851873,5.629990488119451
Electronics (General),1024,1.352899582286847,1.3468947056245748,0.2184062409691388,6.194418146128041,6.166924075282691
Engineering/Construction,890,0.6331253159466943,1.038775005312447,0.16175962739005117,3.913988466479578,6.421719820160364
Entertainment,335,1.3188993732898773,1.3002865512502566,0.19029960096272766,6.9306470776478335,6.832839084643863
Environmental & Waste Services,203,0.7421474580451914,1.035162830639863,0.1561969621226261,4.75135654342977,6.627291699995959
Farming/Agriculture,297,0.5458711760257681,0.7510085287835203,0.13665603903232576,3.994489961008186,5.495611713185031
Financial Svcs. (Non-bank & Insurance),672,0.4170562797013265,0.8035395020748405,0.15663595039836326,2.6625833893218713,5.12998133590178
Food Processing,957,0.6762641458817411,0.7892509597757396,0.14547579379272424,4.6486369192478225,5.425307806880053
Food Wholesalers,103,0.5080044161114591,0.6900076042865106,0.12427432129263874,4.087766570176797,5.552294288227849
Furn/Home Furnishings,275,1.0179782606240944,0.951978020183337,0.17064538913351898,5.965460102924856,5.578691724500541
Green & Renewable Energy,137,0.5928089279426688,0.8150136592533698,0.14061579436940122,4.215806130464583,5.796032109396676
Healthcare Products,343,1.1805457804905024,1.1045922069367287,0.16689707744359242,7.073495824931394,6.618403532620617
Healthcare Support Services,217,0.7831633207268276,0.8689471421120708,0.13739158128554546,5.700227869851453,6.324602526453999
Heathcare Information and Technology,129,1.4242836220948096,1.3946994900950576,0.17928389211022092,7.94429218002018,7.779279408088811
Homebuilding,43,0.7981239800943708,1.1443100601030378,0.13789307395639747,5.787991790992649,8.29853180635363
Hospitals/Healthcare Facilities,147,0.7100265702744682,0.75211641405722,0.14247040822056184,4.983677516914665,5.279106190900012
Hotel/Gaming,412,0.670490180077721,0.8503720987603245,0.14865280002430412,4.510444337194446,5.720525268419379
Household Products,309,0.949763262082562,0.9285528474912983,0.16604032425377308,5.720075929452901,5.592333378439533
Information Services,39,1.0947483625464345,1.1612365362330443,0.17368132460780075,6.303201366171898,6.686018424003247
Insurance (General),135,0.5559753764097161,0.5674116462541764,0.13283845127652752,4.185349731700438,4.271441294305708
Insurance (Life),82,0.6498327032561362,0.8822064152025039,0.20716723576884238,3.1367542306797045,4.258426347817236
Insurance (Prop/Cas.),144,0.6235049851527549,0.6883716815381251,0.13361009598605483,4.666600832453795,5.152093308951533
Investments & Asset Management,481,0.2853634257086304,0.8037376433391465,0.14472764507439811,1.971727140049419,5.553449328398734
Machinery,911,1.066083602331899,1.055715166255772,0.1789183167803461,5.95849335895947,5.900542690393457
Metals & Mining,331,1.1256599986435898,1.2662659442107218,0.21151635834261193,5.321857881177483,5.9866099914581445
Office Equipment & Services,71,0.8758680464456857,0.8541754394749238,0.16023105932905096,5.466281319697204,5.330898035946868
Oil/Gas (Integrated),16,0.9464556608701475,0.9827185249436475,0.18281460571471253,5.177133726104571,5.3754924071942485
Oil/Gas (Production and Exploration),103,1.2732283795475399,1.3901920231800964,0.1455893824189137,8.745338144810574,9.548718457916165
Oil/Gas Distribution,111,0.6941735216253262,0.8741285882038234,0.16524337353108767,4.200915938663825,5.289946395577378
Oilfield Svcs/Equip.,225,0.747099024343577,0.9090593357581237,0.15859667880127734,4.710685179477792,5.731893899853861
Packaging & Container,320,0.7385363076408625,0.8146403770992509,0.15807062812954328,4.672191895357128,5.153648003673588
Paper/Forest Products,188,0.6021204460277919,0.9206461731146233,0.1617806608822398,3.72183203322476,5.690705972481853
Power,321,0.4507698723432146,0.7709712865827835,0.14973956656236334,3.010359136811569,5.148747951408623
Precious Metals,62,1.3462477535390225,1.5221589161707436,0.21534453099603126,6.251599459304743,7.068481884031671
Publishing & Newspapers,170,1.160956020527512,0.9941975214278841,0.16761388399268226,6.926371448908119,5.931474754628853
R.E.I.T.,213,0.4480272667753136,0.6672252658699039,0.18832069213409347,2.3790655275220445,3.543026835281633
Real Estate (Development),773,0.4148333951857576,1.0115246391177968,0.1695239440252494,2.4470489851508592,5.966854092110654
Real Estate (General/Diversified),218,0.6042250699255459,0.9802722928350287,0.18155519741506213,3.328051625777464,5.399307245355145
Real Estate (Operations & Services),374,0.5999387814901623,0.8603340577733581,0.16531156924842025,3.6291397160994254,5.2043184980024
Recreation,143,0.909893866965275,0.9319199836981663,0.17569377306356276,5.178862352942311,5.304228871907799
Reinsurance,29,1.086507875551791,1.1648143892038665,0.2523628831379681,4.305339446283752,4.615632753597351
Restaurant/Dining,158,0.9560539552917094,1.0228930805061585,0.15629353688048256,6.117040885848034,6.544692128173946
Retail (Automotive),107,0.6046862218592521,0.8610060634568429,0.15245801824867838,3.9662474221128345,5.647496099893105
Retail (Building Supply),46,0.7010356862149201,0.8431029530961207,0.1535133713822781,4.566609930474428,5.492048969445343
Retail (Distributors),673,0.49764467569222637,0.7420711227676089,0.1387884507208408,3.585634633916256,5.346778632612676
Retail (General),146,0.8992576157765821,1.0931672396192433,0.18301179197412157,4.913659420939061,5.973206577715061
Retail (Grocery and Food),86,0.6180368249017248,0.731512444944752,0.15833180982443762,3.903428032478249,4.620123055221006
Retail (REITs),40,0.5464210874618376,0.8115302759015302,0.247434688555905,2.208344717755207,3.279775688032417
Retail (Special Lines),251,0.9648929972967676,1.0426086782874373,0.16722566947042605,5.770005288975144,6.234740644717964
Rubber& Tires,72,0.9296522033534673,1.0543620124238302,0.19912708569083562,4.668637619679945,5.29492011981148
Semiconductor,513,1.7681900006647733,1.7199180587679659,0.25661990058427925,6.890307402656262,6.702200627667648
Semiconductor Equip,277,2.00377660023207,1.9823021073090825,0.2839660223692109,7.056395633230977,6.980772173974058
Shipbuilding & Marine,240,0.9142950433307611,0.9681414387319659,0.14557243779144607,6.28068786373299,6.650582029264158
Shoe,58,0.7166396306025455,0.7458192949439786,0.1610262784161527,4.450451427253869,4.631662001257335
Software (Entertainment),66,1.7383696902433712,1.7986075575311349,0.21342982588587886,8.144923901933366,8.427161246398862
Software (Internet),42,1.0815518727651334,1.1344876359438159,0.19432773868420566,5.565607257555344,5.838011822838256
Software (System & Application),521,1.5204886197604144,1.438936588940694,0.19209979273920866,7.915097658770529,7.490568149098262
Steel,536,1.0128168911710698,1.2239092706119494,0.1942289251607033,5.214552314147205,6.301374883268791
Telecom (Wireless),63,0.7469239120004841,0.8944354885857089,0.16132109025351815,4.630045028995798,5.544442373778233
Telecom. Equipment,299,1.334975087302468,1.2900211353117848,0.2046186995075055,6.524208640342279,6.304512434184766
Telecom. Services,140,0.6596247575619921,0.8168669639118279,0.17255514165995645,3.8226896701917648,4.733947398226917
