Industry_Name,Number_of_firms,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_,EV_EBITDAR_D,EV_EBITDA,EV_EBIT,EV_EBIT_1_t_
Advertising,154,14.28710957866755,17.12258146723282,27.020888409139303,36.59450342153147,21.072189029227744,26.28561826803669,33.274820378388,45.0642299302013
Aerospace/Defense,131,16.919887087563723,23.850886096990866,36.40384524214302,42.71875470825184,19.532090638657426,28.64313819040532,38.392123440204315,45.051935944183974
Apparel,936,12.396688260496632,13.464032871428651,20.74808104306835,27.459149649749502,13.526041690505723,14.66035544255347,23.19443395204061,30.6967874093153
Auto & Truck,86,6.317792815140548,8.673390037640164,14.246699899720527,20.12477199423541,9.099903062775033,13.834127113737242,16.285487882931267,23.004747258367143
Auto Parts,545,10.217041864368362,13.714603690253252,23.71338843101547,30.248178146597727,11.558449830895745,15.923495712429613,24.957425003120747,31.835038664797896
Beverage (Alcoholic),126,15.771410463598633,15.900052760160708,17.702271217593843,22.68456276774223,17.263270240025935,17.415954257911846,17.88217906097233,22.9151055447319
Beverage (Soft),40,19.8970369633775,20.06004188221324,25.49370310289327,34.303292971933864,22.107298349780535,22.307573289681432,25.63744739066437,34.4967094558614
Broadcasting,63,10.239896433538147,10.544280161770484,27.619493293279213,46.31248327289539,9.48937695559956,9.70428457065143,33.36368834952074,55.944373859503955
Building Materials,255,10.107634112347212,11.711111202218342,19.065305215954073,23.236890357500695,11.208030662306378,12.984482146050896,21.157263604588547,25.786579814791686
Business & Consumer Services,338,15.684025966394536,18.76104339503165,28.225710042673363,35.704853934186815,20.33800719822065,24.884398615407118,32.85708372490656,41.56343182607218
Cable TV,32,11.606704452172313,12.418316180111093,82.87350677967024,102.9039316137172,10.162239934889895,10.717558429611906,91.52411919099069,113.64538642337013
Chemical (Basic),707,13.092420124400352,15.095100686213737,34.24243483124014,43.92224397087984,10.352109740384343,11.490030341443248,36.27091035698776,46.52413829790248
Chemical (Diversified),30,8.349654732111047,8.78156857777197,11.575752695684512,15.626268000050652,7.083471113389106,7.387711419374799,11.728569677820069,15.832557749027355
Chemical (Specialty),656,10.196487783309871,11.31668584421167,15.12803143824702,18.75664362187093,7.690111588996353,8.290040302479625,15.606194207254568,19.349498593658378
Coal & Related Energy,95,4.088156107682118,4.194556883230015,5.2771331239238775,6.791348536298264,3.1737391604380183,3.237410962802532,5.283858807344612,6.800004080735439
Computer Services,603,17.476855568814443,19.783504217738546,23.499453668414567,30.78289857621118,18.464401465211704,20.913864942778794,24.715605864098674,32.375986237789405
Computers/Peripherals,228,8.160473223533497,12.27389827015222,32.733092082622676,39.288458634674456,6.036091211542352,7.965192838048421,33.50346600444792,40.21311322839464
Construction Supplies,552,9.177155826749816,11.067369661793748,19.774065233564944,26.211427813478558,10.59120292033306,12.96876382013469,21.26016340450695,28.18131890422249
Diversified,212,8.867121322015969,9.000172615870422,11.908384541194673,14.712000245491469,9.323025088734042,9.468506229544843,12.04675525297044,14.882947861313898
Drugs (Pharmaceutical),717,12.214906686422433,16.561630035301125,23.200365883073975,28.45707956943511,14.191012460004403,19.7115269837611,25.25908969072279,30.982266779887425
Education,155,10.014008105267642,10.410112537497644,14.5215674182569,16.21552243859764,11.539779532548353,12.042805088109553,15.24386009095059,17.02207125691419
Electrical Equipment,726,12.927953523655209,16.834026478876982,24.220799143129092,29.117125045831813,14.674348717452295,19.541094774597045,25.614157244151325,30.792155742438545
Electronics (Consumer & Office),77,4.831869926671593,7.438353272394012,15.866177067223811,21.281795223102524,5.514298723928378,8.534771093753946,17.92844054847306,24.047973169943532
Electronics (General),1024,9.756153486975542,14.443386527585096,36.34379339375393,45.96450715167268,9.783701426116423,13.966530447599391,39.493057170306066,49.947425385098256
Engineering/Construction,890,6.201476044363641,8.561176698027065,11.341743284047746,14.358603278983134,6.722129789095965,9.340607688622198,12.087634157001919,15.302898248983647
Entertainment,335,11.31218460356411,15.970363418731157,46.95502958785668,68.76430775084093,14.891047740884433,22.04437627080067,55.55867652106588,81.36410442198985
Environmental & Waste Services,203,11.48567749702563,12.585177714252493,23.76560911241775,31.718253587481648,14.13631385577497,15.627331461079978,26.78345074236211,35.745950317350825
Farming/Agriculture,297,10.706624616956617,11.112897393816345,17.893382050071647,23.35279912013619,10.185252258811925,10.521589529170786,19.467421229204422,25.40709051427565
Financial Svcs. (Non-bank & Insurance),672,13.59587842363058,14.692736004438123,18.11565253008597,23.41298094967834,87.75097884604695,96.36183976856844,97.67979811673727,126.24305134344188
Food Processing,957,11.974450637362198,12.355454131938775,19.83959731388575,25.159801127769725,11.06819505548748,11.383260742599104,20.431012109548632,25.90981023367452
Food Wholesalers,103,12.158324828730352,12.215834364728924,16.400965235515223,21.53869225538578,12.162816186400134,12.218892777608328,16.830490986028252,22.102770211970334
Furn/Home Furnishings,275,7.495280604200465,9.772894179004902,12.602433934432735,15.118714275994499,7.919728901651514,10.380287472756407,13.092101651029784,15.706152094429106
Green & Renewable Energy,137,14.114594518594824,14.185639118664579,21.528206680983153,25.739625907234462,16.758892250238087,16.845746865944893,24.82928940464952,29.686477387021846
Healthcare Products,343,15.396905062160751,22.689382675412936,41.00113246958773,51.86245387316601,13.226196284075707,17.389170542790747,47.28516947772906,59.811150893028476
Healthcare Support Services,217,9.82359350856213,10.631634035903874,13.451094276685811,17.34859601858067,10.045022886781377,10.835493847280974,14.329600353493564,18.481652312210414
Heathcare Information and Technology,129,20.650949682649212,27.533375354625303,46.381871784315756,59.41303205016328,25.671043345045994,35.2309965173287,53.113265011661184,68.03563536850898
Homebuilding,43,15.249129756446415,15.632484413171593,19.693165282432783,25.423494158250083,23.871390080322715,24.707629026026506,22.336832964173496,28.836417824870857
Hospitals/Healthcare Facilities,147,21.92345834009377,22.13465858418287,29.51395729756894,36.8223729549779,26.51740418305542,26.801212154765047,32.16627897408612,40.13147776205616
Hotel/Gaming,412,16.643496421933165,17.278421403065035,35.71246007367028,51.66038039096151,33.26502636169481,35.70158840796589,38.43186760132525,55.59417904350171
Household Products,309,19.283580612097204,21.15811117853099,28.89226348952946,38.256276107270054,20.962772100656824,23.088552367487218,30.2229300703506,40.01821310957723
Information Services,39,11.38634488656316,11.576818569917807,15.01307760094058,20.298750948759338,14.329904655265528,14.610989254880622,16.159094426814807,21.848247377796064
Insurance (General),135,8.528398391672548,8.533352203166217,9.526090062748684,11.195848517825139,9.716953427409981,9.72267767433279,10.701992916849406,12.57786675820184
Insurance (Life),82,9.212787851885473,9.212787851885473,10.456152466774398,12.482641806185262,31.888392353596608,31.888392353596608,11.177971179802414,13.344354991064813
Insurance (Prop/Cas.),144,7.178940036213855,7.178940036213855,7.686432725251056,8.972649582893258,10.495731203327388,10.495731203327388,7.70991047639135,9.000056006849091
Investments & Asset Management,481,12.165515622028398,12.25252229454359,18.175641235862987,25.687578228039254,58.09792864849796,58.48248564876703,93.7372114417027,132.47851454263517
Machinery,911,13.932580923302615,18.985623326957285,28.194081705816888,34.104534850891454,16.45789894074535,22.664160607702346,32.36968031653589,39.15548312537344
Metals & Mining,331,9.32863999480402,10.275540464856421,15.571933125282825,20.658713177009293,7.795798826531064,8.424792849494676,16.061910105139116,21.308747685168957
