Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Advertising,154,1.6134431636228455,0.1659393212934802,0.9183012967254073,0.41561040150307615,0.075255,0.11420443103387916,0.0565691835,0.08169870327459272,0.15700392285878936,0.22440220962726243
Aerospace/Defense,131,0.9449840091861004,0.11326473992386471,0.8978092825518276,0.30648514524161513,0.075255,0.1011257591857833,0.0565691835,0.10219071744817243,0.10747098033678665,0.17198385297776442
Air Transport,78,1.3341046904993525,0.14392744961134896,0.5193748901336068,0.268877154169354,0.075255,0.11403899893424821,0.0565691835,0.4806251098663932,0.10194087336384425,0.16613160385105852
Apparel,936,0.8043143651734884,0.10217997197567089,0.8096747184193077,0.3387783498578605,0.075255,0.1318628357114675,0.0565691835,0.19032528158069228,0.09349908581592144,0.15719806168869366
Auto & Truck,86,1.2932820518883044,0.14071062568879839,0.7167229796552633,0.31234168668946355,0.075255,0.11648821694220116,0.0565691835,0.2832770203447367,0.11687528865804667,0.18193598508472886
Auto Parts,545,1.3227085420235596,0.1430294331114565,0.8350596724826539,0.3198145166431276,0.075255,0.13681930761855995,0.0565691835,0.1649403275173461,0.12876865122331135,0.19452216488680518
Bank (Money Center),459,0.7813609786752927,0.10037124511961307,0.3353598049000768,0.2023868474663595,0.069443,0.21200701826707616,0.052200303100000005,0.6646401950999232,0.06835490081755036,0.130589166884592
Banks (Regional),100,0.7835726226510902,0.1005455226649059,0.14636702334471208,0.21158234445196528,0.069443,0.15511094430580427,0.052200303100000005,0.8536329766552879,0.05927644898066182,0.12098187319312759
Beverage (Alcoholic),126,0.7975729165737366,0.10164874582601044,0.9718872672675998,0.2568860929584996,0.075255,0.16271512394045362,0.0565691835,0.028112732732400225,0.10038143613864572,0.16448132562245021
Beverage (Soft),40,0.44007083605137,0.07347758188084796,0.9497969120457366,0.24354815765831578,0.069443,0.12840582952307383,0.052200303100000005,0.050203087954263426,0.07240939678278567,0.1348798470808119
