Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,154,0.26875824008153515,0.019544657393595292,0.14987243349899912,0.15169162356187543
Aerospace/Defense,131,0.5246400286781376,0.4899516771788234,0.4500044937333851,0.45188987463363833
Air Transport,78,0.07186483614506003,0.02583846211734211,0.12563942529767427,-0.10442697509604558
Apparel,936,0.12481111186408732,0.20356407213761799,0.08943757987122436,0.224521200371224
Auto & Truck,86,0.11830134630621858,0.11893200971200389,0.24266846354697927,-0.08486123412433583
Auto Parts,545,0.20969097736771924,0.14740546816905437,0.2074385555090898,0.1313930504976718
Beverage (Alcoholic),126,0.08152563558943467,0.25302833947522013,0.11559317293769816,0.14687405120066896
Beverage (Soft),40,0.0668897407423367,0.07718915023722625,0.0751828103722342,-0.03972615518346503
Broadcasting,63,0.29210288313103594,0.30006386129299184,0.18637816937022134,0.40501020871381405
Brokerage & Investment Banking,431,1.1967350559611774,0.008571528178714156,1.8271062432494203,-0.5431601696368396
Building Materials,255,0.24945179538569512,0.21402188135389769,0.19115562757664542,0.2394081023973758
Business & Consumer Services,338,0.3232331184831954,0.08225785333816654,0.19329874892356816,0.18338537378968778
Cable TV,32,0.24640533899764533,0.0901486031560655,0.24416439036044546,0.04156876165219713
Chemical (Basic),707,0.13387160318279082,0.14569665271585117,0.13746445773328633,0.0977997524283717
Chemical (Diversified),30,0.11216748958659535,0.1717969396816136,0.10215796630818527,0.1322368550874469
Chemical (Specialty),656,0.1614909364818486,0.1812920769282838,0.1547529027166048,0.18733605957450508
Coal & Related Energy,95,0.09068356620540102,0.04946244573962563,0.1382239214020903,-0.039115195402182945
Computer Services,603,0.22335816441118836,0.09388563419736637,0.11454057623136292,0.19914506237499827
Computers/Peripherals,228,0.18088026479891514,0.16852824169093292,0.14358759227750473,0.098152558297283
Construction Supplies,552,0.22710371595199239,0.2051309077762933,0.24628480493755184,0.13913528037544826
Diversified,212,0.15683740228954593,0.16046854795862484,0.11443323292976164,-0.2935647659494847
Drugs (Biotechnology),332,0.3811113187520113,0.24729840417132934,0.15382387997898925,0.3941579441869023
Drugs (Pharmaceutical),717,0.2631907795118089,0.203802561053026,0.13937817111339945,0.2715798903485501
Education,155,0.13054979740398276,0.020473800626815926,0.06287441514714237,-0.04316600491217945
Electrical Equipment,726,0.3168180342286899,0.21654569510667893,0.31421154270905427,0.21215205125182335
Electronics (Consumer & Office),77,0.17183644124136915,0.14097134198853398,0.19321164375281932,0.04948407323889755
Electronics (General),1024,0.22916883629577176,0.16454865974971272,0.19881035113945883,0.16108403492916715
Engineering/Construction,890,0.43279890534779264,0.19736461291753998,0.4113268294291359,0.18564804665244636
Entertainment,335,0.17603814776230187,0.08614503033827553,0.1079430338609186,0.08658357431316643
Environmental & Waste Services,203,0.6761097796574761,0.10826294676274191,0.3740463588387653,0.3776088420459832
Farming/Agriculture,297,0.07745669489073179,0.1540262339726255,0.07415802341757254,0.15104863342110883
Financial Svcs. (Non-bank & Insurance),672,4.560131890701407,0.04769451819369133,1.448590094096986,2.4607773962805695
Food Processing,957,0.0654113940980223,0.14527178035119015,0.08864721094537525,0.10456900186656223
Food Wholesalers,103,0.09442166980488378,0.1258166610509755,0.10570625151873257,0.12697024896329892
Furn/Home Furnishings,275,0.12126144898613928,0.11740721962315394,0.1862519735347927,-0.004003838711858571
