Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,89,23.304878048780488,68907.70899999999,31140.360999999997,89392.01804212961,15188.193516808527,31944.59404212958,58495.974,20513.006999999994,8040.366999999999,5761.218191574083,3524.4539999999993
Aerospace/Defense,61,56.78688524590164,408832.19299999997,70795.19999999998,431573.5234056243,78275.70165723839,62706.34440562421,235054.01499999996,68461.585,26637.804,18028.26251887515,14746.919000000002
Air Transport,34,41.15625,146707.60000000003,50800.27000000001,247516.39548238323,169222.27548238315,133002.9454823832,192165.4,55532.64000000001,31823.489999999998,21325.99890352336,16823.401999999995
Apparel,110,59.0873786407767,1049781.713,152625.67300000004,1152248.36467489,258849.11467489015,148808.01267489017,326286.5050000001,218936.09900000007,85103.709,75617.54466502198,41247.996999999996
Auto & Truck,31,56.857142857142854,317614.82500000007,279504.75200000004,535199.3065290356,534158.1495290357,334733.05152903567,659974.936,134022.207,93829.49799999998,74389.22569419288,57242.33700000001
Auto Parts,59,69.1864406779661,107698.94000000002,60430.14,154809.43898074562,96022.17980283374,66747.00598074558,243057.03200000004,48375.263000000006,22533.767999999993,12613.810403850883,6014.766999999997
Bank (Money Center),112,112.42592592592592,1297558.3000000003,1478749.7999999998,5471874.577273149,5907158.156273148,7286666.852273149,670854.9,669860.3,4.059,-3.392054629598339,222722.33999999997
Banks (Regional),72,125.1029411764706,69532.93999999997,89891.79999999999,188133.56081053894,220638.46081053893,199946.39581053902,19134.220000000005,19130.820000000003,0.833,0.5838378922094649,6591.160000000001
Beverage (Alcoholic),55,126.70370370370371,387699.332,143952.78999999998,548995.7381378077,332695.279137808,174498.2681378079,190419.896,89032.941,45478.764,36249.10397243842,20272.354
Beverage (Soft),15,69.25,52554.579999999994,14033.169999999998,68048.21367951285,25167.42567951284,19047.962679512835,37996.2,13656.000000000002,5647.407,4622.760464097431,3147.1749999999997
Broadcasting,22,38.333333333333336,28720.64,35766.72,37200.26701855746,27437.932175957816,12806.276018557457,37791.14,14548.787000000002,4229.539,3473.7727962885083,-431.76200000000006
Brokerage & Investment Banking,74,28.136363636363637,37354.91,13540.284999999996,47831.292563754694,30969.36756375468,25686.691563754677,30903.11400000001,11289.396,381.50600000000003,364.9478872490644,2807.8039999999996
Building Materials,89,67.28571428571429,279727.4339999999,80169.85300000002,324178.3678138127,75598.50981381255,57424.59081381255,175916.52899999998,58090.617000000006,26020.39800000001,20448.748237237498,13111.558000000003
Business & Consumer Services,194,45.73513513513514,286659.831,63586.74899999998,347280.51850649307,64528.43550649299,77498.561506493,236932.5429999999,73077.42700000004,25006.814999999995,19024.6656987014,10324.358000000002
Cable TV,3,38.333333333333336,4410.2,6363.6,11579.622509905514,9593.122509905514,8680.522509905513,4788.8,1662.8,1772.67,974.0654980188973,270.8
Chemical (Basic),61,50.232142857142854,21252.236,11997.319,27659.052087700944,19235.294087700928,8621.659087700937,15595.854000000001,4294.312,1205.151,922.3737824598131,765.7580000000004
Chemical (Diversified),7,100.42857142857143,59294.02,65971.7,84823.54900000001,85392.12899999999,30831.124,106781.485,25029.371,11838.5,6647.4710000000005,-445.44000000000005
Chemical (Specialty),102,64.33,614318.9829999998,173939.72700000013,700949.0175136584,229452.20651365846,112242.83851365841,283336.6689999999,84295.80499999996,44648.809000000045,28158.588097268297,19095.892000000007
Coal & Related Energy,16,20.3125,1708.78,1607.6200000000001,1424.684083452272,1455.152083452272,253.09708345227182,1556.201,342.862,152.38400000000001,27.430183309545658,4.009999999999993
Computer Services,226,27.304347826086957,352326.6960000001,65152.04800000005,366180.03972513415,36050.27970324424,36269.41672513432,222283.53099999993,51078.66100000002,24566.290000000026,20311.445854973135,11846.822000000004
Computers/Peripherals,43,28.842105263157894,38796.144000000015,6163.62,43460.53675574604,6956.223755746058,7988.962755746057,14940.397,4630.483999999999,1336.6150000000002,645.5124488507886,-388.48300000000006
Construction Supplies,123,67.40163934426229,325075.10000000027,178671.10799999992,444804.865814748,266507.10781474784,159834.81981474799,398162.6980000001,116218.46800000001,52709.08399999999,38771.70203705042,26361.452
Diversified,70,70.1875,402228.5570000001,225433.72300000003,518516.8125408962,355472.9215408963,163104.28054089623,293488.1660000001,102829.52799999999,55725.11300000002,46491.43629182078,42190.405000000006
Drugs (Biotechnology),233,16.245454545454546,131362.188,33191.71199999998,139851.1351512073,44237.22585338137,21071.145151207307,20401.630000000005,9045.722999999996,-3143.0499999999993,-4759.364030241462,-5813.870999999999
Drugs (Pharmaceutical),131,34.3671875,1543528.9170000004,321948.2880000002,1729393.5013722165,375726.2666574944,233271.34037221645,410391.372,291430.54699999996,133144.936,99502.83472555668,55608.30100000001
Education,21,27.714285714285715,10496.392,6192.122,12877.94255211868,5308.398552118683,3044.559552118683,7267.28,3189.609999999999,933.9379999999999,766.9142895762635,420.66800000000006
Electrical Equipment,157,42.84563758389262,444452.9179999998,107530.19199999994,487980.32961905305,73185.02261905285,70163.98861905288,222787.91000000012,62628.012999999984,21872.862,15679.67307618942,7967.633000000002
Electronics (Consumer & Office),21,45.7,30814.877999999997,8551.168,32905.85231304366,9016.397313043652,3994.549313043652,12732.641000000001,5940.696,2109.4659999999994,1698.4033373912694,1116.4839999999997
