Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_
Advertising,89,1.0096480818742957,0.11317961278612022,0.09826827202239602,0.014911340763724204,31140.360999999997,464.3445343763874,0.36748569348028204,0.08155936532142376,0.28592632815885827,13622.78540718874,3895.113010773553,0.6832536979469354,0.3516378482351731,0.060454999999999995,0.13698926560957606,0.0455165695,0.31674630205306464
Aerospace/Defense,61,0.9044660699453133,0.20830393868510866,0.09207305151977896,0.1162308871653297,70795.19999999998,8228.588903046948,0.1422896133760724,0.0858818570271532,0.0564077563489192,120300.3860056242,6785.874862486179,0.8670175618081385,0.3552608942317434,0.060454999999999995,0.1274261400807439,0.0455165695,0.13298243819186154
Air Transport,34,1.3413062774665883,0.3311675705660618,0.11780293974278205,0.21336463082327972,50800.27000000001,10838.980854272935,0.14384837044740345,0.0834306205156343,0.060417749931769155,125156.91877871368,7561.699421003066,0.5244979224755042,0.3073450163287685,0.060454999999999995,0.15614019779571642,0.0455165695,0.4755020775244958
Apparel,110,1.0044826650762329,0.2702559549074027,0.09796402897299011,0.17229192593441256,152625.67300000004,26296.171148205878,0.3559103880795961,0.09145254130807795,0.2644578467715181,182590.8182748902,48287.574641227024,0.87584741510186,0.31434810417005654,0.060454999999999995,0.14185235874230337,0.0455165695,0.12415258489814002
Auto & Truck,31,1.3951896187246104,0.20479915489952027,0.12097666854287956,0.08382248635664072,279504.75200000004,23428.78326113625,0.12430080588676344,0.08225654676414013,0.042044259122623315,554119.9211290355,23297.561548956764,0.4868795261355666,0.35583235151341913,0.060454999999999995,0.09629126090639158,0.0455165695,0.5131204738644334
Auto Parts,59,1.4037710559198122,0.09953256768890487,0.12148211519367694,-0.02194954750477207,60430.14,-1326.4142286500269,0.09288077409127149,0.09241596118109753,0.000464812910173959,124359.18078074558,57.80375272554782,0.6173771445046206,0.3068871242474704,0.060454999999999995,0.17963718773568216,0.0455165695,0.3826228554953794
Bank (Money Center),112,1.2153935486343155,0.1506152967865152,0.11038668001456119,0.04022861677195401,1478749.7999999998,59488.05900580363,-5.17243782949191e-07,0.05532208471272677,-0.05532260195650972,4751386.953473146,-262859.08916834823,0.15115613546743933,0.25358376727578946,0.060454999999999995,0.2354411572737627,0.0455165695,0.8488438645325607
Banks (Regional),72,0.4682886846720631,0.07332326196605254,0.06638220352718452,0.006941058438868025,89891.79999999999,623.9442369750367,2.806938756766444e-06,0.047653699908503135,-0.04765089296974637,168960.51481053897,-8051.119407350238,0.2580269829998616,0.13283543357435104,0.054643,0.18768236232471092,0.0411407147,0.7419730170001384
Beverage (Alcoholic),55,0.5919586640772369,0.14082640565702131,0.07366636531414925,0.06716004034287207,143952.78999999998,9667.87518386899,0.10664247832164638,0.06492906259923568,0.04171341572241069,279691.38453780796,11666.882997202212,0.6896139932026848,0.26354588744589025,0.060454999999999995,0.18033450330480677,0.0455165695,0.31038600679731515
Beverage (Soft),15,0.7076723102064876,0.22426686201335835,0.08048189907116213,0.14378496294219623,14033.169999999998,2017.7588284115395,0.1580449419065603,0.07001621749580458,0.08802872441075571,23516.712879512837,2070.146237117505,0.7339764487866028,0.2372287694191972,0.054643,0.1969973028657391,0.0411407147,0.26602355121339716
