Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,89,311924,43482.226,44382.14000000001,139400.0654005463,142285.1079109014,382.52899999999994,0.006539407310321902
Aerospace/Defense,61,731965,218809.28,135031.51499999998,298934.07471668726,184478.10346123105,687.1680000000001,0.0029234471914891575
Air Transport,34,520772,82510.4,156414.6,158438.62573256626,300351.4013810266,116.66,0.000607081191515226
Apparel,110,752126,351787.44999999995,74962.02200000001,467724.0914421253,99666.84039642297,775.7960000000002,0.0023776527319142415
Auto & Truck,31,814334,162913.78200000004,232789.04000000004,200057.69377184304,285864.3259399706,525.1510000000001,0.0007957135511582519
Auto Parts,59,1032379,88954.23000000001,164203.922,86164.31562439764,159053.9152772383,3364.934,0.013844215788827701
Bank (Money Center),112,2394924,733862.6,360719.9000000001,306424.1704538432,150618.51649572182,3558.775000000001,0.005304835665655868
Banks (Regional),72,55502,45868.719999999994,9657.300000000001,826433.6420309177,173999.13516630034,7.075000000000001,0.00036975638411181636
Beverage (Alcoholic),55,479873,355322.34200000006,172727.566,740450.7901048821,359944.33110427135,738.605,0.003878822620510201
Beverage (Soft),15,87010,18432.08,16720.8,211838.63923686932,192171.01482588207,103.621,0.0027271411351661484
Broadcasting,22,87460,7498.82,11927.05,85739.99542648067,136371.48410702034,29.046000000000003,0.0007685928500701488
Brokerage & Investment Banking,74,31648,30516.163,27405.28100000001,964236.6974216381,865940.3753791712,124.325,0.004023057352731507
Building Materials,89,608412,147767.93999999997,76989.07899999998,242874.7953689276,126541.02647548041,369.24600000000004,0.002098984115358484
Business & Consumer Services,194,1785990,232996.84699999998,194055.50899999996,130458.09159065838,108654.30881471898,689.0670000000005,0.002908283477124545
Cable TV,3,10530,4236.4,4296.8,402317.1889838556,408053.18138651474,0.512,0.00010691613765452723
Chemical (Basic),61,53597,9513.456,10887.634999999998,177499.785435752,203138.88837061773,12.11,0.0007764884180116073
Chemical (Diversified),7,157390,57312.6,103643.40000000001,364143.84649596544,658513.2473473538,62.39999999999999,0.0005843709703044493
Chemical (Specialty),102,526791,548701.021,217381.33899999992,1041591.486946436,412651.9606447337,1339.737,0.0047284278619086914
Coal & Related Energy,16,8613,1669.6,1459.852,193846.5110878904,169494.02066643446,7.200000000000001,0.004626651698591635
Computer Services,226,1767540,341310.786,198941.71799999988,193099.32787942563,112552.88027427944,2471.2739999999994,0.011117665752754306
Computers/Peripherals,43,56511,3114.5009999999997,2903.343,55113.181504485845,51376.599246164464,200.13299999999995,0.01339542717639966
Construction Supplies,123,966752,209827.10000000006,278096.82899999985,217043.35755188513,287660.9813064776,440.05499999999995,0.0011052140298687646
Diversified,70,880870,303238.00000000006,211602.18000000002,344248.29997616,240219.53296173105,1721.5820000000006,0.005865933279231436
Drugs (Biotechnology),233,57092,67782.99199999997,15033.760000000002,1187259.0205282697,263325.1593918588,1149.5429999999997,0.056345644931311833
Drugs (Pharmaceutical),131,804906,622074.443,120966.73599999999,772853.529480461,150286.78628311877,4477.597000000002,0.010910553450914172
Education,21,49160,736.7199999999998,1715.4999999999998,14986.167615947921,34896.257119609436,46.45700000000001,0.006392625576556842
Electrical Equipment,157,729502,178810.22499999995,133011.37300000005,245112.72758676458,182331.7454921303,759.4969999999997,0.00340905841793659
Electronics (Consumer & Office),21,53342,5732.6720000000005,7044.893,107470.1361028833,132070.28232912152,111.52499999999999,0.008758984094501682
Electronics (General),151,259234,126879.94699999999,46681.05400000001,489441.76689786057,180073.0382588704,258.897,0.004812919788741417
Engineering/Construction,162,1430548,113901.84900000002,233899.89500000005,79621.13050383491,163503.702776838,971.8870000000001,0.0022792158516449328
Entertainment,200,180844,28451.114,16192.528000000006,157324.06936365043,89538.6520979408,1148.4470000000003,0.015408287478649127
Environmental & Waste Services,52,255730,11660.949999999999,19656.624000000003,45598.67829351268,76864.7557971298,57.71799999999999,0.0019074042765142012
Farming/Agriculture,50,296283,13851.934000000001,19547.479000000003,46752.37526283992,65975.70228464004,111.063,0.002149203274944351
Financial Svcs. (Non-bank & Insurance),143,403880,223362.50299999997,93927.25499999996,553041.7525007427,232562.28335149042,1130.591,0.007829746248895987
Food Processing,169,1003852,101611.50599999995,139883.77299999996,101221.60039527735,139347.00832393617,590.8799999999999,0.0016848482459511627
Food Wholesalers,14,284396,4192.6,36754,14742.120142336744,129235.29163560669,24.151,0.00030265116455095313
Furn/Home Furnishings,52,205960,20105.989999999998,42123.399999999994,97620.84870848707,204522.2373276364,57.434999999999995,0.0012051551052560876
Green & Renewable Energy,66,23116,46416.05999999999,13884.57,2007962.450250908,600647.6033915903,105.52900000000001,0.00353906674733745
Healthcare Products,182,669479,363059.9749999999,129894.24699999996,542302.2604144416,194022.88495979703,1539.2800000000004,0.008733364852832775
Healthcare Support Services,45,463591,40845.14,80919.013,88105.98134993993,174548.28286140153,44.717,0.00048181304707753197
Heathcare Information and Technology,95,226379,146662.28000000003,40280.915999999976,647861.6832833436,177935.74492333643,439.52200000000005,0.009769363431691125
Homebuilding,43,49586,17118.739999999998,23742.891,345233.3319888678,478822.4700520308,74.20100000000001,0.0016143761259006688
Hospitals/Healthcare Facilities,29,354862,10149.400000000001,19379.870000000003,28600.97728130936,54612.412712547426,222.096,0.007829277088429417
Hotel/Gaming,106,374692,79262.401,51722.475,211540.14764126268,138039.97683430658,649.1369999999997,0.006732790636272708
Household Products,70,407124,51983.189,24123.830000000005,127683.9218518191,59254.25668837996,664.5500000000001,0.0035843512794780266
Information Services,6,511896,0.27,1390,0.5274508884617188,2715.395314673293,134.99,0.009575409095326358
Insurance (General),36,742887,204889.6,292256.20000000007,275801.8379645895,393405.9957974767,1290.4300000000003,0.002225444573266438
Insurance (Life),16,207771,30108,41721.2,144909.5398299089,200803.76953472814,253.89600000000002,0.002508112721636592
Insurance (Prop/Cas.),19,91057,42314.3,17280.800000000003,464701.2310970052,189780.02789461552,462.0169999999999,0.005746994755749269
Investments & Asset Management,350,145730,134700.345,27800.372000000007,924314.4513826941,190766.2938310575,1086.5280000000005,0.011619556665395735
Machinery,219,847083,319331.7609999998,172069.967,376978.1249299063,203132.357750067,279.04599999999994,0.0013066459324746508
Metals & Mining,120,480888,92974.95999999998,268182.5020000001,193340.15404834386,557681.8344396203,873.526,0.002101106866472398
Office Equipment & Services,22,36900,2255.35,3403.93,61120.59620596206,92247.42547425475,16.613,0.002413091380239464
Oil/Gas (Integrated),12,390348,19738.8,72616.5,50567.18620308033,186030.15770543207,2034.524,0.0017453970574900159
Oil/Gas (Production and Exploration),91,29716,10585.650000000001,10054.624,356227.28496432904,338357.2486202719,173.31600000000003,0.00385624360986196
Oil/Gas Distribution,29,17775,5883.5,4184.18,330998.5935302391,235396.90576652603,53.786000000000016,0.0029711343793933005
Oilfield Svcs/Equip.,67,276985,52237.039999999986,82944.36999999998,188591.58438182567,299454.3747856382,164.603,0.0005886522909811593
Packaging & Container,44,219483,48628.049999999996,48996.535,221557.25044764284,223236.12762719663,169.746,0.002280311341367159
Paper/Forest Products,38,97467,54568.81999999999,44234.08,559869.6994880318,453836.4779874214,38.716,0.0007785395285367637
Power,73,485430,479106.20999999996,600429.8200000001,986972.807613868,1236902.993222504,198.143,0.0002939607324315242
Precious Metals,46,35596,5126.511999999999,2518.3049999999994,144019.32801438362,70746.85357905382,105.62200000000001,0.013711946563626929
Publishing & Newspapers,72,109805,14927.205,16377.77,135942.85323983425,149153.22617367152,91.37499999999999,0.003423507746831348
R.E.I.T.,142,18808,52065.830000000016,6813.519,2768281.05061676,362267.0672054445,126.89500000000001,0.005971067180917053
Real Estate (Development),66,18442,7166.910000000001,9959.621000000003,388618.9133499621,540051.0248346167,16.929,0.0010735068416482603
Real Estate (General/Diversified),48,6925,8858.97,2659.805,1279273.6462093862,384087.3646209386,4.893000000000001,0.0012574801824155803
Real Estate (Operations & Services),237,163495,131204.963,31134.030000000006,802501.3792470717,190428.02532187532,582.002,0.010860096132046375
Recreation,60,57891,17954.58,7869.5019999999995,310144.58205938747,135936.53590368104,32.286,0.0022664186892285523
Reinsurance,4,64011,56365.5,73474.8,880559.5913202418,1147846.463889019,96.9,0.0005412648840860863
Restaurant/Dining,43,1396293,81469.61,95831.45999999999,58347.07328619423,68632.77263439693,782.456,0.007333840279378323
