Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,89,65869.85999999997,64581.438999999984,59367.051999999974,58867.290000000015,0.13993004133920817,-0.019560099262393882,-0.08074126375536494,-0.10630916780451571,53312.323000000004,64392.44100000002,62030.421999999984,75578.55899999998,57784.125,68907.70899999999,0.20783408743978415,-0.036681619198129733,0.21841116928077642,-0.23544288532942237,0.1925024217291511
Aerospace/Defense,61,353980.26,364425.819,356316.29,357330.551,0.17313057448716807,0.029508874308414867,-0.022252893667778384,0.009464626643304719,248219.49,317873.8699999999,280713.42,281714.54999999993,301739.86400000006,408832.19299999997,0.2806160789388452,-0.11690312890455545,0.00356637741081256,0.07108370511924256,0.35491607764494737
Air Transport,34,139741.80000000005,145673.8,131892.90000000002,125264.5,0.191850081622001,0.04244971797987396,-0.09460108818469737,-0.10360035436784154,134332.89999999997,151613.1,134202.6,126491.7,117247.8,146707.60000000003,0.1286371395242718,-0.11483506372470453,-0.057457158058040636,-0.07307910321388666,0.25126100447087296
Apparel,110,1155614.431,1170786.9470000004,966273.2899999999,907442.777,0.25303320408262797,0.013129392981767296,-0.1746805065806737,-0.21475298970197787,479122.56500000006,678519.2069999999,842493.5229999999,1108844.611,922253.638,1049781.713,0.41617042603702004,0.24166495849836722,0.3161461551081861,-0.1682751317443162,0.13827874431220177
Auto & Truck,31,309056.7100000001,328481.935,301435.586,302577.20800000004,0.19720239959009755,0.06285327052112843,-0.08233740159866021,-0.020965414405660465,157010.19200000004,168711.75,253908.90999999997,314822.38999999996,258149.09,317614.82500000007,0.07452737845196666,0.5049865228711099,0.23990288485740807,-0.18001673896192694,0.23035423057272864
Auto Parts,59,107316.66999999998,108055.94,102148.18700000002,99054.97699999998,0.1612930488199713,0.006888678152238814,-0.05467309802681819,-0.07698424671581783,92690.537,110046.18000000002,133572.30000000002,135706.04,92411.36000000003,107698.94000000002,0.18724287895753622,0.21378406774319636,0.015974419846030985,-0.31903281534115924,0.16542966146153448
Bank (Money Center),112,1097133.3000000003,1155709.0000000007,1213009.4000000004,1187312.5999999999,0.053176352008063255,0.05338977497082653,0.049580300923502074,0.08219539047807545,1027791.7999999999,1123254.5000000002,937983.0999999997,1159884.4,1041737.5000000005,1297558.3000000003,0.09288135982404255,-0.1649416049523954,0.23657281245259143,-0.10186092683029402,0.2455712691536973
Banks (Regional),72,62351.62999999999,65094.08,64262.03,64326.96000000002,0.017487102647812502,0.04398361357994984,-0.012782268372177663,0.03168048694156078,57577.57999999998,61910.469999999994,62994.430000000015,63279.10000000001,61280.01999999999,69532.93999999997,0.07525307593684927,0.017508508657744448,0.004518970962988256,-0.031591473330057185,0.13467554351320365
Beverage (Alcoholic),55,437481.1,409171.08999999997,358826.51,352358.79000000004,0.0995653299588748,-0.06471138981775448,-0.12304041324131665,-0.19457368558321708,374282.902,450417.7459999998,439667.93999999994,483220.34,397867.31000000006,387699.332,0.2034152337527826,-0.02386630210613383,0.09905748415497406,-0.17663376918281204,-0.025556203649905407
Beverage (Soft),15,46934.06,50023.42000000001,49326.36,45298.40999999999,0.093515823387192,0.06582341267727565,-0.013934672999167397,-0.034849957578781954,43829.43000000001,46586.469999999994,46393.590000000004,50597.810000000005,42920.33,52554.579999999994,0.06290385250275876,-0.004140257890327126,0.09062070859357951,-0.1517354209599191,0.22446821820801444
Broadcasting,22,33579.73,28494.579999999998,26065.2,25335.780000000002,0.12320312813582901,-0.15143510683379535,-0.0852576174135572,-0.2455037607509054,55665.58999999999,62831.189999999995,63374.41000000001,45364.95,29896.400000000005,28720.64,0.12872584302079626,0.008645706057771818,-0.28417558443542135,-0.3409802060842124,-0.039327812044259725
Brokerage & Investment Banking,74,35296.361999999994,33976.335,33112.233,32218.796999999995,0.0480818970681649,-0.03739838683658092,-0.025432466450545643,-0.08719213045242447,16427.208,24340.06299999999,35949.47199999999,43853.240999999995,33677.103,37354.91,0.4816920197272716,0.476967089197756,0.21985772141521331,-0.2320498500897572,0.10920793869947776
Building Materials,89,247767.66999999995,255070.86500000005,241983.314,234067.44099999996,0.07451082994978697,0.029475980461858065,-0.051309470409331315,-0.05529465971084924,149577.02000000005,197999.43000000005,232938.34999999998,330863.36,230586.48,279727.4339999999,0.32372893911110134,0.1764596999092367,0.42039024488668364,-0.3030764119665592,0.21311290236964409
Business & Consumer Services,194,261692.07000000004,265401.52099999995,249364.75500000006,252242.81000000008,0.08212211859714813,0.014174869723793782,-0.06042454443959233,-0.0361083161595227,195471.2400000001,249130.93499999997,272383.3450000001,322085.56999999983,241832.29000000012,286659.831,0.27451452704755863,0.09333409357613554,0.18247160082419778,-0.24916757369788334,0.18536623459174884
Cable TV,3,4978.3,4426.7,3397.1000000000004,4487.5,-0.03395882250208582,-0.1108008758009763,-0.23258861002552678,-0.09858787136170988,8442.3,8512.5,7843.9,9255.6,5153.299999999999,4410.2,0.008315269535553282,-0.07854331864904551,0.17997424750443036,-0.44322356195168344,-0.14419886286457217
Chemical (Basic),61,27687.96,25780.150000000005,24430.989999999998,23259.09,-0.055978239189574897,-0.06890395681010786,-0.0523332874323853,-0.15995652984185182,12657.15,13424.740000000002,18376.060000000005,24152.660000000003,29329.79,21252.236,0.060644773902498006,0.36882055071457653,0.3143546549151448,0.21435030344483774,-0.2754044266938154
Chemical (Diversified),7,68066.01,63172.81999999999,59109.45,57383.44,0.08901625844429062,-0.07188889138646448,-0.06432149142621768,-0.15694426630854363,81462.28,91239.98999999999,96722.4,85870.18,62502.28999999999,59294.02,0.12002745319674313,0.06008779702847411,-0.11219965592251646,-0.27213044155724375,-0.05133043925270575
Chemical (Specialty),102,528275.0320000001,559033.7270000002,529062.0150000002,531517.2239999998,0.0890486388728624,0.058224775234124726,-0.053613423577930086,0.006137318259628932,344591.091,423153.26999999996,518539.45600000024,613204.8199999998,485079.37399999995,614318.9829999998,0.22798668059587168,0.2254175797814355,0.18256154455486517,-0.20894396426955664,0.2664298173189277
Coal & Related Energy,16,2262.48,2267.4599999999996,1781.0199999999998,1695.8100000000002,-0.1500762590252368,0.0022011244298290045,-0.2145307965741402,-0.25046409250026513,799.3099999999998,803.2309999999999,1894.375,1723.03,2661.98,1708.78,0.004905480977343002,1.3584435859671755,-0.09044935664797094,0.5449411792017551,-0.3580793244126552
Computer Services,226,304801.3619999998,317509.47500000003,309325.8410000001,301426.05700000003,0.07952166226382817,0.04169309781496411,-0.025774456022139014,-0.011073785818580983,157556.72199999998,233341.08299999996,298143.654,438773.1879999999,282348.53699999984,352326.6960000001,0.4809973198096873,0.2777160805412051,0.47168380783311914,-0.35650457976479666,0.24784317901388775
Computers/Peripherals,43,27943.028999999995,27363.206999999995,31034.972999999994,31804.657999999996,0.09317808757449453,-0.0207501484538416,0.1341862450552671,0.13819650689980678,18935.590000000004,26368.01,36670.70999999999,46911.01999999998,25561.277999999995,38796.144000000015,0.392510610971192,0.39072724866229924,0.279250388116292,-0.45511144289763883,0.5177701208836281
Construction Supplies,123,288173.19000000006,297668.3500000001,290994.649,283199.2559999999,0.1585145737767255,0.03294949124170787,-0.022419921365506634,-0.01726022465865118,165064.95099999988,232370.67000000004,287653.0299999999,319574.84999999986,248743.6900000001,325075.10000000027,0.4077529396292021,0.23790592848916714,0.11097334869026043,-0.22164184697262568,0.30686772396115924
Diversified,70,356222.75,355910.41000000003,333844.96,330891.7200000001,0.10571640601424126,-0.000876810927993743,-0.06199720317256252,-0.07111008491175796,230074.9299999999,282045.79,333915.5900000001,417436.69999999995,322164.66000000003,402228.5570000001,0.22588667092064352,0.18390559915820792,0.2501264166791368,-0.22823110665641022,0.24851855880157703
Drugs (Biotechnology),233,119877.86799999999,127673.50399999999,129570.35199999998,123168.269,-0.025100133137842318,0.06502981851495715,0.014857021547712845,0.027447943935739794,76634.89500000006,108592.15499999997,162310.289,153657.63100000002,122964.28799999997,131362.188,0.41700663907740565,0.49467785218923077,-0.05330936229187522,-0.1997515046942253,0.06829543875373001
