Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,89,420.3434000000001,0.02767566791500338,153.285,0.002620436750057363,149.892,139.532,110.24600000000001,96.63599999999998,99.191,0.09095158579104567
Aerospace/Defense,61,47510.8256,0.6069677383161027,16358.292000000001,0.06959375699240876,16245.612,15907.27,14734.787,13588.836,14382.431000000002,0.02607978460685234
Air Transport,34,219.91000000000003,0.00129953340583045,73.81,0.0003840962004606449,75.77,75.56,74.33,52.08,53.982,0.06456760627689939
Apparel,110,3336.4806000000003,0.012889673600740571,1148.3300000000002,0.0035193916463078967,1147.4,1122.6309999999999,1010.071,963.118,1023.673,0.02324844290171968
Auto & Truck,31,79980.9876,0.1497327854503742,27229.199,0.04125792892231896,27479.01199999999,26640.113000000005,25006.016,23910.524,24853.533,0.018425691172369252
Auto Parts,59,45222.6488,0.47096044781380214,15419.927000000001,0.06344159999452309,15689.463999999998,14987.161999999998,14082.439,13129.389,13197.801000000003,0.03161143722314641
Bank (Money Center),112,1.5652000000000001,2.6496666562716373e-07,0.564,8.407183133044119e-07,0.562,0.553,0.397,0.305,0.324,0.11724088138874866
Beverage (Alcoholic),55,1642.3484,0.004936494452990755,587.126,0.003083322763709523,577.0699999999999,564.212,445.13100000000003,384.93399999999997,390.07,0.08521990890371445
Beverage (Soft),15,305.4762,0.012137761084109142,103.261,0.0027176665034924544,104.73400000000001,104.513,92.77,93.06099999999999,98.18500000000002,0.010132249013750094
Broadcasting,22,391.69800000000004,0.014275784249631648,136.969,0.0036243680397045445,136.065,133.932,107.017,113.55499999999999,116.271,0.03330891294243066
Brokerage & Investment Banking,74,1289.0068000000003,0.04162199300151685,471.80799999999994,0.015267328722924162,449.74,436.03599999999994,328.032,322.862,374.068,0.04752150749646056
Building Materials,89,7248.3852,0.0958800010456774,2503.517,0.014231277835182845,2446.654,2412.2490000000003,2287.3450000000003,2126.288,2169.9489999999996,0.02901144131426392
Business & Consumer Services,194,3676.3124000000007,0.05697197477583479,1250.4829999999995,0.005277801791879641,1255.009,1255.6010000000003,1134.8629999999998,1072.5819999999999,1110.9839999999997,0.02393879417090239
Chemical (Basic),61,262.9116,0.013668187177242382,89.859,0.0057617235965404644,88.36999999999999,87.07099999999998,86.004,78.562,80.846,0.02136414714760848
Chemical (Diversified),7,8911.02,0.10435411441726675,2866.7,0.02684641443223982,3040.2999999999997,3073,3029.5000000000005,2782.3999999999996,2913.7999999999997,-0.0032539999903254957
Chemical (Specialty),102,17264.459999999992,0.07524207442726118,5854.989,0.020664423777777954,5870.219999999999,5788.007999999999,5429.039000000002,5344.372999999998,5281.148999999999,0.020844357294030447
Coal & Related Energy,16,2.4144,0.001659208015063252,0.901,0.0005789740528376476,0.873,0.432,0.9179999999999999,0.9430000000000001,1.01,-0.02258121057434581
Computer Services,226,6721.604799999998,0.18645083631334786,2326.056999999999,0.010464369490333495,2404.6710000000003,2104.718,2078.077,1888.7470000000003,1941.1660000000006,0.03683950342342324
Computers/Peripherals,43,4016.3014000000003,0.5773680578751381,1270.8809999999999,0.0850634022643441,1325.729,1393.991,1409.8719999999998,1422.4689999999998,1425.7420000000004,-0.02273400182778962
Construction Supplies,123,31276.180000000004,0.11735589439415792,10746.710000000001,0.026990750399224987,10720.881999999998,10418.703999999998,9801.557999999999,8904.594000000001,9201.204000000002,0.03154023929388616
Diversified,70,28981.688400000003,0.08152994685044028,9873.550000000001,0.03364207196006669,9920.764,9624.265,9188.222999999998,8608.395,8962.583999999999,0.019548800786198584
Drugs (Biotechnology),233,27746.608800000013,0.6272230743393041,9443.590999999999,0.4628841421004104,9401.617,9188.407000000001,8789.382,8764.636000000002,8961.081000000002,0.010544291999409428
Drugs (Pharmaceutical),131,224505.89459999997,0.5975251520135421,77195.86699999997,0.18810304569463507,75827.08199999998,75399.89499999999,71126.34299999998,64789.439,66860.793,0.029163807928120677
Education,21,1125.5187999999998,0.21202605436450958,395.30199999999996,0.0543947666802435,383.91499999999996,373.06300000000005,328.91,338.415,370.736,0.012914645054662444
Electrical Equipment,157,22843.018400000004,0.3121269568898527,7812.739000000001,0.035068056430889796,7782.283000000001,7592.853999999999,7219.758999999999,6804.184999999999,7027.9370000000035,0.021398207300824534
Electronics (Consumer & Office),21,3618.7694000000006,0.4013542520763671,1220.7260000000003,0.09587374685267575,1220.6999999999998,1202.0999999999997,1179.976,1141.165,1147.0559999999998,0.012527237377050193
Electronics (General),151,11400.330999999998,0.2641973080319469,3907.8930000000014,0.07264810156928844,3854.4900000000007,3776.505000000001,3680.7399999999984,3353.2349999999997,3444.643000000001,0.02555673033633621
Engineering/Construction,162,919.3521999999999,0.005132273105474765,305.874,0.0007173188543586263,310.21099999999996,303.553,332.809,250.27,263.67199999999997,0.030138716305832203
Entertainment,200,12186.817600000002,0.22232173148121614,4240.997,0.056899883905908145,4284.06,4187.423999999999,3615.1100000000006,2800.3709999999996,2560.4289999999996,0.10619335566125643
Environmental & Waste Services,52,144.698,0.007982882406194552,49.283,0.0016286531924087702,49.72099999999999,50.69199999999999,42.31899999999999,41.477,45.202,0.017437866972656035
Farming/Agriculture,50,4398.5802,0.10464513565845406,1539.4189999999999,0.029789618111446273,1504.854,1420.764,1364.425,1285.2479999999998,1262.1220000000003,0.04052160243168168
Financial Svcs. (Non-bank & Insurance),143,3952.726000000001,0.002979305849968172,1425.382,0.009871279152004447,1406.2009999999998,1356.373,1060.62,821.5570000000001,877.1119999999996,0.10198388468719388
Food Processing,169,9215.527999999998,0.040307286563343224,3175.371000000001,0.009054322805974466,3118.2969999999996,3055.6340000000005,2837.153,2886.3890000000015,3010.7310000000007,0.010705208959257195
Food Wholesalers,14,136.88,0.01589906001802234,44.5,0.0005576571082985142,46.9,46.7,46,42.2,43.9,0.0027186626972783845
Furn/Home Furnishings,52,2433.4838,0.11737673136463107,813.0029999999999,0.017059192409480544,816.129,832.1139999999998,816.7049999999999,708.136,733.5510000000002,0.020780504277646328
Green & Renewable Energy,66,218.42720000000003,0.0027149760181310973,67.101,0.002250328514560834,77.26400000000001,80.898,76.295,52.291,40.998999999999995,0.10354779080812682
Healthcare Products,182,41709.46580000001,0.2545234610259894,14038.723999999997,0.07965106982499602,14407.474999999993,14179.638000000006,13029.672999999997,12125.548999999995,12337.726999999995,0.02616806717819875
Healthcare Support Services,45,3738.8462000000004,0.07265174789695183,1262.3770000000002,0.01360175568420497,1285.7720000000002,1286.2160000000001,1238.002,904.606,1022.77,0.0429949808516521
Heathcare Information and Technology,95,4807.765199999998,0.12037391602770517,1644.1010000000006,0.036543836684868596,1619.8410000000001,1633.5540000000005,1537.646,1363.0030000000002,1412.165,0.03088117736067697
Homebuilding,43,15.2592,0.00037932811367899575,4.0120000000000005,8.728827127819684e-05,5.498,5.848000000000001,5.509,5.6819999999999995,4.943,-0.04087753626912105
Hotel/Gaming,106,5916.389600000001,0.08703587425241611,2152.4980000000005,0.02232551584487672,2015.1060000000007,1852.234,1774.07,1654.192,1670.73,0.051979549302799244
Household Products,70,10765.8846,0.08139677035893587,3722.336,0.020076984130986558,3674.41,3571.9070000000006,3250.218,3303.9460000000017,3460.7580000000007,0.014679457902043058
Information Services,6,0.336,8.098727342846126e-05,0.014,9.930789490671088e-07,0.161,0.161,0.161,0.161,0.165,-0.38943933979793666
Insurance (General),36,0.05740000000000001,1.7254600477226755e-07,0.019,3.2766943493302476e-08,0.02,0.019,0.019,0.017,0.018,0.01087212085035083
Investments & Asset Management,350,425.90199999999993,0.0025314654862549166,141.94400000000002,0.001517978691127087,141.052,139.15999999999997,141.936,154.23000000000002,163.27300000000002,-0.027609889280831856
Machinery,219,16612.81740000001,0.15609423214122597,5729.607000000004,0.026829152473887074,5670.125999999999,5544.801999999999,5225.973999999998,4649.194,4851.009000000001,0.03385242502516661
Metals & Mining,120,1795.106,0.007559248582605507,608.26,0.0014630580687930305,613.221,607.7889999999999,579.385,499.20899999999995,518.436,0.032473280443474195
Office Equipment & Services,22,111.3072,0.02994506577054165,35.979,0.005226064814882061,38.166000000000004,36.983999999999995,36.163000000000004,40.699,42.73,-0.03380844076924694
Oil/Gas (Integrated),12,8439.048,0.011847891838983977,2871.5,0.0024634300949915463,2834.3,2798.74,2729.54,2645.2400000000002,2589.29,0.02090569224832195
Oil/Gas (Production and Exploration),91,145.1382,0.0031555286022492517,45.104,0.0010035542695378027,42.474999999999994,52.404,53.45399999999999,66.151,62.57899999999999,-0.06339324016469372
Oil/Gas Distribution,29,116.534,0.003547718197846359,39.55500000000001,0.0021850150666883946,39.494,39.104,35.972,37.663000000000004,40.183,-0.0031454251800193678
Oilfield Svcs/Equip.,67,1574.9422,0.012888016834474323,529.676,0.0018942242296782958,535.555,525.817,514.734,477.19199999999995,475.79300000000006,0.02168836905093241
Packaging & Container,44,837.9984,0.015987307145593,288.666,0.0038778430930159905,287.877,282.83000000000004,253.89700000000005,238.86999999999998,246.112,0.03241087107160512
Paper/Forest Products,38,622.7168000000001,0.0100549843878652,204.82599999999996,0.004118843306955035,211.595,210.21500000000003,206.723,198.98299999999998,212.47100000000003,-0.007302142899168751
Power,73,3366.9284000000002,0.005309501849250944,1113.083,0.0016513462193318879,1143.1059999999998,1136.7,1112.9199999999998,1060.8629999999998,1063.2180000000003,0.00920883972616604
Precious Metals,46,51.541199999999996,0.004156475206148778,17.95,0.0023302857436623367,16.422,18.296,16.244,14.892,16.878999999999998,0.012379979134175656
Publishing & Newspapers,72,1144.3578,0.058327571322277394,377.53900000000004,0.014145091012103537,380.87300000000005,390.769,386.228,365.839,362.817,0.007986785498770965
R.E.I.T.,142,2.2503999999999995,7.531519573924816e-06,0.762,3.5856047849472354e-05,0.742,0.724,0.725,0.852,0.921,-0.037193378840638225
Real Estate (Development),66,1.4334,6.29689216645953e-05,0.481,3.0501316724721677e-05,0.517,0.488,0.48,0.27,0.297,0.10122921739769186
Real Estate (Operations & Services),237,30.147400000000005,6.031123952045411e-05,12.766000000000002,0.00023821221786472224,11.363999999999999,9.706999999999999,4.885000000000001,2.56,2.205,0.4207878981477695
Recreation,60,416.6138,0.03942714923730042,139.37,0.009783521424697494,139.54399999999998,146.08599999999998,140.57700000000006,108.63100000000001,118.71999999999998,0.03259277603730437
Restaurant/Dining,43,2158.8446,0.0563727537468628,776.701,0.007279899545576266,769.847,755.8879999999999,557.133,449.40000000000003,479,0.10149789155718891
Retail (Automotive),28,91.6932,0.009201452568743256,33.419000000000004,0.0008387431416829892,32.513,32.602999999999994,21.290000000000003,20.93,20.804,0.09943439908961671
Retail (Building Supply),29,170.721,0.007672870027562941,60.54599999999999,0.0012648797710322348,60.733000000000004,59.39,53.145,23.482999999999997,30.362,0.1480241290812896
Retail (Distributors),116,191.04100000000003,0.0012656077347836057,76.64000000000001,0.0003404797836396694,77.95400000000001,75.783,10.905999999999999,11.027999999999999,11.722000000000001,0.4557632639614422
Retail (General),32,504.1356,0.005547812690849543,166.42600000000002,0.001178448646487017,169.08,166.93800000000002,168.10799999999998,175.198,180.75599999999997,-0.016383759868002223
Retail (Grocery and Food),32,413.12199999999996,0.0035282802149266593,140.066,0.0003311566794538202,144.47799999999998,143.776,141.47,73.1,77.9,0.12449894862230182
Retail (Special Lines),111,1574.0148000000002,0.0237282614327275,535.5229999999999,0.0028000176892866335,530.238,536.948,495.14400000000006,470.375,490.15600000000006,0.0178616715576283
Rubber& Tires,8,3530.051,0.10057609611402943,1215.541,0.027385499579825303,1202.908,1165.432,1086.1929999999998,1092.236,1145.2549999999999,0.011983620147394625
Semiconductor,40,22977.154999999995,0.519390199230416,7815.322,0.1367629106568129,7785.577999999999,7627.167,7417.352,6950.647999999998,6968.161999999999,0.02321224184438697
Semiconductor Equip,22,14250.489799999998,0.8019354320566102,5029.415,0.12889852878404434,4958.150000000001,4656.039999999999,4302.3769999999995,3699.9,3676.68,0.06466340846663288
Shipbuilding & Marine,62,307.81399999999996,0.0023738328180973292,104.58200000000001,0.0007179358529374768,105.696,104.01000000000002,102.05,77.24600000000001,81.09799999999998,0.05217834620249051
Shoe,10,302.28,0.02387866758046991,101.4,0.005528898582333697,104.1,103.5,101.7,74.1,78.39999999999999,0.052796369079330496
Software (Entertainment),56,959.9570000000001,0.06738312168249491,321.057,0.04187436555621915,322.564,324.791,317.64000000000004,294.591,300.68199999999996,0.013199443521528353
Software (Internet),28,163.639,0.17341110442847463,128.953,0.03823214182475292,19.689000000000004,17.984,13.309,14.104,14.794,0.5419460087455905
Software (System & Application),339,34583.334800000004,0.9528076067098632,11618.807999999999,0.16363661176677244,11915.495000000006,11647.768999999998,11173.166999999994,9871.013000000004,10050.290999999994,0.029429448243411205
Steel,59,4455.595399999999,0.03382969493428737,1523.917,0.007308367383515879,1476.9609999999998,1475.099,1429.002,1467.247,1330.0739999999998,0.027583452235730554
Telecom (Wireless),12,59.275000000000006,0.0004701928659347868,19.213,0.00026461074324575675,19.866,20.713,20.59,17.527,18.792,0.004441009361535242
Telecom. Equipment,54,30770.98540000001,1.1999532218393245,10185.542000000003,0.1742551352916048,10480.711999999998,10489.424,10149.154999999995,9237.787,9561.744999999997,0.0127200243572263
Telecom. Services,64,6916.7822,0.011848310451560236,2338.48,0.006757128160082817,2407.8940000000002,2380.707,2236.673,1644.4679999999998,1895.5509999999997,0.04289272339697825
Tobacco,6,1258.7626,0.008554195000816061,466.42199999999997,0.007586231574085067,426.822,389.223,353.82300000000004,379.1,404.9,0.028694102463920457
Transportation,59,747.9972,0.004406970555981244,282.56199999999995,0.0012950401139685895,286.837,282.015,117.14099999999999,99.50099999999999,106.794,0.21482404827627977
Utility (General),16,1075.3836,0.004472414833789758,364.608,0.0008918205753119346,374.04,367.77000000000004,345.37,263.668,280.789,0.05363265136512618
Utility (Water),12,93.22940000000001,0.003102812794613938,30.580000000000002,0.004579181048359925,31.845,31.009999999999998,31.372000000000003,30.092999999999996,32.839000000000006,-0.014153017504870524
Total Market,6971,843734.9978000001,0.04673561306019211,288420.35500000033,0.02032834447622087,288031.5619999997,282460.92400000006,265872.6450000003,245318.90399999966,252241.68200000015,0.027168779499271434
