Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2022_0,Average_2020_24
Advertising,89,1.0096480818742957,0.46358519976523366,0.13698926560957606,0.7484233963624026,0.11363434105429032,0.8443731870801686,0.37614553347622093,0.3516378482351731,0.45861753103534303,0.68,0.73,0.83,0.90361402776565,0.7975974429691637
Aerospace/Defense,61,0.9044660699453133,0.15337917482839766,0.1274261400807439,0.8108318699007757,0.08475450218742464,0.8859173542384564,0.3361576671117952,0.3552608942317434,0.2073514729328081,1.2,1.07,1.14,0.9033574147118228,1.0398549537900559
Air Transport,34,1.3413062774665883,0.9065852449524303,0.15614019779571642,0.7971780354874862,0.11509809165213487,0.9008659920011229,0.3343296414514718,0.3073450163287685,1.926854654152033,0.67,0.96,1.0,0.7849558593753849,0.8631643702753016
Apparel,110,1.0044826650762329,0.14175138586633979,0.14185235874230337,0.9076175304669625,0.038663238977713246,0.9441202784150279,0.34046576817780205,0.31434810417005654,0.39156126561980215,0.92,1.04,1.07,1.0336800505581054,1.0015600657946266
Auto & Truck,31,1.3951896187246104,1.0538961823618769,0.09629126090639158,0.7779238327891373,0.17957990546901978,0.9482018273014909,0.37918397947529053,0.35583235151341913,0.4066686169365464,0.8,0.69,0.74,0.8604210001918171,0.8077245654986616
Auto Parts,59,1.4037710559198122,0.6197554588814483,0.17963718773568216,0.9571510745158534,0.11256499478736735,1.0785590706854262,0.34650164573277326,0.3068871242474704,0.2987341169418458,1.3,1.17,1.29,1.1829793538383109,1.2043076849047476
Bank (Money Center),112,1.2153935486343155,5.615675883136155,0.2354411572737627,0.2324758412532342,0.3625662794009818,0.36470590390914487,0.24497998179994823,0.25358376727578946,1.5390713693641629,0.32,0.28,0.42,0.3686115410275469,0.3506634889873384
Beverage (Alcoholic),55,0.5919586640772369,0.4500865844613008,0.18033450330480677,0.4421329780480268,0.023482601129503063,0.452765079822875,0.2512107719947738,0.26354588744589025,0.1084805482667742,0.45,0.47,0.52,0.5066604785684935,0.47988511167827375
Beverage (Soft),15,0.7076723102064876,0.36244153562853776,0.1969973028657391,0.5559605533949716,0.04963970366120777,0.584999768547547,0.2178996725300175,0.2372287694191972,0.2535329411718298,0.52,0.65,0.68,0.7148642327405521,0.6299728002576199
Broadcasting,22,0.9282631338706471,0.4458910392859441,0.18398284760432776,0.694957877316634,0.10418902761925583,0.7757862972694847,0.2825688503709387,0.22521575023850673,0.14474657969099533,1.03,0.75,0.82,0.8005285058203548,0.8352629606179679
Brokerage & Investment Banking,74,0.8707315899058546,0.6876389626893673,0.1518944442193559,0.573709019867202,0.24127415266596042,0.7561479839958829,0.3177625193382241,0.2926244614542751,0.8202608076286918,0.95,0.73,0.9,0.6959319603512203,0.8064159888694207
Building Materials,89,1.0705705789689228,0.20528766160923842,0.1465083734825644,0.927253306143221,0.038480139655588656,0.9643620942068567,0.3289599722011865,0.29813524747340214,0.20345942702208578,0.87,0.83,0.94,1.0371856315464538,0.9283095451506622
Business & Consumer Services,194,1.0050331723966925,0.27035026580509286,0.1637828014742404,0.8350595450651856,0.046347617814956936,0.8756435370631244,0.31991796040989173,0.3073997215741856,0.18358584247826054,0.87,0.85,0.97,0.9120782185944735,0.8955443511315195
Cable TV,3,0.7774445678585296,1.9682831866821264,0.1606135297900496,0.31324315007589,0.11543289523222097,0.35412027915974126,0.45820935181966443,0.2834466515528024,0.17407735415313638,0.51,0.54,0.41,0.333771033882859,0.42957826260852006
Chemical (Basic),61,0.835071442424022,0.405682446200058,0.0859266057480463,0.6396866352336634,0.07413974620644126,0.6909105695083612,0.3837407270153203,0.33332641349454933,0.45412488789634126,0.7,0.75,0.87,0.9008276745282723,0.7823476488073268
Chemical (Diversified),7,1.108693626848418,0.5199702094747497,0.08133610106766297,0.7967697618882902,0.05882481585826926,0.8465690291386873,0.27607450868970407,0.23183480831657868,0.207061932320952,1.44,1.08,1.03,0.783591228675912,1.03603205156292
Chemical (Specialty),102,1.0757967976752074,0.18271100457538433,0.1068757698659088,0.9457029532371244,0.03525206423128651,0.9802591103587964,0.4022253045447923,0.34065716956257086,0.2838958864892885,1.07,0.89,0.91,1.0252780342177283,0.9751074289153049
Coal & Related Energy,16,0.8709744575347654,0.14811566348638902,0.06877281114799318,0.7835912715138172,0.27381582899919166,1.079053087089315,0.549649319221708,0.5049861065875753,0.6872413582066719,1.1,1.19,1.95,1.4007450881176893,1.3439596350414007
Computer Services,226,0.953311323218832,0.10294257329037113,0.16295368114727554,0.8847392013993999,0.05768475871464918,0.9388993859343554,0.33568764655358213,0.2952980540135006,0.29970541433219744,0.99,0.91,0.97,0.9974962569770381,0.9612791285822787
Computers/Peripherals,43,1.0944260005641828,0.20592156673472636,0.07752616501038113,0.9475235197544558,0.07106043419665131,1.0200055575574885,0.41431901663549436,0.363013116850949,0.27951538834167494,1.38,0.93,0.99,1.017063224016954,1.0674137563148884
Construction Supplies,123,1.0210763622322212,0.4916858283355072,0.1382373708852298,0.7452077218222276,0.08270619420473288,0.8123980747653192,0.34710107993463235,0.29989118587622066,0.376907019300104,0.94,0.92,0.95,0.9215737984479324,0.9087943746426502
Diversified,70,1.1696175679430305,0.4055014933733216,0.13961928619976716,0.8960512596410375,0.08281143760132866,0.9769542451528673,0.3139154342111612,0.2648014093316818,0.35276538725176626,1,0.82,0.97,1.0170289011045945,0.9567966292514922
Drugs (Pharmaceutical),131,0.9773064912579792,0.1511285845072486,0.07877450170905369,0.8774644519395195,0.026680970921352628,0.9015178227534864,0.45679025006424573,0.41840255220858935,0.15801150175845452,1.02,0.83,0.88,0.9285517809688922,0.9120139207444756
Education,21,0.6216698058748149,0.29005772194089957,0.06822014878385947,0.5102410830666271,0.04896325028917651,0.5365103748322799,0.33886517484913875,0.27822540168105064,0.22413230981936805,0.58,0.61,0.6,0.6374214551776206,0.5927863660019801
Electrical Equipment,157,1.2935071256797255,0.15786596459932098,0.09733731705455374,1.1560966204661356,0.051760011490873614,1.2192025589258395,0.450290321061616,0.38250447730424403,0.10929320664192288,1.19,1.16,1.24,1.259264855363673,1.2136934828579027
Electronics (Consumer & Office),21,1.017704497157091,0.12963054122893664,0.10197209286939604,0.9272098923362959,0.05468561671184691,0.9808481799579912,0.4558574003813969,0.3996397073789636,0.29394917755547906,1.38,1.23,1.27,1.0800643820744182,1.1881825124064818
Electronics (General),151,1.2131330452408937,0.13376914731163964,0.12354535547162446,1.1021320465101696,0.04058462950304163,1.148753793614216,0.3968871510330226,0.3614719796822816,0.19434389305369448,1.2,0.95,1.01,1.1394180405083687,1.089634366824517
