Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,89,1240.0939999999998,3606.0240000000003,0.3438951044141691,2128.567,34.185600000000704,-0.0034733569869269906,-0.0475841157880364,4.293980434363423
Aerospace/Defense,61,9249.683,9363.207,0.9878755217096024,2084.153,1386.5047999999952,0.014282392921473801,0.2303964447779391,1.953892442115779
Air Transport,34,16470.652000000002,15267.91,1.0787758114895885,473.99000000000007,7.46559999999954,0.008764312410038453,0.09424949325043813,1.5353957406043375
Apparel,110,21106.41900000001,9469.298999999997,2.228931518584429,4986.474,94.95140000003448,0.051238850347181966,0.29790491488198856,1.7869819965907394
Auto & Truck,31,31653.051999999996,19575.813000000002,1.6169469947429511,1266.134,1651.3594000000157,0.022720154330224455,0.25879416289723706,1.1910326823393784
Auto Parts,59,10629.193000000001,7991.039999999999,1.330138880546212,5308.633999999999,1202.6759999999995,0.037643276249666374,0.9737254533739756,1.9544759821836357
Beverage (Alcoholic),55,8805.764000000001,10303.620999999997,0.8546280962779981,3386.1029999999996,114.84260000000359,0.010519324094158766,0.06925329199718436,0.6808214572453501
Beverage (Soft),15,1576.6419999999998,1027.517,1.5344193818691074,299.49999999999994,4.608400000000074,0.02245575610192598,0.24415509835517757,1.6157105031928727
Broadcasting,22,1339.051,1945.6019999999999,0.6882450778730697,282.046,15.601000000000568,-0.008173979403637977,-0.11121542032137582,1.4783670827915072
Brokerage & Investment Banking,74,175.10700000000003,443.45099999999996,0.39487339074666655,54.976000000000006,89.66039999999992,-0.0040030787835814855,-0.4284192813536078,0.8943942983412908
Building Materials,89,5829.624000000001,4973.495999999999,1.172138069478693,12483.990000000003,215.02000000000044,0.07705437389570145,0.8329296863820681,2.441229202671489
Business & Consumer Services,194,4463.0289999999995,6245.037000000002,0.7146521309641557,3454.2889999999998,84.6752000000015,0.007415427943134006,0.12454145817482994,3.7778664423865647
Cable TV,3,574.8,941,0.6108395324123272,-27.6,0,-0.08223354493818912,-0.5214158688599554,0.5981048805629919
Chemical (Basic),61,1870.2769999999996,350.21099999999996,5.340429055626465,211.67899999999997,5.6884000000000015,0.11140354353150521,2.120080025584364,0.9029886262669379
Chemical (Diversified),7,7528.4,5231.329000000001,1.439098936427053,-0.17000000000000037,-101.10000000000036,0.02056349937444678,0.350100168372317,1.1035642967169252
Chemical (Specialty),102,19451.428999999993,17027.993000000002,1.1423207068501844,5795.090999999999,312.43120000001363,0.030108909764870597,0.38999012157790897,1.3687224777859996
Computer Services,226,2393.4790000000003,4725.543999999999,0.5064980878391993,5454.867999999999,242.58120000000054,0.015140051918646197,0.21966819987778202,5.922650254939391
Computers/Peripherals,43,470.059,559.3679999999999,0.8403394545272523,53.52200000000001,-124.67959999999982,-0.01074045087289178,-0.34913103701210313,1.2001691448948364
Construction Supplies,123,15290.386000000004,13300.829999999993,1.1495813419162573,7639.178000000003,937.3215999999738,0.02653703034732798,0.35801265635268187,1.5128323254644713
Diversified,70,11894.869999999997,9319.863000000003,1.2762923661002306,4364.438999999999,612.7037999999957,0.0257323826814877,0.1902999992411933,0.9259816463943891
Drugs (Pharmaceutical),131,17971.763000000003,32112.042000000005,0.5596580560027917,11012.14,6395.156600000002,0.007960736562463606,0.03923372584946785,0.7007903943982227
