Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Advertising,89,0.4833216424079965,0.31203716213072663,0.4535668861084905,0.31674630205306464,0.46358519976523366,4.44117665234513,4.212666889023609,0.13698926560957606,0.2918198529411764,0.3516378482351731,0.08994502167084595,0.10547952550588799,0.010829473951893355
Aerospace/Defense,61,0.42906559056257915,0.13288832811976128,0.15325399533788675,0.13298243819186154,0.15337917482839766,7.439572034393513,2.377378428092516,0.1274261400807439,0.2888075925925926,0.3552608942317434,0.06172251668683541,0.15401090726553662,0.022343159354192448
Air Transport,34,0.6562106858841841,0.47544723226043345,0.9063858995716647,0.4755020775244958,0.9065852449524303,3.9602868194790233,5.834468199228341,0.15614019779571642,0.20207645161290322,0.3073450163287685,0.12857124045451368,0.5240455099217411,0.060731955174437996
Apparel,110,0.399653249857397,0.12270991731640124,0.1398738225115187,0.12415258489814002,0.14175138586633979,24.122804603849765,1.8483769202383609,0.14185235874230337,0.1831339473684211,0.31434810417005654,0.07385882385175895,0.271893235282563,0.04228349117674689
Auto & Truck,31,0.49963130019166857,0.5130692192381848,1.0536799880169319,0.5131204738644334,1.0538961823618769,23.25679733551766,4.032008499374699,0.09629126090639158,0.13539500000000004,0.35583235151341913,0.17531692746113367,0.14856856579879868,0.03294588472410104
Auto Parts,59,0.47263578286320956,0.383080376900242,0.6209567057948757,0.3826228554953794,0.6197554588814483,4.117825748083543,3.5499530843080973,0.17963718773568216,0.2992410714285715,0.3068871242474704,0.14555810129124377,0.27127138512963545,0.04572317926209411
Bank (Money Center),112,0.8088976777082401,0.8488435545278178,5.615662315134511,0.8488438645325607,5.615675883136155,-0.1518602885345482,-965121.4373871721,0.2354411572737627,0.28396018018018027,0.25358376727578946,7.41793318300574e-07,0.009704633218752284,0.00033102263072526454
Beverage (Alcoholic),55,0.4847704354293203,0.31036737959866634,0.45004741715675683,0.31038600679731515,0.4500865844613008,5.313201564294977,3.7847801296986074,0.18033450330480677,0.19023636363636365,0.26354588744589025,0.082839921771094,0.204230302259897,0.03373605051057314
Beverage (Soft),15,0.5599779853606175,0.2660130678790059,0.3624220762491109,0.26602355121339716,0.36244153562853776,10.786281986064502,3.6289015444223787,0.1969973028657391,0.2960558333333333,0.2372287694191972,0.08299126008799633,0.21330918013941622,0.030876437808626415
Broadcasting,22,0.25675117296338634,0.30620809138523875,0.44135437093323826,0.30838495237244723,0.4458910392859441,12.121301381378016,2.4438861070869753,0.18398284760432776,0.22968105263157892,0.22521575023850673,0.1136964688422823,0.06951647469505004,0.01961539757387721
Brokerage & Investment Banking,74,0.6232840556024103,0.40733412264676727,0.6872913359984001,0.40745620235833374,0.6876389626893673,2.863783019167806,60.495499496601965,0.1518944442193559,0.2122024561403509,0.2926244614542751,0.007976075484296975,0.011564900708116308,0.0015858694842102762
Building Materials,89,0.3895456751813566,0.16918000756877932,0.20363015949304433,0.17032254469040928,0.20528766160923842,10.736680088516255,2.3422794762855235,0.1465083734825644,0.29036383561643836,0.29813524747340214,0.0802656826717829,0.19896045310972618,0.028608771701067053
Business & Consumer Services,194,0.5284099415301637,0.21277034180899732,0.2702773448575709,0.2128155305527146,0.27035026580509286,3.3758098547935442,3.2148839488938044,0.1637828014742404,0.3659411428571429,0.3073997215741856,0.0720075376169782,0.10346715189324629,0.020525115408299464
Cable TV,3,0.541936974343925,0.6630786037877109,1.9680513355403384,0.6631049205524843,1.9682831866821264,2.3920845624385443,4.729499024684272,0.1606135297900496,0.12869999999999998,0.2834466515528024,0.15308530122494163,0.3553995732582325,0.030893094200289153
Chemical (Basic),61,0.3883227577442054,0.28827451990459935,0.4050361100827226,0.2886017729656709,0.405682446200058,1.1072813856138874,5.085090509992425,0.0859266057480463,0.1674770454545455,0.33332641349454933,0.04357166674326813,0.20588548397167392,0.06918012754482283
Chemical (Diversified),7,0.32466246233399854,0.3420923688066451,0.5199702094747497,0.3420923688066451,0.5199702094747497,5.773180539150976,1.9082916986457379,0.08133610106766297,0.24326714285714285,0.23183480831657868,0.13956619523193964,0.2927647378223304,0.05898654773872102
Chemical (Specialty),102,0.35767971404635956,0.15361395391445976,0.18149395848964023,0.15448491124928787,0.18271100457538433,8.031934195959664,2.005726908025155,0.1068757698659088,0.27241462365591385,0.34065716956257086,0.06369765544200943,0.3369374892876598,0.04932644564258972
Coal & Related Energy,16,0.12573673085897238,0.1284882807638873,0.14743150083685433,0.1290076149964005,0.14811566348638902,2.1711255342725995,1.3217938346160008,0.06877281114799318,0.27055466666666667,0.5049861065875753,0.10695985290349107,0.44583750664979,0.08671509548181168
Computer Services,226,0.3267731351196377,0.093464536135427,0.1031008050550901,0.09333448157982155,0.10294257329037113,14.274283952673374,1.589130711153972,0.16295368114727554,0.22994689440993796,0.2952980540135006,0.06708800954426743,0.08242441275197876,0.012892727589988558
Computers/Peripherals,43,0.5737836090592112,0.16344015007477813,0.1953717359127236,0.17075867321313457,0.20592156673472636,2.2918085781908446,5.120588370939008,0.07752616501038113,0.24044624999999997,0.363013116850949,0.030754682288255047,0.12421033957917682,0.024170540323741746
Construction Supplies,123,0.443318369116374,0.3290160572295924,0.4903486302088345,0.32961755015407856,0.4916858283355072,8.598156684070101,3.5448877490073345,0.1382373708852298,0.2295327083333333,0.29989118587622066,0.11849934218559612,0.2486388721314414,0.028557901598193557
Diversified,70,0.35575368443492067,0.2884948180442218,0.40547114112536764,0.2885101832229889,0.4055014933733216,8.637463410465147,4.980508600736915,0.13961928619976716,0.17608551724137933,0.2648014093316818,0.10747021437343442,0.09848204961243767,0.02010731116247729
Drugs (Biotechnology),233,0.3578313596732048,0.137668792318826,0.1596472342558727,0.13823187301366452,0.16040494964355578,-3.4742997246215395,-4.971614767089391,0.01797056635469295,0.19912097087378647,0.5118928844126966,-0.022474254474958162,0.10492086038219982,0.010705926750394796
Drugs (Pharmaceutical),131,0.4119242140780989,0.13129047327196855,0.1511327655936619,0.1312873179775486,0.1511285845072486,13.514832432288522,1.817700545519886,0.07877450170905369,0.2403972321428571,0.41840255220858935,0.07698938147642737,0.1486377663542539,0.025325442141660832
Education,21,0.33204515449471156,0.22475051097270163,0.2899073319670226,0.22484088658025783,0.29005772194089957,4.9342046836689395,3.7287063156138225,0.06822014878385947,0.24158187499999997,0.27822540168105064,0.072522298979067,0.12581535075845568,0.009512090752691927
Electrical Equipment,157,0.3914751973065578,0.13618465171926544,0.15765481823206304,0.13634217554183867,0.15786596459932098,6.6100788670302935,3.7997846452073123,0.09733731705455374,0.2311558333333333,0.38250447730424403,0.044823245267028036,0.1212312167739639,0.024678632189727833
Electronics (Consumer & Office),21,0.2958519782509765,0.11499549641065566,0.12993775279590594,0.11475481274427145,0.12963054122893664,6.4071994403796335,1.9472061449175608,0.10197209286939604,0.2073852631578947,0.3996397073789636,0.06410610428600937,0.12149107006417993,0.020324790893760363
Electronics (General),151,0.303835464922381,0.11707606969372679,0.13260040381181518,0.11798622993828076,0.13376914731163964,11.676854501639616,2.0478803466208504,0.12354535547162446,0.24261731707317075,0.3614719796822816,0.061912818269551646,0.16334226960906958,0.03831755740652223
Engineering/Construction,162,0.5339666064435491,0.38844344406964976,0.6351717438115231,0.3886094623948978,0.6356157619271188,4.142754535738169,4.550301473822377,0.15524469362514215,0.22151165354330718,0.28933029381582115,0.10970685417592037,0.1257116707971466,0.024622227155761796
Entertainment,200,0.3043587211798716,0.1578617414043427,0.18745347310023844,0.15817419383141806,0.18789420884032923,1.519457611668184,5.010901375280738,0.06685697988005812,0.16350924999999997,0.39460048520599533,0.032051196715137314,0.06510585865435699,0.009987101440199372
Environmental & Waste Services,52,0.5353283630487372,0.3373768989934836,0.5091535421584492,0.3373823686182931,0.5091659995747095,3.0057646795142094,6.22165337082187,0.1444509802821072,0.24963630434782608,0.35073311275951996,0.0676344615263063,0.2241436488327334,0.033120229379460665
Farming/Agriculture,50,0.5897453728349428,0.4706969135266144,0.8892767217035339,0.47047065552855927,0.8884694690492896,11.38490447720166,4.828472321685296,0.13566818150408974,0.1721972222222222,0.3033979404755029,0.10709625023760856,0.1408978715259379,0.031018279645143726
Financial Svcs. (Non-bank & Insurance),143,0.8064776202399659,0.8042998495207718,4.109858104611632,0.8043026902092493,4.109932277910462,5.282640237538722,134.02896372206712,0.13338034943382607,0.2892209174311926,0.35551361693245503,0.010649119589041496,0.005176460569206208,0.000822372624373724
Food Processing,169,0.4496146843704703,0.2032349033847073,0.2550750581922598,0.20347655570267012,0.2554558276463178,8.338002325927322,3.0487983314761014,0.14605911697751275,0.20458536585365855,0.257961069691383,0.07071613856895637,0.24137487414345654,0.037286460870507354
