Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Advertising,89,690.3390421295808,31254.255,31944.59404212958,1294.5540000000003,0.04142008824078514,0.06171895282706652,0
Aerospace/Defense,61,51.17740562419931,62655.16700000001,62706.34440562421,2421.5029999999997,0.0386480974506061,0.0773478048500509,0
Air Transport,34,38.055482383206254,132964.88999999998,133002.9454823832,5382.898,0.04048360435600707,0.040335806593029884,8.85
Apparel,110,3668.0316748901096,145139.98100000006,148808.01267489017,3118.173,0.021483901117501168,0.4298138073438886,1697
Auto & Truck,31,68.66652903566137,334664.385,334733.05152903567,3197.319,0.009553807167141493,0.017399417124981668,0
Auto Parts,59,864.0279807455954,65882.97799999999,66747.00598074558,3040.77,0.04615410675576931,0.15411911819651616,993.401
Bank (Money Center),112,17.605273148044944,7286649.247000001,7286666.852273149,13.17,1.8074151168209783e-06,0.34664388238711147,0
Banks (Regional),72,1.2458105389378034,199945.15000000008,199946.39581053902,0,0,0.1314029112257625,0
Beverage (Alcoholic),55,15.185137807944557,174483.08299999996,174498.2681378079,6821.987000000001,0.03909827177916155,0.07965202272261475,0
Beverage (Soft),15,1.0226795128401136,19046.939999999995,19047.962679512835,428.54600000000005,0.022499467106002338,0.07016217832695937,0
Broadcasting,22,130.2960185574575,12675.98,12806.276018557457,285.512,0.022523860088135197,0.044672335661809635,0
Brokerage & Investment Banking,74,12.985563754678878,25673.706,25686.691563754677,125.83599999999998,0.004901357053788806,0.8912159378448192,0
Building Materials,89,2010.4488138125453,55414.14200000001,57424.59081381255,1883.4959999999994,0.03398944623197449,0.0720578030745799,1546.8
Business & Consumer Services,194,632.9815064930153,76865.57999999999,77498.561506493,5586.804000000004,0.07268277947034296,0.04651657601064669,611.9780000000001
Cable TV,3,1.0225099055132887,8679.5,8680.522509905513,406.80000000000007,0.04686905927760816,0,0
Chemical (Basic),61,13.736087700935968,8607.923,8621.659087700937,833.2479999999998,0.09680012239886436,0.20460514033790234,0
Chemical (Diversified),7,0,30831.124,30831.124,1151.44,0.037346676040743765,0.0062940457489126635,0
Chemical (Specialty),102,766.6545136584464,111476.18399999996,112242.83851365841,3497.536000000001,0.031374737405794245,0.10533637851609054,19
Coal & Related Energy,16,1.1690834522718774,251.92799999999994,253.09708345227182,12.634,0.05014924899177544,0.04207626109731623,0
Computer Services,226,2877.350725134311,33392.066000000006,36269.41672513432,1411.0449999999996,0.04225689419756176,0.06714310871755404,2933.1
Computers/Peripherals,43,483.09275574605726,7505.87,7988.962755746057,294.491,0.03923475892867848,0.020810611899722758,73.8
Construction Supplies,123,434.68981474795146,159400.13000000003,159834.81981474799,4512.5199999999995,0.028309387200625234,0.04012733339136488,0
Diversified,70,12.208540896215709,163092.07200000001,163104.28054089623,5382.344999999998,0.033001880066861854,0.053785499735671594,0
Drugs (Biotechnology),233,662.0301512073165,20409.11499999999,21071.145151207307,1361.036,0.06668765402125475,0.005232576857900912,562.395
Drugs (Pharmaceutical),131,305.14637221654993,232966.1939999999,233271.34037221645,7362.009000000002,0.03160119017096534,0.06791705071723977,311.621
Education,21,1.5785521186826372,3042.981,3044.559552118683,155.391,0.051065386211744335,0.0013609279967850883,0
Electrical Equipment,157,1600.944619052898,68563.04399999998,70163.98861905288,2350.919000000001,0.03428842803420457,0.10149634720447187,1507.2
Electronics (Consumer & Office),21,135.4333130436521,3859.116,3994.549313043652,264.465,0.06852994312687154,0.33237141575650425,144.9
Electronics (General),151,650.5969554661897,17757.394000000015,18407.990955466204,579.7109999999999,0.03264617544668995,0.06662231549688157,489.76599999999996
Engineering/Construction,162,106.00509804600733,151641.20700000008,151747.2120980461,5773.756999999999,0.038075118987941026,0.06126864853722825,0
Entertainment,200,65.8637393970057,28013.128,28078.991739397006,1316.4,0.04699225306077922,0.09396525410988267,0
Environmental & Waste Services,52,0.35226147394860163,14397.462000000003,14397.814261473952,526.482,0.03656769505625365,0.003707350251995897,0
Farming/Agriculture,50,213.22427347449775,30356.987999999998,30570.212273474495,465.6480000000001,0.015339071188485503,0.1289904416269925,241
Financial Svcs. (Non-bank & Insurance),143,77.21465868479572,1557752.1529999997,1557829.3676586845,2003.5470000000005,0.0012861782897500517,0.45909923437168587,49.1
Food Processing,169,535.6068985865277,141228.86,141764.4668985865,4551.303,0.03222643728767619,0.04414465407568149,324.38
Food Wholesalers,14,0,9499.849999999999,9499.849999999999,1577.578,0.16606346415996046,0.24259935060943233,0
Furn/Home Furnishings,52,75.61652110522118,17734.724,17810.34052110522,707.9040000000001,0.03991626822046964,0.2832590985420249,0
Green & Renewable Energy,66,115.69901345718972,50678.42600000001,50794.1250134572,2365.466,0.04667599581723394,0.0279084619805787,0
Healthcare Products,182,1209.61076059872,99037.29599999996,100246.90676059868,2866.197000000001,0.028940582141903412,0.014037517386417874,252.1
Healthcare Support Services,45,2.1434452809990034,38727.05100000001,38729.194445281006,1726.8719999999998,0.04459084684759497,0.048362383523977315,0
Heathcare Information and Technology,95,392.48647981353497,22622.670000000002,23015.156479813537,978.4150000000001,0.043249315841145185,0.007323334513110791,155.3
Homebuilding,43,1.5665639568942424,8638.231999999998,8639.798563956892,432.42699999999996,0.05005966498700198,0.03401742961255897,0
Hospitals/Healthcare Facilities,29,1400.8230905088494,36836.5,38237.32309050885,1258.916,0.03417577674317592,0.031015297728521428,0
Hotel/Gaming,106,290.6742268730741,68181.62900000002,68472.30322687309,3645.7089999999994,0.05347054702961114,0.010416237965748018,225.65
Household Products,70,379.40131112004747,79186.436,79565.83731112005,2617.594,0.03305609056581357,0.11614895641066839,0
Information Services,6,0,5363.7,5363.7,273.006,0.050898819844510314,0.14924109572473848,0
Insurance (General),36,1438.8233442333876,193160.15899999999,194598.98234423337,9717.134000000002,0.050306098578019924,0.07763944339716221,1509
Insurance (Life),16,48.78008664623485,210352.54000000004,210401.32008664627,6723.066,0.03196094518278695,0.3606330223906611,0
Insurance (Prop/Cas.),19,620.4470011696903,30176.435000000005,30796.882001169695,1019.828,0.03379550964187784,0.28826613907155346,577
Investments & Asset Management,350,116.53829974742257,75048.67199999999,75165.21029974741,1138.2919999999995,0.015167383641378752,0.21114861711852248,86.7
Machinery,219,625.4640853920791,50495.76999999998,51121.23408539206,1983.2039999999995,0.03927465607515244,0.0596844439543556,101.03
Metals & Mining,120,230.52479971923458,83723.26000000001,83953.78479971924,4904.631000000001,0.058581462308085,0.052261670634975166,0
Office Equipment & Services,22,4.550436060863603,1351.3049999999998,1355.8554360608634,89.995,0.06659858433144258,0.24311885485151066,0
Oil/Gas (Integrated),12,1561.6322195291286,295406.34,296967.97221952915,11972.49,0.04052888641455697,0.058988500499289755,0
Oil/Gas (Production and Exploration),91,119.38786725081445,33768.012999999984,33887.4008672508,2558.3309999999997,0.07576196443658088,0.0025948873806974585,24.7
Oil/Gas Distribution,29,88.34902992557909,17391.517000000003,17479.866029925583,1040.9339999999997,0.059852973147770806,0.021064496639432363,24.01
Oilfield Svcs/Equip.,67,1163.497496629985,44014.894,45178.391496629985,3181.7160000000003,0.07228725803588214,0.03885911261340537,824
Packaging & Container,44,532.4211735472418,31501.856,32034.27717354724,1185.1219999999994,0.03762070399915483,0.07210312000042697,461
