Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,89,1010.45214,3524.4539999999993,0.28669749697399943,2402.607,0.6816962286924444,2132.799,5014.7339999999995,2488.5030000000015,0.4253065067858036,0.8570610523676278,0.605143094504851,0.11363434105429032
Aerospace/Defense,61,5158.779499999998,14746.919000000002,0.3498208337619538,9587.517999999998,0.6501370218416469,9056.280999999999,16519.581000000002,12380.473000000002,0.5482149335385684,0.7314971730078486,0.6141134293881996,0.08475450218742464
Air Transport,34,1695.1594999999998,16823.401999999995,0.10076199213452786,2976.5190000000002,0.17692729449132827,2869.4590000000003,15295.793999999993,6150.008999999991,0.18759791090282738,0.46657801638989543,0.17056354000219465,0.11509809165213487
Apparel,110,15796.620869999999,41247.996999999996,0.38296698067544954,20488.854999999996,0.4967236348470448,20000.616999999995,15335.659999999983,8796.34199999999,1.3041901685352972,2.2737425397966584,0.484886987360865,0.038663238977713246
Auto & Truck,31,15687.710000000001,57242.33700000001,0.2740578184290414,20658.1,0.360888480147133,19678.619,35355.254000000015,23657.480000000025,0.5565967366547555,0.8318138280154935,0.343777351368446,0.17957990546901978
Auto Parts,59,3337.0105999999996,6014.766999999997,0.5548029707551433,4073.222,0.6772036223514564,3994.873,4334.340999999996,2948.242999999995,0.9216794433109909,1.3550012668562283,0.6641775151057393,0.11256499478736735
Bank (Money Center),112,58998.678599999985,222722.33999999997,0.2648978930447659,27808.682000000008,0.12485807216285538,23629.151000000005,213101.919,186452.68099999992,0.11088192500040324,0.12673001467863051,0.10609241533651276,0.3625662794009818
Banks (Regional),72,1907.73095,6591.160000000001,0.28943781519489736,1260.3080000000002,0.1912118655896686,814.2580000000003,6228.9400000000005,7424.667000000001,0.13072176004263972,0.10966929560611946,0.12353789014376834,0.3018627560266485
Beverage (Alcoholic),55,7230.6195,20272.354,0.3566738968745317,11676.033,0.5759584210102092,11515.723,15890.546999999997,24569.999999999996,0.7246901569845269,0.46869039479039487,0.5680506072457101,0.023482601129503063
Beverage (Soft),15,1676.3893999999998,3147.1749999999997,0.5326648184482909,1889.3899999999999,0.6003447536282539,1827.1499999999999,2279.0190000000002,1392.0899999999997,0.8017265323369396,1.3125228972264726,0.5805682874323799,0.04963970366120777
Brokerage & Investment Banking,74,1143.3259100000005,2807.8039999999996,0.407195769362819,1341.8150000000003,0.4778877015632147,1239.8320000000003,2405.955,2441.239000000016,0.5153180337953122,0.5078699791376396,0.4415664341243194,0.24127415266596042
Building Materials,89,5014.242,13111.558000000003,0.38242915144027884,7678.1630000000005,0.585602641577759,7089.493,9856.831000000004,13146.41300000001,0.719246682833458,0.5392720432562095,0.5407056125595447,0.038480139655588656
Business & Consumer Services,194,6094.355250000002,10324.358000000002,0.5902890281410235,9607.798999999999,0.9305952970635072,8410.382,10541.734000000006,10170.58400000001,0.7978177024766508,0.8269320621116734,0.8146154947358468,0.046347617814956936
Cable TV,3,239.3,270.8,0.8836779911373708,239.3,0.8836779911373708,160.3,67.70000000000005,536.3999999999999,2.3677991137370737,0.2988441461595825,0.5919497784342689,0.11543289523222097
Chemical (Specialty),102,13696.532,19095.892000000007,0.7172501813479043,17721.557,0.9280298087148793,16537.932,18898.241000000016,19619.654000000017,0.8751043020353051,0.8429267916753265,0.8660465821654204,0.03525206423128651
Computer Services,226,5157.573999999998,11846.822000000004,0.43535506821998304,10171.254999999997,0.858564009824744,7815.294999999996,12731.905000000002,11310.217000000006,0.6138354786656038,0.6909942576698566,0.6596954862662741,0.05768475871464918
Construction Supplies,54,3755.2935,12617.7,0.29762107991155284,7696.307000000001,0.6099611656641067,7606.880000000001,9553.451,3800.4759999999987,0.7962442053662077,2.001559804613949,0.602873740856099,0.06939766674437327
Diversified,70,7993.439699999999,42190.405000000006,0.1894610800725899,10063.743,0.23853155711588925,9943.498,30062.523000000016,32233.85000000002,0.3307605951769249,0.308479998510882,0.23568150151675477,0.08281143760132866
Drugs (Pharmaceutical),131,33135.99,55608.30100000001,0.5958820788284828,49136.466,0.8836174656729756,47948.196,67294.369,63174.89300000001,0.7125142372610701,0.7589754999664186,0.8622488933801448,0.026680970921352628
Education,21,263.488,420.66800000000006,0.6263561763671113,582.0429999999999,1.3836160582692285,517.5539999999999,493.41500000000013,409.6670000000002,1.048922306780296,1.2633529183458752,1.2303146424258555,0.04896325028917651
Electrical Equipment,157,6498.8911800000005,7967.633000000002,0.8156614618168281,8325.345000000001,1.0448956421562088,4705.1720000000005,572.1300000000001,7667.075999999994,8.223956093894744,0.6136853214967485,0.5905357337618335,0.051760011490873614
Electronics (Consumer & Office),21,758.9560000000001,1116.4839999999997,0.6797732882871589,958.2250000000001,0.8582523350088317,521.0000000000002,1201.2719999999997,1108.285,0.43370693731311505,0.4700956883834034,0.4666434986976977,0.05468561671184691
Electronics (General),151,1956.26578,4939.028999999999,0.39608307219900923,3203.18,0.6485444811115708,2775.7819999999997,3364.4550000000004,3989.9049999999943,0.8250316916112712,0.6957012760955471,0.5620096581737019,0.04058462950304163
Engineering/Construction,231,11648.423429999999,29257.87100000001,0.3981295641777898,12469.768999999998,0.42620220042668155,9926.544999999998,18008.333000000006,26245.086999999956,0.5512195381993433,0.3782248845279124,0.33927776221311506,0.12405089247827869
Entertainment,200,1474.0133400000002,3477.2690000000057,0.42389971555263567,1566.0410000000002,0.4503652147705563,739.9110000000003,5996.5770000000075,3997.390000000012,0.12338889336366386,0.18509852678872915,0.2127850908284631,0.07850294185529873
Financial Svcs. (Non-bank & Insurance),158,6970.254144,60275.379,0.11564015456460258,10296.356,0.1708219205058835,10100.498,58453.878000000004,11359.965000000084,0.1727943182828691,0.8891310844707642,0.16757253405241965,0.2846234257459714
Food Processing,197,16909.204599999994,25120.633999999984,0.6731201370156503,26299.13399999999,1.0469136248710924,25285.317999999992,7907.975999999977,15363.29399999999,3.1974449593676137,1.6458266046330954,1.0065557262607308,0.030449844820976096
Healthcare Products,182,7867.0786,12157.353000000001,0.6471045629751805,9827.146999999999,0.8083294940929986,6267.024000000001,8790.879,4803.330000000005,0.7129007235795193,1.3047248471372972,0.5154924760348738,0.02122992022766002
Homebuilding,43,2744.5676,4032.929,0.6805395284667793,3550.071,0.8802711379248184,3395.162,1626.5390000000002,2050.6349999999993,2.0873535771352545,1.655663733428914,0.8418600972147042,0.1290679641948767
Hotel/Gaming,106,2854.056429999999,4992.497999999999,0.5716690181948996,4622.2339999999995,0.9258359242207008,1301.8659999999995,8038.235999999999,6233.636999999995,0.16195916616531286,0.20884533379149292,0.26076445098225376,0.07433295034166117
Household Products,28,2232.0890000000004,3718.3379999999997,0.6002921197588816,2236.1310000000003,0.601379164562232,2156.6810000000005,2998.054,960.8109999999997,0.7193602917092222,2.244646449718,0.5800120914236416,0.026464997357944418
Information Services,6,247.8,370.2969999999999,0.6691925670475323,425.70000000000005,1.1496177392741507,425.70000000000005,635.689,103.7889999999993,0.6696670856346422,4.101590727341075,1.1496177392741507,0.0744013020227854
Insurance (General),36,16830.4073,41600.22,0.4045749589785823,25934.858999999997,0.6234308135870434,24518.588999999996,52337.691,54262.29,0.46846906180863035,0.4518531930738639,0.5893860417084331,0.17164938210968203
Insurance (Life),16,6130.4356,6009.640000000001,1.0201003055091484,8930.07,1.4859575615178278,8886.957,27439.031,26864.858999999993,0.3238801326475414,0.3308022945514065,1.4787835877024245,0.18649286987647867
Insurance (Prop/Cas.),19,3864.1738,9532.88,0.40535219157274616,7395.041,0.7757404897575549,6774.55,8764.889,5937.964999999998,0.7729190865965332,1.1408874926005799,0.7106509260580224,0.04750171111748196
Investments & Asset Management,350,8150.141029999996,17984.04400000001,0.453187338175996,11045.201999999997,0.6141667580439634,10357.188999999998,23658.827000000005,23363.892000000003,0.43777271797963596,0.4432989589234532,0.5759099010211493,0.22222263655321528
