Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,89,1010.45214,1395.9199999999998,269.808,-1126.1119999999999,-0.03616245810380939,6085.851999999998,3559.621,-2526.230999999998,-0.08082838640690676,1438.3769999999995
Aerospace/Defense,61,5158.779499999998,4439.354,531.237,-3908.117,-0.055203135240807305,11724.244999999999,7585.137000000001,-4139.107999999998,-0.06606171842140326,959.3669999999996
Air Transport,34,1695.1594999999998,1322.7800000000002,107.05999999999999,-1215.7200000000003,-0.02393136886870877,22704.309999999998,13558.524999999998,-9145.785,-0.06878345855059934,10052.784
Apparel,110,15796.620869999999,4842.125,488.23799999999994,-4353.887,-0.028526570362772445,25659.942000000003,19120.624000000007,-6539.317999999996,-0.045055249111545584,18875.362000000023
Auto & Truck,31,15687.710000000001,4970.389999999999,979.481,-3990.9089999999997,-0.01427850142597933,75507.101,63809.327000000005,-11697.77399999999,-0.03495374627330001,-311.0819999999994
Auto Parts,59,3337.0105999999996,768.8510000000001,78.349,-690.5020000000001,-0.011426450443437663,14462.644,13076.545999999998,-1386.0980000000018,-0.02103878789449988,2939.409999999998
Bank (Money Center),112,58998.678599999985,4982.742,4179.531000000001,-803.2109999999993,-0.0005431689661090736,265333.07699999993,238683.83899999986,-26649.23800000007,-0.003657269218903582,0.3500000000000001
Banks (Regional),72,1907.73095,218.936,446.05,227.114,0.0025265263349938485,6851.432999999999,8047.16,1195.7270000000008,0.005980275090443556,0
Beverage (Alcoholic),55,7230.6195,4445.584,160.30999999999997,-4285.273999999999,-0.029768606777263572,14664.628,23344.081,8679.452999999998,0.04974380811462393,636.3339999999998
Beverage (Soft),15,1676.3893999999998,237.84000000000003,62.24000000000001,-175.60000000000002,-0.012513209773700457,2238.7580000000003,1351.829,-886.9290000000003,-0.04656543255767071,640.9200000000001
Broadcasting,22,1625.85,21.511,28.319,6.808,0.00019034454375464117,2615.707,2463.348,-152.35899999999992,-0.012019504606349957,41.57699999999977
Brokerage & Investment Banking,74,1143.3259100000005,354.867,101.98300000000002,-252.88400000000001,-0.01867641633835625,28607.467999999993,28642.75200000001,35.28400000001784,0.001374324376855365,10.810000000000002
Building Materials,89,5014.242,2744.0799999999995,588.67,-2155.4099999999994,-0.02688554262410833,9813.620999999997,13103.203000000001,3289.582000000004,0.05936358267533951,593.1129999999994
Business & Consumer Services,194,6094.355250000002,3545.0549999999985,1197.4170000000001,-2347.637999999998,-0.03692023946687381,16000.611999999997,15629.462000000001,-371.149999999996,-0.004828559154825815,1056.024000000005
Cable TV,3,239.3,0,79,79,0.012414356653466591,714.7,1183.3999999999999,468.6999999999998,0.054000806498070146,-9.999999999999996
Chemical (Basic),61,399.102,89.21700000000001,87.227,-1.990000000000009,-0.0001658703915433114,3382.6699999999996,3427.3190000000004,44.6490000000008,0.0051869655432559975,35.330999999999904
Chemical (Diversified),7,3904.0248,645.0500000000001,30.7,-614.35,-0.009312326345993813,14244.13,11968.599999999999,-2275.5300000000007,-0.07380626149082338,-65.20000000000005
Chemical (Specialty),102,13696.532,4491.214999999999,1183.6250000000007,-3307.5899999999983,-0.01901572491257271,28272.793999999994,28994.206999999995,721.4130000000005,0.006471454028243384,104.89699999999812
Coal & Related Energy,16,57.412000000000006,2.9709999999999996,43.513000000000005,40.54200000000001,0.025218646197484484,36.449,23.128999999999994,-13.320000000000004,-0.05287224921406119,36.630000000000024
Computer Services,226,5157.573999999998,5062.671999999999,2355.9600000000005,-2706.711999999998,-0.041544542084079934,13743.676999999998,12321.989000000001,-1421.6879999999965,-0.04257562260448324,1295.2149999999929
Computers/Peripherals,43,1108.0315500000002,437.279,275.64,-161.639,-0.0262246861422346,3116.5070000000005,2746.4919999999997,-370.0150000000008,-0.04929675041001254,83.62300000000005
Construction Supplies,123,8056.4761,4266.503999999999,410.26099999999997,-3856.242999999999,-0.02158291311430162,49476.08799999999,54170.78299999999,4694.695,0.029452265816847192,707.7049999999945
Diversified,70,7993.439699999999,2096.2990000000004,120.245,-1976.0540000000005,-0.008765565212264185,29783.608999999997,31954.935999999998,2171.327000000001,0.013313504288546907,585.2489999999993
Drugs (Biotechnology),233,73.19594,283.444,5099.279000000004,4815.835000000004,0.1450914915145084,3929.5239999999985,5104.794,1175.2700000000013,0.05758554449813242,-1794.7959999999998
Drugs (Pharmaceutical),131,33135.99,16068.001,1188.2700000000002,-14879.731,-0.04621776712165648,32438.222999999998,28318.747000000007,-4119.4759999999915,-0.017682720094573005,1284.749999999999
Education,21,263.488,318.55499999999995,64.489,-254.06599999999995,-0.04103052233143984,506.175,422.4270000000001,-83.74799999999993,-0.02752169665206583,-12.778999999999968
Electrical Equipment,157,6498.8911800000005,1845.592,3620.1730000000002,1774.5810000000001,0.016503095242311118,10160.576000000005,17255.521999999997,7094.945999999993,0.10348061559227147,1480.6479999999983
Electronics (Consumer & Office),21,758.9560000000001,199.26899999999998,437.22499999999997,237.956,0.027827309672783882,1446.9930000000002,1354.0060000000003,-92.98699999999985,-0.024095414597539916,37.71500000000003
Electronics (General),151,1956.26578,1250.6019999999999,427.398,-823.2039999999998,-0.021447571143412874,5467.139000000004,6092.588999999997,625.4499999999935,0.0352219475447801,67.08799999999928
Engineering/Construction,162,7347.24083,1701.8169999999998,2222.3900000000012,520.5730000000015,0.005008497473079099,35098.58399999998,32887.668000000005,-2210.9159999999756,-0.014579915603019267,4920.593000000008
Entertainment,200,1474.0133400000002,205.10100000000003,826.1299999999999,621.0289999999999,0.01528162021902633,16011.472,14012.285000000005,-1999.1869999999944,-0.07136607522016086,858.9810000000007
Environmental & Waste Services,52,474.26499999999993,312.365,106.31099999999999,-206.05400000000003,-0.02361318897919777,3233.0289999999995,2514.925,-718.1039999999994,-0.04987712417646938,1628.2490000000016
Farming/Agriculture,50,1206.29262,293.652,65.17,-228.48199999999997,-0.012736997901156457,10968.607000000004,13852.617,2884.0099999999966,0.0950031669808611,125.03799999999978
Financial Svcs. (Non-bank & Insurance),143,6955.54928,5504.035,166.08700000000005,-5337.947999999999,-0.017867744551813693,176709.39899999995,129698.716,-47010.682999999946,-0.030178538292798596,-156.0129999999997
Food Processing,169,14492.084399999994,8978.869,961.1480000000003,-8017.7210000000005,-0.04981568672897478,20206.191,26577.164000000004,6370.973000000005,0.04511098510601874,851.7309999999989
Food Wholesalers,14,321.3612,5.619999999999999,23.41,17.79,0.005743656633293836,7766.026,6064.094,-1701.9319999999998,-0.17915356558261447,140.9479999999994
