Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,89,0.36748569348028204,0.15749297935046896,0.05787641673488283
Aerospace/Defense,61,0.1422896133760724,0.11653160668421148,0.016581237261188986
Air Transport,34,0.14384837044740345,0.11242934095613298,0.016172777487015247
Apparel,110,0.3559103880795961,0.5522725768740961,0.19655954716097812
Auto & Truck,31,0.12430080588676344,0.42810231047928266,0.053213462194560246
Auto Parts,59,0.09288077409127149,0.8718000007781788,0.08097345892504833
Banks (Regional),72,2.806938756766444e-06,1149.8288982874033,0.0032274992982529735
Beverage (Alcoholic),55,0.10664247832164638,0.2725324119708748,0.029063531835550015
Beverage (Soft),15,0.1580449419065603,0.33544670178203667,0.05301565449588924
Broadcasting,22,0.11150045637594096,-0.04328668448851089,-0.004826485075470329
Brokerage & Investment Banking,74,0.011552868206791262,1.892566684166849,0.02186457347474355
Building Materials,89,0.24518039765647934,0.9803176593282926,0.24035467354377982
Business & Consumer Services,194,0.2550136575637335,0.23545005725487564,0.060042980274156305
Cable TV,3,0.10211764063109656,0.23237299386724755,0.023729381880107592
Chemical (Basic),61,0.04914523589438025,2.3658173965548466,0.11626865403671649
Chemical (Diversified),7,0.06206756589438917,0.3215443292250163,0.019957473842140864
Chemical (Specialty),102,0.1229978240943353,0.288239047149214,0.03545277561837784
Computer Services,226,0.45946444164693556,0.3141168310906916,0.14432551440898939
Computers/Peripherals,43,0.03781868209944789,-3.0696258991542322,-0.11608920604434579
Construction Supplies,54,0.13215250580493956,0.7482338893449857,0.09888098340511572
Diversified,70,0.12813780254744966,0.43101451807280033,0.055229253211896666
Drugs (Pharmaceutical),131,0.1674482070071209,0.06870642950149232,0.011504768429886044
Education,21,0.11953355002394311,0.38138798444297484,0.045588659716945173
Electrical Equipment,157,0.17020791542664096,0.9310641601552287,0.15847448982847767
Electronics (Consumer & Office),21,0.12775566520362303,0.08202355684712737,0.010478974067371945
Electronics (General),151,0.12395944412639137,0.5966314227535473,0.07395809951286773
Engineering/Construction,231,0.13233060185065182,0.7018385068874142,0.09287471201837437
Entertainment,200,0.058413601296601676,-4.824659658814719,-0.28182574570180124
Environmental & Waste Services,52,0.1261071737836684,1.891928590980562,0.23858576760907663
Farming/Agriculture,50,0.1224819129153687,1.1356497909997996,0.13909655880359412
Financial Svcs. (Non-bank & Insurance),158,0.009054086107497819,-12.65841678108797,-0.11461039552056586
Food Processing,197,0.14960426813286667,0.6222088786028444,0.09308510390915022
Food Wholesalers,14,0.106262654808176,0.8039061255648614,0.08542519911907706
Furn/Home Furnishings,52,0.09722482291361761,1.279304532110736,0.12438015658705474
Green & Renewable Energy,66,0.06944218837057788,2.3812505072633448,0.16535924628291532
Healthcare Products,182,0.10554181284539528,0.5555579180623583,0.05863458981291487
Healthcare Support Services,45,0.14465151757557773,0.12174837133051311,0.01761108667531368
Heathcare Information and Technology,95,0.12675624225251284,1.5435553009070486,0.1956552696519242
