Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,89,0.11317961278612022,0.7133025030260005,0.08073130109185309
Aerospace/Defense,61,0.20830393868510866,0.6501791662380463,0.13543488117838506
Air Transport,34,0.3311675705660618,0.8992380078654721,0.2977984664254736
Apparel,110,0.2702559549074027,0.6170330193245505,0.16675684784695424
Auto & Truck,31,0.20479915489952027,0.7259421815709586,0.1486723452916464
Auto Parts,59,0.09953256768890487,0.4451970292448567,0.04431160344821306
Bank (Money Center),112,0.1506152967865152,0.7351021069552341,0.11071762200745523
Banks (Regional),72,0.07332326196605254,0.7105621848051027,0.052100737219635186
Beverage (Alcoholic),55,0.14082640565702131,0.6433261031254682,0.09059730276849792
Beverage (Soft),15,0.22426686201335835,0.46733518155170906,0.1048077946750449
Broadcasting,22,-0.012071612940744917,0.9930981973077102,-0.011988297050050204
Brokerage & Investment Banking,74,0.207366683936121,0.592804230637181,0.1229278475305357
Building Materials,89,0.16354723763806828,0.6175708485597211,0.10100200632774019
Business & Consumer Services,194,0.16236650186346221,0.40971097185897654,0.06652333727582142
Cable TV,3,0.04255452888302219,0.11632200886262922,0.004950028285875919
Chemical (Basic),61,0.06382742677759927,0.47881445574189263,0.030561494613921696
Chemical (Diversified),7,-0.006751986078879278,0.9972945831399579,-0.006733719141902708
Chemical (Specialty),102,0.10978453473139,0.2827498186520957,0.031041557286105224
Coal & Related Energy,16,0.0024943705602070093,0.9969926716641225,0.0024868691689411203
Computer Services,226,0.18183345518163901,0.564644931780017,0.10267133889636133
Computers/Peripherals,43,-0.06302838267122245,0.9911007164934434,-0.062467475224871505
Construction Supplies,123,0.14754177267429278,0.6943842053920247,0.10245067658056954
Diversified,70,0.18715214582159032,0.8105389199274101,0.15169409813632898
Drugs (Biotechnology),233,-0.17516032315537092,0.9980201829535619,-0.1748135377617283
Drugs (Pharmaceutical),131,0.17272432583955835,0.40411792117151724,0.0698009954940341
Education,21,0.06793599996899287,0.3736438236328887,0.025383866790738306
Electrical Equipment,157,0.07409670578845434,0.18433853818317192,0.013658878429232246
Electronics (Consumer & Office),21,0.13056508771667213,0.3202267117128411,0.04181042870400858
Electronics (General),151,0.12868034637450662,0.6039169278009908,0.07771223945085941
Engineering/Construction,162,0.1492632653029416,0.5264158519088321,0.07857454896314202
Entertainment,200,0.08556493216483217,0.5761002844473644,0.04929398175887925
Environmental & Waste Services,52,0.06124057080811003,0.11252640817067394,0.0068911814673584485
Farming/Agriculture,50,0.20017292463953137,0.6640594554070522,0.1329267233233641
Financial Svcs. (Non-bank & Insurance),143,0.2024107812195776,0.8849747496930698,0.1791284304449744
Food Processing,169,0.1352372779244658,0.3341910696025856,0.04519509055971936
Food Wholesalers,14,-0.26993249024159516,0.9959990552938818,-0.26885250527375376
Furn/Home Furnishings,52,0.059769957366573874,0.35260849577949693,0.021075394759832274
Green & Renewable Energy,66,0.07716887402372646,0.6262159154007234,0.048324377087210976
Healthcare Products,182,0.06506707639020116,0.3528954370248195,0.022961874358647355
Healthcare Support Services,45,0.03567645222217388,-0.15902831066501588,-0.005673565927413464
Heathcare Information and Technology,95,0.07904200190605616,0.681406703761676,0.05385974997752984
Homebuilding,43,0.10531472971894548,0.31946047153322066,0.03364389321540801
Hospitals/Healthcare Facilities,29,-0.29080286457323634,0.9806443786457131,-0.2851741944378148
Hotel/Gaming,106,0.0987503609062583,0.42833098180510043,0.04229783904058562
Household Products,70,0.1966143607068829,0.48936577631468536,0.09621633926193932
Information Services,6,0.08778554833815368,0.33080743295246773,0.029040111896069386
Insurance (General),36,0.16714965025928755,0.5954250410214177,0.09952508736235191
Insurance (Life),16,0.05015121371538442,-0.02010030550914843,-0.0010080547173338217
Insurance (Prop/Cas.),19,0.1281264910533439,0.5946478084272538,0.07619013710634509
Investments & Asset Management,350,0.12017777981637583,0.546812661824004,0.06571473167349152
Machinery,219,0.1869206071324343,0.6120145652122229,0.1143981341033615
Metals & Mining,120,0.13905837086811226,0.2653177402047444,0.03689465271528081
Office Equipment & Services,22,0.10688588526240267,0.5416464554073723,0.0578943608854595
Oil/Gas (Integrated),12,0.20327921983790714,0.6475464169685694,0.1316327304502029
Oil/Gas (Production and Exploration),91,0.02089409002547315,-4.34021824992022,-0.09068491084403459
Oil/Gas Distribution,29,0.28066218954228717,0.5104612728328232,0.14326717850980297
Oilfield Svcs/Equip.,67,0.21645459560963537,0.6679621757861021,0.1445834826423129
Packaging & Container,44,0.13824482388892348,0.3266798828317702,0.045161802870132224
Paper/Forest Products,38,0.08895414731549182,0.4225328861795915,0.03758605260285932
Power,73,0.3835439893289364,0.4584971657869312,0.17585383206193034
Precious Metals,46,0.0032685810389441092,0.996594776570374,0.0032574507902086653
Publishing & Newspapers,72,0.16379536973882236,0.7126428468005879,0.11672759858342922
R.E.I.T.,142,-0.058285080441927185,0.990474885797992,-0.057729908394444605
Real Estate (Development),66,0.025494396688857904,-0.974645654138846,-0.02484800293768714
Real Estate (General/Diversified),48,0.006943781648263872,-3.180246905784289,-0.022082940101332906
Real Estate (Operations & Services),237,-0.09807585704594803,0.9886076246170561,-0.09695854006647664
Recreation,60,0.1386235930806118,0.3830023047447768,0.053093155641876416
Reinsurance,4,0.23217607473985513,0.7354610825095016,0.17075646726098082
Restaurant/Dining,43,-0.0741410687093218,0.9965875530363488,-0.07388806624452282
Retail (Automotive),28,0.05767734494282702,0.006832381280204025,0.00039407361187924166
Retail (Building Supply),29,0.05387340298378058,0.18821119426147548,0.01013957751450708
Retail (Distributors),116,0.18865062460166085,0.6869707196862627,0.12959745535186593
Retail (General),32,0.2381915912079783,0.9265718812562422,0.22070163076499427
Retail (Grocery and Food),32,0.05002810728787756,-0.24894303774253856,-0.012454149000753872
Retail (REITs),33,0.0021032480816423104,0.9886781188285222,0.0020794353567878173
Retail (Special Lines),111,0.11198972157297436,0.696727518971336,0.07802632086182913
Rubber& Tires,8,0.11518181121017769,0.5370412550679641,0.06185738445331512
Semiconductor,40,0.24336302518716021,0.8056939890733027,0.19607612655598974
Semiconductor Equip,22,0.6103817500875819,0.7042551897765996,0.42986451524410296
Shipbuilding & Marine,62,0.20860561648537224,-0.10807240373804361,-0.022544510406830635
Shoe,10,0.130723008544058,0.7230913967402517,0.09452468283421075
Software (Entertainment),56,-0.07651168059901806,0.9978145729580838,-0.07634446990321452
Software (Internet),28,0.327709550349403,0.7838578105927536,0.2568776906472188
Software (System & Application),339,0.09083725550666415,0.40998865001452345,0.03724224375620157
Steel,59,0.029976051539276957,0.35148248798252324,0.01053605717491741
Telecom (Wireless),12,0.17805503721829263,0.7313881206977797,0.13022733905186026
Telecom. Equipment,54,0.057387679789671076,0.24744652874509065,0.014200382156688902
Telecom. Services,64,0.15798807427540237,0.5466148433762361,0.08635862647536223
Tobacco,6,0.1449128846404985,0.4263052518096411,0.061777123777129184
Transportation,59,0.13057096427642642,0.5236263279793695,0.06837039456479059
Transportation (Railroads),7,0.049529389469694575,0.42708765105378943,0.02115339060674015
Trucking,6,0.18266306846236358,0.7354998671743558,0.13434866259172867
Utility (General),16,0.09069184562176492,0.05703669394266886,0.0051727630418243785
Utility (Water),12,0.1393761995325871,0.5552883299682556,0.07739397707577265
Total Market,6971,0.1393761995325871,0.5552883299682556,0.07739397707577265
Total Market (without financials),6149,0.13568033193369816,0.48459401552939185,0.06574987688011157
