Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,89,39638.548,2578.095000000001,0.34615490685131495,98.257,0.0024788244009341614
Aerospace/Defense,61,31976.076,3064.3309999999983,0.07724011315736642,378.54499999999996,0.01183838192028315
Air Transport,34,1251.5499999999997,80.86699999999996,0.004614819042899325,176.11999999999998,0.14072150533338662
Apparel,110,64195.61800000001,2716.1359999999913,0.12860612912540081,216.789,0.0033770062000182
Auto & Truck,31,18604.239999999994,633.7649999999921,0.01936410891497949,0,0
Auto Parts,59,25711.855000000003,4742.957000000002,0.11060367003647134,939.2610000000001,0.036530269791891716
Bank (Money Center),112,54183.465,5317.922999999988,0.0018517791390495356,281.93399999999997,0.005203321714475071
Banks (Regional),72,238.32999999999998,43.14999999999998,0.000232624034836701,0.281,0.0011790374690555114
Beverage (Alcoholic),55,14048.017,1425.2610000000004,0.05381981746108459,81.05,0.005769497573928049
Beverage (Soft),15,5292.998,27.46100000000024,0.10365633007885366,15,0.002833932678606718
Broadcasting,22,17738.925,-84.59200000000055,0.25985273630966244,184.8,0.010417767705765711
Brokerage & Investment Banking,74,2730.2169999999996,-65.77400000000034,0.024726411997076793,0.163,5.970221414634809e-05
Building Materials,89,58115.52099999999,7630.294999999991,0.28520084186862954,500.478,0.008611778598698274
Business & Consumer Services,194,65316.46199999999,3241.5669999999955,0.300385213856286,281.326,0.004307122452529655
Cable TV,3,4912.5,509.3000000000002,0.2640263139508011,0,0
Chemical (Basic),61,735.9979999999999,-13.878000000000156,0.027224007734006524,0,0
Chemical (Diversified),7,4269.900000000001,167.60000000000036,0.033455536394129556,0,0
Chemical (Specialty),102,57401.32699999998,3604.3599999999788,0.1455627468849727,371.683,0.006475163892988051
Coal & Related Energy,16,15,-0.16000000000000014,0.005503274448296737,0,0
Computer Services,226,52671.82100000001,5553.873000000029,0.28372233047444273,164.93099999999998,0.0031312948151156566
Computers/Peripherals,43,3342.1639999999998,33.87300000000005,0.17185483041609245,164.8,0.04930936961800798
Construction Supplies,54,28733.375999999997,343.67999999999665,0.14956358123182498,126.649,0.004407731273902518
Diversified,70,56164.25399999998,-3385.4450000000215,0.09494110750150357,209.9,0.0037372525236425303
Drugs (Biotechnology),233,2470.1689999999994,-8757.118000000002,0.034695113739656544,52.381,0.02120543169313517
Drugs (Pharmaceutical),131,143206.849,-2301.4670000000333,0.20180417294836675,876.751,0.006122270031931224
Education,21,3252.6120000000005,83.1530000000007,0.2840485900671563,25.4,0.007809108494957282
Electrical Equipment,157,80341.42000000003,1358.7500000000146,0.26227888186018505,125.715,0.001564759497653887
Electronics (Consumer & Office),21,2615.268,99.45900000000029,0.142019881614801,0,0
Electronics (General),151,10740.814999999999,633.5200000000004,0.13556138702954176,49.749,0.004631771425166527
Engineering/Construction,231,73936.82100000004,10266.905000000057,0.08538083794220781,352.40999999999997,0.0047663666794654285
Entertainment,200,24063.07,-623.2389999999978,0.18086086484718694,103.11800000000001,0.004285321864583364
Environmental & Waste Services,52,4803.909,50.58400000000074,0.1309064407243373,165.684,0.03448941268454503
Farming/Agriculture,50,5351.062000000001,372.95799999999963,0.07753352079681107,5.13,0.0009586882005852295
Financial Svcs. (Non-bank & Insurance),158,58241.84200000002,2472.580000000009,0.008928394948991442,-28831.182999999997,-0.49502526036178573
Food Processing,197,73202.27000000002,697.7860000000073,0.150279916097383,879.7649999999999,0.012018274843116199
Food Wholesalers,14,1340.8370000000002,-8137.719,0.03237891265589831,0.034,2.53572954803604e-05
