Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_Growth_in_Revenues_Next_2_years,Expected_Growth_in_Revenues_Next_5_years,Expected_Growth_in_EPS_Next_5_years
Advertising,89,0.08126551724137931,0.14622423728813558,0.15124913043478255,0.20739776992595552,0.19125833333333334
Aerospace/Defense,61,0.07695217391304345,0.06770731707317074,0.21732170731707318,0.06389123320517492,0.29855
Air Transport,34,0.1351325,0.08964781249999998,0.17889583333333337,0.2106670645625236,0.25871818181818185
Apparel,110,0.27312551020408166,0.12200952380952376,0.12318749999999994,0.14385772588308018,0.1601
Auto & Truck,31,0.24843846153846147,0.1133263157894737,0.190164375,0.0044096879571659834,0.0815125
Auto Parts,59,0.004636666666666665,0.08087744680851064,0.11078769230769232,0.10966547784679237,0.4591
Bank (Money Center),112,0.21809505050505046,0.14258981132075468,0.11394365591397855,0.0911044702715446,0.19566636363636358
Beverage (Alcoholic),55,0.08625400000000003,0.08022617021276598,0.11342275862068965,0.12138864255012095,0.11612857142857144
Beverage (Soft),15,0.22340833333333332,0.1567392857142857,0.16611428571428571,0.02842401726148418,0.20845
Broadcasting,22,0.04335,0.02471888888888889,0.048552727272727275,-0.004392131621509824,0.02924285714285715
Brokerage & Investment Banking,74,0.3279710526315789,0.18503319999999998,0.10787952380952384,0.2035928767896397,0.0388
Building Materials,89,0.13266452830188677,0.12138376811594204,0.044362708333333334,0.05205963822224527,0.10023052631578949
Business & Consumer Services,194,0.07599199999999995,0.08798153846153854,0.10248171171171176,0.14294512611334037,0.14398333333333332
Cable TV,3,-0.08375,-0.002633333333333332,0.1019,-0.02299667675544792,0.10450000000000001
Chemical (Basic),61,0.24543846153846158,0.19103225,1.0724931818181818,0.17783350942870366,-0.11833333333333333
Chemical (Diversified),7,0.25056,0.16312571428571432,-0.10118,0.1971729075548517,-0.13326666666666667
Chemical (Specialty),102,0.29769743589743586,0.18338607594936715,0.3046136923076922,0.00884713541706297,0.073101
Computer Services,226,0.14251056603773574,0.1387335849056603,0.08818452830188679,0.17821166766705449,0.14193333333333333
Computers/Peripherals,43,-0.03319230769230768,0.06564592592592591,0.170407,0.19050540401543162,0.15602500000000002
Construction Supplies,54,0.36697878787878785,0.2679508695652174,0.2600465384615384,-0.023668062995148384,0.03833000000000002
Diversified,70,0.2659988571428572,0.1290279591836735,0.0626346153846154,0.06844688102010182,0.08855555555555555
Drugs (Biotechnology),233,0.09134666666666663,0.18263761061946898,1.5577413265306124,-0.09761840238085974,0.05238181818181819
Drugs (Pharmaceutical),131,0.07124333333333334,0.34216072463768116,0.30278746031746023,-0.057915839706538574,0.17042857142857143
Education,21,0.015560000000000003,0.0699,0.172462,0.020650275311208062,0.111
Electrical Equipment,157,0.1945425,0.20987168421052632,0.701728266666666,0.08624825614366897,0.20761666666666662
Electronics (Consumer & Office),21,0.0835090909090909,0.07204941176470588,0.061821428571428576,0.4539163669998735,0.18067499999999997
Electronics (General),151,0.07406092592592593,0.10733322033898311,0.17854692307692308,0.10498845020439364,0.21128695652173915
Engineering/Construction,231,0.14485395833333337,0.13554987730061352,0.10312848000000002,0.25941983657737794,0.1804
Entertainment,200,0.10819428571428573,0.21014290909090907,0.1768955737704918,0.15808153698719724,1.0876750000000002
Environmental & Waste Services,52,0.21083333333333332,0.12627666666666665,0.2612499999999999,0.14504644288200289,0.1225
Farming/Agriculture,50,0.21067826086956523,0.14588150000000005,0.05890684210526318,0.10903309146136514,0.08025
Financial Svcs. (Non-bank & Insurance),158,0.23121958904109585,0.18929575471698123,0.123896,0.08223581839961529,0.15845652173913044
Food Processing,197,0.16506191011235954,0.17094562962962956,0.14742686046511638,0.13227670129014538,0.14706611111111112
Food Wholesalers,14,0.13607142857142857,0.10107272727272727,0.13984285714285716,0.11020755697391164,-0.16
Furn/Home Furnishings,52,0.23909090909090913,0.1824817948717948,0.08606249999999999,0.18690274176994898,0.060862499999999986
Green & Renewable Energy,66,0.3452928571428571,0.24310161290322577,0.27416416666666665,0.10005046274721484,-0.20744999999999997
Healthcare Products,182,0.05627974358974361,0.20296456000000002,0.6319884210526315,0.03265181067347655,0.1365869565217391
Healthcare Support Services,45,0.15344421052631582,0.13222838709677423,1.1738544827586208,0.41005738839912775,0.13832307692307694
Heathcare Information and Technology,95,0.21433214285714278,0.18197499999999994,0.18393620689655174,0.1063983635236069,0.17066
Homebuilding,43,0.0476248,0.0883742105263158,0.002117241379310349,0.2813675402599388,-0.05174000000000001
Hospitals/Healthcare Facilities,29,0.18701374999999998,0.13239130434782606,0.11818333333333335,0.2530487218854951,0.32225
Hotel/Gaming,106,0.19672534883720935,0.13188212500000007,0.15198913043478263,0.14110235158717527,0.23606874999999997
Household Products,28,-0.0028454545454545416,0.08093200000000002,0.015933333333333334,0.10389721432117163,0.062020000000000006
Information Services,6,0.15,0.005795000000000003,0.025599999999999994,-0.011750043776583596,0.08529999999999999
Insurance (General),36,0.19593107142857139,0.07854999999999998,0.2426441666666667,0.07733692330230652,0.103175
Insurance (Life),16,0.060490833333333355,0.17317777777777776,0.06908666666666667,0.1163918519669532,0.08933333333333332
Insurance (Prop/Cas.),19,0.15660142857142859,0.13117125,0.17539999999999997,0.04992470600602849,0.17688571428571429
Investments & Asset Management,350,0.21050571428571424,0.14550551724137925,0.08325589743589742,-0.03386889229592658,0.10661470588235294
Machinery,219,0.09140509090909094,0.08773502890173406,0.2155653658536585,0.2127151610617136,0.17810048387096772
Metals & Mining,120,0.020789655172413796,0.1524506818181818,0.059816785714285683,0.21265338632068598,0.08527416666666669
Office Equipment & Services,22,0.09091666666666667,0.07550000000000003,-0.01068875,0.13007584625743593,0.1485
Oil/Gas (Integrated),12,0.11911,0.07986363636363636,-0.11111,0.31199426376767253,-0.06827625000000001
Oil/Gas (Production and Exploration),91,0.17014846153846158,0.28051551020408166,0.0875746875,0.21091428086142316,0.0712
Oil/Gas Distribution,29,0.044885714285714286,0.2725409090909092,0.18542470588235296,0.24007782531831107,0.18
Oilfield Svcs/Equip.,67,0.23526086956521744,0.08533207547169816,0.18389189189189192,0.14336158654969788,0.2934923076923077
Packaging & Container,16,0.22833333333333336,0.1354363636363636,0.04513636363636364,0.07413994572035056,0.21908
Paper/Forest Products,38,0.11664520000000003,0.08885656249999999,-0.048598571428571415,0.06354107029623104,0.09758750000000001
Power,73,0.1708762162162162,0.22590660377358496,0.08222255813953488,0.12131794323828633,0.010327777777777776
Precious Metals,46,0.14253999999999997,0.4520333333333333,0.177654375,0.06875741781158584,0.21108
Publishing & Newspapers,58,0.11760999999999998,0.030402941176470574,0.041211304347826085,0.10437459776651495,0.291
R.E.I.T.,141,0.3496680487804877,0.13568388888888885,0.09507464285714284,-0.03139544641282306,0.05915405405405405
Real Estate (Development),66,0.11710476190476193,0.1290520454545454,0.324342105263158,0.13445330211334255,-0.03556666666666667
Real Estate (General/Diversified),48,-0.006875000000000003,0.2128953846153847,0.06735200000000002,0.06071433871285173,0.1891428571428572
Real Estate (Operations & Services),237,0.005966973684210529,0.06754113636363634,0.09112134831460673,-0.009548776382798402,0.028658750000000004
Recreation,60,0.03317269230769232,0.11277414634146343,0.09965214285714284,0.2821605650607397,0.16240000000000002
Reinsurance,4,0.21689999999999998,0.069925,-0.005970000000000005,0.05968552861258314,0.22475
Restaurant/Dining,43,0.0004785714285714247,0.13620827586206896,0.08573320000000001,0.17100576569863732,0.06832857142857142
Retail (Automotive),28,0.16762,0.1673529411764706,0.1453,0.1847137772960165,0.05825
Retail (Building Supply),29,0.161999375,0.0736452380952381,0.024771250000000005,0.20667117594848883,0.020266666666666665
Retail (Distributors),116,0.17477655737704925,0.07666235955056179,0.04606423076923078,0.3769957412627022,0.06554347826086956
