Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,89,0.08148116279069767,0.2844601666666666,0.2918198529411764,0.22765317460317466
Aerospace/Defense,61,0.07018911764705882,0.24687047619047625,0.2888075925925926,0.15387288888888892
Air Transport,34,0.049418125,0.3529300000000001,0.20207645161290322,0.1009522727272727
Apparel,110,0.10465947368421052,0.38143206349206343,0.1831339473684211,0.3088234285714286
Auto & Truck,31,0.07902375,0.40885636363636363,0.13539500000000004,0.15955105263157895
Auto Parts,59,0.052555862068965516,0.33124215686274516,0.2992410714285715,0.15488051282051285
Bank (Money Center),112,0.013306808510638295,0.2822099019607844,0.28396018018018027,0.03282597014925373
Banks (Regional),72,0.0027522580645161295,0.1614669230769231,0.1682872131147541,0.0518465909090909
Beverage (Alcoholic),55,0.04918411764705882,0.3785694594594595,0.19023636363636365,0.16909454545454544
Beverage (Soft),15,0.009228333333333333,0.3917315384615385,0.2960558333333333,0.11176599999999999
Broadcasting,22,0.10278875000000001,0.44383937500000004,0.22968105263157892,0.12558066666666665
Brokerage & Investment Banking,74,0.11192870967741936,0.3027457777777778,0.2122024561403509,0.30927040816326534
Building Materials,89,0.05408952380952379,0.2810041818181819,0.29036383561643836,0.22680848484848481
Business & Consumer Services,194,0.08129449541284403,0.21687156716417902,0.3659411428571429,0.23283198757763984
Cable TV,3,0,0.39725,0.12869999999999998,0.00901
Chemical (Basic),61,0.05337,0.4311209677419355,0.1674770454545455,0.2374093333333333
Chemical (Diversified),7,0.270635,0.2147571428571428,0.24326714285714285,0.185875
Chemical (Specialty),102,0.04975893617021276,0.2540571764705882,0.27241462365591385,0.14910697368421055
Coal & Related Energy,16,0.05594428571428571,0.3414785714285714,0.27055466666666667,0.07870615384615384
Computer Services,226,0.14384883928571424,0.3030332608695652,0.22994689440993796,0.277079358974359
Computers/Peripherals,43,0.11663850000000002,0.26100869565217394,0.24044624999999997,0.27095344827586193
Construction Supplies,123,0.06271510204081636,0.4095331460674158,0.2295327083333333,0.2015839024390245
Diversified,70,0.0396662962962963,0.34329444444444457,0.17608551724137933,0.20467312499999998
Drugs (Biotechnology),233,0.04146420000000001,0.14064621301775146,0.19912097087378647,0.13219108910891098
Drugs (Pharmaceutical),131,0.05734142857142856,0.21252375,0.2403972321428571,0.15157632075471694
Education,21,0.09588727272727271,0.31724416666666666,0.24158187499999997,0.2501673333333333
Electrical Equipment,157,0.06234182926829269,0.25058209090909106,0.2311558333333333,0.19728877049180316
Electronics (Consumer & Office),21,0.05772214285714286,0.3366238888888889,0.2073852631578947,0.16886062500000001
Electronics (General),151,0.07542955555555557,0.21392647058823525,0.24261731707317075,0.21986882352941173
Engineering/Construction,162,0.07345407894736844,0.3281004347826086,0.22151165354330718,0.23374099999999998
Entertainment,200,0.1437580392156862,0.31236347222222216,0.16350924999999997,0.2672234523809524
Environmental & Waste Services,52,0.09194655172413793,0.2655318421052631,0.24963630434782608,0.274347894736842
Farming/Agriculture,50,0.10295809523809524,0.3892328125000001,0.1721972222222222,0.27429611111111113
Financial Svcs. (Non-bank & Insurance),143,0.09591291666666668,0.2717429032258064,0.2892209174311926,0.20997737373737368
Food Processing,169,0.07241347826086955,0.42480833333333307,0.20458536585365855,0.193246218487395
Food Wholesalers,14,0.07379333333333332,0.43925384615384616,0.25253899999999996,0.29800875
Furn/Home Furnishings,52,0.07483136363636361,0.3231751515151516,0.1959460869565217,0.24783243243243241
Green & Renewable Energy,66,0.088918,0.41686957446808504,0.2227754716981132,0.18362511627906972
Healthcare Products,182,0.03326913043478259,0.18114462686567176,0.2498530065359477,0.14805044025157232
Healthcare Support Services,45,0.09907217391304346,0.28654432432432436,0.2446243243243243,0.18942903225806457
Heathcare Information and Technology,95,0.06137237288135591,0.2313279687499999,0.3327018518518519,0.17893946666666666
Homebuilding,43,0.10146000000000001,0.2021325806451613,0.4044514285714284,0.23018
Hospitals/Healthcare Facilities,29,0.025995,0.5344390909090908,0.21114999999999998,0.16214764705882348
Hotel/Gaming,106,0.04680319999999999,0.3052514084507043,0.24279986666666672,0.19507063291139243
Household Products,70,0.06896515151515152,0.2525326,0.2851018518518518,0.21293357142857144
Information Services,6,0.007859999999999999,0.20097,0.341775,0.024756666666666666
Insurance (General),36,0.06633444444444446,0.34247241379310345,0.3115078787878789,0.11492826086956522
Insurance (Life),16,0.0006318181818181817,0.2642049999999999,0.42184375,0.042485833333333334
Insurance (Prop/Cas.),19,0.02148545454545455,0.2437288888888889,0.45267647058823535,0.07799142857142857
Investments & Asset Management,350,0.09562008771929822,0.23137257425742588,0.28014020661157035,0.21717724576271183
Machinery,219,0.03687225490196078,0.3045759333333333,0.2626531460674158,0.13052562499999998
Metals & Mining,120,0.03958342465753425,0.2322429347826087,0.25761038834951455,0.15752326732673264
Office Equipment & Services,22,0.04791500000000001,0.4261857142857143,0.1766742857142857,0.2465507142857143
Oil/Gas (Integrated),12,0.0004687500000000001,0.1909963636363636,0.4234318181818182,0.004104444444444444
Oil/Gas (Production and Exploration),91,0.03184573770491803,0.18017644736842112,0.3231873493975905,0.1434251851851852
Oil/Gas Distribution,29,0.05244357142857145,0.3768786956521739,0.2506668,0.11614391304347828
