Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,89,0.012682171938875657,31254.255,31944.59404212958,0.02161051228947029,0.31203716213072663,0.31674630205306464,0.4833216424079965,0.4887791964597021,5749.342999999999,5761.218191574083,0.39655561807223205,0.37659647660535567,0.09828613162334897,0.09848914032227385,690.3390421295808,0
Aerospace/Defense,61,0.0009565120595791568,62655.16700000001,62706.34440562421,0.000816143982069048,0.13288832811976128,0.13298243819186154,0.42906559056257915,0.4292656131776967,18014.945999999993,18028.26251887515,0.2161083367423353,0.21611602716200853,0.07664172849802202,0.07669838151403266,51.17740562419931,0
Air Transport,34,0.022391497116546477,132964.88999999998,133002.9454823832,0.0002861251098250818,0.47544723226043345,0.4755020775244958,0.6562106858841841,0.6562602955193798,21317.819999999996,21325.99890352336,0.1440304413596318,0.14404181268986896,0.11093474683788027,0.11097730862852188,38.055482383206254,8.85
Apparel,110,0.04481676310823825,145139.98100000006,148808.01267489017,0.02464942316583368,0.12270991731640124,0.12415258489814002,0.399653249857397,0.402856715409983,75219.07800000002,75617.54466502198,0.3676202081686182,0.36200528496933004,0.23053076620499519,0.23175198332220928,3668.0316748901096,1697
Auto & Truck,31,0.0007105133459189425,334664.385,334733.05152903567,0.0002051381801767043,0.5130692192381848,0.5131204738644334,0.49963130019166857,0.49968258997345183,74359.4,74389.22569419288,0.14174953438654966,0.14178585347101022,0.11267003630574236,0.11271522846769574,68.66652903566137,0
Auto Parts,59,0.009399584044949581,65882.97799999999,66747.00598074558,0.012944820041738508,0.383080376900242,0.3826228554953794,0.47263578286320956,0.47215316267386936,12521.360999999997,12613.810403850883,0.13123457661884372,0.1307601017794125,0.05151614375016311,0.05189650470121301,864.0279807455954,993.401
Bank (Money Center),112,0.0037635083234839597,7286649.247000001,7286666.852273149,2.4160941490762405e-06,0.8488435545278178,0.8488438645325607,0.8088976777082401,0.8088980511936211,-1.9999999999999998,-3.392054629598339,-3.2182684129894794e-07,-5.458250910293855e-07,-2.981270614554652e-06,-5.056316395092797e-06,17.605273148044944,0
Banks (Regional),72,0.008825549199287977,199945.15000000008,199946.39581053902,6.230722658878444e-06,0.7419718241286333,0.7419730170001384,0.6637790443574177,0.6637804349107367,0,0.5838378922094649,0,2.806938756766444e-06,0,3.0512761544994507e-05,1.2458105389378034,0
Beverage (Alcoholic),55,0.0020591440717938423,174483.08299999996,174498.2681378079,8.702171070232214e-05,0.31036737959866634,0.31038600679731515,0.4847704354293203,0.4847921716477804,36246.592000000004,36249.10397243842,0.10685778270642311,0.10685935195113704,0.19035086543687643,0.19036405719094823,15.185137807944557,0
Beverage (Soft),15,0.006246887846679405,19046.939999999995,19047.962679512835,5.368970582560325e-05,0.2660130678790059,0.26602355121339716,0.5599779853606175,0.5599912149584867,4622.417999999999,4622.760464097431,0.1599215811315637,0.15992638273135626,0.12165474442181058,0.12166375753621235,1.0226795128401136,0
Broadcasting,22,0.008932781599073222,12675.98,12806.276018557457,0.010174387805529627,0.30620809138523875,0.30838495237244723,0.25675117296338634,0.2587075457614513,3460.777,3473.7727962885083,0.11277824401110274,0.11261576521636506,0.09157641182562898,0.09192029656391705,130.2960185574575,0
Brokerage & Investment Banking,74,0.0028375457567156493,25673.706,25686.691563754677,0.000505536640343446,0.40733412264676727,0.40745620235833374,0.6232840556024103,0.6234027787422228,360.367,364.9478872490644,0.009191854495663076,0.009305064819586012,0.011661187283585723,0.01180942112335554,12.985563754678878,0
Building Materials,89,0.005407706742554022,55414.14200000001,57424.59081381255,0.03501024187235418,0.16918000756877932,0.17032254469040928,0.3895456751813566,0.3914751924285584,20222.494000000006,20448.748237237498,0.2748285677582801,0.26928297002649215,0.1149550534844853,0.11624119889972079,2010.4488138125453,1546.8
Business & Consumer Services,194,0.005512953110877644,76865.57999999999,77498.561506493,0.008167654911117064,0.21277034180899732,0.2128155305527146,0.5284099415301637,0.5284771642947969,18859.988000000005,19024.6656987014,0.27002131416748837,0.26945877403747964,0.07960066507199905,0.08029570551100448,632.9815064930153,611.9780000000001
Cable TV,3,0.0007663715335783494,8679.5,8680.522509905513,0.00011779358953870377,0.6630786037877109,0.6631049205524843,0.541936974343925,0.5419662171544184,973.1,974.0654980188973,0.10202945115435479,0.10211764063109656,0.20320330771800868,0.20340492357561335,1.0225099055132887,0
Chemical (Basic),61,0.0035921726376766543,8607.923,8621.659087700937,0.0015932070105312934,0.28827451990459935,0.2886017729656709,0.3883227577442054,0.38870155847948856,922.6400000000003,922.3737824598131,0.04962484693619792,0.04957046261764754,0.059159312468557365,0.05914224270500436,13.736087700935968,0
Chemical (Diversified),7,0.0022741114716657105,30831.124,30831.124,0,0.3420923688066451,0.3420923688066451,0.32466246233399854,0.32466246233399854,6647.4710000000005,6647.4710000000005,0.06951422318869903,0.06951422318869903,0.06225303010161359,0.06225303010161359,0,0
Chemical (Specialty),102,0.002130574916866833,111476.18399999996,112242.83851365841,0.006830320079308713,0.15361395391445976,0.15448491124928787,0.35767971404635956,0.3592166309674631,28091.978999999985,28158.588097268297,0.13276550155817657,0.13254259518031597,0.09914699392474327,0.09938208208859937,766.6545136584464,19
Coal & Related Energy,16,0.00818467537291134,251.92799999999994,253.09708345227182,0.004619110723543123,0.1284882807638873,0.1290076149964005,0.12573673085897238,0.12624655469951376,27.430000000000025,27.430183309545658,0.02104985895117309,0.021029739264432096,0.017626257790606756,0.01762637558358185,1.1690834522718774,0
Computer Services,226,0.006535832832347804,33392.066000000006,36269.41672513432,0.07933269914264537,0.093464536135427,0.09333448157982155,0.3267731351196377,0.3264353369788493,20141.656999999996,20311.445854973135,0.6035879111489078,0.5518307049124627,0.09061245747441363,0.09137629658660201,2877.350725134311,2933.1
Computers/Peripherals,43,0.003983696015574419,7505.87,7988.962755746057,0.06047002226898518,0.16344015007477813,0.17075867321313457,0.5737836090592112,0.586592463417363,674.917,645.5124488507886,0.0783216780405441,0.07061775872746001,0.04517396693006217,0.04320584311452959,483.09275574605726,73.8
Construction Supplies,123,0.003228185378631324,159400.13000000003,159834.81981474799,0.002719619012001054,0.3290160572295924,0.32961755015407856,0.443318369116374,0.4439905539198284,38799.35400000001,38771.70203705042,0.14444411933697177,0.1440706283250111,0.09744597923133422,0.09737653032743517,434.68981474795146,0
Diversified,70,0.0014968848863228098,163092.07200000001,163104.28054089623,7.485113729528748e-05,0.2884948180442218,0.2885101832229889,0.35575368443492067,0.35577084061897946,46489.80800000001,46491.43629182078,0.13890725464334366,0.13890623055177903,0.15840436987159476,0.15840991793795448,12.208540896215709,0
Drugs (Biotechnology),233,-0.003089998201124126,20409.11499999999,21071.145151207307,0.03141880265436757,0.137668792318826,0.13823187301366452,0.3578313596732048,0.35892012742344914,-4728.647000000002,-4759.364030241462,-0.17334351185168265,-0.17026187465461268,-0.23177790205978643,-0.2332835185346201,662.0301512073165,562.395
Drugs (Pharmaceutical),131,0.00245487860792551,232966.1939999999,233271.34037221645,0.0013081177127445102,0.13129047327196855,0.1312873179775486,0.4119242140780989,0.41191751236112994,99496.31800000001,99502.83472555668,0.25404174751895275,0.2538436990439109,0.24244251899135935,0.24245839828610402,305.14637221654993,311.621
Education,21,0.004292665206239474,3042.981,3044.559552118683,0.000518482917367846,0.22475051097270163,0.22484088658025783,0.33204515449471156,0.33216018926672053,766.7310000000001,766.9142895762635,0.13859582971665121,0.13858652166649665,0.10550453539701238,0.10552975660443295,1.5785521186826372,0
Electrical Equipment,157,0.005380125878464407,68563.04399999998,70163.98861905288,0.02281718372290718,0.13618465171926544,0.13634217554183867,0.3914751973065578,0.3917940802280743,15539.759999999995,15679.67307618942,0.2269468191906093,0.22320863299108326,0.06975136128347353,0.07037937146674346,1600.944619052898,1507.2
Electronics (Consumer & Office),21,0.0036146467963716245,3859.116,3994.549313043652,0.033904529004414395,0.11499549641065566,0.11475481274427145,0.2958519782509765,0.2953590944549897,1694.4799999999996,1698.4033373912694,0.1786610338330597,0.17627177178721548,0.13308158142525178,0.13338971368086708,135.4333130436521,144.9
Electronics (General),151,0.005576024592613406,17757.394000000015,18407.990955466204,0.03534318096092918,0.11707606969372679,0.11798622993828076,0.303835464922381,0.30569482383546553,6769.201000000002,6900.864608906762,0.15193636561165969,0.1523531966521082,0.12584008871044547,0.12828772768951613,650.5969554661897,489.76599999999996
Engineering/Construction,162,0.012518545347323723,151641.20700000008,151747.2120980461,0.0006985637270061732,0.38844344406964976,0.3886094623948978,0.5339666064435491,0.5341404980322316,23919.257999999998,23927.76698039079,0.13735075817351886,0.13730068357007946,0.05609412616197651,0.056114080954033634,106.00509804600733,0
Entertainment,200,0.005497302787962123,28013.128,28078.991739397006,0.0023456589897632883,0.1578617414043427,0.15817419383141806,0.3043587211798716,0.3048561663330149,2000.2139999999974,2004.858252120596,0.05718416426437074,0.05720151253551267,0.026836129425927915,0.026898439634233138,65.8637393970057,0
Environmental & Waste Services,52,0.06243277422728611,14397.462000000003,14397.814261473952,2.4466316035982773e-05,0.3373768989934836,0.3373823686182931,0.5353283630487372,0.5353344491606945,1582.481,1582.5805477052102,0.12750150850790315,0.12750529927703777,0.05229618189997003,0.05229947164872493,0.35226147394860163,0
Farming/Agriculture,50,0.003167734785649274,30356.987999999998,30570.212273474495,0.006974903267502351,0.4706969135266144,0.47047065552855927,0.5897453728349428,0.5895256257365986,5301.357999999999,5322.843145305101,0.13337883958516716,0.1330933311260307,0.10258768424454978,0.10300344777202859,213.22427347449775,241
Financial Svcs. (Non-bank & Insurance),143,0.0015020475960531258,1557752.1529999997,1557829.3676586845,4.956554311262234e-05,0.8042998495207718,0.8043026902092493,0.8064776202399659,0.8064804369228953,10584.017999999996,10595.655068263024,0.008563134238995749,0.008571931437153513,0.07329810270358386,0.07337869355525399,77.21465868479572,49.1
Food Processing,169,0.0012797495703249179,141228.86,141764.4668985865,0.003778146317650125,0.2032349033847073,0.20347655570267012,0.4496146843704703,0.4499838404652275,37948.774999999994,37984.4806202827,0.16209660335756598,0.1618155926902679,0.10820797284515525,0.10830978463723473,535.6068985865277,324.38
Food Wholesalers,14,0.003651714187824427,9499.849999999999,9499.849999999999,0,0.624875927281185,0.624875927281185,0.8596985939633726,0.8596985939633726,2021.1170000000002,2021.1170000000002,0.10725378756520625,0.10725378756520625,0.025327871050628496,0.025327871050628496,0,0
