Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,89,0.3506738258602206,0.06025122344317233,0.10482553893367086,0.09828613162334897,0.08482198663266026,0.09848914032227385,0.08499718531900707,0.09907354977240115,0.08558159476913436,0.12963261369064474,0.25960896043888426,0.13225305044070212,0.6493261741397793,0.002620436750057363,0.12997634674823946,0.006539407310321902,0.012682171938875657
Aerospace/Defense,61,0.29125894743810277,0.06273842631447926,0.07956517568951119,0.07664172849802202,0.06687556886640272,0.07669838151403266,0.06692500280725919,0.0825970461252285,0.07282366741845503,0.11221359907423832,0.2521048023791468,0.1818073560666471,0.7087410525618972,0.06959375699240876,0.13989120330490848,0.0029234471914891575,0.0009565120595791568
Air Transport,34,0.28898355271032145,0.08754646778244156,0.1115418280293955,0.11093474683788027,0.09361337352419591,0.11097730862852188,0.0936492897084282,0.11101615849431458,0.0936881395742209,0.11862733874048086,0.16788917255655805,0.1190114349409415,0.7110164472896785,0.0003840962004606449,0.0492618338160772,0.000607081191515226,0.022391497116546477
Apparel,110,0.67099342340254,0.12641649705984617,0.23290841893690944,0.23053076620499519,0.19782943325614616,0.23175198332220928,0.19887741784474694,0.232042989534679,0.19916842405721666,0.24673835652504228,0.6462959968264699,0.2502577481713502,0.32900657659746,0.0035193916463078967,0.3995576403014275,0.0023776527319142415,0.04481676310823825
Auto & Truck,31,0.20307166180019903,0.08673410742980095,0.11346574985690061,0.11267003630574236,0.10182089644349353,0.11271522846769574,0.10186173699518931,0.11521738318588647,0.10436389171338004,0.12579104216163747,0.1934055886631428,0.16704897108395642,0.7969283381998009,0.04125792892231896,0.06761454650150533,0.0007957135511582519,0.0007105133459189425
Auto Parts,59,0.199028444484585,0.02474631962098507,0.06536035953899082,0.05151614375016311,0.04226192856389667,0.05189650470121301,0.0425739625433755,0.0568446273294857,0.04752208517164819,0.07735724346374806,0.16080364216740703,0.14079884345827115,0.800971555515415,0.06344159999452309,0.08344639870365896,0.013844215788827701,0.009399584044949581
Bank (Money Center),112,0.998517414123382,0.3319977837234251,0.005301854395041314,-2.981270614554652e-06,-2.279356810917643e-06,-5.056316395092797e-06,-3.86585141148985e-06,-4.853888120364537e-06,-3.663423136761589e-06,-1.1254296569943812e-05,0.411195118348245,-1.04135782566394e-05,0.0014825858766179811,8.407183133044119e-07,0.4112063726448149,0.005304835665655868,0.0037635083234839597
Banks (Regional),72,0.9998223078860805,0.34446975105334837,0.00036975638411181636,0,0,3.0512761544994507e-05,2.478605437717934e-05,3.0512761544994507e-05,2.478605437717934e-05,0,0.2868765489264783,0,0.00017769211391949202,0,0.2868765489264783,0.00036975638411181636,0.008825549199287977
Beverage (Alcoholic),55,0.46756112607056566,0.10646132271808403,0.19422968805738663,0.19035086543687643,0.1560240366646772,0.19036405719094823,0.15603484949033078,0.19096715908530074,0.15663795138468325,0.242124168579527,0.47706671365895514,0.24520749134323652,0.5324388739294343,0.003083322763709523,0.2349425450794281,0.003878822620510201,0.0020591440717938423
Beverage (Soft),15,0.3594043614887805,0.08282867760460257,0.12438188555697673,0.12165474442181058,0.09768908788989308,0.12166375753621235,0.09769632544506728,0.12178504334900415,0.09781761125785908,0.13814436706828578,0.3747146819945153,0.14086203357177826,0.6405956385112195,0.0027176665034924544,0.2365703149262295,0.0027271411351661484,0.006246887846679405
