Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,89,0.3516378482351731,0.26535388951642086,0.6832536979469354,0.31674630205306464
Aerospace/Defense,61,0.3552608942317434,0.2834123691065415,0.8670175618081385,0.13298243819186154
Air Transport,34,0.3073450163287685,0.17708855156732276,0.5244979224755042,0.4755020775244958
Apparel,110,0.31434810417005654,0.24947244894046927,0.87584741510186,0.12415258489814002
Auto & Truck,31,0.35583235151341913,0.237354971487142,0.4868795261355666,0.5131204738644334
Auto Parts,59,0.3068871242474704,0.2597217988336709,0.6173771445046206,0.3826228554953794
Bank (Money Center),112,0.25358376727578946,0.11118941956170525,0.15115613546743933,0.8488438645325607
Banks (Regional),72,0.13283543357435104,0.10169669842090524,0.2580269829998616,0.7419730170001384
Beverage (Alcoholic),55,0.26354588744589025,0.2609237620722885,0.6896139932026848,0.31038600679731515
Beverage (Soft),15,0.2372287694191972,0.1843598554242397,0.7339764487866028,0.26602355121339716
Broadcasting,22,0.22521575023850673,0.25500729051522797,0.6916150476275528,0.30838495237244723
Brokerage & Investment Banking,74,0.2926244614542751,0.16258185921526785,0.5925437976416663,0.40745620235833374
Building Materials,89,0.29813524747340214,0.2477969723836921,0.8296774553095907,0.17032254469040928
Business & Consumer Services,194,0.3073997215741856,0.2829867399124566,0.7871844694472854,0.2128155305527146
Cable TV,3,0.2834466515528024,0.2700734554902198,0.33689507944751573,0.6631049205524843
Chemical (Basic),61,0.33332641349454933,0.22560122290075438,0.7113982270343291,0.2886017729656709
Chemical (Diversified),7,0.23183480831657868,0.21183654177289632,0.6579076311933549,0.3420923688066451
Chemical (Specialty),102,0.34065716956257086,0.2526367606689389,0.8455150887507121,0.15448491124928787
Coal & Related Energy,16,0.5049861065875753,0.20723514222651507,0.8709923850035994,0.1290076149964005
Computer Services,226,0.2952980540135006,0.29758674928059853,0.9066655184201784,0.09333448157982155
Computers/Peripherals,43,0.363013116850949,0.2749236712056139,0.8292413267868655,0.17075867321313457
Construction Supplies,123,0.29989118587622066,0.2203598464283714,0.6703824498459214,0.32961755015407856
Diversified,70,0.2648014093316818,0.12769387738062005,0.7114898167770112,0.2885101832229889
Drugs (Biotechnology),233,0.5118928844126966,0.3616760893346944,0.8617681269863355,0.13823187301366452
Drugs (Pharmaceutical),131,0.41840255220858935,0.28674842629521086,0.8687126820224513,0.1312873179775486
Education,21,0.27822540168105064,0.2785634726271391,0.7751591134197422,0.22484088658025783
Electrical Equipment,157,0.38250447730424403,0.2571994163234034,0.8636578244581613,0.13634217554183867
Electronics (Consumer & Office),21,0.3996397073789636,0.24342141169359072,0.8852451872557285,0.11475481274427145
Electronics (General),151,0.3614719796822816,0.26384376578107094,0.8820137700617192,0.11798622993828076
Engineering/Construction,162,0.28933029381582115,0.1710288287091981,0.6113905376051022,0.3886094623948978
Entertainment,200,0.39460048520599533,0.31944209734782225,0.8418258061685819,0.15817419383141806
Environmental & Waste Services,52,0.35073311275951996,0.21985983000668854,0.6626176313817069,0.3373823686182931
Farming/Agriculture,50,0.3033979404755029,0.2237251956513079,0.5295293444714407,0.47047065552855927
Financial Svcs. (Non-bank & Insurance),143,0.35551361693245503,0.17084821356242696,0.19569730979075073,0.8043026902092493
Food Processing,169,0.257961069691383,0.23868097716343703,0.7965234442973299,0.20347655570267012
Food Wholesalers,14,0.28873718799518366,0.21069208042900792,0.375124072718815,0.624875927281185
Furn/Home Furnishings,52,0.3017099495022962,0.24317358337492687,0.5978356176811825,0.40216438231881746
Green & Renewable Energy,66,0.3326083306201734,0.18400217098510302,0.5758649620309766,0.4241350379690234
Healthcare Products,182,0.45248663574391795,0.3368451476922298,0.8385816960228731,0.16141830397712684
Healthcare Support Services,45,0.3130891025672597,0.24357521037471414,0.5889460085509026,0.41105399144909743
Heathcare Information and Technology,95,0.3686474797787808,0.35362467694041966,0.8755798308350491,0.12442016916495094
Homebuilding,43,0.2943040238943442,0.23875767091492567,0.8401446237587311,0.15985537624126894
Hospitals/Healthcare Facilities,29,0.28128884047543545,0.20391848856381165,0.2805688527648258,0.7194311472351742
Hotel/Gaming,106,0.35113806119976015,0.21029520665459894,0.7398058899131086,0.26019411008689136
Household Products,70,0.35397113083748566,0.2844437682427785,0.8727589046999431,0.12724109530005684
Information Services,6,0.38570116251229974,0.31266537048938353,0.6310408065277238,0.36895919347227624
Insurance (General),36,0.20595789341238463,0.18385189252109913,0.7148815990109526,0.2851184009890474
Insurance (Life),16,0.19983865488258035,0.16237907430543613,0.36881949457171115,0.6311805054282889
Insurance (Prop/Cas.),19,0.230777965767056,0.2077414697407999,0.8376577926968162,0.16234220730318383
Investments & Asset Management,350,0.3009338170976733,0.13186073313473673,0.786592524589208,0.21340747541079194
Machinery,219,0.3078675639510783,0.2526350007977997,0.8874998654282957,0.11250013457170427
Metals & Mining,120,0.4300668714815268,0.23613677107938486,0.7862944685665456,0.21370553143345436
Office Equipment & Services,22,0.25828228476517473,0.3079348294442567,0.8159579378564654,0.1840420621435346
Oil/Gas (Integrated),12,0.23548032311746692,0.18819517454244716,0.6944170425851885,0.30558295741481145
Oil/Gas (Production and Exploration),91,0.5094400184735435,0.2722899655762382,0.6001966145261235,0.3998033854738765
Oil/Gas Distribution,29,0.3580960715779847,0.17143388595505807,0.6316713714146656,0.3683286285853345
Oilfield Svcs/Equip.,67,0.3908334726123707,0.2473027127664996,0.7387493434491261,0.26125065655087387
Packaging & Container,44,0.27277399788128837,0.2483153863625461,0.6851034187167349,0.3148965812832652
Paper/Forest Products,38,0.2578316171342679,0.2110196080049661,0.7895331408904336,0.21046685910956642
Power,73,0.3112565548105587,0.14216035067041996,0.6073563004764735,0.39264369952352657
Precious Metals,46,0.42341743715023983,0.33207079664004924,0.8457527551782865,0.15424724482171345
Publishing & Newspapers,72,0.3001102247080988,0.2437270120638634,0.6403384561600012,0.3596615438399989
R.E.I.T.,142,0.22896465668887026,0.13757980958709337,0.5507240890771413,0.4492759109228587
Real Estate (Development),66,0.3197900321490795,0.13776233826432457,0.560466965160104,0.43953303483989603
Real Estate (General/Diversified),48,0.29126749591863227,0.154277530576599,0.36404064051751905,0.635959359482481
Real Estate (Operations & Services),237,0.2551969071240996,0.1896112014772634,0.4529277654677786,0.5470722345322214
Recreation,60,0.30059864085448196,0.2218972557584593,0.7722987108313968,0.22770128916860322
Reinsurance,4,0.18211184494801436,0.24537331463714668,0.8307552609283814,0.16924473907161863
Restaurant/Dining,43,0.33406471848208386,0.26833341561272567,0.7241350731022503,0.27586492689774966
Retail (Automotive),28,0.3753704510658482,0.22103309532812085,0.6326929218114763,0.36730707818852376
Retail (Building Supply),29,0.28071281493731903,0.24580971853549788,0.5930285050673487,0.4069714949326512
Retail (Distributors),116,0.2734625824175198,0.17906031297585046,0.6584879516647304,0.3415120483352696
Retail (General),32,0.35902674130694007,0.18613187037731108,0.7172141416707789,0.2827858583292211
Retail (Grocery and Food),32,0.2973656097119066,0.17392697819696168,0.614434906863981,0.385565093136019
Retail (REITs),33,0.21209722687273572,0.34976564018992534,0.4095594268349766,0.5904405731650234
Retail (Special Lines),111,0.3770029801448185,0.23564737733384464,0.8247167891651246,0.17528321083487539
Rubber& Tires,8,0.27450562055262784,0.20479117643003486,0.6955732735368403,0.3044267264631597
Semiconductor,40,0.4451812160577769,0.29522533999448214,0.8776918834482479,0.12230811655175215
Semiconductor Equip,22,0.34686166765591364,0.30961887978202657,0.9776722290677915,0.022327770932208505
Shipbuilding & Marine,62,0.3401879928153725,0.18524753883427872,0.728242542700684,0.271757457299316
Shoe,10,0.31283775149323445,0.2586589572220407,0.7982944491451972,0.20170555085480282
Software (Entertainment),56,0.43415402335725556,0.3525090862279262,0.9198465039382369,0.0801534960617632
Software (Internet),28,0.4100785743981639,0.2558940695887567,0.763385834795199,0.23661416520480105
Software (System & Application),339,0.3915535104218756,0.35181249738184667,0.930651064077212,0.06934893592278797
Steel,59,0.3434296413653913,0.2109957000411399,0.6891704018708706,0.3108295981291293
Telecom (Wireless),12,0.26470063790883314,0.18426498066456432,0.3585002076717797,0.6414997923282203
Telecom. Equipment,54,0.33319520112261086,0.28739351927754886,0.8082570078890586,0.19174299211094134
Telecom. Services,64,0.26207860927865606,0.20889828910587047,0.47169516440431514,0.5283048355956849
Tobacco,6,0.18281710440540047,0.2511878968456353,0.5727855560645556,0.4272144439354444
Transportation,59,0.30362009528384304,0.20257192436181204,0.5990893781099385,0.4009106218900616
Transportation (Railroads),7,0.17036545746591236,0.16003323554670723,0.5486983679943902,0.45130163200560985
Trucking,6,0.26775426645043926,0.22137748857680561,0.6359882239038943,0.36401177609610563
Utility (General),16,0.19193813872527388,0.11246536680838114,0.4772197380014678,0.5227802619985322
Utility (Water),12,0.2555760632140642,0.15437010014454047,0.475714128917309,0.524285871082691
Total Market,6971,0.33261428375139857,0.21092840124340043,0.5489355800772314,0.4510644199227686
Total Market (without financials),6149,0.3395466680004999,0.23500456727201946,0.7339379489944093,0.26606205100559066
