Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Advertising,89,0.11317961278612022,0.1127553921134916
Aerospace/Defense,61,0.20830393868510866,0.13637026278397774
Air Transport,34,0.3311675705660618,0.32988648021233935
Apparel,110,0.2702559549074027,0.26508321054627976
Auto & Truck,31,0.20479915489952027,0.1638276290612559
Auto Parts,59,0.09953256768890487,0.06831284892689928
Bank (Money Center),112,0.1506152967865152,0.15061522920039835
Banks (Regional),72,0.07332326196605254,0.07332326196605254
Beverage (Alcoholic),55,0.14082640565702131,0.1400266301748988
Beverage (Soft),15,0.22426686201335835,0.21981038907285408
Broadcasting,22,-0.012071612940744917,-0.011509380747797086
Brokerage & Investment Banking,74,0.207366683936121,0.1953879146136972
Building Materials,89,0.16354723763806828,0.1524461974343473
Business & Consumer Services,194,0.16236650186346221,0.1547511068236928
Cable TV,3,0.04255452888302219,0.0425545288830222
Chemical (Basic),61,0.06382742677759927,0.062922666397482
Chemical (Diversified),7,-0.006751986078879278,-0.0072986130845674405
Chemical (Specialty),102,0.10978453473139,0.10150574370005826
Coal & Related Energy,16,0.0024943705602070093,0.0025314987058661456
Computer Services,226,0.18183345518163901,0.16820354509656973
Computers/Peripherals,43,-0.06302838267122245,-0.050409289014746214
Construction Supplies,123,0.14754177267429278,0.1300267979646395
Diversified,70,0.18715214582159032,0.16824102189589288
Drugs (Biotechnology),233,-0.17516032315537092,-0.0884714992015336
Drugs (Pharmaceutical),131,0.17272432583955835,0.11346506180077318
Education,21,0.06793599996899287,0.062446656304857136
Electrical Equipment,157,0.07409670578845434,0.06515884953616216
Electronics (Consumer & Office),21,0.13056508771667213,0.09523554328225217
Electronics (General),151,0.12868034637450662,0.10495657850433582
Engineering/Construction,162,0.1492632653029416,0.14808590808197175
Entertainment,200,0.08556493216483217,0.0800515996666749
Environmental & Waste Services,52,0.06124057080811003,0.06062501049778028
Farming/Agriculture,50,0.20017292463953137,0.16845249195213077
Financial Svcs. (Non-bank & Insurance),143,0.2024107812195776,0.20082814413004044
Food Processing,169,0.1352372779244658,0.12905173105421036
Food Wholesalers,14,-0.26993249024159516,-0.2587061446226436
Furn/Home Furnishings,52,0.059769957366573874,0.05271110911249463
Green & Renewable Energy,66,0.07716887402372646,0.07668216649403549
Healthcare Products,182,0.06506707639020116,0.056792397837913074
Healthcare Support Services,45,0.03567645222217388,0.035294626368364716
Heathcare Information and Technology,95,0.07904200190605616,0.07388098603889863
Homebuilding,43,0.10531472971894548,0.10523404391545083
Hospitals/Healthcare Facilities,29,-0.29080286457323634,-0.29078369769833684
Hotel/Gaming,106,0.0987503609062583,0.0947659183559642
Household Products,70,0.1966143607068829,0.18150803600015256
Information Services,6,0.08778554833815368,0.08774352050095104
Insurance (General),36,0.16714965025928755,0.1671496133162448
Insurance (Life),16,0.05015121371538442,0.050151213715384405
Insurance (Prop/Cas.),19,0.1281264910533439,0.1281264910533439
Investments & Asset Management,350,0.12017777981637583,0.11979682635518527
Machinery,219,0.1869206071324343,0.1635180865397689
Metals & Mining,120,0.13905837086811226,0.13790649735287294
Office Equipment & Services,22,0.10688588526240267,0.1030898462982197
Oil/Gas (Integrated),12,0.20327921983790714,0.20032529768103605
Oil/Gas (Production and Exploration),91,0.02089409002547315,0.020530972771121387
Oil/Gas Distribution,29,0.28066218954228717,0.27877345316209684
Oilfield Svcs/Equip.,67,0.21645459560963537,0.2124415554853326
Packaging & Container,44,0.13824482388892348,0.1356280572435093
Paper/Forest Products,38,0.08895414731549182,0.08778526043817071
Power,73,0.3835439893289364,0.37639128021878415
Precious Metals,46,0.0032685810389441092,0.003374338121929706
Publishing & Newspapers,72,0.16379536973882236,0.1494797768450341
R.E.I.T.,142,-0.058285080441927185,-0.05828451750785338
Real Estate (Development),66,0.025494396688857904,0.025496927968940902
Real Estate (General/Diversified),48,0.006943781648263872,0.006943781648263869
Real Estate (Operations & Services),237,-0.09807585704594803,-0.09803729014026594
Recreation,60,0.1386235930806118,0.132112804072472
Reinsurance,4,0.23217607473985513,0.23217607473985513
Restaurant/Dining,43,-0.0741410687093218,-0.06507534839759073
Retail (Automotive),28,0.05767734494282702,0.0580660204511083
Retail (Building Supply),29,0.05387340298378058,0.05423656459321874
Retail (Distributors),116,0.18865062460166085,0.18869684479895732
