Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,89,4928.236,1253.194,1528.825,1.2199428021519414,0.13698926560957606,0.25428855273976325,0.27378764113853754,0.31021748958450857,0.3346274178996476
Aerospace/Defense,61,21669.965999999997,3915.0670000000005,3159.2170000000006,0.806938169895943,0.1274261400807439,0.1806678884498481,0.18299580441080202,0.14578781526468482,0.15505927235421726
Air Transport,34,21006.890000000003,3315.778,960.0609999999999,0.2895432082606254,0.15614019779571642,0.15784240313535222,0.15848627203284446,0.04570219580337688,0.04737485936482245
Apparel,110,74215.964,19231.654000000002,18090.017999999993,0.9406376591425777,0.14185235874230337,0.2591309600182516,0.2584460263760638,0.24374833964293707,0.24532882648408413
Auto & Truck,31,75266.505,16679.55,16093.069999999998,0.9648383799323123,0.09629126090639158,0.22160654330900575,0.22149498004571982,0.21381449822866092,0.2148313653870891
Auto Parts,59,8492.236,2340.9629999999997,3336.0000000000005,1.4250545608794334,0.17963718773568216,0.2756592021229744,0.14784011882972833,0.3928294032337302,0.430138860325428
Bank (Money Center),112,300482.43000000005,70812.87999999998,18826.331000000002,0.26586026440387694,0.2354411572737627,0.23566396211585472,0.23595087735500578,0.06265368327858636,0.06272274286469713
Banks (Regional),72,7968.15,1353.5790000000002,675.7199999999998,0.499209872493589,0.18768236232471092,0.16987368460684102,0.16935035108525823,0.08480262043259726,0.08480262043259726
Beverage (Alcoholic),55,30376.855999999996,6162.7429999999995,5581.695,0.905716009900137,0.18033450330480677,0.20287626211218174,0.2030662490808495,0.18374827862369958,0.1839766258471356
Beverage (Soft),15,4191.537,1024.246,908.3129999999999,0.8868113714869278,0.1969973028657391,0.24436048160853643,0.24438012756314023,0.2167016538324724,0.21674446973053957
Broadcasting,22,2323.096,521.616,715.455,1.3716124505383271,0.18398284760432776,0.22453484487941952,0.839694508951536,0.3079747888163038,1.0636806408354176
Brokerage & Investment Banking,74,3648.079999999999,709.6220000000001,633.1540000000001,0.8922412213826517,0.1518944442193559,0.19451930878708806,0.19514371502472108,0.17355814565470062,0.17562121642893305
Building Materials,89,16824.581000000002,3558.9609999999993,3722.531,1.0459600428327258,0.1465083734825644,0.21153341054971883,0.19156503776687825,0.22125549515913648,0.22236375994901528
Business & Consumer Services,194,14734.603,3784.5260000000003,4561.401000000001,1.2052766977951797,0.1637828014742404,0.2568461464486013,0.2593825216218629,0.30957067523298737,0.32055248805149206
Cable TV,3,549.7,109.8,118.45,1.0787795992714027,0.1606135297900496,0.19974531562670544,0.26893520843797086,0.21548117154811713,0.2974635861376193
Chemical (Specialty),102,24986.51300000001,5594.5610000000015,7237.442999999999,1.2936570000756087,0.1068757698659088,0.2239032313152299,0.2708211894595997,0.2896539825304954,0.3388553019579176
Coal & Related Energy,16,190.27,40.19,16.223000000000003,0.4036576262751929,0.06877281114799318,0.2112261523098754,0.6960823505896463,0.08526304724864667,0.3242654407355588
Computer Services,226,17788.876999999986,4440.444,4501.951,1.0138515427736505,0.16295368114727554,0.24961912997655805,0.2755877039902189,0.25307674003254976,0.27605139198375334
Construction Supplies,123,36618.223,8743.034999999998,8711.255000000001,0.9963651066248738,0.1382373708852298,0.23876185908857453,0.2408421744138986,0.23789398518874064,0.24224104700684643
Diversified,70,53719.155999999995,7222.482000000002,7469.031000000001,1.0341363259887666,0.13961928619976716,0.13444891055250388,0.13691821556628878,0.13903850239195867,0.1457938606731409
Drugs (Pharmaceutical),131,75627.83599999998,12917.563999999998,16894.293999999998,1.3078544840188135,0.07877450170905369,0.1708043583317656,0.19663892580671474,0.22338724593415582,0.23569224463380137
Education,21,603.76,132.88,176.932,1.3315171583383503,0.06822014878385947,0.22008745196766927,0.2366451060677172,0.29305021862991915,0.3181617926046606
Electrical Equipment,157,20288.027,4305.748999999998,3587.1960000000004,0.8331177688248902,0.09733731705455374,0.21223103656161332,0.4076224560079063,0.176813447655605,0.26079484063012504
