Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,89,0.8443731870801686,1.0096480818742957,0.22822416939021825,3.699753577091378,4.42393145551555
Aerospace/Defense,61,0.8859173542384564,0.9044660699453133,0.21548950872049946,4.111185549118936,4.197262666362335
Air Transport,34,0.9008659920011229,1.3413062774665883,0.3181080347292755,2.83194982097136,4.21651178540052
Apparel,110,0.9441202784150279,1.0044826650762329,0.25249810424253766,3.7391182846590834,3.9781790365894176
Auto & Truck,31,0.9482018273014909,1.3951896187246104,0.3243478907811781,2.923409876407049,4.301522095193391
Auto Parts,59,1.0785590706854262,1.4037710559198122,0.3378011320764074,3.1928817528103086,4.1556138290332685
Bank (Money Center),112,0.36470590390914487,1.2153935486343155,0.33404623478605683,1.091782711284635,3.6383991857077094
Banks (Regional),72,0.21193247588907282,0.4682886846720631,0.22297503131738822,0.9504762691899922,2.100184410358886
Beverage (Alcoholic),55,0.452765079822875,0.5919586640772369,0.22489253617998148,2.0132508064230605,2.6321845719392503
Beverage (Soft),15,0.584999768547547,0.7076723102064876,0.22550331017793657,2.594195925930953,3.138190342519091
Broadcasting,22,0.7757862972694847,0.9282631338706471,0.3459304675887487,2.2426076045772296,2.6833806815021304
Brokerage & Investment Banking,74,0.7561479839958829,0.8707315899058546,0.2286290912051172,3.3073130808077966,3.8084899227660745
Building Materials,89,0.9643620942068567,1.0705705789689228,0.31423472519801315,3.0689227411107085,3.406913663963488
Business & Consumer Services,194,0.8756435370631244,1.0050331723966925,0.264109493819369,3.3154564964711137,3.80536556207275
Cable TV,3,0.35412027915974126,0.7774445678585296,0.23161824379697463,1.528896313841953,3.3565774228907457
Chemical (Basic),61,0.6909105695083612,0.835071442424022,0.22100641679157362,3.126201399663178,3.7784941023298875
Chemical (Diversified),7,0.8465690291386873,1.108693626848418,0.336818857987819,2.513425270176836,3.2916613798640504
Chemical (Specialty),102,0.9802591103587964,1.0757967976752074,0.28358171550129546,3.4567077381063323,3.7936042377538017
Coal & Related Energy,16,1.079053087089315,0.8709744575347654,0.15350546959598452,7.029411329311626,5.673898525095609
Computer Services,226,0.9388993859343554,0.953311323218832,0.25036323588563925,3.750148789270423,3.8077129010039035
Computers/Peripherals,43,1.0200055575574885,1.0944260005641828,0.24815644738800177,4.110332688486115,4.410225936435201
Construction Supplies,123,0.8123980747653192,1.0210763622322212,0.2974746469073316,2.7309825667879353,3.432481970641027
Diversified,70,0.9769542451528673,1.1696175679430305,0.3678902604596446,2.655558872181759,3.1792566796459965
Drugs (Biotechnology),233,1.128463734286817,1.1603519124746084,0.19254500859253074,5.860778955194337,6.026393106508299
Drugs (Pharmaceutical),131,0.9015178227534864,0.9773064912579792,0.1952788836718743,4.616565835496583,5.004670617126941
Education,21,0.5365103748322799,0.6216698058748149,0.18039262642255857,2.9741258579801237,3.446204083855356
Electrical Equipment,157,1.2192025589258395,1.2935071256797255,0.27161768089271154,4.48867155819441,4.76223462857213
Electronics (Consumer & Office),21,0.9808481799579912,1.017704497157091,0.2575922076398444,3.8077556341664485,3.9508357278416066
Electronics (General),151,1.148753793614216,1.2131330452408937,0.26823302031115603,4.282671060712947,4.522683463182995
Engineering/Construction,162,0.7678513785809833,0.967454906374663,0.2809147430475359,2.7333965111651293,3.4439449346058426
Entertainment,200,0.8476491598245866,0.8916058261872385,0.17477485201499807,4.849949234984027,5.1014537612695365
Environmental & Waste Services,52,0.8897322725138415,1.1149113651414317,0.23990879399352605,3.708627173282572,4.6472300851611035
Farming/Agriculture,50,0.5126376776223137,0.7966833426376715,0.21148487029607257,2.4239922075968656,3.7670937950423515
Financial Svcs. (Non-bank & Insurance),143,0.34907717374362646,1.0216367356825768,0.2464786306979219,1.4162573556790277,4.144930263486693
Food Processing,169,0.5171228982350383,0.5989668816915108,0.19354347444087586,2.671869458419846,3.094740772954785
Food Wholesalers,14,0.3654427334498875,0.7641625589897412,0.26019094067236076,1.4045175151200309,2.9369299215993636
Furn/Home Furnishings,52,0.6920064981374995,0.9014067420188674,0.23256939590915648,2.975483921400402,3.8758613896514755
Green & Renewable Energy,66,0.5766461893274718,0.8309953370697505,0.22178851204371533,2.5999822263734416,3.7467916142832425
Healthcare Products,182,1.0650197086413051,1.1934810943942749,0.23346924866150875,4.5617130082317825,5.111941299492604
Healthcare Support Services,45,0.5889266502872869,0.8558791331118023,0.22956144079258575,2.5654423855067026,3.728322710280903
Heathcare Information and Technology,95,1.0943389180178138,1.1684975665107238,0.262468674719785,4.1694077176491415,4.451950571847201
Homebuilding,43,1.1435618328512973,1.1386417797685302,0.3131342132984904,3.651986222793274,3.636273940730767
Hospitals/Healthcare Facilities,29,0.20038060762259877,0.562289577254435,0.1870579562815987,1.0712220512071886,3.00596450657228
Hotel/Gaming,106,1.021236752414324,1.195646747312114,0.26136053232227613,3.9073870233592363,4.574702755187981
Household Products,70,0.8763648962108256,0.948166274973218,0.21950856828684467,3.9923949349695924,4.319495509324236
Information Services,6,1.8901412012405387,2.5196619753187326,0.194591143033484,9.713397905860985,12.948492598582277
Insurance (General),36,0.866288557870259,0.9330697875573968,0.34675496561823776,2.498272970152662,2.690862078626053
Insurance (Life),16,0.6101768736303592,1.1359621152622124,0.43603869916686827,1.3993640353395553,2.605186460359312
Insurance (Prop/Cas.),19,0.63255467402991,0.6904225287583589,0.24597096955162887,2.5716639454768577,2.8069268906688616
Investments & Asset Management,350,0.9468365870172869,0.8868556346401744,0.2489464457231945,3.8033745943498305,3.5624354148292445
Machinery,219,1.133321108501453,1.1746048028969782,0.30816156464266503,3.677684820349411,3.8116525150013922
Metals & Mining,120,0.9345685492343194,1.0517443227154515,0.2145690111491959,4.355561617350641,4.9016599232222955
Office Equipment & Services,22,0.6618284730327739,0.7080102405230326,0.2118737763024971,3.1236922500869864,3.3416605531785586
Oil/Gas (Integrated),12,0.685848740151743,0.7825685387030443,0.23221685381273804,2.9534839047678174,3.3699902735488583
Oil/Gas (Production and Exploration),91,0.6372068159261354,0.84204926960124,0.12974077996719868,4.9113841930596935,6.490243621274117
Oil/Gas Distribution,29,0.5723647911714808,0.7648727873043717,0.16727037860470126,3.421794079417442,4.572673259214315
Oilfield Svcs/Equip.,67,1.018201583877122,1.1191956476665332,0.1876705839875633,5.425472454141224,5.9636178664030846
Packaging & Container,44,0.6196627600333667,0.7944151852256297,0.28985874059343697,2.137809468035056,2.7406977053691683
Paper/Forest Products,38,0.6550110114329856,0.7315168538223734,0.23356187504456788,2.80444319651055,3.132004543476056
Power,73,0.5640211395195475,0.7787386090277282,0.24777730189983285,2.2763228721715607,3.1428972833941957
Precious Metals,46,1.1066145859679701,1.134958303654692,0.19464334484029067,5.685345095543712,5.830963830723066
Publishing & Newspapers,72,0.5994483209743293,0.8092495145244608,0.20228484926463353,2.9633871402307435,4.000544368331721
R.E.I.T.,142,0.46622689867575534,0.7302032578858494,0.2836149069072972,1.6438730381268252,2.5746293304834107
Real Estate (Development),66,0.5698375095822308,0.7963976061277989,0.20730186441131512,2.7488296412597406,3.8417291054731546
Real Estate (General/Diversified),48,0.42751009998840334,0.9378737734323472,0.21404951522399168,1.997248625118521,4.381573919711573
Real Estate (Operations & Services),237,0.4510382629911546,0.8300464259458876,0.25604888043774143,1.7615318693058104,3.241749874191363
Recreation,60,0.8799790519316967,1.0035503434252013,0.25223044174741793,3.488790035950151,3.978704301006421
Reinsurance,4,1.0506491759635164,1.095957800932122,0.4038957236723988,2.601288189957915,2.713467206256081
Restaurant/Dining,43,1.0542611359965708,1.2535672909065732,0.2823648863091374,3.733683567305708,4.439529671313835
Retail (Automotive),28,0.9940412055365765,1.2408503375379711,0.2446763163192434,4.062678482700358,5.0713953692149
Retail (Building Supply),29,0.8946592249848782,1.2555264223300098,0.29868736961861925,2.9953031697564887,4.203480126840101
Retail (Distributors),116,0.7381848141633952,0.9874117005822514,0.2655468847695643,2.7798662176134195,3.7184081501807316
Retail (General),32,0.8790137211730068,1.083615303031824,0.2483777241243651,3.5390199514545686,4.362771689176311
Retail (Grocery and Food),32,0.7905464006295023,1.073982711190173,0.24813518891053593,3.1859503849513677,4.328216066030815
Retail (REITs),33,0.49573540957579715,0.960746998690458,0.3243644530385928,1.528328412475009,2.961936764927039
Retail (Special Lines),111,1.4258711048348565,1.5260199648902262,0.2913658601061478,4.893748033195776,5.237470046539702
Rubber& Tires,8,0.9088189573242259,1.0967762951201412,0.2898731927641014,3.1352294037890633,3.7836416836678546
Semiconductor,40,1.3444555213244302,1.4028368020266158,0.2665901905983921,5.043154507323193,5.262147113807107
Semiconductor Equip,22,1.7429917250746894,1.7327199822089587,0.3934178031763785,4.4303834524063594,4.404274458906832
Shipbuilding & Marine,62,0.8347060545161814,0.9209586428220383,0.2089882563966986,3.994033295975033,4.4067482962960725
Shoe,10,1.1064042124691584,1.265248696016497,0.3307394662862656,3.3452439918722314,3.825514717742768
Software (Entertainment),56,1.2371745495641366,1.2950431993104936,0.2662346321555885,4.646933194029871,4.864292781239916
Software (Internet),28,1.0117359184347412,1.2218335144293462,0.21458634556211628,4.714819648866587,5.693901497920156
Software (System & Application),339,1.0813820696044563,1.0812033487059913,0.20966911491309465,5.157564909131592,5.156712514163744
