Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Euros_
Advertising,89,1.0096480818742957,0.09826827202239602,0.6832536979469354,0.3516378482351731,0.060454999999999995,0.13698926560957606,0.0455165695,0.31674630205306464,0.08155936532142376,0.06580850077790767
Aerospace/Defense,61,0.9044660699453133,0.09207305151977896,0.8670175618081385,0.3552608942317434,0.060454999999999995,0.1274261400807439,0.0455165695,0.1329824381918615,0.0858818570271532,0.07006804357530116
Air Transport,34,1.3413062774665883,0.11780293974278205,0.5244979224755042,0.3073450163287685,0.060454999999999995,0.15614019779571642,0.0455165695,0.4755020775244958,0.0834306205156343,0.0676525046828822
Apparel,110,1.0044826650762329,0.09796402897299011,0.87584741510186,0.31434810417005654,0.060454999999999995,0.14185235874230337,0.0455165695,0.12415258489813996,0.09145254130807795,0.07555760138611567
Auto & Truck,31,1.3951896187246104,0.12097666854287956,0.4868795261355666,0.35583235151341913,0.060454999999999995,0.09629126090639158,0.0455165695,0.5131204738644334,0.08225654676414013,0.06649552909281753
Auto Parts,59,1.4037710559198122,0.12148211519367694,0.6173771445046206,0.3068871242474704,0.060454999999999995,0.17963718773568216,0.0455165695,0.38262285549537944,0.09241596118109754,0.0765069908726348
Bank (Money Center),112,1.2153935486343155,0.11038668001456119,0.15115613546743933,0.25358376727578946,0.060454999999999995,0.2354411572737627,0.0455165695,0.8488438645325607,0.05532208471272677,0.039953316488754886
Banks (Regional),72,0.4682886846720631,0.06638220352718452,0.2580269829998616,0.13283543357435104,0.054643,0.18768236232471092,0.0411407147,0.7419730170001384,0.047653699908503135,0.032396607191388815
Beverage (Alcoholic),55,0.5919586640772369,0.07366636531414925,0.6896139932026848,0.26354588744589025,0.060454999999999995,0.18033450330480677,0.0455165695,0.3103860067973152,0.06492906259923568,0.049420386930314475
Beverage (Soft),15,0.7076723102064876,0.08048189907116213,0.7339764487866028,0.2372287694191972,0.054643,0.1969973028657391,0.0411407147,0.26602355121339716,0.07001621749580458,0.05443345704683633
Broadcasting,22,0.9282631338706471,0.09347469858498111,0.6916150476275528,0.22521575023850673,0.054643,0.18398284760432776,0.0411407147,0.30838495237244723,0.07733568545715079,0.061646330814570716
Brokerage & Investment Banking,74,0.8707315899058546,0.09008609064545484,0.5925437976416663,0.2926244614542751,0.060454999999999995,0.1518944442193559,0.0455165695,0.4074562023583337,0.07192596281859837,0.056315390544541044
Building Materials,89,1.0705705789689228,0.10185660710126955,0.8296774553095907,0.29813524747340214,0.060454999999999995,0.1465083734825644,0.0455165695,0.1703225446904093,0.09226062852906798,0.07635392034660571
Business & Consumer Services,194,1.0050331723966925,0.0979964538541652,0.7871844694472854,0.3073997215741856,0.060454999999999995,0.1637828014742404,0.0455165695,0.21281553055271463,0.08682791942198842,0.07100032836244474
Cable TV,3,0.7774445678585296,0.08459148504686739,0.33689507944751573,0.2834466515528024,0.060454999999999995,0.1606135297900496,0.0455165695,0.6631049205524843,0.05868071627756686,0.0432630359434274
Chemical (Basic),61,0.835071442424022,0.08798570795877489,0.7113982270343291,0.33332641349454933,0.060454999999999995,0.0859266057480463,0.0455165695,0.2886017729656709,0.0757290393032479,0.06006308242019087
Chemical (Diversified),7,1.108693626848418,0.10410205462137183,0.6579076311933549,0.23183480831657868,0.054643,0.08133610106766297,0.0411407147,0.34209236880664506,0.08256346070442934,0.06679797341261717
Chemical (Specialty),102,1.0757967976752074,0.10216443138306971,0.8455150887507121,0.34065716956257086,0.060454999999999995,0.1068757698659088,0.0455165695,0.15448491124928787,0.09341319146760178,0.07748969838797626
Coal & Related Energy,16,0.8709744575347654,0.09010039554879769,0.8709923850035994,0.5049861065875753,0.063124,0.06877281114799318,0.047526059600000004,0.12900761499640057,0.08460798200798778,0.0688127201340849
Computer Services,226,0.953311323218832,0.09495003693758922,0.9066655184201784,0.2952980540135006,0.060454999999999995,0.16295368114727554,0.0455165695,0.0933344815798216,0.09033618988160884,0.07445750750469204
Computers/Peripherals,43,1.0944260005641828,0.10326169143323037,0.8292413267868655,0.363013116850949,0.060454999999999995,0.07752616501038113,0.0455165695,0.17075867321313454,0.09340121102738128,0.07747789242018621
Construction Supplies,123,1.0210763622322212,0.09894139773547783,0.6703824498459214,0.29989118587622066,0.060454999999999995,0.1382373708852298,0.0455165695,0.32961755015407856,0.08133163673509718,0.06558408862730425
Diversified,70,1.1696175679430305,0.1076904747518445,0.7114898167770112,0.2648014093316818,0.060454999999999995,0.13961928619976716,0.0455165695,0.2885101832229888,0.0897526699559461,0.07388248544202436
Drugs (Biotechnology),233,1.1603519124746084,0.10714472764475444,0.8617681269863355,0.5118928844126966,0.063124,0.01797056635469295,0.047526059600000004,0.13823187301366446,0.09890352749434812,0.0829000780648188
