Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,89,0.4521688620827137,0.014777734960016223,0.5398099534166232,-0.20717259960488896
Aerospace/Defense,61,0.26521491241066447,0.3347238463465515,0.2201089651670064,0.2662053570963254
Air Transport,34,0.07232316535651061,0.015927523893479265,0.08575185751441207,0.012652808466040206
Apparel,110,0.06456611498535618,0.2740484041777943,0.10156991016223603,0.21570763400098308
Auto & Truck,31,0.04064100094855725,0.14451654418585377,0.1375422566047266,-0.018465111832671237
Auto Parts,59,0.16843567397794934,0.11420400295186685,0.20025731244838038,0.042046000133828705
Beverage (Alcoholic),55,0.11231069047532721,0.19440431791854365,0.1930770038861906,0.07974725498222102
Beverage (Soft),15,0.16597833467557285,0.10071854553876443,0.20457366789310513,0.0010514735684094426
Broadcasting,22,0.276196828145433,0.04317043624510931,0.3291679478311583,0.044656816386062954
Brokerage & Investment Banking,74,0.23296254222147314,0.008949518809010636,0.8586567036577607,-1.2367829339140384
Building Materials,89,0.15673422592370498,0.13993069974681008,0.12222690569343833,0.13069924202517663
Business & Consumer Services,194,0.19931639361166192,0.013869669224797045,0.12787192344447176,0.05704436304471692
Cable TV,3,0.22195539592382227,0.07684597393919144,0.17549281657200133,0.19681130972268626
Chemical (Basic),61,0.18244502673595167,0.17231874573845074,0.13005206383696588,0.2065710540762948
Chemical (Diversified),7,0.15258263171747424,0.19518552303332362,0.09040842614241598,0.17181244482599203
Chemical (Specialty),102,0.13322935267513858,0.1437855613386915,0.12161111416185959,0.1093693171073455
Coal & Related Energy,16,0.1256977729740567,0.1213724962263872,0.1537429933536863,0.04500189885496795
Computer Services,226,0.22329847729474836,0.03139047219832047,0.1280956752482037,0.11038779116748866
Computers/Peripherals,43,0.14927555137925722,0.163493312794834,0.17391311623111488,0.09093071623197159
Construction Supplies,123,0.19688207457344484,0.1785091204098682,0.1493421716767652,0.13664646204502046
Diversified,70,0.32183877901230257,0.13455124115634692,0.12384457777421928,0.1710486888933027
Drugs (Biotechnology),233,0.17627915024436766,0.26218557046667335,0.0756051354720186,0.22224111504816024
Drugs (Pharmaceutical),131,0.1829876189502346,0.15433737968545796,0.16119763112368746,0.010515635304340654
Education,21,0.2204383208022809,0.020846038682973553,0.18351515284948428,0.18081840798758264
Electrical Equipment,157,0.23062518967030107,0.2121153387542439,0.17561239297051606,0.17788397494280556
Electronics (Consumer & Office),21,0.1728696348228148,0.24717668549674807,0.16746533574613462,0.1712379230671783
Electronics (General),151,0.19312446457041177,0.186806602242445,0.122259896701907,0.19642162238472005
Engineering/Construction,162,0.2699672919356128,0.05978608310430921,0.1956149579927559,0.0070036861597440455
Entertainment,200,0.17184175568935525,0.034328632548983794,0.24100183579736453,-0.011007324540342926
Environmental & Waste Services,52,0.15134485253324093,0.03290244287073365,0.15438447861088567,0.02082615938970465
Farming/Agriculture,50,0.07336441795367199,0.22266978987432137,0.14116954331089768,0.133307379492429
Food Processing,169,0.10680821832749904,0.16714003979125214,0.14909601880807083,0.10175434367382143
Food Wholesalers,14,0.024838298236024042,0.04524160588204185,0.06760784148602962,0.008772159351082578
Furn/Home Furnishings,52,0.16596329756623504,0.208577611464205,0.21016761465487072,0.10920388085333244
Green & Renewable Energy,66,0.15296328132312517,0.047727046127659864,0.1548801570363823,-0.07926994394350874
Healthcare Products,182,0.1666846266651344,0.17127367151769302,0.08027141742015674,0.2256739536942046
Healthcare Support Services,45,0.13375349775617051,0.07709893357555762,0.07490078343725928,0.23628795161272595
Heathcare Information and Technology,95,0.22639994416515932,0.15622192837803578,0.06139834269211516,0.20178535904670025
Homebuilding,43,0.10605792568909268,1.124627939726796,0.23347482576449516,0.9212173963784114
Hospitals/Healthcare Facilities,29,0.11386004412816557,0.020514379725720084,0.08015970461836963,0.00945445418450848
Hotel/Gaming,106,0.0738645538062338,0.015385349237150155,0.12093399341275837,-0.12773730266611194
Household Products,70,0.13290680694763832,0.1082270206365701,0.2092606951192764,-0.008833156524933813
Information Services,6,0.19801284902291671,0,0.06830255143262279,0.09772606200926827
Insurance (General),36,0.018953902222198924,3.0007621935971737e-05,0.01920695787764575,-0.0360682665121078
Insurance (Life),16,0.12686637050910848,0.003162109218718976,0.08682900012743269,-1.4556070785410238
Insurance (Prop/Cas.),19,0.1842465991979381,5.286543073509069e-05,1.281547601277726,-0.7115445661800558
Investments & Asset Management,350,0.154482297176668,0.02087015371501982,1.703959163780932,-1.671037097256519
Machinery,219,0.1970537687615424,0.19903983349313378,0.11243729783133792,0.19206138260592448
Metals & Mining,120,0.061675366108657904,0.14974294462279022,0.08597442843602605,0.09431998817565442
Office Equipment & Services,22,0.1096801088817973,0.12290163598677031,0.05022187426011652,0.15603563351456085
Oil/Gas (Integrated),12,0.1266483598737221,0.09130304084987353,0.1790923201633834,0.02207619587027375
Oil/Gas (Production and Exploration),91,0.12194345813622993,0.046141558111452576,0.07819110410905458,-0.0035193151267205063
Oil/Gas Distribution,29,0.0958502114307968,0.025035892138530667,0.04377305230944298,0.08740579522008965
Oilfield Svcs/Equip.,67,0.15862246130177024,0.10118502057852989,0.1307003274656641,0.10082315979400452
Packaging & Container,44,0.15355313455490596,0.1469666073279179,0.18170264617056175,0.08542715066469449
Paper/Forest Products,38,0.14604366746894823,0.1700340103291821,0.12414112004240582,0.14449201783827992
Power,73,0.1311208803449131,0.045572809064713275,0.11292321363142956,0.015680276982954666
Precious Metals,46,0.0942302644270652,0.1544261538289776,0.12218603391597833,0.14167644001922397
Publishing & Newspapers,72,0.13920932276141648,0.0671962915889688,0.14050836364347544,0.008595580271168758
R.E.I.T.,142,0.22162180857058353,0.2596854031770246,0.2632655495609869,0.45611400905671035
Real Estate (Development),66,0.2641294179112229,1.0235467628622814,0.31876089066634977,0.9294076511126227
Real Estate (General/Diversified),48,0.12520061730378054,0.44163793668395823,0.09147943455796091,0.5082825873817659
Real Estate (Operations & Services),237,0.1732997243746929,0.19305680239936399,0.14054397698712492,0.323001399305516
Recreation,60,0.09346895716801416,0.15636028574031932,0.12735692170276655,0.0702024698249581
Reinsurance,4,0.007437504573381052,0,1.3602958467834958,-1.0702465743630363
Restaurant/Dining,43,0.08797012911190308,0.016105315931955758,0.0895783596711893,-0.005000085761548983
Retail (Automotive),28,0.045309145954482995,0.1385208430017352,0.10022482351922206,0.0601820729426693
Retail (Building Supply),29,0.02822426724047882,0.19094240290805767,0.12861198738170346,0.07288760523951776
Retail (Distributors),116,0.13019229893016135,0.14954538929598388,0.11964347643933212,0.12980756210575164
Retail (General),32,0.08222151611320663,0.09634559411058065,0.14123026481240683,0.014693815637796733
Retail (Grocery and Food),32,0.022357672043396868,0.054707808810022636,0.11780171024813342,-0.05794622919251982
Retail (REITs),33,0.15534702491516453,0.049966626503324896,0.13646049192521587,-0.2199329075693693
Retail (Special Lines),111,0.045812010672173754,0.1562557922714737,0.1172887962075491,-0.01800289606122974
Rubber& Tires,8,0.15283995286833998,0.20600725899658226,0.13133106386430046,0.18814528356722682
Semiconductor,40,0.1136327142303164,0.20155336316152722,0.11714649250398632,0.12030776424340595
Semiconductor Equip,22,0.2015261771976584,0.3057216203481409,0.035907387808394524,0.07682448834082264
Shipbuilding & Marine,62,0.12258504466480614,0.022788906264797956,0.049110534442427155,0.020094583940034008
Shoe,10,0.12972906215921484,0.2736406761177753,0.1457306434023991,0.2255376226826609
Software (Entertainment),56,0.16253394840768073,0.0017225438034398448,0.0880205927914014,-0.015868479926501967
Software (Internet),28,0.10164621193366533,0.0028592648155368015,0.06615948613876212,-0.0023712567393885556
Software (System & Application),339,0.19484013224715743,0.00699699969236823,0.06973927661451076,0.1466673316083628
Steel,59,0.10852295183502478,0.2685683885689604,0.141859007891299,0.21816505118332272
Telecom (Wireless),12,0.21302334115211047,0.020804260479493727,0.2473483388131983,-0.04236118723278023
Telecom. Equipment,54,0.24108366726892833,0.1499092159380988,0.13370621548764292,0.15680543434951374
Telecom. Services,64,0.18520910970840254,0.023583818580528795,0.144487388734597,-0.007129199594319193
Tobacco,6,0.1338781478367085,0.21704381883033766,0.22523636730332275,0.10701769766129327
Transportation,59,0.15210151770330585,0.022657812143111404,0.16342514621209217,-0.005855422664350505
Transportation (Railroads),7,0.09729023530394078,0.013730013458108179,0.3052605971473046,-0.20008835718439918
Trucking,6,0.15210003206155817,0.022416800256492467,0.13614588008977235,-0.03430602757294005
Utility (General),16,0.20958448823928244,0.03627580377051314,0.18040112211363196,-0.041467922558603036
Utility (Water),12,0.29834412740246025,0.01522450415914825,0.28725046982277763,0.014532835183923364
Total Market,6971,0.13483424078351341,0.10708447816823612,1.450292735066815,-1.2896341456920883
Total Market (without financials),6149,0.14371354420554527,0.12113894086881345,0.16230684429288514,0.05329056757966
