Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,391,753859,66917.73799999998,71526.77000000003,88766.91529848418,94880.83315314937,1595.5069999999998,0.009488777593770512
Aerospace/Defense,289,2127158,344103.72000000003,185055.54900000003,161766.88332507506,86996.61661240022,5483.294,0.00756399785742453
Air Transport,155,1941679,199291.7,396106.53,102638.85019099449,204002.0672830061,1190.104,0.0017819948035882529
Apparel,1152,3408733,440338.6639999999,151702.91499999998,129179.57023914748,44504.1940803225,1716.8540000000003,0.0025539629119512596
Auto & Truck,165,4293541,224514.14199999996,342361.16,52291.13731533016,79738.64928738307,5767.2880000000005,0.0023913856742432205
Auto Parts,761,4253984,174493.05000000008,377483.81200000015,41018.73678885488,88736.53779609893,4684.118000000001,0.004770785963184524
Bank (Money Center),607,11144408,3382833.959999998,1171658.2000000002,303545.41578161874,105134.18029921377,18055.640000000003,0.0066942087040440575
Banks (Regional),881,1258337,289707.87000000017,110618.62000000002,230230.74899649314,87908.58092863837,2976.8649999999993,0.00873078008816857
Beverage (Alcoholic),220,1058932,421370.25200000015,200754.03599999996,397920.0288592659,189581.61241703902,1161.3840000000002,0.0029360714743585656
Beverage (Soft),100,763628,107467.27,39053.484,140732.49016536848,51142.02726982248,1021.7930000000001,0.0039182757278304545
Broadcasting,130,355055,13584.419999999998,19272.269999999997,38260.04421850135,54279.67497993268,609.3169999999999,0.00422666149187346
Brokerage & Investment Banking,590,713218,540183.41,276436.11100000003,757388.9189560557,387589.92481962044,8699.490000000002,0.019579155191127455
Building Materials,457,1739493,181889.268,109745.44900000002,104564.53000960624,63090.48038710131,1270.8650000000005,0.0027338788604082294
Business & Consumer Services,980,5546836,368215.1469999997,300314.371,66382.9157739655,54141.56304603201,5026.431000000001,0.007431073441595142
Cable TV,48,423251,4669.88,5108,11033.358456329695,12068.488910835415,2558.1830000000004,0.010508546153928091
Chemical (Basic),888,1694726,104631.00600000004,101133.001,61739.18733765814,59675.133915453,1221.2050000000004,0.0013181467176107782
Chemical (Diversified),64,475192,73211.7,136958.1,154067.61898348457,288216.34202596004,173.64899999999997,0.0007033949218239788
Chemical (Specialty),949,2021839,667548.3410000001,279450.93899999995,330168.8912915421,138216.2175128682,3586.0450000000014,0.0038490203759097004
Coal & Related Energy,215,1089881,38386.18,55149.975999999995,35220.524075564215,50601.83267714548,333.43500000000006,0.001133408801915395
Computer Services,1164,6354330,776788.7869999995,404423.21799999994,122245.58482168845,63645.29667171833,5545.102999999997,0.005245673191569755
Computers/Peripherals,338,2054326,3136779.161,588737.172,1526914.0151076315,286584.1020363857,15381.561999999998,0.011340193633164021
Construction Supplies,793,3655594,292501.37500000006,378741.58799999976,80014.73221588614,103606.03174203692,1517.5430000000003,0.0011943753007315392
Diversified,326,4944722,441808.13000000006,536893.9970000001,89349.4376428038,108579.20768852123,2691.0910000000003,0.0015080783433465883
Drugs (Biotechnology),1259,509806,686381.8430000002,111241.702,1346358.8953445042,218203.9873991283,15749.793999999998,0.05943552352529731
Drugs (Pharmaceutical),1299,3172618,760883.4619999998,225359.33299999998,239828.26233728733,71032.6087162085,11697.228000000012,0.010116396547034067
Education,260,505153,27328.589999999997,12295.364000000003,54099.629221245836,24339.881184512422,875.5070000000001,0.016501646805948504
