Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,391,231035.99600000007,228649.3399999999,209697.03800000012,208128.1410000001,0.1556247395153738,-0.010330234428059248,-0.08288806781598324,-0.0991527528030739,154185.08099999998,189502.1350000001,242543.89799999978,285024.659,199923.02700000003,224201.02699999994,0.2290562340464064,0.27990060903535285,0.17514669035293662,-0.29857638387701735,0.12143673674968869
Aerospace/Defense,289,1297056.3060000006,1336141.0269999995,1246042.3139999998,1269481.2729999996,0.05157263047209559,0.030133403476162446,-0.06743203836970402,-0.02125970389445908,890761.7719999999,1145129.7340000002,1075899.1389999997,1189290.6300000001,1233444.3370000005,1439194.919,0.2855622793834942,-0.060456551729011765,0.10539230573731362,0.03712608666562889,0.16680978283983916
Air Transport,155,549294.9800000001,563158.8799999998,494397.2769999999,471051.9070000001,0.08293953443623425,0.02523944420536961,-0.12209982909263528,-0.14244272357996057,485903.93000000017,552375.3899999999,491035.51,520326.17999999993,507225.9000000002,518545.33,0.13679959328585745,-0.1110474527114611,0.05965081832880048,-0.02517705336294962,0.022316348593397484
Apparel,1152,1571870.1499999966,1570464.162000001,1357030.472000001,1295659.9219999989,0.18355644580340935,-0.0008944682867065845,-0.13590484594579355,-0.17572076675671866,790435.1180000008,1046554.6459999998,1265089.5509999993,1641006.3950000007,1328090.5659999987,1478223.3190000008,0.3240234677933411,0.2088136590241647,0.29714643022927123,-0.19068531966324354,0.11304406253873078
Auto & Truck,165,1861858.7899999993,2118303.666,2102144.269,2092687.7340000002,0.24335412875951978,0.1377359429068199,-0.007628461046151225,0.12397768576208779,902730.3520000001,965778.4769999996,1861383.3899999997,2646898.844,1497448.512,2136341.2040000004,0.0698415920770985,0.9273398966003261,0.4220062659955295,-0.4342630375186336,0.4266541967087014
Auto Parts,761,653975.100000001,688940.1579999997,683777.4069999988,668582.6050000003,0.0960704151561329,0.05346542704760271,-0.007493758260497363,0.02233648498237817,466966.6219999998,510515.917,678992.8819999996,775668.3290000001,596654.2759999993,706940.2359999985,0.09325997394306329,0.33001314824822514,0.14238064869728717,-0.2307868534877371,0.18484064295887048
Bank (Money Center),607,6289980.399999998,6272815.070000001,6532280.400000004,6493002.899999999,-0.00697341123081352,-0.002728995785105548,0.04136345916539241,0.032277127604404265,5881653.100000003,6725863.5600000005,5980986.699999999,7142725.939999995,6334151.040000003,7110555.320000005,0.14353285473432575,-0.11074813715073362,0.1942387265298542,-0.11320256535000028,0.12257432370921206
Banks (Regional),881,809088.1640000009,767914.0920000001,776183.7499999993,765896.5069999998,-0.1415741739006381,-0.05088947513017972,0.010768988466484997,-0.0533831279726904,701105.5349999997,882547.7,836328.3239999994,1034680.8610000007,942525.4220000014,883968.7280000001,0.25879436966647296,-0.0523703999228603,0.23717065571965668,-0.08906653488393779,-0.06212744254234148
Beverage (Alcoholic),220,1483903.8180000011,1337104.2310000004,1277458.683,1242680.151,0.06788632553395546,-0.09892796636769663,-0.044608001842453504,-0.16256017679442403,855281.102,1213515.6789999998,1617772.2680000004,1667601.7019999987,1389570.9520000007,1275022.0129999996,0.4188501022205444,0.33312844324609725,0.03080126602837674,-0.16672491378879517,-0.08243475357277119
Beverage (Soft),100,829714.7460000002,828403.27,786339.992,740353.304,0.005701948708832338,-0.0015806347980709123,-0.050776330228633704,-0.10770140271798923,520336.54000000004,609566.946,721214.1560000002,806148.573,825010.5780000001,825653.9629999999,0.1714859502275199,0.18315824165439598,0.1177658761872662,0.023397678333420657,0.0007798506069576217
Broadcasting,130,116693.17999999998,104165.51799999997,95166.87000000002,92829.32000000005,0.0634185529794915,-0.10735556268155533,-0.08638797341745996,-0.20450089713897535,134661.53399999999,177371.43100000004,167571.969,160918.262,109734.00800000003,101911.36300000008,0.31716478886984945,-0.05524825472034456,-0.03970656333339395,-0.318076104997952,-0.07128733509852248
Brokerage & Investment Banking,590,976324.7469999997,963040.2670000003,980296.4249999999,949615.286,-0.03739728940392695,-0.013606620175120265,0.017918417942953457,-0.027357148409964283,563215.1890000001,812789.277,1069054.4059999995,1258835.641,1014255.1400000002,1069614.0290000003,0.4431238590051587,0.3152909816254865,0.1775225226469912,-0.1942910520119281,0.05458083160416627
Building Materials,457,603412.904,644099.3100000003,615189.9539999993,593450.1540000004,0.07555919085441065,0.0674271394103303,-0.04488338296776151,-0.016510667793076417,336232.6550000001,445016.62999999995,603873.4860000007,798903.4719999998,561022.4979999998,693847.0769999993,0.32353780450027925,0.3569683586880805,0.32296497614402453,-0.29775934432288975,0.23675446078099993
Business & Consumer Services,980,1112478.87,1139174.5269999998,1112366.828999999,1125806.1230000001,0.031164628201012734,0.02399655195248762,-0.02353256447069485,0.011979780793499595,688076.3699999994,936596.9820000005,1163676.9750000008,1358045.391,1078856.7019999993,1234236.378,0.3611817275457394,0.2424521938081583,0.16702952810422245,-0.20558126469868543,0.1440225339583614
Cable TV,48,306146.17899999995,316755.9379999999,331976.19100000005,333915.7660000001,0.012230211326879292,0.034655859611430806,0.04805041097603713,0.0907069527723885,332854.71900000004,469427.727,544082.171,504471.56799999997,302447.186,322207.00600000005,0.4103081621023974,0.15903288132786408,-0.0728026116481586,-0.40046733020244263,0.06533312563205684
Chemical (Basic),888,1031012.1880000004,850574.4670000001,921706.5400000013,908401.8469999997,0.05325403897283465,-0.17501026961671606,0.08362827213810697,-0.11892230026673623,658657.4420000002,729773.132,959238.1089999997,1208375.7610000002,978882.7289999997,954815.4379999994,0.10797067711564678,0.31443330391067303,0.2597245143437066,-0.18991859933542676,-0.024586490584614595
