Indusry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,391,4576.511399999998,0.0811035364333635,1579.0810000000001,0.009391089109323075,1507.3259999999993,1526.8600000000004,1483.5540000000008,1410.1599999999999,1388.218,0.026099196060627605
Aerospace/Defense,289,107714.9926,0.32557959018523647,36877.111,0.050870587751086584,36510.093999999975,35854.85599999997,34219.155,32146.153999999995,32763.836999999992,0.023935090845589535
Air Transport,155,3380.9269999999997,0.005488955968126801,1169.6870000000001,0.0017514235359470547,1139.994,1115.787,1087.3059999999998,974.251,964.128,0.03941024578923402
Apparel,1152,9540.161599999996,0.01943666956632684,3171.4919999999984,0.004717857746523654,3216.8430000000017,3254.919999999998,3092.4829999999984,3026.2499999999973,3135.925,0.0022581364057023823
Auto & Truck,165,289062.0799999999,0.14313660390581756,97086.46499999998,0.040256561067162897,97440.89399999997,98002.34399999992,94585.55699999999,86936.35299999999,88736.46199999998,0.018148945656416338
Auto Parts,761,113502.9218,0.21823190546885715,35614.36299999999,0.03627331828279265,39809.62099999997,39805.75299999998,37957.40100000001,34872.248999999974,35571.25399999999,0.00024226369735624864
Bank (Money Center),607,1.5652000000000001,7.993985844829869e-08,0.564,2.0910550437873402e-07,0.562,0.553,0.397,0.305,0.324,0.11724088138874866
Banks (Regional),881,118.108,5.1037044376963726e-05,33.192,9.734806673681577e-05,34.339,37.339,60.171,54.865,58.503,-0.10716530782642075
Beverage (Alcoholic),220,4896.305000000001,0.00943452520016632,1632.343,0.004126693426695121,1655.6860000000006,1713.335,1580.0079999999996,1397.0450000000005,1445.5950000000003,0.024596709378266635
Beverage (Soft),100,3197.1367999999998,0.01997905702429496,1068.3259999999996,0.004096716101216388,1073.063,1076.0630000000003,1053.3000000000002,1017.013,1025.879,0.00814159021432359
Broadcasting,130,625.8292000000001,0.004204155981308398,213.90400000000002,0.00148379218002731,213.26900000000003,213.859,185.333,194.307,199.12199999999999,0.014424972914786505
Brokerage & Investment Banking,590,4599.879200000002,0.0016625302880902753,1556.4859999999996,0.003503042241190825,1534.757,1534.7020000000005,1493.3029999999999,1487.226,2122.7489999999993,-0.060169976467207675
Building Materials,457,20686.61219999999,0.08163011149765784,6947.134,0.014944642257850565,6934.539999999998,7061.181999999999,6724.682999999998,6326.318999999996,6522.067000000002,0.012707634451857963
Business & Consumer Services,980,16548.213399999993,0.06550519433607345,5554.795,0.008212206553318935,5774.834000000003,5669.487000000001,4857.375000000005,5144.545000000003,4585.358999999998,0.03910381306638411
Cable TV,48,1594.0346,0.004655755651864359,535.6759999999999,0.002200458673031438,539.541,533.742,519.712,492.9790000000001,490.75199999999995,0.017672460610056673
Chemical (Basic),888,40643.530400000025,0.045736300941802165,13626.153,0.014707824526277129,13435.63,13788.01799999998,13446.117000000002,13088.079000000003,13240.336999999992,0.005761123299705684
Chemical (Diversified),64,21570.2,0.10023204010756406,6953.889999999999,0.02816791869185857,7225.103,7579.041,7350.126000000001,6743.762999999999,7104.138999999999,-0.004266145380115383
Chemical (Specialty),949,61027.92899999994,0.07402264106721805,19997.940999999995,0.02146444966118381,20363.177000000014,20838.63500000002,20322.411000000004,20536.504999999986,20327.890999999996,-0.0032675629956450125
Coal & Related Energy,215,6289.411399999999,0.0251397638418169,2121.9,0.007212740524492857,2104.9729999999995,2114.4109999999996,2093.407999999999,1887.6160000000002,1766.6719999999998,0.037322498388150604
Computer Services,1164,46665.94960000002,0.15036862459419714,15594.78899999999,0.014752686575071184,15643.423999999994,15622.607999999995,15470.43899999999,14973.404999999999,15261.994999999997,0.0043235333644513485
Computers/Peripherals,338,240352.43419999996,0.3877420605577927,76618.73000000001,0.05648784136013711,82409.55599999998,81753.39399999997,80968.59699999995,81832.92099999989,82531.18700000003,-0.014756969197652792
Construction Supplies,453,7240.663800000001,0.013738353951585298,2431.836000000001,0.005527885584309559,2344.22,2402.7030000000004,2286.034,2887.0819999999994,2381.9030000000007,0.0041579764159085375
Diversified,326,61724.8894,0.024201232635849185,20637.062,0.011564940120011125,20885.30400000001,20718.72199999999,20190.41800000002,19360.91900000001,19705.506000000012,0.009280902231866506
Drugs (Biotechnology),1259,302918.7307999995,0.8533395700711917,103353.37900000007,0.39002809744517764,102492.22099999992,99503.86499999998,97068.74000000005,95208.79999999997,93557.14799999993,0.020115957273553198
Drugs (Pharmaceutical),1299,547006.4526000001,0.4730823531982478,190570.08000000034,0.16481533054498093,186992.64199999976,177281.2960000001,170767.2589999999,160832.88899999982,163419.89699999974,0.031216745594917494
