Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2023_0,Average_2020_24_
Advertising,391,1.3525261181448878,0.3152887276931153,0.14376235296448503,1.0947571929899145,0.11062068696223407,1.230922708614235,0.423917268181586,0.38891117906224903,0.23158436203830868,0.96,1.16,1.18,1.1743473424289956,1.141054010208646
Aerospace/Defense,289,0.9843030741457368,0.20769079667727475,0.09402857877671386,0.8521341033585026,0.05673024828259249,0.9033832599921977,0.35669276145019535,0.3510101886001401,0.16296666494923281,1.05,1.53,1.11,1.0573692747052328,1.130150506939486
Air Transport,155,1.2872127648104188,1.0400536729284688,0.12181027768388239,0.7244914790460897,0.10601131308644825,0.8104034085122015,0.32696418683182654,0.30061794269989933,2.412283859312126,0.65,1.27,0.94,0.7616142271729274,0.8864035271370259
Apparel,1152,0.8327732999954237,0.17043137067145844,0.1373262342575402,0.7387469558915241,0.052239342656628045,0.7794657334292336,0.32113391168320865,0.3272366860839866,0.3191783810428805,0.7,0.7,0.9,0.8419360205243345,0.7842803507907135
Auto & Truck,165,1.3606863499868866,0.5530299331506532,0.09970336321172629,0.9629750161922377,0.1269663212770562,1.1030216126379664,0.42970252588994573,0.364637234321081,0.23574755884366724,0.85,1.57,1.11,1.033835592637108,1.1333714410550149
Auto Parts,761,1.3055576462563971,0.306237218142774,0.16103259452445998,1.0625537720359322,0.12117013893913953,1.2090551528976192,0.3175010397651392,0.30389336137361084,0.2002345813642587,1.11,1.38,1.44,1.2875467841381958,1.285320387407163
Bank (Money Center),607,0.8766122259384862,2.9096935698402113,0.2163852605799147,0.27627592486977015,0.34317315656393305,0.42062215883943516,0.212213846149399,0.2128077921549118,0.4437829024131415,0.4,2.03,0.59,0.4376114721606776,0.7756467262000225
Banks (Regional),881,0.5230836051597125,2.5406415850593866,0.18284346245612015,0.18053856113967368,0.3641043372619013,0.28391223862464154,0.22352306057507929,0.18295557375623153,0.7440067530014159,0.46,1.67,0.67,0.3577565862282306,0.6883337649705744
Beverage (Alcoholic),220,0.7455633619248502,0.18675728619666432,0.1621585532300848,0.6543069484840912,0.04700845115353476,0.6865821100681192,0.2866903688100707,0.2748939825628717,0.16762250579316848,0.8,0.9,0.86,0.810718193165097,0.8114600606466432
Beverage (Soft),100,0.7071161596851042,0.16480804910029254,0.1182858653074113,0.6296230090498157,0.04069668290722196,0.6563336098512859,0.37882077519542773,0.3223807318866916,0.14698592627432167,0.71,0.54,0.82,0.7947183264713243,0.704210387264522
Broadcasting,130,0.9819685709875663,0.8748579853184708,0.14865863163963045,0.5939287919408502,0.10517617199171372,0.6637382391378946,0.35327297467011515,0.31539632930060435,0.14083322276196725,0.69,0.74,0.81,0.7444295667373665,0.7296335611750522
Brokerage & Investment Banking,590,0.9286781655866341,2.47603730524236,0.13185490204757436,0.3259543879766374,0.18463725718895374,0.39976610514833727,0.3388151960688077,0.3195173390050282,0.5295047221780386,0.44,0.42,0.45,0.4509503326169772,0.4321432875530629
Building Materials,457,1.0314797894224854,0.21655773541271908,0.15935721471413286,0.8878861246290126,0.0559338096489193,0.9404913910737808,0.29568948471740625,0.2800130376053482,0.2814921299770681,0.83,1.04,1.05,0.9975517318295956,0.9716086245806753
Business & Consumer Services,980,1.0420886881980238,0.1907385353344517,0.1679935687658455,0.9121577157774159,0.05384943646877903,0.9640724752866636,0.3516113812858824,0.3330640976941999,0.20247292939859132,0.88,0.64,1.04,0.9967488441793113,0.904164263893195
Cable TV,48,1.021143501777062,0.9696547204259209,0.13470114214431717,0.5922631574572997,0.025205513284538537,0.6075774591759452,0.3374969558013187,0.3091067406758942,0.243968695039783,0.79,1.13,0.72,0.6054329946472208,0.7706020907646332
Chemical (Basic),888,1.0727320656318426,0.4297975446497285,0.13751305026305558,0.8120773270120969,0.09961995924938562,0.9019272865434659,0.29266533929194366,0.2887733872844873,0.3809713763745142,0.9,1.04,1.02,0.9877865839791308,0.9699427741045193
Chemical (Diversified),64,1.0926752561445323,0.5570507338998802,0.2255044468760268,0.7716603257158802,0.0882674787854466,0.8463670076042942,0.23217966798153808,0.2236285736387566,0.20905649040129964,0.95,1.08,1.15,0.9419506953199124,0.9936635405848413
Chemical (Specialty),949,1.0268135146120057,0.21765235530307803,0.14221051519618308,0.8832479399579165,0.06132620802620848,0.9409530206448732,0.3185147331601164,0.3121796391835974,0.37150647661424707,0.98,1.15,1.04,1.0212013193407876,1.0264308679971321
Coal & Related Energy,215,1.0062570197628316,0.19790034378327712,0.10341227314527049,0.876689365457285,0.1862645938843715,1.0773641639143707,0.4315997450411636,0.5042147298228631,0.736227544539837,1.27,1.84,1.09,1.3528350871710502,1.326039850217084
Computer Services,1164,1.041484274226574,0.14143576400150892,0.16475875905545834,0.941987564424575,0.05937935361397077,1.0014532086275136,0.35144556277498573,0.3289536292318077,0.13756270626206105,0.98,0.77,1.09,1.0374271307252976,0.9757760678705623
Computers/Peripherals,338,1.2665979213694365,0.07561375652951331,0.12194053663885653,1.1988981187384062,0.043484869859112124,1.2534021480264688,0.36800788475890556,0.32935741174104016,0.24835995542471162,1.35,0.64,1.33,1.2200041411476166,1.1586812578348171
Construction Supplies,793,1.0171432230729893,0.39417039265923215,0.1553931300407955,0.7858232293272541,0.10347710115314707,0.8765233217556566,0.3009769204079889,0.2848026297975704,0.27622642747359305,0.96,1.04,1.02,0.9372739963088855,0.9667594636129084
Diversified,326,0.9535674979014122,0.5152926723483408,0.13916668409857108,0.6885855973950846,0.07535854519586742,0.7447055221431189,0.27331421311063386,0.2713903517710711,0.29767334871184786,0.69,1.32,0.82,0.7347087450687306,0.8618828534423699
Drugs (Biotechnology),1259,1.173586127245847,0.14337183813025003,0.020433290762096004,1.0600829515747665,0.07815513126451581,1.1499580759492718,0.5407394031199935,0.5327835684030323,0.26750786956298095,1.4,0.82,1.1,1.2526532845890637,1.144522272107667
Drugs (Pharmaceutical),1299,0.9463176964388144,0.15415756161569721,0.09640395802394129,0.8486203872148267,0.041946029275355415,0.885775137044685,0.41674152081670857,0.41512557065255234,0.19086629733080837,1.2,1.13,1.02,0.995463542798184,1.0462477359685738
Education,260,0.831043895169313,0.2883568000630679,0.12339682911051103,0.6837926614019514,0.10032986468832618,0.760048193847253,0.3888477402642323,0.3452563908096796,0.15418969605319904,1.02,0.65,1.0,0.7917217099759216,0.844353980764635
Electrical Equipment,1072,1.1304437779998266,0.17622512702490123,0.11834997694606245,0.998973893770822,0.09499955512081296,1.1038380140290207,0.3780291348439767,0.3511338511809446,0.22066690538059253,1.15,1.12,1.08,1.102323689949516,1.1112323407957074
Electronics (Consumer & Office),127,1.2272209019035967,0.3027691506665438,0.11500672621521232,1.0009076689690162,0.1105001853213754,1.1252477543580413,0.3733576257103201,0.33860993934953365,0.33723077724104283,1.3,1.59,1.19,1.0955088212486108,1.2601513151213304
Electronics (General),1486,1.2819639249630843,0.18634952162921709,0.11332242765729184,1.125353218432524,0.11966984844655978,1.2783308812571208,0.33847288499410805,0.3253309852456644,0.3163763481919995,1.38,0.64,1.31,1.2905124151341338,1.179768659278251
Engineering/Construction,1283,0.9684592416234427,0.9359332538219187,0.15882517122176154,0.5700323245000791,0.1924177811879041,0.7058505143148914,0.3274926644590912,0.3057573435641939,0.21741665492537782,0.81,0.75,0.84,0.7301374520654016,0.7671975932760586
Entertainment,741,1.108071766625171,0.22268773448599818,0.08788798209476802,0.9500717879507887,0.07996344720797645,1.032645697681921,0.4347237209585506,0.41350767359783575,0.1976360141358538,1.17,0.47,1.11,1.101640081025748,0.9768571557415339
Environmental & Waste Services,383,1.0018793316240373,0.35008208408259966,0.13223885679532385,0.794233811206272,0.04067482183321557,0.8279088564359454,0.37123861176203093,0.3388816224065516,0.2861197608728566,1.01,0.96,0.9,0.89640526150774,0.9188628235887372
Farming/Agriculture,430,0.7739207856809721,0.5794545163901836,0.1352298963784613,0.5401696082459958,0.05891073232073713,0.5739833900965212,0.33352048370789006,0.3405479235070628,0.298682922735183,0.6,0.73,0.77,0.659688782675045,0.6667344345543131
Financial Svcs. (Non-bank & Insurance),1113,0.9263947961157201,3.449648709378383,0.14490943454373367,0.25904462929195954,0.06706629368811425,0.2776667061543162,0.35853116091176707,0.3520861107982175,0.32958685872732846,0.15,0.3,0.2,0.15539901285715607,0.21661314380229446
Food Processing,1395,0.7051051868903214,0.32217566898899513,0.15623387964976904,0.5683578414593035,0.0589187920672817,0.6039413354218605,0.30647453815713643,0.286288168212873,0.17032031659023966,0.65,0.97,0.77,0.6918080464880533,0.7371498763819828
Food Wholesalers,173,0.669184281117407,0.5767862212454345,0.17700875397813667,0.46771770805335505,0.057427285676490435,0.49621392699558364,0.33636511502487226,0.3082233050608905,0.2190390928105347,0.52,0.43,0.6,0.4847061410486548,0.5061840136088477
Furn/Home Furnishings,383,0.9490949854867619,0.27946956770800974,0.14366739006588514,0.7852145307882167,0.1595884398009379,0.9343214300886445,0.2918006663540768,0.29724029020693765,0.2639887887201389,1.01,0.9,1.15,1.0884231491124254,1.0165489158402141
Green & Renewable Energy,253,0.865385048247372,0.6448563458929364,0.1047793758008416,0.5840965701542717,0.04099004066261167,0.6090620482792936,0.3681537217928212,0.3337365434374277,0.3908932484112065,0.59,0.75,0.76,0.7390903503257963,0.689630479721018
Healthcare Products,849,1.0980822833163133,0.13253431834266735,0.08334677413472792,0.9991862014182642,0.042383647767534983,1.0434097110903426,0.44060150342820786,0.42342967151692185,0.34402473213531004,1.13,0.49,1.01,1.0775359783236322,0.9501891378827949
Healthcare Support Services,463,0.9102046390281967,0.2987205770984832,0.1447747479852563,0.7441878455267249,0.09379214785692339,0.8212109879282184,0.39499571685932533,0.3780579367531488,0.25762690680627176,0.82,0.8,0.85,0.920550044362433,0.8423522064581302
Heathcare Information and Technology,443,1.2336178357798575,0.1375103198914224,0.06131214221453263,1.1187321980695937,0.044371612601688586,1.17067702552802,0.44773394535161976,0.4493294014324383,0.5353080541608133,1.23,1.24,1.03,1.2736117177372563,1.1888577486530552
Homebuilding,173,1.09470744903033,0.3005303566226145,0.18872652923726171,0.8940503106373503,0.11601669293529722,1.0113882281398225,0.3304884896946101,0.2896512515831867,0.45986996912916206,0.75,0.91,1.37,0.9748955450608979,1.003256754640144
Hospitals/Healthcare Facilities,232,0.7649492144306516,0.475111006359929,0.1718131529834948,0.5646161286809105,0.026896236336465092,0.5802219144187124,0.32407501508232067,0.2952943117870857,0.18866868923928598,0.5,0.73,0.74,0.5707105333941709,0.6241864895625767
Hotel/Gaming,650,0.9791274828677105,0.4628896630171206,0.11825805716497438,0.7276047180541836,0.07355123769802213,0.7853696261046105,0.3374885116467754,0.33832876960999625,0.9974878188791421,0.68,0.81,0.95,0.7452374087131339,0.7941214069635489
Household Products,549,0.8982548951677175,0.13785081691195358,0.1366916395957152,0.8144134788480026,0.03816444777928182,0.8467284006789493,0.3702339328632409,0.35414092089807037,0.13138925298308193,0.96,0.74,1.0,0.959250721543237,0.9011958244444372
Information Services,81,1.210329895898512,0.34624799410851154,0.16585514761820333,0.9616645881105148,0.0598295471245945,1.0228619556904517,0.38166891135791475,0.33631953220947924,0.31686787522866505,1.05,1.32,1.23,1.341638572668401,1.1929001056717705
Insurance (General),202,0.6850762226636024,0.3514691682267694,0.15238045010153373,0.5426444424667729,0.13783068831010756,0.629394290783981,0.2457207774399582,0.2478689232245281,0.12060178049482516,0.54,1.33,0.72,0.6092906981965142,0.765736997796099
Insurance (Life),137,0.8866231834549279,1.0379953849602577,0.13664672979645745,0.4994567897167896,0.35553614467299527,0.7749958133235606,0.2408404076924146,0.2529088497524812,0.23917239448572666,0.98,1.17,1.0,0.7962762006298993,0.944254402790692
Insurance (Prop/Cas.),228,0.7108225066540635,0.22322763812449278,0.1756962923521229,0.6092556846879728,0.08350760620755274,0.6647689482362986,0.27145201745044617,0.2674377675554218,0.1761766014821702,0.5,1.19,0.82,0.690694218235931,0.7730926332944458
Investments & Asset Management,1374,0.7538219195489255,0.7368531783784888,0.08615714630156937,0.48624827102714024,0.09919470404178478,0.5397928644612402,0.29950596570499743,0.2952473128244418,0.3139459661586884,0.55,0.55,0.72,0.565197064061528,0.5849979857045536
Machinery,1492,1.0707088534325075,0.1535047719042591,0.14714515530435857,0.9605894153041621,0.07489843094644807,1.03836102698098,0.3031773110652812,0.2975651969773884,0.16361903388982688,1.16,1.01,1.13,1.0629501446657796,1.080262234329352
Metals & Mining,1815,1.0907339755589993,0.27762931168858035,0.03902902271894731,0.9034238777829865,0.08636939084417201,0.9888283828600355,0.5013085161369282,0.5751337390211976,0.5635382501792922,1.09,0.82,1.01,1.109674282355319,1.0037005330430708
Office Equipment & Services,137,0.8288759065679246,0.2862842073402808,0.19433541841163088,0.6828785003810545,0.11948923176085254,0.7755481534276752,0.3097894010721913,0.2790876657137057,0.0843830685979903,0.94,0.71,1.05,0.8344943817237243,0.8620085070302798
Oil/Gas (Integrated),36,0.9908295261548429,0.17476602744742162,0.2803033369389523,0.8764406400015604,0.06552673807134218,0.9378980391506078,0.23196569122487862,0.26835269009888657,0.7393306736381731,1.14,0.99,1.15,1.0257376245751695,1.0487271327451555
Oil/Gas (Production and Exploration),590,1.0888559417354342,0.2717382766339913,0.08549234197609665,0.9051667094745626,0.061033186032755274,0.9640028763637847,0.45187606453427664,0.48387766980457786,1.389847827448186,1.14,0.64,1.21,1.1719532510287904,1.025191225478515
Oil/Gas Distribution,174,0.8547732753174829,0.7048790827247999,0.13257576188632905,0.5599916168241083,0.039579034143963986,0.5830689215795911,0.2921821624974804,0.29604834790023926,0.3266481239452124,0.83,1.03,0.75,0.640895646239336,0.7667929135637854
Oilfield Svcs/Equip.,444,0.9765462243377149,0.4155828820500873,0.13609775062804738,0.7452518691535234,0.08726077807595153,0.8165003226031388,0.3600000521988543,0.36102582329931976,0.5636069650717648,1.06,1.22,1.06,0.9186144133116347,1.0150229471829546
Packaging & Container,426,0.8139771520457355,0.49693155970576414,0.1546920934997709,0.5936635639715852,0.05708148365385077,0.6296021911543933,0.29386704298584165,0.27470203395781206,0.15640622191613904,0.61,0.72,0.8,0.6454232908587869,0.6810050964026361
Paper/Forest Products,266,0.9112356226770696,0.645318057178036,0.1224691019938501,0.6149005716170386,0.0883977493257826,0.6745272635760394,0.29677506048019786,0.2923214250279434,0.3989828297882948,0.74,0.64,0.89,0.752359681166661,0.7393773889485401
Power,488,0.7365451827825267,0.9837646385454605,0.16229579615577702,0.42460114968331963,0.05031621663585443,0.4470973992829686,0.2685337268300212,0.25342379632553697,0.08799125378046294,0.51,0.65,0.54,0.4433046474349577,0.5180804093435852
Precious Metals,853,1.0916417105034693,0.18403292677500496,0.04188073378789107,0.9597391961584436,0.07738238818967962,1.0402350701665934,0.5052576282988133,0.6015926072615447,0.8042510072992761,1,0.32,0.99,1.1011319908908235,0.8902734122114833
Publishing & Newspapers,324,0.8946248623694311,0.23007603657373388,0.1388019161884983,0.7634485362421763,0.14037649493687,0.888119661393053,0.32744522580312907,0.30651468123456876,0.10977509722519067,0.85,0.73,0.94,0.8690395285125317,0.855431837981117
R.E.I.T.,659,0.8045890535754917,0.7830556994826617,0.019801851377796918,0.5076957112295118,0.02117120206717456,0.518676720895122,0.22660046672543616,0.19507213564220016,0.2075604491580132,0.35,1.16,0.77,0.5091699845154034,0.6615693410821051
Real Estate (Development),884,0.9838192893514592,2.4890518647243876,0.14392586391939624,0.3441342707890758,0.17112949557351387,0.41518460236100446,0.33952140707756057,0.3226407984583051,0.48193109178196963,0.64,0.57,0.52,0.5012546023244221,0.5292878409370854
Real Estate (General/Diversified),336,0.9412697957463101,1.2092517901605337,0.15451442812867944,0.4946061748565712,0.08453090502375923,0.5402762120215623,0.2696094336514501,0.25548788218587737,1.0694890879196588,0.64,1.17,0.61,0.5297027575571283,0.697995793915738
Real Estate (Operations & Services),748,0.8751991180677632,0.8915335897777674,0.12585018357495545,0.525393531391579,0.0620311965070359,0.5601396650240725,0.307843993617713,0.2896694113717817,0.15806882187184695,0.49,0.52,0.63,0.5521553535566948,0.5504590037161534
Recreation,326,0.9948681136678436,0.27013639525976096,0.13549645390942844,0.8278578438765418,0.08113132496386065,0.9009533857969224,0.3418723791420405,0.31551562219003826,0.23056385407829166,0.84,0.74,1.02,0.9858976233637634,0.8973702018321372
Reinsurance,34,1.141023579620872,0.27451851835428187,0.12877121702446767,0.9468993393590084,0.12790010299535454,1.0857693512076685,0.2661683153190195,0.23429812694853552,0.30742469181830184,0.92,6.75,1.44,1.0895323174584777,2.257060333733229
Restaurant/Dining,394,0.9801535686910061,0.27343304356270237,0.13824157611958085,0.8139459674280652,0.038925087185995064,0.8469120945471883,0.32466349764175095,0.29860207290824436,0.23473392593383285,0.67,0.78,1.01,0.8289252878100836,0.8271674764714543
Retail (Automotive),204,0.9984182748699064,0.6246651119122402,0.1796100862400052,0.6808171422811747,0.048011441907635934,0.7151526523022773,0.34207120014384995,0.3273261317518817,0.27410669399964643,0.66,0.39,0.89,0.7185689332312892,0.6747443171067135
Retail (Building Supply),120,1.1069063250264495,0.2291614464271902,0.19923997301058546,0.9451546650531594,0.018006451959146356,0.9624856160601153,0.3028887069791528,0.30071356129427346,0.32817484989847334,0.9,0.71,1.11,0.9343776592100076,0.9233726550540247
Retail (Distributors),1028,0.8024527976818081,0.5734998490504833,0.16387364830784448,0.5618277614361914,0.08007115365201256,0.6107295837787711,0.33931813593052157,0.310820691469926,0.37132684038157204,0.6,0.5,0.65,0.5976015996949612,0.5916662366947465
