Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_,Debt_Repaid_during_year,Debt_raised_during_year
Advertising,391,5858.19955031979,64829.85699999998,70688.05655031977,3195.2450000000013,0.04928662730198529,0.08539424894924161,4932.3189999999995,16856.931000000004,13971.418000000003
Aerospace/Defense,289,11384.31230099569,287523.2270000002,298907.5393009959,12886.336000000001,0.04481841740041403,0.0625309091355886,8139.088000000001,70547.10899999998,75986.188
Air Transport,155,36225.913046404894,503089.0620000001,539314.975046405,22927.475000000002,0.045573391933534026,0.10024770016941592,30663.69,134443.44700000001,82017.48999999999
Apparel,1152,14763.36541568255,237172.26100000014,251935.6264156827,7530.617000000009,0.0317516768961443,0.41499042493480476,12969.947999999999,95433.08800000006,87874.0250000001
Auto & Truck,165,6524.295235106489,1174936.3379999998,1181460.6332351062,12474.696999999998,0.010617338656181727,0.23368298167043694,5243.175,432536.75600000005,456262.019
Auto Parts,761,5115.374265835941,211376.03699999975,216491.4112658357,8584.262000000008,0.04061133003453943,0.26814834279032074,5703.164,88778.26399999986,90419.61500000006
Bank (Money Center),607,37702.41559711471,20651834.677000005,20689537.09259712,5023.57,0.0002432505430422974,0.3172126546190968,27111,3188759.3910000036,3742955.3580000005
Banks (Regional),881,15539.035248850938,2230308.6749999993,2245847.7102488503,6.466000000000001,2.899150271206295e-06,0.32529355637741275,8511.887000000006,1381347.2810000016,1460808.3039999993
Beverage (Alcoholic),220,1060.9589888878982,237058.69200000007,238119.65098888797,9466.023000000007,0.03993113654739985,0.08618968825781785,355.92099999999994,29892.579999999998,42727.952
Beverage (Soft),100,4976.122873955115,131098.29599999997,136074.4188739551,3428.5079999999994,0.02615219346558097,0.14576120644136525,1327.124,15375.439000000004,21713.609
Broadcasting,130,6056.67871523941,83101.29100000001,89157.96971523942,4759.715,0.05727606566304727,0.03528608770414175,4550.69,8182.916000000002,7150.8369999999995
Brokerage & Investment Banking,590,14228.907014583703,2634175.3310000007,2648404.2380145844,1016.5200000000001,0.00038589686420535376,0.5522313976240241,8681.963000000002,821673.6599999996,911257.3839999996
Building Materials,457,6051.020717854291,144206.9310000001,150257.9517178544,5696.207000000001,0.03950023040154705,0.14484129872841311,5218.757,48955.63199999998,52128.38800000001
Business & Consumer Services,980,13525.815996218793,221890.6229999999,235416.4389962187,12527.886999999995,0.05645974052720561,0.07270110720306425,12420.244,83664.10800000005,87802.67300000007
Cable TV,48,12788.568322203122,299640.97599999997,312429.5443222031,13147.29,0.04387680942542385,0.004824734427458052,4302.7300000000005,41055.079999999994,46765.645000000004
Chemical (Basic),888,5025.178846054885,405352.15199999994,410377.3308460548,14352.569999999996,0.035407657093183505,0.3129253062769156,4434.026000000001,189869.01799999992,226900.6440000001
Chemical (Diversified),64,676.3585544157104,97725.896,98402.2545544157,3132.0840000000003,0.032049683125954666,0.05461911391280211,661.6,27749.724,29319.91400000001
Chemical (Specialty),949,9756.392513515893,389814.43799999973,399570.8305135156,14620.152000000016,0.03750541430689652,0.2014006207861993,8487.219000000003,144326.62099999993,161023.80700000003
Coal & Related Energy,215,170.27260057679086,77899.153,78069.4256005768,4405.567999999999,0.0565547612565184,0.16253800539907737,212.685,49962.87999999996,38790.712000000014
Computer Services,1164,11904.506464284495,200397.78399999999,212302.29046428448,7849.609999999995,0.03917014371775686,0.19054403193123737,10381.286999999998,148478.58899999992,148618.10000000006
Computers/Peripherals,338,17804.706935384893,286052.89999999985,303857.60693538474,12341.542000000001,0.04314426457483916,0.1897219703651156,17274.145,167383.27,143404.96500000003
Construction Supplies,793,4605.567374963313,538756.8250000001,543362.3923749634,19088.652000000006,0.035430923775304386,0.20706337668976546,3060.679,232719.2509999998,247368.714
Diversified,326,21057.970558641013,1180489.6280000005,1201547.5985586415,64483.217000000004,0.05462412838751344,0.14867644685791095,4715.5,472428.8820000001,487179.1719999999
Drugs (Biotechnology),1259,13694.928058326623,237343.05000000008,251037.9780583267,10837.242999999999,0.04566067133627884,0.029808360915549153,11065.85,29685.251,52218.38900000004
Drugs (Pharmaceutical),1299,10995.032245330163,641897.7480000001,652892.7802453303,23029.113000000038,0.03587660662738457,0.08586856364319148,5005.386000000001,140364.61,169239.3010000001
Education,260,3504.302193712272,26673.163999999997,30177.46619371227,1902.2599999999998,0.07131737352194138,0.08345017353878594,2872.976,7817.561000000002,6397.43
Electrical Equipment,1072,4894.775790018321,287195.55600000004,292090.33179001836,10790.754000000014,0.03757284461602189,0.2486438198679412,4700.447999999999,122256.29999999994,155051.99300000016
Electronics (Consumer & Office),127,345.4617825673631,72598.90699999998,72944.36878256734,1442.9530000000004,0.01987568490528378,0.4271361757683183,344.431,18530.159000000003,22760.394000000004
Electronics (General),1486,6001.198576232069,315093.9699999997,321095.16857623175,11587.615000000013,0.03677510870804676,0.3163545582888461,4771.033000000002,189382.6170000001,195581.51399999973
Engineering/Construction,1283,4391.424598862999,863558.3500000016,867949.7745988646,32177.436999999998,0.037261450833055966,0.21454195132134596,3851.3940000000007,398977.916,462648.9009999995
Entertainment,741,23602.00171188102,212815.15199999994,236417.15371188096,10817.835000000006,0.050832071393112126,0.0629250541330713,18760.772999999997,58620.224000000024,47100.915000000015
Environmental & Waste Services,383,2931.501623300661,129243.60099999994,132175.1026233006,5715.973999999999,0.04422635980252517,0.07771326245501817,2606.9549999999995,93975.04700000004,99762.80099999999
Farming/Agriculture,430,3527.0319416417915,227629.02399999995,231156.05594164174,8794.693000000001,0.03863607920227257,0.21172820977028226,3615.5809999999997,94363.27200000001,108936.34900000002
Financial Svcs. (Non-bank & Insurance),1113,20195.00806034729,11887369.889000004,11907564.897060351,23198.835999999992,0.0019515533054512816,0.08585469637495836,10146.080000000004,2330136.0339999995,2167064.664
Food Processing,1395,7765.619629026973,585874.6919999993,593640.3116290263,24455.05199999999,0.04174109640496302,0.20795339564775503,6605.623000000001,284610.3160000001,304831.8909999997
Food Wholesalers,173,4335.0115296099175,61242.416999999994,65577.42852960991,4471.5019999999995,0.07301315361214435,0.0796566010996934,3393.3710000000005,26789.196000000007,21445.957000000006
Furn/Home Furnishings,383,3617.8333203889197,83997.53899999999,87615.37232038891,3423.0180000000005,0.04075140820494754,0.3209824604354305,3686.8310000000006,67056.21800000001,70449.07200000003
Green & Renewable Energy,253,1009.5118204926839,293535.183,294544.6948204927,10403.553999999996,0.03544227269001684,0.07544966059737963,1755.58,96150.19200000001,119291.35900000004
Healthcare Products,849,8815.124207981717,254659.8479999999,263474.9722079816,8603.773000000003,0.033785353551298775,0.04340790593746239,6062.037999999998,42086.48399999997,51377.69099999999
Healthcare Support Services,463,42124.57397059753,373524.2269999999,415648.8009705974,17870.065000000006,0.047841782964187785,0.12218957610936124,31895.126000000004,194324.69299999988,215164.72699999993
Heathcare Information and Technology,443,7561.645723254158,143980.26199999996,151541.90772325412,5333.83,0.03704556392597758,0.026052767220358992,5387.660000000002,25808.31499999999,35401.202
Homebuilding,173,15998.345695293305,79786.878,95785.2236952933,1647.5869999999995,0.020649849214553796,0.15597325840265913,1109.4929999999997,42316.12499999999,41481.003
Hospitals/Healthcare Facilities,232,11268.203743402497,166933.77,178201.9737434025,8630.539999999999,0.051700383930704974,0.020909007987049207,7899.579,28282.61999999999,27748.305999999997
Hotel/Gaming,650,59494.611059095536,416486.1470000002,475980.7580590957,24811.382000000005,0.05957312669033382,0.019058219192935995,45238.13599999999,90091.38899999998,85588.24599999998
Household Products,549,7286.487182971003,204311.28899999996,211597.77618297096,7769.689999999999,0.038028686706587225,0.1065728276424694,5209.398,65035.70200000001,67919.46899999997
Information Services,81,2180.8321876272603,35142.719999999994,37323.552187627254,2088.314,0.05942380100345108,0.027791865400464046,2006.1000000000001,12584.031000000004,12664.195
Insurance (General),202,5581.089438705996,288814.3140000001,294395.40343870607,14728.886999999997,0.050997773607578165,0.12020113028455282,4649.919999999999,29190.145,29439.49900000001
Insurance (Life),137,2952.6548814803828,1126241.3160000003,1129193.9708814807,31128.624000000003,0.02763939091717711,0.3679550582980016,303.1,263389.3230000001,231027.05700000003
Insurance (Prop/Cas.),228,6367.726527488441,187831.098,194198.82452748844,8962.400000000005,0.04771520847948195,0.1883531632733448,2197.714,53759.59999999999,52648.221000000005
Investments & Asset Management,1374,9392.63804016821,808320.9239999998,817713.562040168,21861.72100000001,0.027045843242330832,0.16993123248318096,6695.091999999999,161382.62000000005,179062.9580000001
Machinery,1492,5604.574049916933,250918.206,256522.78004991694,9080.969000000012,0.03619095299924156,0.235547126523779,3781.559999999999,98202.74500000013,104433.31800000006
Metals & Mining,1815,2320.3129351459793,363645.4709999999,365965.7839351459,18488.797000000013,0.05084291837639859,0.19427818078145778,980.934,167820.04099999988,187565.61899999998
Office Equipment & Services,137,1361.1404832736152,11034.258000000002,12395.398483273617,586.9970000000001,0.05319768669538087,0.17268702705073638,1487.3770000000002,6886.325000000002,6832.535
Oil/Gas (Integrated),36,12308.726522272336,691026.5179999999,703335.2445222723,27258.334000000006,0.039446147564484654,0.12114608372819746,1074.81,328317.72099999996,248131.16499999998
Oil/Gas (Production and Exploration),590,10395.928088315588,284943.3820000001,295339.3100883157,15898.350999999997,0.05579477188910459,0.03823795275612334,8064.705000000003,93973.13500000004,96582.09300000002
