Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,391,4222.767969999999,5555.280999999997,0.7601358005112615,6825.1680000000015,1.2285909569650941,5719.940000000002,7241.710000000003,4356.197,0.7898604058986068,1.313058156001669,1.0296400848129923,0.11062068696223407
Aerospace/Defense,289,17663.49901,39288.753,0.4495815637111211,37464.61899999999,0.9535710894158437,30543.244999999995,35360.827,40799.906,0.8637593515558897,0.7486106708187023,0.7774042866669756,0.05673024828259249
Apparel,1152,23247.009910000008,54855.85100000002,0.42378359803405474,30591.19300000001,0.5576650884515492,26446.05600000001,21244.15000000005,13685.087000000087,1.244862985810209,1.932472625128349,0.48210091572547115,0.052239342656628045
Auto & Truck,165,38418.1241,144690.0720000001,0.2655201118429188,48391.520000000004,0.3344494845506744,37740.378000000004,53161.29500000013,76886.55800000008,0.709922096517775,0.4908579468468333,0.2608359888023276,0.1269663212770562
Bank (Money Center),607,287065.14350000006,935205.0839999993,0.3069542161513744,234979.105,0.25125943926113237,173273.112,840133.1999999993,1394329.1669999966,0.2062448097515967,0.12426987550781143,0.18527819722588262,0.34317315656393305
Banks (Regional),881,30440.19171999999,104643.19500000002,0.29089509088479176,32487.669,0.31046136349334513,25444.26299999999,91961.57700000003,171422.59999999776,0.27668363059933154,0.1484300378129857,0.24315258149371285,0.3641043372619013
Beverage (Alcoholic),220,24811.41324,55612.80399999998,0.4461456976706301,29003.125000000007,0.5215188394384864,27887.23800000001,36657.65799999997,49493.029999999955,0.7607479452178869,0.563457884877932,0.5014535501572627,0.04700845115353476
Beverage (Soft),100,19384.96072,30716.734999999993,0.631087930406666,23697.492,0.7714847297409703,22730.093999999997,22029.530999999995,28367.700999999994,1.0318010855519348,0.8012666941180747,0.7399905621479628,0.04069668290722196
Brokerage & Investment Banking,590,34389.741169999994,57671.65099999999,0.5963023526064825,50889.121999999996,0.8823940552698935,41401.348,24990.373000000003,114574.09700000007,1.65669187890873,0.3613499829721545,0.7178804019326585,0.18463725718895374
Building Materials,457,11791.09617,30321.25200000001,0.38887233845093194,20293.263,0.6692752330939366,18261.499,19919.94300000001,23092.699000000037,0.916744540885483,0.7907910201401738,0.6022673140277979,0.0559338096489193
Business & Consumer Services,980,19190.627928,35290.15,0.5437955896475363,39703.544,1.1250602221866441,34789.306000000004,34121.102999999996,38259.66800000002,1.0195832766601949,0.9092945082534429,0.9858078245629447,0.05384943646877903
Cable TV,48,5981.0116,24188.427000000003,0.2472674887044122,21430.653,0.8859878734570047,21284.506999999998,18314.541999999998,24025.10700000001,1.1621643063746832,0.8859276672524284,0.8799458931331084,0.025205513284538537
Chemical (Specialty),949,41165.81684799999,79593.979,0.517197624307738,56395.185,0.7085358177658135,48572.51999999999,32809.34100000008,49506.52700000018,1.4804479004927247,0.981133659406159,0.6102536977074609,0.06132620802620848
Coal & Related Energy,215,34965.199459999996,45745.943999999996,0.7643344174950243,36560.456,0.7992065045154605,31056.199999999997,37078.10399999999,25905.936000000045,0.8375886749764768,1.1988063276308543,0.6788842306981357,0.1862645938843715
Computer Services,1164,28048.954280000005,52851.661999999946,0.5307109222033554,43433.21300000001,0.8217946485769938,37040.625000000015,50101.272999999936,50240.78400000007,0.739315046945016,0.7372620817382142,0.7008412526364839,0.05937935361397077
Computers/Peripherals,338,35614.29311,143214.73700000002,0.24867757226688195,124496.296,0.8692980806856488,121611.297,89083.55600000001,65105.25100000005,1.365137433445068,1.8679184110664118,0.8491535127421976,0.043484869859112124
Construction Supplies,793,30134.474060000008,75140.2800000001,0.401042876869769,40827.863000000005,0.5433552150723946,33161.672000000006,21067.11300000008,35716.57600000032,1.5740966500725504,0.9284672752505646,0.4413301627302954,0.10347710115314707
Diversified,326,36088.05748000001,179852.66099999996,0.20065345310626245,53462.61200000001,0.29725783150909296,49484.352000000006,121763.01399999998,136513.30399999977,0.406398875770273,0.3624873953677078,0.2751382811066666,0.07535854519586742
Drugs (Pharmaceutical),1299,87418.60040999993,137574.7340000001,0.6354262724578472,121106.63299999989,0.880297053672659,109724.59299999988,149461.85900000005,178336.55000000016,0.7341310601522749,0.6152669937822605,0.797563548260248,0.041946029275355415
Electronics (Consumer & Office),127,3090.028320000001,9584.161000000002,0.322409892738655,4102.552000000001,0.4280554135098523,3370.542000000001,1213.872000000004,5444.107000000004,2.7766865040135946,0.6191175155080527,0.35167835765697175,0.1105001853213754
Electronics (General),1486,27828.94748000001,44949.48699999996,0.6191160197223171,35963.71500000002,0.8000917785780304,20564.252000000015,7180.03000000006,13378.926999999705,2.864089982910913,1.537062875072154,0.45749692315732177,0.11966984844655978
Entertainment,741,7319.897700000002,8202.80100000001,0.8923656321785683,12005.246000000005,1.4635544614577374,9319.340000000004,14804.531000000003,3285.2219999999943,0.6294924168823721,2.8367458881013277,1.1361167971769632,0.07996344720797645
Farming/Agriculture,430,9325.953390000002,28240.462000000003,0.330233740156234,18916.525,0.6698376605878473,17573.487,9803.349000000006,24376.426000000007,1.7926003654465419,0.720921393480734,0.6222804357804061,0.05891073232073713
