Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Advertising,391,4222.767969999999,0.13690072580521165,0.7601358005112615,0.01883473963747722,224201.02699999994,0.0753565496905051,0.18212551236749122,0.38891117906224903
Aerospace/Defense,289,17663.49901,0.02362499070901808,0.4495815637111211,0.012273180496129864,1439194.919,0.1414338304779268,0.23859379446640325,0.3510101886001401
Air Transport,155,8095.924800000002,0,0.2520957459568711,0.015612761954678102,518545.33,0.19646294458461788,0.1905684892086331,0.30061794269989933
Apparel,1152,23247.009910000008,0.044488517190123214,0.42378359803405474,0.015726317946145183,1478223.3190000008,0.17062717492423174,0.11253861878453049,0.3272366860839866
Auto & Truck,165,38418.1241,0,0.2655201118429188,0.01798314053395002,2136341.2040000004,0.1450297214555686,0.16065388489208637,0.364637234321081
Auto Parts,761,12664.507115000004,0.005070864536365336,0.4165823913292757,0.017914537142005353,706940.2359999985,0.07578820040942477,0.15501714968152872,0.30389336137361084
Bank (Money Center),607,287065.14350000006,0.007774925136461227,0.3069542161513744,0.04037169118037322,7110555.320000005,0.1265430638481194,0.19234716190476198,0.2128077921549118
Banks (Regional),881,30440.19171999999,0.0014743993866014984,0.29089509088479176,0.03443582420485806,883968.7280000001,0.09826683499231499,0.30144758273381267,0.18295557375623153
Beverage (Alcoholic),220,24811.41324,0.15492466965980853,0.4461456976706301,0.019459595981108767,1275022.0129999996,0.16528003825197396,0.16337976744186047,0.2748939825628717
Beverage (Soft),100,19384.96072,0.0032757352938293702,0.631087930406666,0.023478311240177505,825653.9629999999,0.25763420811932436,0.2206825806451613,0.3223807318866916
Broadcasting,130,3670.3871800000006,0.020570036973592522,0.004708516540728868,0.03601548514271169,101911.36300000008,-0.0035567526500278465,0.19648445454545457,0.31539632930060435
Brokerage & Investment Banking,590,34389.741169999994,0.0031966800638761547,0.5963023526064825,0.032151542741218085,1069614.0290000003,0.07664517748653683,0.15217045801526727,0.3195173390050282
Building Materials,457,11791.09617,0.01389489133477231,0.38887233845093194,0.016993796703707972,693847.0769999993,0.1338814752703728,0.2215088857938718,0.2800130376053482
Business & Consumer Services,980,19190.627928,0.09003691835841215,0.5437955896475363,0.015548583942321623,1234236.378,0.13588911707732615,0.24451548517520205,0.3330640976941999
Cable TV,48,5981.0116,0,0.2472674887044122,0.018562636716844074,322207.00600000005,0.1588258209350195,0.19700365853658536,0.3091067406758942
Chemical (Basic),888,31257.972920000004,-0.05056086023379919,1.4179036744594131,0.032737188440809466,954815.4379999994,0.038401073053239365,0.11892161428571427,0.2887733872844873
Chemical (Diversified),64,7588.60626,0.00035052549952697113,1.7073693515687172,0.042958758471053064,176648.63999999993,0.029144222762520315,0.27406754098360653,0.2236285736387566
Chemical (Specialty),949,41165.81684799999,0.012968211027396061,0.517197624307738,0.022423651354698322,1835821.3029999998,0.12070412277404138,0.16509635876840714,0.3121796391835974
Coal & Related Energy,215,34965.199459999996,0.0167767382728953,0.7643344174950243,0.08863425009666948,394488.5799999999,0.2136253482938942,0.14199906250000002,0.5042147298228631
Computer Services,1164,28048.954280000005,0.00884820865414452,0.5307109222033554,0.018686210447185835,1501050.9679999996,0.16017730806734784,0.15272365099009913,0.3289536292318077
Computers/Peripherals,338,35614.29311,0.0001114440201786726,0.24867757226688195,0.008862475142058611,4018549.2809999995,0.28447577234191745,0.173805162601626,0.32935741174104016
Construction Supplies,793,30134.474060000008,0.07521561502905486,0.401042876869769,0.021860396743491956,1378496.2100000002,0.1014701174588533,0.15856076069730582,0.2848026297975704
Diversified,326,36088.05748000001,0.0147738625248942,0.20065345310626245,0.015476633302781437,2331776.9940000013,0.13097599742002441,0.165040542635659,0.2713903517710711
Drugs (Biotechnology),1259,21966.87585,0.0009514325178835114,0.004660050948575847,0.0125456370902643,1750957.38,-0.08826768540176394,0.22985979223125555,0.5327835684030323
Drugs (Pharmaceutical),1299,87418.60040999993,0.0013211490398877244,0.6354262724578472,0.020640813755052948,4235230.328000005,0.13204955368081206,0.15313023138832998,0.41512557065255234
Education,260,1473.0773999999994,0.18130072459193258,0.5770804164162722,0.014075796906955977,104653.21500000004,0.051181871388765295,0.18004445544554445,0.3452563908096796
Electrical Equipment,1072,20931.703886999996,0.0008920917332294767,0.3938315660428019,0.012628600726798337,1657484.0189999975,0.10855337528235157,0.15156053990610313,0.3511338511809446
Electronics (Consumer & Office),127,3090.028320000001,0,0.322409892738655,0.012825736456376797,240924.04600000003,0.07310350523512302,0.16468726315789473,0.33860993934953365
Electronics (General),1486,27828.94748000001,0.00034525200807199185,0.6191160197223171,0.01615069785489909,1723080.186999999,0.06682404237790968,0.15586691865242383,0.3253309852456644
Engineering/Construction,1283,41105.04716999998,0.005691028623140249,0.663128434383875,0.04432466217771844,927362.8980000005,0.09111818582020693,0.15241695550351278,0.3057573435641939
Entertainment,741,7319.897700000002,0.047558041692303966,0.8923656321785683,0.006894810337953715,1061653.2349999996,0.02266695055525666,0.13651230460921834,0.41350767359783575
Environmental & Waste Services,383,5409.587560000001,0.007338821963721019,0.6316740322827555,0.014327960784183687,377554.60399999993,0.08068341683507488,0.16450017543859644,0.3388816224065516
Farming/Agriculture,430,9325.953390000002,0.05070827402022861,0.330233740156234,0.02337799799129703,398920.104,0.14471013504560334,0.13637399305555553,0.3405479235070628
Financial Svcs. (Non-bank & Insurance),1113,47828.2887,0.010842411762894624,0.2395510614420021,0.013855964322853563,3451819.561999999,0.18599670816271613,0.23436171355498714,0.3520861107982175
Food Processing,1395,46418.20332999998,0.023471373768054898,0.6364338642154035,0.02519171191402414,1842598.212,0.10404779362976543,0.13749975830815697,0.286288168212873
Food Wholesalers,173,2427.8234899999993,0.022242144135445372,0.5694556518243253,0.021353919603842274,113694.51299999996,0.08914166793720849,0.17160268518518518,0.3082233050608905
Furn/Home Furnishings,383,10996.292229999995,0.003392052450028423,0.7004804195891057,0.0350752265786343,313505.94999999995,0.11207479182881593,0.15456471428571422,0.29724029020693765
Green & Renewable Energy,253,11573.642860000002,0,0.6638681430225125,0.02533855531812559,456760.1709999999,0.10750114708648674,0.1777802094240837,0.3337365434374277
Healthcare Products,849,20178.296819999996,0.0022706078916723956,0.5070323335024587,0.010150174006826204,1987975.4579999978,0.07578216042011074,0.23603573065902567,0.42342967151692185
Healthcare Support Services,463,21001.96454,0.0004259125370373566,0.3688222893654052,0.015093797823885643,1391430.0950000004,0.12150320012763628,0.2534193693693695,0.3780579367531488
Heathcare Information and Technology,443,3826.0167199999996,0.005444304488036842,0.24427342031412552,0.003471757687239396,1102040.2530000003,0.06025565979669429,0.27609295128939826,0.4493294014324383
Homebuilding,173,5353.37971,0.010181792242045167,0.18138712820097372,0.016796464541342662,318720.627,0.166100037997485,0.31177509803921577,0.2896512515831867
Hospitals/Healthcare Facilities,232,3858.8733799999995,0.005933337983740737,0.45894118236119014,0.010288287926750404,375074.39599999995,0.1194972327229353,0.19664029069767444,0.2952943117870857
Hotel/Gaming,650,6966.5950699999985,0.04701766023556183,0.27136929836694895,0.0067749899333717604,1028281.2429999997,0.10909196658632195,0.19654685057471266,0.33832876960999625
Household Products,549,45268.762419999985,1.8003584733297867e-05,0.832862491968048,0.029491500301941052,1534976.5850000014,0.188260624126361,0.17357109625668465,0.35414092089807037
Information Services,81,1513.8389399999994,0.003613330226529912,0.5528405809168633,0.014043778409497564,107794.27699999997,0.08982080004282594,0.2869421311475411,0.33631953220947924
Insurance (General),202,25228.597199999986,0.00011653442229439541,0.4245453994262913,0.030119607744685275,837613.7370000003,0.15203983853675432,0.21821939597315443,0.2478689232245281
Insurance (Life),137,37699.27879999999,0.0018090531747785058,0.6190700745883686,0.034654522092588555,1087860.2999999993,0.07415972895423793,0.2802166964285713,0.2529088497524812
Insurance (Prop/Cas.),228,18029.7483,0.1643716789989797,0.31767302616536414,0.020724832597626745,869958.6940000004,0.12312293515838725,0.34233994047619054,0.2674377675554218
Investments & Asset Management,1374,32047.62951999999,0.017990378965164727,0.5604759651615945,0.028878569180620102,1109737.4430000011,0.10448446992594382,0.2591542722513091,0.2952473128244418
Machinery,1492,24689.324674000036,0.00468125400455819,0.41450280864813255,0.014774240134989519,1671106.225999998,0.11997300767360276,0.17773881270903014,0.2975651969773884
Metals & Mining,1815,56786.94716000004,0.04042004571108201,0.859502621972046,0.04307976795918302,1318181.3609999993,0.10498912521603516,0.09781209183673469,0.5751337390211976
Office Equipment & Services,137,917.46806,0.05940261288224028,0.5240183295713124,0.02118984852899685,43297.528000000006,0.08262946816534691,0.17821910112359557,0.2790876657137057
Oil/Gas (Integrated),36,178300.98199999996,0.015289315680830072,0.48938589191024884,0.04430455399015264,4024439.1589999995,0.2111799007567265,0.291480909090909,0.26835269009888657
Oil/Gas (Production and Exploration),590,49792.04810000001,0.2209350773823662,0.3835460571954803,0.045813086435140614,1086852.076,0.21873526979182864,0.2436084186046513,0.48387766980457786
Oil/Gas Distribution,174,25159.359759999996,0.01073159263890585,0.5813383192295897,0.05015235093173876,501658.6320000001,0.1980299140664168,0.25201521739130434,0.29604834790023926
Oilfield Svcs/Equip.,444,23239.058719999994,0.003024649184242004,0.2527854321469115,0.022418505612238578,1036601.5970000009,0.16710585203452488,0.2508694626865672,0.36102582329931976
Packaging & Container,426,7851.233044000002,0.004250287797214441,0.6620440239883706,0.02695748630161882,291244.9980000001,0.0837951355806958,0.1500274305555556,0.27470203395781206
Paper/Forest Products,266,5602.578720000001,0.04147732885402455,0.5588183001769139,0.03150725130676355,177818.70799999984,0.06468581288494171,0.13737234693877545,0.2923214250279434
Power,488,103167.41163000002,0.00391790385756332,0.6306400614403218,0.04543059406038486,2270879.6519999993,0.12425005928175509,0.18580538095238094,0.25342379632553697
Precious Metals,853,9994.0676,0.168767419583994,0.9830800612665044,0.022098973259547586,452241.264,0.043236320854281265,0.14916482051282048,0.6015926072615447
Publishing & Newspapers,324,2646.7384039999997,0.021513270791683425,0.41359921166168145,0.018609400661754382,142225.881,0.07706709737549311,0.16288428571428565,0.30651468123456876
R.E.I.T.,659,67642.9428,0.007936082875448168,3.0371936222786355,0.04200008720910128,1610542.9129999997,0.02360740857350486,0.43394219387755084,0.19507213564220016
Real Estate (Development),884,34750.85421,0.0005670939736016347,0.007953247477577668,0.06774670007502172,512952.722,-0.03484020169433607,0.08857630067567569,0.3226407984583051
Real Estate (General/Diversified),336,10623.254550000001,0.013950527053877285,0.5754716568717486,0.030357727714487588,349935.7609999999,0.03972777403412024,0.13044703252032525,0.25548788218587737
Real Estate (Operations & Services),748,13946.754829999993,0.04441391617981143,0.006595846366837411,0.023025424798406687,605711.0759999998,-0.028154334130633382,0.18444292639138238,0.2896694113717817
Recreation,326,3901.472839999999,0.06547271004454822,0.48688895447622094,0.014250407530158419,273779.738,0.09452247803676629,0.20165785992217894,0.31551562219003826
Reinsurance,34,3652.1226,0.043700613993626604,0.21042384692812818,0.01971359249215868,185259.11000000004,0.18999090330907184,0.3305016129032257,0.23429812694853552
Restaurant/Dining,394,13997.865305000001,0.0004288511047363589,0.6404025280634015,0.015156774060244143,923538.5609999999,0.24646866445962629,0.23030357859531783,0.29860207290824436
Retail (Automotive),204,4194.615000000001,0.006436824356943365,0.26136084734296855,0.015454096646751184,271424.147,0.20769252360863635,0.23115603773584908,0.3273261317518817
