Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,391,4222.767969999999,3574.4500000000007,1105.2279999999996,-2469.222000000001,-0.03349462436551609,16856.931000000004,13971.418000000003,-2885.513000000001,-0.04450901380208199,1436.3470000000016
Aerospace/Defense,289,17663.49901,19943.393,6921.373999999997,-13022.019000000004,-0.04687738569168491,70547.10899999998,75986.188,5439.0790000000125,0.01891700735537449,1425.107999999993
Air Transport,155,8095.924800000002,2947.3109999999997,10358.373,7411.062,0.0453377691828761,134443.44700000001,82017.48999999999,-52425.957000000024,-0.1042081034152955,20751.16399999999
Apparel,1152,23247.009910000008,8118.226,4145.137,-3973.089,-0.012358152128430944,95433.08800000006,87874.0250000001,-7559.0629999999655,-0.03187161503680214,20740.76200000019
Auto & Truck,165,38418.1241,14294.060999999998,10651.142000000002,-3642.9189999999962,-0.003651470488280617,432536.75600000005,456262.019,23725.26299999992,0.02019280724637859,3003.316000000006
Auto Parts,761,12664.507115000004,3082.788,8357.104000000005,5274.316000000004,0.013148625541393521,88778.26399999986,90419.61500000006,1641.3510000001988,0.007765076038397867,5176.935999999972
Bank (Money Center),607,287065.14350000006,55393.235000000015,61705.993000000024,6312.758000000009,0.0008541824165828938,3188759.3910000036,3742955.3580000005,554195.9669999969,0.02683519288565709,-61.548
Banks (Regional),881,30440.19171999999,8717.981,7043.406000000009,-1674.5749999999907,-0.001572535941847484,1381347.2810000016,1460808.3039999993,79461.02299999772,0.035627814163435356,3.093
Beverage (Alcoholic),220,24811.41324,5048.414000000002,1115.887,-3932.527000000002,-0.011687384311478359,29892.579999999998,42727.952,12835.372,0.05414427917285562,1276.0200000000023
Beverage (Soft),100,19384.96072,4606.9130000000005,967.3980000000001,-3639.5150000000003,-0.030526146902117135,15375.439000000004,21713.609,6338.169999999996,0.04834670009745968,1756.9439999999995
Broadcasting,130,3670.3871800000006,3642.4530000000004,68.87299999999999,-3573.5800000000004,-0.028030239507877357,8182.916000000002,7150.8369999999995,-1032.0790000000025,-0.012419530281424897,325.0069999999978
Brokerage & Investment Banking,590,34389.741169999994,27483.622,9487.774,-17995.847999999998,-0.023916342606192062,821673.6599999996,911257.3839999996,89583.72400000005,0.03400826169228142,344.4870000000001
Building Materials,457,11791.09617,10045.067,2031.7640000000001,-8013.302999999999,-0.035382207417705036,48955.63199999998,52128.38800000001,3172.7560000000303,0.02200141129138951,1484.0670000000027
Business & Consumer Services,980,19190.627928,21987.203999999998,4914.237999999999,-17072.966,-0.06574158159234826,83664.10800000005,87802.67300000007,4138.565000000017,0.018651374015025497,686.1039999999921
Cable TV,48,5981.0116,15468.75,146.14600000000002,-15322.604,-0.10061113768010682,41055.079999999994,46765.645000000004,5710.56500000001,0.019058024293713456,264.2049999999981
Chemical (Basic),888,31257.972920000004,4829.321000000001,10126.823000000002,5297.502000000001,0.009227847460943277,189869.01799999992,226900.6440000001,37031.626000000164,0.09135667793370977,4897.020999999986
Chemical (Diversified),64,7588.60626,1804.7109999999998,83.825,-1720.8859999999997,-0.011284180923697292,27749.724,29319.91400000001,1570.1900000000132,0.016067286812085236,-291.451
Chemical (Specialty),949,41165.81684799999,19155.393000000007,7822.665000000006,-11332.728000000001,-0.01718606117024023,144326.62099999993,161023.80700000003,16697.186000000103,0.04283367769974727,3213.157999999992
Coal & Related Energy,215,34965.199459999996,2089.48,5504.255999999999,3414.7759999999994,0.01594639105809317,49962.87999999996,38790.712000000014,-11172.167999999947,-0.14341835013276646,5457.435999999994
Computer Services,1164,28048.954280000005,17516.202000000005,6392.587999999996,-11123.614000000009,-0.03371228981408885,148478.58899999992,148618.10000000006,139.51100000014412,0.0006961703728228059,3685.787999999964
Computers/Peripherals,338,35614.29311,89761.684,2884.9989999999993,-86876.685,-0.17256821875726705,167383.27,143404.96500000003,-23978.304999999964,-0.08382472262997501,-6994.018999999942
Construction Supplies,793,30134.474060000008,12405.603999999994,7666.1910000000025,-4739.412999999991,-0.006400146416755631,232719.2509999998,247368.714,14649.463000000222,0.027191234189933872,5265.869000000024
Diversified,326,36088.05748000001,19927.393,3978.2599999999998,-15949.133,-0.011614805091260932,472428.8820000001,487179.1719999999,14750.289999999804,0.012495061074776168,-7046.860000000001
Drugs (Biotechnology),1259,21966.87585,10852.497999999998,39708.72400000001,28856.22600000001,0.0897545049069584,29685.251,52218.38900000004,22533.13800000004,0.09493911028783035,-2568.75799999998
Drugs (Pharmaceutical),1299,87418.60040999993,37565.10199999997,11382.040000000003,-26183.06199999997,-0.025131516162677246,140364.61,169239.3010000001,28874.691000000108,0.044983318745028686,5967.602999999959
Education,260,1473.0773999999994,1410.028,805.02,-605.008,-0.012130761057844523,7817.561000000002,6397.43,-1420.1310000000021,-0.053241940101294405,834.2999999999984
Electrical Equipment,1072,20931.703886999996,8953.984,22902.905000000017,13948.921000000017,0.02848983187464532,122256.29999999994,155051.99300000016,32795.69300000022,0.11419289858371003,4879.092000000019
Electronics (Consumer & Office),127,3090.028320000001,1254.0390000000002,732.0099999999998,-522.0290000000005,-0.003981793475129024,18530.159000000003,22760.394000000004,4230.235000000001,0.0582685769635623,1007.1469999999999
Electronics (General),1486,27828.94748000001,10410.31800000001,15399.463000000005,4989.144999999995,0.007417099930629602,189382.6170000001,195581.51399999973,6198.896999999648,0.01967316924535133,2459.6460000000297
Engineering/Construction,1283,41105.04716999998,15557.240999999998,25234.938,9677.697,0.014225894527573902,398977.916,462648.9009999995,63670.98499999946,0.07373095865496448,-1421.7860000000364
Entertainment,741,7319.897700000002,7428.277000000001,2685.9060000000018,-4742.370999999999,-0.013104680824474824,58620.224000000024,47100.915000000015,-11519.309000000008,-0.05412823707214236,23038.963000000032
Environmental & Waste Services,383,5409.587560000001,3169.811,3066.8959999999997,-102.91500000000042,-0.0009695982636376109,93975.04700000004,99762.80099999999,5787.753999999957,0.0447817451325885,4336.320000000003
Farming/Agriculture,430,9325.953390000002,10263.750999999998,1343.038,-8920.712999999998,-0.04571163116712003,94363.27200000001,108936.34900000002,14573.077000000005,0.06402117244943249,2343.8049999999967
Financial Svcs. (Non-bank & Insurance),1113,47828.2887,66354.58599999997,7192.457999999999,-59162.12799999997,-0.0551140469930215,2330136.0339999995,2167064.664,-163071.36999999965,-0.013718036161295695,-122.66599999999744
Food Processing,1395,46418.20332999998,17323.399000000016,8040.815999999999,-9282.583000000017,-0.013242399021515246,284610.3160000001,304831.8909999997,20221.574999999604,0.034515187763050924,-244860.952
Food Wholesalers,173,2427.8234899999993,778.8800000000001,389.138,-389.74200000000013,-0.008148933317755083,26789.196000000007,21445.957000000006,-5343.239000000001,-0.0872473566809096,636.3570000000036
Furn/Home Furnishings,383,10996.292229999995,1481.7909999999997,2620.486,1138.6950000000002,0.008129523329978188,67056.21800000001,70449.07200000003,3392.854000000021,0.04039230244590882,1787.2879999999968
Green & Renewable Energy,253,11573.642860000002,707.5240000000001,8950.170999999998,8242.646999999999,0.050826657642488005,96150.19200000001,119291.35900000004,23141.16700000003,0.07883609304851211,554.2759999999996
Healthcare Products,849,20178.296819999996,11711.212999999992,10373.791000000008,-1337.421999999984,-0.00254675163734972,42086.48399999997,51377.69099999999,9291.207000000024,0.03648477399546719,3389.688000000002
Healthcare Support Services,463,21001.96454,35801.406,5580.947999999999,-30220.458000000002,-0.06448311320400998,194324.69299999988,215164.72699999993,20840.034000000043,0.05579299144095424,904.6399999999703
Heathcare Information and Technology,443,3826.0167199999996,11081.266999999998,4062.184000000001,-7019.082999999997,-0.02700272379205439,25808.31499999999,35401.202,9592.887000000006,0.06662640327741597,2657.5019999999986
Homebuilding,173,5353.37971,5632.856000000002,1022.8410000000001,-4610.015000000001,-0.02594480952530924,42316.12499999999,41481.003,-835.1219999999958,-0.010466909107535149,-121.11699999999928
Hospitals/Healthcare Facilities,232,3858.8733799999995,5587.025999999999,3101.6620000000003,-2485.3639999999987,-0.03532192412310461,28282.61999999999,27748.305999999997,-534.3139999999948,-0.003200754406972267,443.7059999999947
Hotel/Gaming,650,6966.5950699999985,32030.914,6416.595999999998,-25614.318000000003,-0.10884681145863674,90091.38899999998,85588.24599999998,-4503.142999999996,-0.010812227567319291,13389.521
Household Products,549,45268.762419999985,10248.825,7814.613999999999,-2434.211000000002,-0.008431258349716211,65035.70200000001,67919.46899999997,2883.766999999956,0.01411457494157338,-916.2000000000044
Information Services,81,1513.8389399999994,1783.648,627.569,-1156.079,-0.037921427186257045,12584.031000000004,12664.195,80.16399999999521,0.0022810983327413254,-746.3399999999983
Insurance (General),202,25228.597199999986,14997.649999999998,2174.367,-12823.282999999998,-0.03280859728897975,29190.145,29439.49900000001,249.35400000001027,0.000863371335535711,-487.51800000000003
Insurance (Life),137,37699.27879999999,22630.660999999996,4042.7559999999994,-18587.905,-0.022636295098305177,263389.3230000001,231027.05700000003,-32362.26600000006,-0.02873475297011751,-506.14400000000023
Insurance (Prop/Cas.),228,18029.7483,12244.523999999998,1643.0510000000004,-10601.472999999998,-0.022998305997931828,53759.59999999999,52648.221000000005,-1111.3789999999863,-0.005916906262241976,-58.71900000000096
Investments & Asset Management,1374,32047.62951999999,56356.447999999975,17592.54900000001,-38763.89899999996,-0.0708337573231307,161382.62000000005,179062.9580000001,17680.338000000047,0.021872918880422365,705.9160000000011
Machinery,1492,24689.324674000036,7906.5019999999995,13021.317000000008,5114.815000000009,0.010302241911162045,98202.74500000013,104433.31800000006,6230.572999999931,0.02483109177019993,2318.7329999999783
Metals & Mining,1815,56786.94716000004,6424.887999999999,15774.750000000005,9349.862000000006,0.014857584266255356,167820.04099999988,187565.61899999998,19745.578000000096,0.05429897956848224,5415.910999999964
Office Equipment & Services,137,917.46806,126.22999999999998,142.907,16.677000000000035,0.0007870610318942614,6886.325000000002,6832.535,-53.79000000000178,-0.004874818043950194,159.67799999999988
Oil/Gas (Integrated),36,178300.98199999996,86412.95999999999,1203.118,-85209.84199999999,-0.04939011662681261,328317.72099999996,248131.16499999998,-80186.55599999998,-0.11603976679806663,6960.209999999992
Oil/Gas (Production and Exploration),590,49792.04810000001,25522.286999999997,4758.137999999999,-20764.148999999998,-0.034985693323092364,93973.13500000004,96582.09300000002,2608.957999999984,0.009156057535668553,14980.107999999978
Oil/Gas Distribution,174,25159.359759999996,4674.9130000000005,4812.617999999997,137.7049999999963,0.000630100572159489,148269.28000000003,156036.122,7766.841999999975,0.022295281284692853,210.141999999998
Oilfield Svcs/Equip.,444,23239.058719999994,28997.547999999995,4242.010000000002,-24755.537999999993,-0.04499844820075353,162573.21600000013,141910.175,-20663.041000000143,-0.049332448281251495,10063.99400000002
Packaging & Container,426,7851.233044000002,3456.9969999999985,1401.8330000000005,-2055.163999999998,-0.014521594088290578,40936.535999999986,44661.618,3725.0820000000167,0.026674215195985337,1638.5109999999986
Paper/Forest Products,266,5602.578720000001,1144.317,506.2669999999998,-638.0500000000002,-0.004116673328960967,45018.867,49261.64399999996,4242.776999999958,0.03709133989537453,539.8559999999998
Power,488,103167.41163000002,10791.163999999999,56775.71900000002,45984.55500000002,0.034925900622051115,762913.0569999998,847793.9549999998,84880.89800000004,0.03823680707572811,9259.247999999978
Precious Metals,853,9994.0676,943.6329999999997,5891.776000000001,4948.143000000001,0.0210444499270334,33128.490000000005,40098.23499999999,6969.744999999988,0.0840235086366547,4548.645999999997
Publishing & Newspapers,324,2646.7384039999997,1663.193,553.428,-1109.7649999999999,-0.013364992190361656,13507.267000000002,11049.434000000005,-2457.832999999997,-0.08338786879204592,1613.3739999999934
R.E.I.T.,659,67642.9428,5691.248999999999,33220.700999999994,27529.451999999994,0.029180710958345152,8959015.535000004,9018030.925999999,59015.39099999517,0.048543230791539764,4012.7639999999883
Real Estate (Development),884,34750.85421,7908.406999999999,7739.857000000003,-168.54999999999654,-0.00020213398199452913,450855.213,394741.58400000044,-56113.62899999955,-0.04397207007040561,-40040.26099999997
Real Estate (General/Diversified),336,10623.254550000001,3070.831,1247.774,-1823.0570000000002,-0.003923384122775674,113981.22800000005,126988.63599999998,13007.407999999938,0.03295710148924037,376.1619999999998
Real Estate (Operations & Services),748,13946.754829999993,3564.2880000000005,5346.212999999997,1781.9249999999965,0.0028976116419475125,146426.84399999995,135343.34599999993,-11083.498000000021,-0.021371435260923607,-329.8859999999913
Recreation,326,3901.472839999999,3466.6780000000012,1033.4060000000002,-2433.272000000001,-0.028702986831815103,24987.588000000018,25337.961000000007,350.3729999999887,0.005632023724220414,2282.1629999999986
