Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,391,0.2231841538480623,0.2511407802749644,0.056050642542410066
Aerospace/Defense,289,0.13938187028979593,0.40167246380722416,0.05598585924936127
Air Transport,155,0.07609043946784132,0.3036030119027154,0.023101286599437873
Apparel,1152,0.2131479985821288,0.5214723064236175,0.11115077843020066
Auto & Truck,165,0.08616757062954447,0.7038213344566223,0.06064657454737125
Auto Parts,761,0.06951342691934614,1.161358931096735,0.08073003918392284
Bank (Money Center),607,0.00038710600933369535,19.575019416478437,0.007577607648942569
Beverage (Alcoholic),220,0.16067497723977517,0.39674912424489117,0.06374765650794861
Beverage (Soft),100,0.2608297340208955,0.28353809683457815,0.07395516638215392
Broadcasting,130,0.08815285332158262,1.5367973063044447,0.135473067527659
Brokerage & Investment Banking,590,0.0018058244106970507,8.460207121086022,0.015277648538810158
Building Materials,457,0.1673029038037701,0.6799932681628228,0.11376484833065599
Business & Consumer Services,980,0.21051840184826337,0.3041621919138275,0.06403173854436374
Cable TV,48,0.12004314941711697,0.1802528247348732,0.02163811677250578
Chemical (Basic),888,0.04639005089702379,1.945903280402447,0.09027055221855507
Chemical (Diversified),64,0.054454418663555146,0.4901686958441055,0.026691851379263744
Chemical (Specialty),949,0.12380681994346789,0.7886187208447886,0.0976363759756787
Coal & Related Energy,215,0.322209335583537,0.24945089536313977,0.08037540725567567
Computer Services,1164,0.21094949668920462,0.27663520093905836,0.05835605640461135
Computers/Peripherals,338,0.1574768445956785,0.38943365679267344,0.06132678345106664
Construction Supplies,793,0.09335125538795638,0.7756509803954151,0.07240799276281115
Diversified,326,0.11943531860178906,0.3708958339722381,0.044298062098550514
Drugs (Pharmaceutical),1299,0.12868088125172028,0.4421980861514401,0.05690243941379144
Education,260,0.09268476409209102,0.5759498657784389,0.053381777438546094
Electrical Equipment,1072,0.10900312865728104,1.622376012024411,0.17684406116918341
Electronics (Consumer & Office),127,0.062281608986361356,0.8712160994984531,0.05426074045158555
Electronics (General),1486,0.06442013008104085,0.9658046997915959,0.062217264393455214
Engineering/Construction,1283,0.07890348694080135,1.2629972936342393,0.09965489046453664
Entertainment,741,0.07471394705446398,-0.3412171459861466,-0.025493679779284264
Environmental & Waste Services,383,0.10776035869992424,1.3468736213993477,0.14513958456545967
Farming/Agriculture,430,0.10564638698267616,0.5982715203228036,0.06320522455673691
Financial Svcs. (Non-bank & Insurance),1113,0.008761897143301427,-0.7739543954061371,-0.006781308806154616
Food Processing,1395,0.11622768831214836,0.59209442076174,0.06881776578765754
Food Wholesalers,173,0.10682869077036927,0.48474528312897786,0.051784703953780674
Furn/Home Furnishings,383,0.13128509792883244,0.5344106441284637,0.07016015374861578
Green & Renewable Energy,253,0.07173408690830194,1.5213911510431768,0.10913560505045276
Healthcare Products,849,0.11043987670936666,0.6732921834615992,0.0743583057308793
Healthcare Support Services,463,0.28931239582267737,0.5745139054109445,0.1662139944078834
Heathcare Information and Technology,443,0.12755597641996133,0.7159047776805149,0.09131793294075341
Homebuilding,173,0.14415922427185887,0.2028709193735042,0.02924571436420319
Hospitals/Healthcare Facilities,232,0.123234764374531,0.4077498161537452,0.050248952517465126
Hotel/Gaming,650,0.08265390639495226,0.1601647809552411,0.01323824481284253
Household Products,549,0.20302883575078812,0.15524193686286272,0.031518589700964376
Information Services,81,0.2187503321074406,0.0014962129840578925,0.0003272970871661287
Insurance (General),202,0.18156705572027637,0.02016860823021111,0.0036619548143351655
Insurance (Life),137,0.09641658012037313,-0.07883068102302149,-0.007600584672799729
Insurance (Prop/Cas.),228,0.1331121282848552,0.1901790615584792,0.025315139639265655
Investments & Asset Management,1374,0.05577023711236661,0.5242060967646028,0.029235098312310095
Machinery,1492,0.12714981972762668,0.9159125105760647,0.1164581106060246
Metals & Mining,1815,0.14836568932569902,0.8486181060050277,0.12590581027170505
Office Equipment & Services,137,0.11212639112128635,0.3043774045124996,0.03412873990685052
Oil/Gas (Integrated),36,0.21955647007213325,0.1470972992362722,0.03229616377746023
Oil/Gas (Production and Exploration),590,0.24158267687634816,0.53680367572185,0.12968246893794766
Oil/Gas Distribution,174,0.1263403111518606,0.47879736709681825,0.06049140833770363
Oilfield Svcs/Equip.,444,0.14553325656056446,0.41173452769247443,0.05992106665351171
Packaging & Container,426,0.11004848275450956,0.8031165370481568,0.08838175637720551
Paper/Forest Products,266,0.049573756287668545,1.5270401595610315,0.07570111671156106
Power,488,0.07777329056638789,0.9399752179719862,0.07310496575253908
Precious Metals,853,0.09093109941714525,1.560681789819639,0.1419145109886178
Publishing & Newspapers,324,0.08380137544218207,0.12410318055865499,0.010400017227564758
R.E.I.T.,659,0.03419004504110163,-0.15371841024421157,-0.005255639369896132
Real Estate (Development),884,0.020519444443367223,-2.4874862323222344,-0.05104183554777694
Real Estate (General/Diversified),336,0.035054354887619446,1.101716107166683,0.038619947406027484
Real Estate (Operations & Services),748,0.03906588983308024,0.1355762381327822,0.005296406382878722
Recreation,326,0.11185676111013582,0.4828574746721958,0.05401087319465126
