Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,391,0.0753565496905051,0.2398641994887385,0.018075338467746352
Aerospace/Defense,289,0.1414338304779268,0.5504184362888789,0.07784778781000684
Air Transport,155,0.19646294458461788,0.7479042540431289,0.1469354720166752
Apparel,1152,0.17062717492423174,0.5762164019659453,0.09831817681245478
Auto & Truck,165,0.1450297214555686,0.7344798881570812,0.10652141359413868
Auto Parts,761,0.07578820040942477,0.5834176086707243,0.04421617064832421
Bank (Money Center),607,0.1265430638481194,0.6930457838486256,0.08770013687522658
Banks (Regional),881,0.09826683499231499,0.7091049091152082,0.06968149509626469
Beverage (Alcoholic),220,0.16528003825197396,0.5538543023293698,0.0915410602750186
Beverage (Soft),100,0.25763420811932436,0.368912069593334,0.09504436891533968
Broadcasting,130,-0.0035567526500278465,0.9952914834592711,-0.003540005621343909
Brokerage & Investment Banking,590,0.07664517748653683,0.40369764739351754,0.030941477835373515
Building Materials,457,0.1338814752703728,0.6111276615490681,0.08181867290672232
Business & Consumer Services,980,0.13588911707732615,0.45620441035246373,0.06199321452957848
Cable TV,48,0.1588258209350195,0.7527325112955878,0.11955335905100059
Chemical (Basic),888,0.038401073053239365,-0.4179036744594131,-0.016047949532133086
Chemical (Diversified),64,0.029144222762520315,-0.7073693515687172,-0.020615729957498243
Chemical (Specialty),949,0.12070412277404138,0.48280237569226203,0.05827623723115765
Coal & Related Energy,215,0.2136253482938942,0.2356655825049757,0.0503441421435089
Computer Services,1164,0.16017730806734784,0.46928907779664464,0.07516946118687472
Computers/Peripherals,338,0.28447577234191745,0.7513224277331181,0.21373302790718324
Construction Supplies,793,0.1014701174588533,0.598957123130231,0.060776249636841397
Diversified,326,0.13097599742002441,0.7993465468937375,0.10469521126365959
Drugs (Biotechnology),1259,-0.08826768540176394,0.9953399490514242,-0.08785635349067886
Drugs (Pharmaceutical),1299,0.13204955368081206,0.3645737275421528,0.04814179800569125
Education,260,0.051181871388765295,0.42291958358372783,0.021645815734772533
Electrical Equipment,1072,0.10855337528235157,0.6061684339571981,0.06580162949567106
Electronics (Consumer & Office),127,0.07310350523512302,0.677590107261345,0.0495342119534473
Electronics (General),1486,0.06682404237790968,0.3808839802776829,0.025452207239142793
Engineering/Construction,1283,0.09111818582020693,0.33687156561612497,0.030695125913354108
Entertainment,741,0.02266695055525666,0.10763436782143165,0.0024397428934546995
Environmental & Waste Services,383,0.08068341683507488,0.36832596771724446,0.02971779758451277
Farming/Agriculture,430,0.14471013504560334,0.6697662598437659,0.09692196591098003
Financial Svcs. (Non-bank & Insurance),1113,0.18599670816271613,0.7604489385579979,0.1414409992976192
Food Processing,1395,0.10404779362976543,0.3635661357845965,0.037828254266886976
Food Wholesalers,173,0.08914166793720849,0.43054434817567466,0.03837944131731787
Furn/Home Furnishings,383,0.11207479182881593,0.2995195804108943,0.03356859462320527
Green & Renewable Energy,253,0.10750114708648674,0.3361318569774875,0.03613456019739081
Healthcare Products,849,0.07578216042011074,0.4929676664975413,0.037358154784444327
Healthcare Support Services,463,0.12150320012763628,0.6311777106345948,0.07669011169133848
Heathcare Information and Technology,443,0.06025565979669429,0.7557265796858745,0.04553680368487143
Homebuilding,173,0.166100037997485,0.8186128717990263,0.13597162911104857
Hospitals/Healthcare Facilities,232,0.1194972327229353,0.5410588176388098,0.06465503144818106
Hotel/Gaming,650,0.10909196658632195,0.7286307016330511,0.07948775615632113
Household Products,549,0.188260624126361,0.16713750803195204,0.031465411577019965
Information Services,81,0.08982080004282594,0.4471594190831367,0.04016421676873263
Insurance (General),202,0.15203983853675432,0.5754546005737087,0.08749202455645912
