Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,391,70852.99100000001,7150.106000000007,0.26510076589784753,2892.2859999999996,0.0408209443127108
Aerospace/Defense,289,197351.23500000007,10007.129000000044,0.15817868864386259,72.66100000000006,0.0003681811264064298
Air Transport,155,29202.393000000004,668.2270000000062,0.026540724103588258,448.21999999999997,0.01534874213904319
Apparel,1152,78251.78199999995,1809.0319999999338,0.09058990922404346,1329.783,0.016993644949836424
Auto & Truck,165,23041.45899999999,604.318999999985,0.006521886159553449,103.05,0.004472373038530244
Auto Parts,761,56309.84500000002,6536.665999999983,0.056128642489918196,1327.9669999999999,0.023583211781172533
Bank (Money Center),607,347186.918,15885.921000000031,0.0030759865708281176,1733.52,0.004993045273670133
Banks (Regional),881,133345.742,-293.3869999999879,0.008935671649257097,2262.6850000000004,0.016968558321119848
Beverage (Alcoholic),220,49508.518,3042.8889999999956,0.08067652013335659,1095.624,0.022130010031809075
Beverage (Soft),100,69670.90399999998,-408.20000000001164,0.18410423685445018,26.79,0.00038452206677266605
Broadcasting,130,56615.63100000001,-1767.8059999999896,0.19518722923309811,1984.3369999999998,0.035049278175491846
Brokerage & Investment Banking,590,56437.428,662.1400000000067,0.008235524286783338,746.635,0.01322942994496489
Building Materials,457,95624.639,6668.966999999975,0.1774016457862798,685.994,0.007173820546397044
Business & Consumer Services,980,184021.13899999994,6525.082000000024,0.23412489564747618,3271.4390000000008,0.017777517397063833
Cable TV,48,126661.765,2191.2080000000133,0.20055502394014255,-465.68300000000005,-0.003676587011084206
Chemical (Basic),888,37638.51399999999,144.07699999998295,0.027981969321818366,1742.394,0.046292847799464146
Chemical (Diversified),64,16566.178999999996,-367.31700000000274,0.04932186591004497,3.94,0.00023783396279854278
Chemical (Specialty),949,187343.49399999998,12351.431999999913,0.12865046614989042,1233.1919999999998,0.006582518419347938
Coal & Related Energy,215,2665.516,101.36099999999988,0.0055503657246352926,33.83,0.012691726479976108
Computer Services,1164,176783.63899999994,17985.737999999925,0.19405821158004602,694.4879999999999,0.003928463085885454
Computers/Peripherals,338,93566.71399999999,1069.9400000000169,0.06316131389473081,220.565,0.0023573019781372253
Construction Supplies,793,122920.155,2370.288999999975,0.06096090480040602,2090.148,0.017004111327389722
Diversified,326,289976.909,-16.027000000001863,0.054000277136592396,2334.5939999999996,0.008050965189093729
Drugs (Biotechnology),1259,87199.94899999998,2294.406999999992,0.11127046971421994,802.029,0.009197585654551246
Drugs (Pharmaceutical),1299,384195.7229999998,-704.9070000001811,0.17068854616555512,8768.391000000001,0.02282271892964307
Education,260,18649.598,465.6889999999985,0.17124933018489785,345.69,0.018536056380410986
Electrical Equipment,1072,140093.97500000003,3868.8279999999795,0.10342462130884021,2118.718,0.01512354831819141
Electronics (Consumer & Office),127,14057.626,149.45800000000418,0.032739832658951626,81.33500000000001,0.005785827564341234
Electronics (General),1486,77500.53399999999,-1571.545000000042,0.05328979981372872,918.9709999999993,0.011857608619832214
Engineering/Construction,1283,91275.33399999993,9845.68099999988,0.02817341209475426,1048.4629999999997,0.01148681636158133
Entertainment,741,194591.391,7822.505000000005,0.2243709015641157,3599.719,0.018498860517421348
Environmental & Waste Services,383,64120.93500000001,6526.665000000008,0.19067506317379823,476.89099999999996,0.007437368154410098
Farming/Agriculture,430,18320.671999999995,706.1499999999978,0.032624397348248055,123.35100000000001,0.006732886217274129
Financial Svcs. (Non-bank & Insurance),1113,368383.8979999997,-12481.776999999944,0.013853334077554631,-9621.266999999989,-0.026117501476679628
Food Processing,1395,244790.39300000013,2162.7140000000654,0.13724941230752713,3010.7969999999996,0.012299490037584923
Food Wholesalers,173,23993.927,-7272.463000000011,0.1203424782610111,27.855000000000004,0.0011609187608181022
Furn/Home Furnishings,383,22127.310999999998,-1841.4989999999962,0.06925098192956905,1034.482,0.046751365315017265
