Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,391,0.17447539999999997,0.24960680412371122,0.18212551236749122,0.2918584302325582
Aerospace/Defense,289,0.08225970238095234,0.23988150234741773,0.23859379446640325,0.18131567685589528
Air Transport,155,0.05440342465753427,0.3375809999999999,0.1905684892086331,0.1270588785046729
Apparel,1152,0.1493089884393064,0.30364667915106114,0.11253861878453049,0.3504009137577008
Auto & Truck,165,0.07812361445783131,0.3526715384615385,0.16065388489208637,0.13306609374999998
Auto Parts,761,0.11802461024498889,0.3127442449664435,0.15501714968152872,0.24761412403100777
Bank (Money Center),607,0.006741161825726142,0.3566718805309733,0.19234716190476198,0.06436473317865431
Banks (Regional),881,0.01580495016611295,0.1212522202166068,0.30144758273381267,0.1018287390029326
Beverage (Alcoholic),220,0.07288559523809524,0.4133882634730541,0.16337976744186047,0.14887088050314465
Beverage (Soft),100,0.07779823529411768,0.3554710769230769,0.2206825806451613,0.20916785714285704
Broadcasting,130,0.09577238805970145,0.3668610784313725,0.19648445454545457,0.1927645098039215
Brokerage & Investment Banking,590,0.1254910726643599,0.3203420620842572,0.15217045801526727,0.2998712552301255
Building Materials,457,0.088816690909091,0.2821061077844314,0.2215088857938718,0.23924252551020395
Business & Consumer Services,980,0.14187157733537506,0.22061112716763048,0.24451548517520205,0.28220342289719624
Cable TV,48,0.0559929411764706,0.41779119047619045,0.19700365853658536,0.08128941176470589
Chemical (Basic),888,0.10740590534979409,0.3253774556213022,0.11892161428571427,0.23585769230769218
Chemical (Diversified),64,0.03688622222222223,0.25624185185185183,0.27406754098360653,0.10972333333333334
Chemical (Specialty),949,0.1025200179856116,0.2890176986301374,0.16509635876840714,0.2318940841584156
Coal & Related Energy,215,0.05913258333333334,0.32296224852071015,0.14199906250000002,0.14039282485875695
Computer Services,1164,0.15314051246537408,0.26437767969735193,0.15272365099009913,0.30368428715874646
Computers/Peripherals,338,0.09728050632911392,0.22728963730569954,0.173805162601626,0.22962885106382974
