Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,391,0.3280115371610719,0.03303829182817689,0.08842166774594226,0.07893289015217175,0.06758531213760831,0.07997081150593628,0.06847401947536357,0.08065983706407705,0.06916304503350433,0.11889141732859541,0.30320290840254066,0.1282825064379185,0.6719884628389281,0.009391089109323078,0.18431149107394526,0.009488777593770512,0.01424888777800734
Aerospace/Defense,289,0.21615568029871507,0.05419735719311814,0.08748761547978007,0.07992361762235553,0.07240851344663192,0.08004035261299097,0.07251427201200439,0.08359700918676129,0.07607092858577472,0.11359352603070154,0.2056543559244638,0.16446411378178816,0.783844319701285,0.05087058775108661,0.0920608298937623,0.00756399785742453,0.004589980399894808
Air Transport,155,0.2552077069601225,0.04808642236974086,0.07461478099004097,0.07283278618645271,0.06396100427659007,0.07216708719923516,0.06337639426785938,0.07233687669860593,0.06354618376723015,0.08100807501021448,0.13247639201723516,0.08275949854616153,0.7447922930398775,0.0017514235359470537,0.05146831700702066,0.0017819948035882529,0.03432935043385761
Apparel,1152,0.48479830475035535,0.0816026342120672,0.1489494729400278,0.14639551002807655,0.12629156592370883,0.14800239414124872,0.12767778269273078,0.14804138042034035,0.1277167689718224,0.1713364896126727,0.4787254224782352,0.17605434735919634,0.5152016952496447,0.004717857746523651,0.3073889328655625,0.0025539629119512596,0.03196301868534477
Auto & Truck,165,0.1864163079976678,0.05999522919369041,0.07798599447088325,0.07559460879664003,0.06805757205894027,0.07574745825085626,0.06819518190850606,0.07738371255941774,0.06983143621706754,0.09817624786019502,0.1793405270965002,0.13843280892735793,0.8135836920023322,0.04025656106716291,0.08116427923630519,0.0023913856742432205,0.0016817513936917149
Auto Parts,761,0.1685986184243568,0.03096346032701352,0.05488365086104933,0.0501128648978648,0.0420430602443079,0.050299970070420356,0.042200035385477876,0.048274277955413544,0.04017434327047107,0.0842561043354954,0.16377114159268918,0.12052942261828807,0.8314013815756431,0.03627331828279267,0.07951503725719378,0.004770785963184524,0.0040303020427568175
Bank (Money Center),607,0.9963224867057929,0.34673143756627006,0.009530646271000224,0.0028364375669561663,0.002222674284911697,0.0031045979065866826,0.002432808679574066,0.0031046482550396875,0.0024328590280270706,0.0017709271222344728,0.41609861864940906,0.0017711362277388516,0.0036775132942070687,2.0910550437873413e-07,0.4143276915271746,0.0066942087040440575,0.00857264386211223
Banks (Regional),881,0.9940607795493697,0.30690566191894536,0.00862310536009829,-0.00010767472807027957,-8.798710797088847e-05,-0.0009921603095124016,-0.0008107502832096181,-0.0010386505223670638,-0.0008572404960642806,0.00023483549360137513,0.46476740095739727,0.000332183560338191,0.005939220450630334,9.734806673681584e-05,0.46453256546379584,0.00873078008816857,0.012914362528523593
Beverage (Alcoholic),220,0.49596773793948645,0.1405936085166438,0.21982618905049778,0.21689011757613919,0.18171952990008947,0.2171835320895099,0.18196536474047528,0.2173706332558427,0.18215246590680806,0.25261491432408195,0.47958493873987246,0.25674160775077703,0.5040322620605135,0.0041266934266951175,0.2269700244157905,0.0029360714743585656,0.0031808730292935076
Beverage (Soft),100,0.4945429641340025,0.11778964740284986,0.17104679182630578,0.16712851609847534,0.14735957495422358,0.16773378772097303,0.1478932514991081,0.16780765336144984,0.1479671171395849,0.18397323672798868,0.5033527141163112,0.18806995282920505,0.5054570358659976,0.00409671610121639,0.3193794773883226,0.0039182757278304545,0.00884158571135786
