Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,391,0.38891117906224903,0.31598487804327857,0.7602893409980787,0.23971065900192132
Aerospace/Defense,289,0.3510101886001401,0.3034400007669043,0.8280265136997853,0.17197348630021475
Air Transport,155,0.30061794269989933,0.18575832255652291,0.4901831815848814,0.5098168184151186
Apparel,1152,0.3272366860839866,0.28958727353877906,0.8543858487203017,0.14561415127969835
Auto & Truck,165,0.364637234321081,0.2646111445537375,0.6439025923803582,0.3560974076196418
Auto Parts,761,0.30389336137361084,0.24812746567106328,0.7655577303346277,0.23444226966537232
Bank (Money Center),607,0.2128077921549118,0.10209931984469509,0.25577452097885767,0.7442254790211423
Banks (Regional),881,0.18295557375623153,0.09022872602330506,0.28243468760570045,0.7175653123942995
Beverage (Alcoholic),220,0.2748939825628717,0.2407532651178982,0.8426322817910084,0.15736771820899165
Beverage (Soft),100,0.3223807318866916,0.286326276407366,0.8585105509636617,0.14148944903633834
Broadcasting,130,0.31539632930060435,0.20412757131174294,0.5333737316803416,0.46662626831965837
Brokerage & Investment Banking,590,0.3195173390050282,0.15844769697343616,0.2876839090569763,0.7123160909430237
Building Materials,457,0.2800130376053482,0.24075722419018114,0.8219914031953021,0.17800859680469794
Business & Consumer Services,980,0.3330640976941999,0.2909701262848118,0.8398149302517722,0.16018506974822777
Cable TV,48,0.3091067406758942,0.19464296683860288,0.5077031977380069,0.49229680226199307
Chemical (Basic),888,0.2887733872844873,0.22138083418019708,0.6993997183321361,0.30060028166786384
Chemical (Diversified),64,0.2236285736387566,0.1620123665059292,0.6422398308726534,0.3577601691273466
Chemical (Specialty),949,0.3121796391835974,0.2682359771719189,0.8212524663914409,0.17874753360855905
Coal & Related Energy,215,0.5042147298228631,0.4385256918086634,0.8347939836478743,0.16520601635212573
Computer Services,1164,0.3289536292318077,0.2966812039419496,0.8760895983268648,0.12391040167313519
Computers/Peripherals,338,0.32935741174104016,0.3109382741800339,0.9297017576518523,0.07029824234814774
Construction Supplies,793,0.2848026297975704,0.22214356982902897,0.7172724404888602,0.28272755951113976
Diversified,326,0.2713903517710711,0.20012888459653028,0.6599385176529888,0.3400614823470112
Drugs (Biotechnology),1259,0.5327835684030323,0.4798956830967854,0.8746061138214622,0.12539388617853772
Drugs (Pharmaceutical),1299,0.41512557065255234,0.37126503512733244,0.8664328279408462,0.13356717205915378
Education,260,0.3452563908096796,0.2846981028652377,0.7761824984748384,0.2238175015251615
Electrical Equipment,1072,0.3511338511809446,0.30958446217378954,0.8501773827340023,0.14982261726599763
Electronics (Consumer & Office),127,0.33860993934953365,0.2769990859896935,0.7675957014244341,0.23240429857556588
Electronics (General),1486,0.3253309852456644,0.28499940029003856,0.8429219060388689,0.1570780939611311
Engineering/Construction,1283,0.3057573435641939,0.19436822392944525,0.5165467342563594,0.4834532657436405
Entertainment,741,0.41350767359783575,0.3542201032545745,0.8178703129138585,0.18212968708614155
Environmental & Waste Services,383,0.3388816224065516,0.2703023471801402,0.740695704201952,0.2593042957980481
Farming/Agriculture,430,0.3405479235070628,0.24446007018068205,0.6331299759650458,0.36687002403495417
Financial Svcs. (Non-bank & Insurance),1113,0.3520861107982175,0.16377265671031527,0.22473684223483348,0.7752631577651665
Food Processing,1395,0.286288168212873,0.2317435096036876,0.7563291500929317,0.24367084990706836
Food Wholesalers,173,0.3082233050608905,0.22149587419658853,0.6342013815989231,0.3657986184010768
Furn/Home Furnishings,383,0.29724029020693765,0.24632914408226045,0.7815738843959843,0.21842611560401573
Green & Renewable Energy,253,0.3337365434374277,0.2335059662614869,0.6079558269613716,0.39204417303862843
Healthcare Products,849,0.42342967151692185,0.3841720092954278,0.8829754505482748,0.11702454945172519
Healthcare Support Services,463,0.3780579367531488,0.3099590271847833,0.7699885700079803,0.2300114299920197
Heathcare Information and Technology,443,0.4493294014324383,0.4063108287356917,0.8791129034288251,0.12088709657117488
Homebuilding,173,0.2896512515831867,0.23724025475997512,0.7689170767200924,0.23108292327990762
Hospitals/Healthcare Facilities,232,0.2952943117870857,0.22166859891257265,0.6779150827893685,0.3220849172106314
Hotel/Gaming,650,0.33832876960999625,0.2553920181829703,0.6835785536535688,0.31642144634643116
Household Products,549,0.35414092089807037,0.32016269104838546,0.8788498326291394,0.12115016737086057
Information Services,81,0.33631953220947924,0.268795204407394,0.7428051921906129,0.2571948078093871
Insurance (General),202,0.2478689232245281,0.1975654145374524,0.7399354891033706,0.2600645108966294
Insurance (Life),137,0.2529088497524812,0.15636144943842825,0.49067824558371154,0.5093217544162885
Insurance (Prop/Cas.),228,0.2674377675554218,0.22901873326409652,0.8175093243750154,0.18249067562498456
Investments & Asset Management,1374,0.2952473128244418,0.1998095121996405,0.5757539050788343,0.4242460949211658
Machinery,1492,0.2975651969773884,0.266239587326041,0.8669231583230936,0.1330768416769064
Metals & Mining,1815,0.5751337390211976,0.47712056499921657,0.7826996381903204,0.21730036180967954
Office Equipment & Services,137,0.2790876657137057,0.23040210979206935,0.7774331631325505,0.22256683686744946
Oil/Gas (Integrated),36,0.26835269009888657,0.23681927820130058,0.8512333321153658,0.1487666678846342
Oil/Gas (Production and Exploration),590,0.48387766980457786,0.40275941600682574,0.7863253142358645,0.21367468576413548
Oil/Gas Distribution,174,0.29604834790023926,0.202614090958331,0.5865518617318969,0.4134481382681031
Oilfield Svcs/Equip.,444,0.36102582329931976,0.2786640011036423,0.7064227836322601,0.29357721636773987
Packaging & Container,426,0.27470203395781206,0.20420666713606292,0.6680332133531605,0.33196678664683954
Paper/Forest Products,266,0.2923214250279434,0.20449320229990356,0.6077852216094608,0.39221477839053925
Power,488,0.25342379632553697,0.15896158985196188,0.5040920583871391,0.49590794161286095
Precious Metals,853,0.6015926072615447,0.5277835951214118,0.8445711072611279,0.15542889273887203
Publishing & Newspapers,324,0.30651468123456876,0.2614052759444831,0.8129578743647508,0.1870421256352493
R.E.I.T.,659,0.19507213564220016,0.1299704697399894,0.5608349757610721,0.4391650242389279
Real Estate (Development),884,0.3226407984583051,0.15981621793698464,0.28661081542248545,0.7133891845775145
Real Estate (General/Diversified),336,0.25548788218587737,0.15156348727387572,0.4526419326460456,0.5473580673539544
Real Estate (Operations & Services),748,0.2896694113717817,0.1865409989528744,0.5286715527570874,0.47132844724291256
Recreation,326,0.31551562219003826,0.26286165064979494,0.7873170186541153,0.21268298134588468
Reinsurance,34,0.23429812694853552,0.19471211787012005,0.7846100198616548,0.21538998013834518
Restaurant/Dining,394,0.29860207290824436,0.24830446631132172,0.7852788217292409,0.21472117827075912
Retail (Automotive),204,0.3273261317518817,0.23079863536588788,0.6155114630503724,0.38448853694962754
Retail (Building Supply),120,0.30071356129427346,0.2565982246821712,0.8135627772142586,0.1864372227857414
Retail (Distributors),1028,0.310820691469926,0.2236615552352354,0.6355259586478146,0.36447404135218536
Retail (General),256,0.2972838203067488,0.25788702693806553,0.8319010705732036,0.1680989294267964
Retail (Grocery and Food),201,0.25255189468537254,0.18741519034567525,0.6662827057311447,0.33371729426885527
Retail (REITs),123,0.17432124177759648,0.11653093731622997,0.563997563903907,0.43600243609609307
Retail (Special Lines),639,0.3381580139068764,0.282190921887594,0.7891131118878323,0.21088688811216771
Rubber& Tires,89,0.2690211904339668,0.20674871154820204,0.7019433926371821,0.29805660736281797
Semiconductor,647,0.3438195665674977,0.32365766611900815,0.9262655949981993,0.07373440500180067
Semiconductor Equip,367,0.3351128957237849,0.31962825563607555,0.9419761876136487,0.05802381238635139
Shipbuilding & Marine,348,0.29862899830307615,0.22714654471306645,0.691348775506158,0.3086512244938419
Shoe,85,0.31722109009264277,0.2895458446876554,0.8899509812815192,0.11004901871848087
Software (Entertainment),317,0.4382090246503033,0.421515165821631,0.9522022882089582,0.047797711791041766
Software (Internet),151,0.4698226412977677,0.4326338541851845,0.9002455542204704,0.0997544457795296
Software (System & Application),1616,0.4359142137619651,0.4156078208416782,0.9415014467841153,0.05849855321588472
Steel,718,0.32684206346899697,0.25246291930962805,0.7071769201365572,0.29282307986344275
Telecom (Wireless),98,0.29268715180378874,0.20302806219812333,0.5995734068210491,0.4004265931789509
Telecom. Equipment,453,0.36121152315507643,0.3285141339127046,0.8857716729963271,0.11422832700367296
Telecom. Services,288,0.3013188613936473,0.19707650018439943,0.5432775953829726,0.4567224046170274
Tobacco,56,0.31215895747055444,0.2515124365039365,0.7513785535449395,0.2486214464550605
Transportation,443,0.30380702193123765,0.22631356567426683,0.6701364068464606,0.32986359315353947
Transportation (Railroads),49,0.1925517420182543,0.14822182641385248,0.7036241613633043,0.2963758386366957
Trucking,106,0.2911515050298223,0.24029827685790867,0.7771491263764237,0.22285087362357622
Utility (General),50,0.18493219542658187,0.12247690291343646,0.5551254303941916,0.4448745696058084
Utility (Water),102,0.23638245507713002,0.15334913542498285,0.5355860310696358,0.46441396893036424
Total Market,47698,0.34377339651496613,0.2424443199005982,0.6157080382050791,0.38429196179492087
Total Market (without financials),42566,0.3518111767981802,0.28667611847148455,0.7634072072609194,0.2365927927390806
