Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Advertising,391,1.3333653073900256,0.03303829182817689,1.5597581830598455,0.07997081150593628
Aerospace/Defense,289,1.9853152655561184,0.05419735719311814,2.2616278665454344,0.08004035261299097
Air Transport,155,0.7764406165217121,0.04808642236974086,1.416060675493406,0.07216708719923516
Apparel,1152,2.198979955376227,0.0816026342120672,2.4393038474523547,0.14800239414124872
Auto & Truck,165,0.8858263625019445,0.05999522919369041,1.2010454020784693,0.07574745825085626
Auto Parts,761,0.7200204082645114,0.03096346032701352,0.826554824388617,0.050299970070420356
Bank (Money Center),607,2.6362699585132847,0.34673143756627006,6.769919336252972,0.0031045979065866826
Banks (Regional),881,2.5925719066824,0.30690566191894536,5.837120237502678,-0.0009921603095124016
Beverage (Alcoholic),220,3.223357443832991,0.1405936085166438,3.645519486097814,0.2171835320895099
Beverage (Soft),100,3.1661401896567343,0.11778964740284986,3.5378584257458034,0.16773378772097303
Broadcasting,130,0.7069306019304207,-0.003145462674029307,1.1859945658791722,0.09867486626490654
Brokerage & Investment Banking,590,2.407283538276164,0.1297963679546204,6.822798379397698,0.011522730584891294
Building Materials,457,1.4926005957881747,0.065226935877462,1.7142682425921862,0.10736343118433056
Business & Consumer Services,980,1.8246945335977716,0.052172942673421506,2.0557335896830167,0.09256451885903745
Cable TV,48,1.3235672325513794,0.09936161780467637,2.5412604191516603,0.1825942079762046
Chemical (Basic),888,1.0306106145354763,0.023795194627737812,1.3267680881060941,0.04680127058114655
Chemical (Diversified),64,0.7155454757764925,0.018003688095194162,1.0157982256985354,0.06628696741499443
Chemical (Specialty),949,1.9704475548343907,0.0854308428842161,2.2521789021943563,0.1199448465027165
Coal & Related Energy,215,1.3409414993240218,0.15549913950703656,1.3071148054536077,0.24035556325938898
Computer Services,1164,1.4199957732106026,0.04999772709060694,1.5245898873969417,0.07662994629036833
Computers/Peripherals,338,2.9627112624161356,0.10558634088674872,3.0481583211129673,0.1140254211612152
Construction Supplies,793,1.0849391584792238,0.05913881486195261,1.356071618713427,0.08865000652890181
Diversified,326,1.3067199831463185,0.10078882618512547,1.8308485319739551,0.16207583758698113
Drugs (Biotechnology),1259,6.607646331804908,-0.10709180243858121,6.9645349708093045,-0.005545963922381658
Drugs (Pharmaceutical),1299,3.6628566585239826,0.11898208396012541,4.050186295727115,0.18172401555616854
Education,260,1.972514658405921,0.048112385965438036,2.2863341200289162,0.10846568351673098
Electrical Equipment,1072,1.8201057380610433,0.0583635001061074,1.937473915590827,0.07165867201753305
Electronics (Consumer & Office),127,0.8087851756853358,0.032174153916465206,0.9372307095413658,0.04677534350925645
Electronics (General),1486,1.5226721684057767,0.039721501851972284,1.5902472235868699,0.05315460309672918
Engineering/Construction,1283,0.4042208318280617,0.027018826047810997,0.6319690641888086,0.04751975629907805
Entertainment,741,2.5891152575171676,0.020004646077753548,2.9125408254770817,0.07140385883357887
Environmental & Waste Services,383,2.1432753621174396,0.04861489275908628,2.7759010980617136,0.10703140650226602
Farming/Agriculture,430,0.7289017411455824,0.05160061304545247,1.083445156327121,0.08252296333911815
Financial Svcs. (Non-bank & Insurance),1113,3.634384784226308,0.21021783665923668,15.087157197700607,0.12444238535879416
Food Processing,1395,1.1330004203554922,0.044847111055680074,1.4097637305734059,0.07634481222117255
Food Wholesalers,173,0.2492265990592971,0.009345705398483017,0.37040946105270617,0.024655107378276434
Furn/Home Furnishings,383,0.9545321662207387,0.04779638526716606,1.0263903171402884,0.07293241618809367
Green & Renewable Energy,253,4.691587223882999,0.1790687558239097,7.400667405873423,0.29104956132609133
Healthcare Products,849,4.068952855564142,0.08145551433427103,4.412915204529998,0.12495644070464434
Healthcare Support Services,463,0.5169491973487559,0.02115578937332512,0.6084030855050848,0.03905420875110849
Heathcare Information and Technology,443,4.825481169816801,0.06858257981730839,5.245477310988296,0.1363257705013574
Homebuilding,173,1.029606005297014,0.09534160957862237,1.1836835844750713,0.12794609050462993
Hospitals/Healthcare Facilities,232,1.6093245592912881,0.036076942035131725,2.3100825241398093,0.10761310643119641
Hotel/Gaming,650,2.6294746196232417,0.06564730861305758,3.563706751527192,0.12148517283912522
Household Products,549,2.9204314599002985,0.10341191506646936,3.196194277642087,0.15036069507976996
Information Services,81,1.5284162338275438,0.03882627224968625,1.9345203801039386,0.11283966813223123
Insurance (General),202,1.0033804526171402,0.0711853801556976,1.169134129847309,0.1184054017939068
Insurance (Life),137,0.8090233423018783,0.0452877928364768,1.062582877725027,0.10832802165624869
Insurance (Prop/Cas.),228,1.0077334378929974,0.06574403579513091,1.1297486196935074,0.09792192081104666
