Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Advertising,391,0.0753565496905051,0.07243160637182522
Aerospace/Defense,289,0.1414338304779268,0.10860341986462149
Air Transport,155,0.19646294458461788,0.19316146369115617
Apparel,1152,0.17062717492423174,0.16578901482270522
Auto & Truck,165,0.1450297214555686,0.11551557267522396
Auto Parts,761,0.07578820040942477,0.05520836171234711
Bank (Money Center),607,0.1265430638481194,0.1265430554229856
Banks (Regional),881,0.09826683499231499,0.09824105345597535
Beverage (Alcoholic),220,0.16528003825197396,0.16312622620072886
Beverage (Soft),100,0.25763420811932436,0.2510633226107491
Broadcasting,130,-0.0035567526500278465,-0.0034400465418217533
Brokerage & Investment Banking,590,0.07664517748653683,0.07607636416984032
Building Materials,457,0.1338814752703728,0.12362039856210164
Business & Consumer Services,980,0.13588911707732615,0.1290103035368146
Cable TV,48,0.1588258209350195,0.15731276581998685
Chemical (Basic),888,0.038401073053239365,0.0362305961218747
Chemical (Diversified),64,0.029144222762520315,0.024116541142817662
Chemical (Specialty),949,0.12070412277404138,0.10981343753168536
Coal & Related Energy,215,0.2136253482938942,0.20811297939129955
Computer Services,1164,0.16017730806734784,0.14086248188522923
Computers/Peripherals,338,0.28447577234191745,0.18544888030238904
Construction Supplies,793,0.1014701174588533,0.09186457159078701
Diversified,326,0.13097599742002441,0.12566579902452335
Drugs (Biotechnology),1259,-0.08826768540176394,-0.0361791281154551
Drugs (Pharmaceutical),1299,0.13204955368081206,0.09836434984383507
Education,260,0.051181871388765295,0.0471753418950527
Electrical Equipment,1072,0.10855337528235157,0.09546616377071673
Electronics (Consumer & Office),127,0.07310350523512302,0.054314447272393984
Electronics (General),1486,0.06682404237790968,0.0549944656172019
Engineering/Construction,1283,0.09111818582020693,0.07969942680666894
Entertainment,741,0.02266695055525666,0.023079256048547468
Environmental & Waste Services,383,0.08068341683507488,0.07818668837858692
Farming/Agriculture,430,0.14471013504560334,0.13572247874860777
Financial Svcs. (Non-bank & Insurance),1113,0.18599670816271613,0.17972459001109162
Food Processing,1395,0.10404779362976543,0.10056227671127735
Food Wholesalers,173,0.08914166793720849,0.08864694204773431
Furn/Home Furnishings,383,0.11207479182881593,0.09498193016938719
Green & Renewable Energy,253,0.10750114708648674,0.10725810349156319
Healthcare Products,849,0.07578216042011074,0.0645968451039704
Healthcare Support Services,463,0.12150320012763628,0.11838604621713317
Heathcare Information and Technology,443,0.06025565979669429,0.053517371228943136
Homebuilding,173,0.166100037997485,0.16482439727782708
Hospitals/Healthcare Facilities,232,0.1194972327229353,0.11923385972977091
Hotel/Gaming,650,0.10909196658632195,0.1018652715633902
Household Products,549,0.188260624126361,0.1716981031120213
Information Services,81,0.08982080004282594,0.08299655605333468
Insurance (General),202,0.15203983853675432,0.15191055925062458
Insurance (Life),137,0.07415972895423793,0.07415972895423793
Insurance (Prop/Cas.),228,0.12312293515838725,0.12312293515838721
Investments & Asset Management,1374,0.10448446992594382,0.10386797059890203
Machinery,1492,0.11997300767360276,0.10695927247973751
Metals & Mining,1815,0.10498912521603516,0.10216950323516406
