Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,391,13260.446000000005,3271.5989999999974,3897.7919999999995,1.1914027360932689,0.14376235296448503,0.2467186246978417,0.3435988053286801,0.29394124451017695,0.45561624918512467
Aerospace/Defense,289,59564.98999999998,9636.000000000002,13675.033999999998,1.4191608551266082,0.09402857877671386,0.1617728803446455,0.18233251763653838,0.22958173920620153,0.26630625669171926
Air Transport,155,54360.797,9828.064000000002,4069.5809999999974,0.4140775843543547,0.12181027768388239,0.18079322862025005,0.2173189682893201,0.07486242337469771,0.09826680794397251
Apparel,1152,99226.21599999997,25110.727999999992,26445.515999999992,1.0531560853193902,0.1373262342575402,0.2530654600393106,0.2655869117313807,0.2665174292245509,0.2800836394238105
Auto & Truck,165,217904.91200000007,47680.06700000002,49231.966,1.0325481715451446,0.09970336321172629,0.218811345565262,0.2392475767909077,0.22593325477674403,0.2486731923355224
Auto Parts,761,48061.872999999956,11572.064000000002,15128.769000000011,1.3073526900646253,0.16103259452445998,0.2407743035732297,0.23641830516854515,0.3147769334748986,0.3464187938122059
Bank (Money Center),607,1170568.2340000004,217614.06799999997,211197.23299999998,0.9705127749369586,0.2163852605799147,0.18590464159135886,0.1858838804949929,0.1804228295844904,0.1806617574612529
Banks (Regional),881,134136.911,25725.191999999977,61026.000999999946,2.3722272315790685,0.18284346245612015,0.19178309540764643,0.19320177433612035,0.4549530814825455,0.46629435910979494
Beverage (Alcoholic),220,78946.64900000003,17324.895999999993,32058.234000000015,1.8504142247087676,0.1621585532300848,0.2194506824475854,0.21946520691353993,0.4060746644230587,0.4109354274641968
Beverage (Soft),100,39567.524000000005,8074.986000000002,9039.887000000002,1.1194925910707463,0.1182858653074113,0.20408115504017893,0.20534491147215944,0.2284673410446406,0.22984183124801819
Broadcasting,130,8238.730000000001,2083.803,2626.165,1.2602750835851566,0.14865863163963045,0.25292769638038864,1.1094771740628602,0.31875847369679544,2.429319657474498
Brokerage & Investment Banking,590,80848.81099999999,15328.719999999996,21175.65400000001,1.3814365452562258,0.13185490204757436,0.1895973460883673,0.19608938932680967,0.2619167027700632,0.27341930240113765
Building Materials,457,42211.34900000001,9640.385000000002,11944.510999999993,1.2390076744860283,0.15935721471413286,0.2283837221122689,0.23262759960456947,0.28296918442478564,0.2944727022983935
Business & Consumer Services,980,54076.41700000002,13363.367000000006,16348.493999999993,1.2233813529180173,0.1679935687658455,0.2471200523511016,0.26765215981623336,0.30232206397846195,0.3305448481396727
Cable TV,48,35171.623,8794.152000000002,8237.265,0.9366753042248983,0.13470114214431717,0.2500354333947001,0.2517818356981895,0.234202015641985,0.2442080426680606
Chemical (Basic),888,44073.55299999997,8770.055,21468.617000000002,2.4479455373997085,0.13751305026305558,0.1989867937354632,0.19386766076706416,0.48710883372620345,0.656891308694702
Chemical (Diversified),64,10159.279999999999,2272.4049999999997,5641.423000000001,2.4825781495816113,0.2255044468760268,0.22367776062870598,0.5639912252832048,0.5552975210841714,0.9610524413177612
Chemical (Specialty),949,108228.98000000004,22607.260000000006,33200.129000000015,1.4685604978223812,0.14221051519618308,0.2088836095470917,0.21324204446442957,0.30675821762341293,0.33289227951504485
Coal & Related Energy,215,71384.51099999997,16103.879000000004,33981.78400000001,2.110161408937561,0.10341227314527049,0.22559346242492312,0.23081867293830505,0.4760386185176785,0.4862145592267885
Computer Services,1164,78496.71699999999,18547.746999999992,21016.319000000018,1.1330928225406582,0.16475875905545834,0.23628691375717017,0.25937181941238324,0.26773500603853306,0.2883159195411056
