Indusry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,391,0.42864463418850246,0.023286262026682897,0.416363129209203,-0.025138144517558653
Aerospace/Defense,289,0.27934346981519503,0.3447633177675671,0.18553323744349978,0.38805333617951365
Air Transport,155,0.06214324156447809,0.024395060017356317,0.09059715581648205,-0.028523145438302533
Apparel,1152,0.09462417906334689,0.23951792044814876,0.09448765761639723,0.22428068163286738
Auto & Truck,165,0.12259897410605787,0.1308332420302514,0.16604474960523596,0.021279099706557173
Auto Parts,761,0.1892625056798195,0.13509184324530488,0.18451251957499434,0.1176466103229517
Beverage (Alcoholic),220,0.10891943274499662,0.21195776555441076,0.1639548712670399,0.10799586197824766
Beverage (Soft),100,0.12084198899971645,0.08068642050006819,0.2299053564653331,-0.04622299752478169
Broadcasting,130,0.22828256174461287,0.06068097087722111,0.12971081160665884,0.12358975266083913
Building Materials,457,0.1721203634577034,0.1584730232102446,0.12226164450209788,0.17489299179969522
Business & Consumer Services,980,0.2062953529930456,0.022448567595064434,0.10440512629611243,0.10538724930811728
Cable TV,48,0.09727153615907258,0.008976589418617334,0.08992910594850148,0.007530629820232431
Chemical (Basic),888,0.1424012192941061,0.1557849615810539,0.1309163182980092,0.13109121704272025
Chemical (Diversified),64,0.1616755145805007,0.20410327274144272,0.11137096388889829,0.19327838179916976
Chemical (Specialty),949,0.16535886534613023,0.17277228073093293,0.13032980196299132,0.18241924623939815
Coal & Related Energy,215,0.08874594148227713,0.05317728324410286,0.13305992948455847,-0.030186938808872188
Computer Services,1164,0.2090808355644604,0.07240197183207552,0.12387552676140283,0.15358638268892377
Computers/Peripherals,338,0.1410088313996182,0.11866288099453115,0.15835706437672184,0.020955925405338062
Construction Supplies,453,0.18558438388484402,0.16038510466153538,0.16902919357092386,0.1329862764554581
Diversified,326,0.18266792641887736,0.14066723192829278,0.1274245965339521,-0.09452790124570304
Drugs (Biotechnology),1259,0.22459847505018596,0.15927679539300219,0.17328078414617462,0.17156984512745332
Drugs (Pharmaceutical),1299,0.20974395695313527,0.1657753325240438,0.12637827800134524,0.15494978149385577
Education,260,0.1301567304646708,0.019796351892966902,0.06807399803244647,0.03476184054372254
Electrical Equipment,1072,0.2771172547623916,0.21448696838835551,0.24171696592469397,0.21724570207617155
Electronics (Consumer & Office),127,0.17051955031265453,0.16231077377456388,0.17474759751581703,0.06626061355356103
Electronics (General),1486,0.22078318459688015,0.17659869618015198,0.1756824949237927,0.1892048055075262
Engineering/Construction,1623,0.3407101623329021,0.16717465257169886,0.2951678232455723,0.15922667115136757
Entertainment,741,0.12783339439779992,0.041345121817727266,0.11510776279942786,0.03998354131040729
Environmental & Waste Services,383,0.2838553108824588,0.04329076194925453,0.16504522809348954,0.14714493884822635
Farming/Agriculture,430,0.09663631759141021,0.15646072602632563,0.07844326778902533,0.1620209245358258
Food Processing,1657,0.09194698216515725,0.14421361949074588,0.11078378878310174,0.10527081694441977
Food Wholesalers,173,0.06826023663101051,0.07316482316340765,0.08559067738457653,0.058735090381477825
Furn/Home Furnishings,383,0.13207994545672277,0.14346516982949933,0.17665776415109927,0.04911142247112463
Green & Renewable Energy,253,0.43237413781486106,0.040265483998731276,0.17382178302434084,0.09720434876570107
Healthcare Products,849,0.17625233803934945,0.19244494196717374,0.0846948890373853,0.2568771678494062
Healthcare Support Services,463,0.10209448508726873,0.04719834495097657,0.15751997770290369,-0.027295865370918826
Heathcare Information and Technology,443,0.20897488761571478,0.12538877967732212,0.07390549101746724,0.2389800084815025
Homebuilding,173,0.05560587369558664,0.6591973967559137,0.08817313077783145,0.6093441380975982
Hospitals/Healthcare Facilities,232,0.14274617910572246,0.02409602217835812,0.08098539692488614,0.0696388585347049
Hotel/Gaming,650,0.10272606004761212,0.04068549850975264,0.10312238584431971,-0.01978075305102925
Household Products,178,0.1105926183214204,0.1194108019990131,0.16352937223127753,0.05323579396923756
Information Services,81,0.18472371509483754,0.002399443127852383,0.040594324019977604,0.14317420782326645
Insurance (General),202,0.05672523148746015,0.0003420721342215735,0.12872881449358523,-0.015909868291309952
Insurance (Life),137,0.050447995083481155,0.0007912691720671758,1.0584532835331384,-0.9618918273783859
Insurance (Prop/Cas.),228,0.11076085550261423,8.696689146104747e-05,0.5824333607057544,-0.2847602982713821
Machinery,1492,0.2536217260553742,0.24517356452233235,0.16426706664802757,0.28320474661866296
Metals & Mining,1815,0.07620370239044026,0.1599085776046461,0.09661460207403362,0.11976332846375269
Office Equipment & Services,137,0.1491174441366418,0.1289621883747022,0.12211833027251219,0.1332272259294005
Oil/Gas (Integrated),36,0.09910685498043313,0.07495863844323201,0.1347664092522581,0.032549087570827216
Oil/Gas (Production and Exploration),590,0.13595863182907622,0.031166656025761273,0.10826371612706272,0.011379439275655217
Oil/Gas Distribution,174,0.09630407519643257,0.040265380396546736,0.08658392534328609,0.04040003139702517
Oilfield Svcs/Equip.,444,0.10072503045574728,0.10289825805132258,0.11308595534432614,0.06444806614870509
Packaging & Container,164,0.16825966847155402,0.15710251445762236,0.16213620555943437,0.13503323145959242
Paper/Forest Products,266,0.1547483380137852,0.1816528501306388,0.12614035791831082,0.19301023843083542
Power,488,0.14676980869625642,0.0544394866897384,0.10950495045133288,0.051321052580214174
Precious Metals,853,0.0430182387549873,0.17430855092810918,0.0866003121855939,0.10876920780761588
Publishing & Newspapers,205,0.1552676237687469,0.10473398763274795,0.1709212932956031,0.08439681637780193
R.E.I.T.,633,0.9708353312329379,0.030363147671408065,0.1422173198209984,0.9439669734489357
Real Estate (Development),884,0.21914915542645488,2.4479537408927885,0.5252402070844071,1.9372904748389623
Real Estate (General/Diversified),336,0.27861399526720043,1.1197797967981153,0.14445612371696648,1.1297095601126699
Real Estate (Operations & Services),748,0.1640469334534332,0.1570372944559988,0.10094406573424884,0.19381853732242252
Recreation,326,0.11142533898023907,0.1759165306522318,0.09267262662815261,0.16351049819930016
Reinsurance,34,0.07118874086472066,1.1729338347656118e-06,1.0483919481585309,-0.6973276816797297
Restaurant/Dining,394,0.05464687968288805,0.022140045184863996,0.06863173805290518,-0.015570926850960395
Retail (Automotive),204,0.053337637137522355,0.1230052865921804,0.08128074291098081,0.10706378902882009
Retail (Building Supply),120,0.022865142093960112,0.17180434352312693,0.09731396923097903,0.08974502663749973
Retail (Distributors),1028,0.14358915852983065,0.14401682083179743,0.13161877608621497,0.1595069964561288
Retail (General),256,0.052032179898146715,0.09981247042321383,0.11516508172516748,-0.012451183702950622
Retail (Grocery and Food),201,0.028147582442759944,0.059393618178568454,0.09024897730480617,-0.030261379667246124
