Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,18,20.444444444444443,3274.87,870.2389999999999,3240.707361890934,985.1143618909338,38.0153618909337,1253.1519999999998,420.486,322.367,286.0151276218133,216.254
Aerospace/Defense,16,50.5625,52734.21,5495.154999999999,46483.46550512499,1628.4695051249964,95.10350512499637,7447.195000000001,3555.16,1411.5690000000002,1225.3310989750007,1415.381
Air Transport,5,23.2,20566.5,-1915.6,29429.464000000004,7431.956999999999,10979.194,9319.910000000002,2947.52,1299.2,937.7000000000002,542.6399999999999
Apparel,344,38.09593023255814,86548.90500000012,10496.646000000002,98256.6055904394,24634.917590439378,13159.906590439381,73068.96399999995,10375.90099999999,2813.845000000003,2105.235281912123,1261.4489999999998
Auto & Truck,12,56.583333333333336,154601,16943.351,178386.39999999997,55609.11,30619.55,95269.69000000002,36068.214,11834.494999999999,9291.754,6376.973000000001
Auto Parts,109,41.4954128440367,82794.25000000001,14226.415000000003,90529.36393726591,22886.03293726589,10223.163937265903,41780.699,16017.494999999995,4533.617999999999,3210.3974125468185,1925.0960000000007
Bank (Money Center),34,72.97058823529412,539911.4,223940.79999999996,665878.9467955017,397530.77679550176,312181.24679550173,130588.3,130558.59999999999,676.899,29.50964089965322,35838.46000000001
Banks (Regional),5,45.4,13343.7,4441.800000000001,14617.553223054067,6307.953223054066,3474.153223054066,2491.7,2491.7,50.626999999999995,12.596355389186797,733
Beverage (Alcoholic),19,50.73684210526316,20029.319999999996,1831.4289999999999,20160.938,2249.134,323.217,3748.99,1534.4779999999998,436.8749999999999,364.57400000000007,279.89300000000003
Beverage (Soft),5,24.8,19456.21,599.477,19914.261,1263.504,458.596,1896.539,1018.631,420.647,352.46799999999996,241.083
Broadcasting,19,26.63157894736842,9683.949999999999,3514.3199999999997,9259.937000000002,8992.678,856.289,3891.81,1140.117,342.88000000000005,237.87099999999998,193.37199999999999
Brokerage & Investment Banking,170,32.78823529411765,14790.400999999998,5015.863,18293.61547127817,10961.453471278179,9269.325471278176,5729.878999999997,2201.0640000000008,37.96,38.561105744364966,623.0099999999995
Building Materials,51,34.450980392156865,17443.449999999997,2321.4999999999995,18189.09800496665,3444.735004966655,1062.6030049666558,5819.428999999999,2257.553,601.1440000000001,476.3993990066689,359.4399999999999
Business & Consumer Services,65,28.49230769230769,22440.479000000003,2627.4579999999996,22223.437944271674,2359.869944271671,640.4249442716712,7593.255,1724.595,720.7299999999999,638.5824111456658,491.7450000000001
Cable TV,8,30.25,1538.076,1097.106,1523.4769999999999,944.806,145.3,1128.9370000000001,494.32700000000006,211.005,25.924999999999997,-178.584
Chemical (Basic),138,41.34782608695652,58133.024000000005,14414.097000000002,62544.57648359889,20934.129483598885,5597.257483598886,25271.032000000007,9127.035,3600.1309999999994,2796.5637032802224,1826.7639999999997
Chemical (Diversified),9,57.77777777777778,32193,3716.8,32806.855,4602.091,988.19,7273.1,2632.6,1007.8699999999999,814.69,607.61
Chemical (Specialty),178,40.78651685393258,127569.29600000002,21374.528,133539.98743900322,29224.81143900315,10338.281439003149,49910.49600000003,15687.157000000003,6178.648,5186.85731219937,3186.2080000000005
Coal & Related Energy,4,40.5,29938.319,7557.723,26172.190000000002,5425.776,761.11,17361.87,14346.25,4450.110000000001,3864.279,3499.744
Computer Services,156,27.638709677419357,399762.53700000007,47635.975,400746.539177188,41049.284177187816,7848.936177187819,103579.38699999999,32493.651000000005,19372.987,17527.503164562437,13550.562000000005
Computers/Peripherals,8,28.375,982.6410000000001,25.504999999999995,968.3769999999998,65.273,18.71,159.425,45.51299999999999,12.631,11.533000000000001,7.772999999999999
Construction Supplies,97,44.381443298969074,135874.637,30539.02000000001,159960.19526015545,64803.60726015542,27113.86726015541,56011.304999999986,28327.524000000005,8432.222999999998,6139.32834796892,3283.5670000000005
Diversified,15,69.93333333333334,40798.49,9217.92,44399.382000000005,15425.971,5261.693,8975.658999999998,2884.372,1310.807,1115.9059999999997,1192.689
Drugs (Biotechnology),8,29.25,4041.7400000000002,1338.324,6023.203000000001,3098.7360000000003,2243.315,1745.366,1089.976,398.09700000000004,222.185,63.292
Drugs (Pharmaceutical),167,37.30538922155689,180590.3220000002,33889.493,182830.88130796913,38367.2423079692,7294.38630796919,41001.721,24706.731999999996,8462.822999999995,6764.0253384061625,4798.914
Education,29,23.724137931034484,1839.0879999999993,497.902,1926.6203529135385,473.05035291353823,162.77735291353815,449.7519999999999,247.588,57.68299999999999,40.80332941729236,-36.384
Electrical Equipment,111,35.945945945945944,89136.87299999998,10679.902999999998,91127.68159983488,14242.186599834838,3676.9545998348417,20594.45100000001,6008.713999999998,1829.5940000000003,1495.9818800330318,1277.952
Electronics (Consumer & Office),7,26.285714285714285,4835.9,195.13,4932.791999999999,352.10299999999995,116.661,1794.0199999999998,190.90999999999997,74.03099999999999,59.76299999999999,37.897000000000006
Electronics (General),35,30.685714285714287,12055.923000000006,959.539,11739.076913794072,1103.1639137940736,309.78291379407347,2150.993,723.4110000000001,234.631,202.1740172411853,205.84700000000004
Engineering/Construction,155,32.67741935483871,101059.40299999996,20390.875,125434.80808903344,46267.0630890334,30178.79908903338,55537.778000000006,16707.07500000001,6380.967000000001,5351.981582193326,2450.7650000000017
Entertainment,65,28.123076923076923,5680.048,948.0029999999999,7242.221004197054,2871.801004197054,1797.8640041970543,2116.4059999999995,1293.9749999999997,326.7500000000001,188.84979916058916,289.91
Environmental & Waste Services,14,23.357142857142858,1720.9899999999998,288.49999999999994,1681.2702311832402,324.43623118323995,85.50923118323998,617.93,202.91200000000003,68.578,59.231553763352,41.36999999999999
Farming/Agriculture,59,36.39655172413793,9992.987000000003,2669.041,10785.587000000001,4048.149,956.3309999999999,5405.482,1532.429,502.92299999999994,409.39400000000006,443.23600000000005
Financial Svcs. (Non-bank & Insurance),274,33.48540145985402,278317.04799999984,75971.982,691634.909426329,527240.1214263287,434092.6074263287,47606.77900000002,34692.022000000004,4460.2750000000015,4311.659514734223,14578.337000000003
Food Processing,192,44.41884816753927,107065.82100000003,12728.798000000006,111703.67815923519,17013.72015923519,6730.485159235198,40161.82400000001,10387.933999999997,3782.990000000002,3181.123368152959,1607.6760000000006
Food Wholesalers,34,31.41176470588235,339.16399999999993,136.27299999999997,370.1655941794169,193.828594179417,50.822594179417,906.5280000000001,97.268,19.162000000000006,14.612681164116598,11.168000000000001
Furn/Home Furnishings,43,42.48837209302326,15139.508,2706.42,15345.964591991338,2669.15259199134,678.69159199134,6113.446,1998.417,425.00200000000007,313.6652816017319,235.679
Green & Renewable Energy,16,23.875,40853.25999999999,5558.039999999999,51086.83911946615,16764.33811946616,11037.769119466162,2639.7129999999997,2036.819,1628.634,1287.2125761067682,666.9900000000001
Healthcare Products,11,26.545454545454547,1860.14,192.40700000000004,1858.077,218.19200000000004,25.071000000000005,227.54500000000004,123.471,45.096000000000004,36.65000000000001,31.906
Healthcare Support Services,37,29.27027027027027,5910.306,679.667,5917.22575959307,653.0377595930694,170.67075959306948,969.973,473.527,167.981,131.9418480813861,83.18099999999997
Heathcare Information and Technology,14,26.428571428571427,17130.72,2781.0699999999997,17015.476,2418.3340000000007,506.54900000000004,1890.9229999999998,1120.4900000000002,421.64199999999994,292.51800000000003,208.77999999999997
Homebuilding,1,25,5.38,2.96,5.3870000000000005,2.7669999999999995,0.014,0.835,0.048,0.023,0.022,0.025
Hospitals/Healthcare Facilities,32,22.0625,34906.692,3541.25,35652.704999999994,4339.098,1465.9670000000003,5930.8150000000005,2731.560000000001,1043.3859999999997,823.88,547.9340000000002
Hotel/Gaming,60,37.21666666666667,23387.131999999998,3368.3810000000003,24913.62776680567,5566.43676680567,2451.7677668056695,4040.5050000000006,2067.3469999999998,809.0219999999999,646.8338466388661,377.87699999999995
