Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_
Advertising,18,1.1974133375606295,0.24849955012358674,0.13231798166348518,0.11618156846010155,870.2389999999999,101.1057319551503,0.2884679769308927,0.13140010230433646,0.15706787462655625,780.6813618909338,122.61996227277437,0.9885249992866535,0.47611391507233103,0.074755,0.21771419941052259,0.0523285,0.011475000713346506
Aerospace/Defense,16,1.2966343159039944,0.257568894780948,0.14006714007210197,0.11750175470884605,5495.154999999999,645.6903548970888,0.29198935586814945,0.13990919268168306,0.1520801631864664,3587.335305124996,545.5625386079815,0.9981997966883335,0.36152889655525366,0.074755,0.2213284019114042,0.0523285,0.0018002033116665261
Apparel,344,0.7328179807521311,0.12017638777186537,0.09603308429674144,0.02414330347512393,10496.646000000002,253.42370984894578,0.08587489994396119,0.09026480526758641,-0.004389905323625223,21157.31899043939,-92.87862726976692,0.8680166137723658,0.3828828471348564,0.074755,0.14426417471486558,0.0523285,0.13198338622763417
Auto & Truck,12,1.3457573733464028,0.3763702351441578,0.14390365085835405,0.23246658428580375,16943.351,3938.7629333254567,0.14305280230993955,0.12876499637069103,0.014287805939248527,51088.57119999999,729.9435910190812,0.8346860000145773,0.27586541616757027,0.074755,0.2137366017039548,0.0523285,0.16531399998542273
Auto Parts,109,1.1224973096102853,0.13531841999548025,0.1264670398805633,0.008851380114916957,14226.415000000003,125.92340683755634,0.1271706990478923,0.11831877586002518,0.008851923187867122,19842.339537265903,175.64286545145663,0.8900940855637983,0.31720224855754675,0.074755,0.21128749362807775,0.0523285,0.10990591443620168
Bank (Money Center),34,1.3109177134725933,0.16003542007530566,0.14118267342220953,0.018852746653096136,223940.79999999996,4221.89916769167,7.825859036490694e-05,0.10862916325374748,-0.10855090466338257,311882.35679550166,-33855.11197869957,0.6336299251383826,0.2706495720555369,0.074755,0.17289831870547312,0.0523285,0.36637007486161743
Banks (Regional),5,1.2716327109204526,0.16502318879733438,0.13811451472288735,0.026908674074447025,4441.800000000001,119.52294850387882,0.0016023533302540712,0.12039324224002758,-0.1187908889097735,6323.253223054067,-751.1448711681829,0.7934246911911643,0.2546751927526404,0.074755,0.1956335347049471,0.0523285,0.20657530880883568
Beverage (Alcoholic),19,0.6006155861857082,0.15282765534454246,0.08570807728110381,0.06711957806343864,1831.4289999999999,122.92474173314535,0.16332215047200002,0.08517797890417585,0.07814417156782417,1897.1414,148.25054305002215,0.9841190805844009,0.2958209822106093,0.074755,0.14476234400297125,0.0523285,0.015880919415599104
Beverage (Soft),5,0.4593820280818523,0.40215554558390065,0.07467773639319267,0.327477809190708,599.477,196.31541462021806,0.35584933296578297,0.07420610360369059,0.2816432293620924,903.0539999999999,254.33904484835494,0.976972108088826,0.5365698410910166,0.077424,0.0882827277027073,0.0541968,0.023027891911174048
Broadcasting,19,0.8486814729098937,0.05502401602585991,0.1050820230342627,-0.05005800700840279,3514.3199999999997,-175.91985518977006,0.0600983906436817,0.10079632690484042,-0.04069793626115872,3375.9868,-137.3956956049132,0.918760001552147,0.4004638144758087,0.074755,0.14689821998346622,0.0523285,0.08123999844785301
