Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,18,1730,15.6,12,9017.341040462428,6936.416184971098,0.679,0.0005418337121115397
Aerospace/Defense,16,44853,0,0,0,0,2.45,0.0003289829257861517
Air Transport,5,59264,0,0,0,0,5.212999999999999,0.0005593401653020253
Apparel,344,504354,2005.3600000000001,2027.6240000000003,3976.0961546850035,4020.2397522375163,18.996999999999996,0.000259987263539141
Auto & Truck,12,386346,0,0,0,0,32.68,0.0003430262027723612
Auto Parts,109,240549,8093.5,2087.6,33645.95155249035,8678.481307342787,9.323,0.00022314131221212936
Bank (Money Center),34,1556703,0,0,0,0,300.5360000000001,0.0023014006614681414
Banks (Regional),5,124489,0,0,0,0,6.126,0.0024585624272584986
Beverage (Alcoholic),19,12520,158.3,168.9,12643.769968051118,13490.415335463258,5.305,0.001415047786203751
Beverage (Soft),5,12004,0,0,0,0,0.35,0.00018454669268599274
Broadcasting,19,16661,0,0,0,0,0.373,9.584229445939036e-05
Brokerage & Investment Banking,170,40052,6.795999999999999,5.682,169.6794167582143,141.86557475282135,21.377000000000002,0.003730794315202819
Building Materials,51,40577,29.078,20.92,716.6128595016881,515.563003672031,3.2460000000000004,0.0005577866831952071
Business & Consumer Services,65,800589,1230.98,1477.9,1537.5929471926295,1846.0158708151123,17.130999999999997,0.002256081219450683
Cable TV,8,2992,8.38,162.9,2800.8021390374333,54445.1871657754,-0.159,-0.00014084045433890465
Chemical (Basic),138,72635,220.5,366.4,3035.726578095959,5044.400082604805,8.519,0.0003371053465485698
Chemical (Diversified),9,27705,0,0,0,0,3.0140000000000002,0.0004144037618072074
Chemical (Specialty),178,124399,1862,1059,14967.965980433926,8512.93016824894,28.317,0.0005673556119338101
Coal & Related Energy,4,240177,0,0,0,0,0,0
Computer Services,156,1829714,286142.86000000004,59046.747,156386.65933583066,32271.025417087043,236.00499999999997,0.0022784938860470373
Computers/Peripherals,8,928,0,0,0,0,1.13,0.007087972400815429
Construction Supplies,97,156201,13.635,2.709,87.29137457506674,17.343038776960455,28.162999999999993,0.0005028092096765109
Diversified,15,27335,0,0,0,0,3.041,0.00033880520639208785
Drugs (Biotechnology),8,19189,0,0,0,0,12.9,0.007390999939267753
Drugs (Pharmaceutical),167,410995,2315.2599999999998,638.9000000000001,5633.304541417779,1554.5201279820926,44.299000000000014,0.001080418063427143
Education,29,7816,0,0,0,0,2.754,0.006123374659812521
Electrical Equipment,111,123626,6558.499999999999,758.99,53051.13811010628,6139.404332421983,14.150999999999998,0.0006871268381953951
Electronics (Consumer & Office),7,3883,0,0,0,0,1.744,0.0009721184825141304
Electronics (General),35,18376,0,0,0,0,5.285000000000001,0.002457004741531005
Engineering/Construction,155,246391,1043.22,1411.623,4234.00205364644,5729.198712615314,39.175000000000004,0.0007053757174080677
Entertainment,65,21767,16.04,20.979,736.8953002251114,963.7984104378187,4.722,0.0022311409058564384
Environmental & Waste Services,14,12932,0,0,0,0,0.151,0.000244364248377648
Farming/Agriculture,59,48355,92.66999999999999,39.379999999999995,1916.4512459931752,814.3935477199874,1.4379999999999997,0.0002660262304083151
Financial Svcs. (Non-bank & Insurance),274,636970,19264.565000000002,1819.535,30244.06957941505,2856.5474041163634,326.56399999999996,0.006859611317119351
Food Processing,192,269910,17.1,67.503,63.354451483827944,250.09447593642327,26.207,0.000652535103983325
Food Wholesalers,34,1468,0,0,0,0,0,0
Furn/Home Furnishings,43,34121,57.4,39.72,1682.2484686849741,1164.0924943583132,9.519,0.0015570596354331093
Green & Renewable Energy,16,7115,0,0,0,0,0.139,5.2657239631732705e-05
Healthcare Products,11,3397,4.42,2.28,1301.1480718280836,671.1804533411834,0.279,0.0012261310949482518
