Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,18,2161.1259999999997,2893.227999999999,2658.3170000000005,2583.6789999999996,-0.1627313589770809,0.3387595170295483,-0.08119339367654355,0.1955244627106425,37.2,647.1739999999999,1431.517,4643.33,2581.162,3274.87,16.397150537634403,1.2119507273159926,2.2436429326371954,-0.4441140302326133,0.2687580244866461
Aerospace/Defense,16,25800.68,35267.08,39467.67,39411.39000000001,0.024469076937982503,0.3669050583162925,0.11910796130555745,0.5275329952543888,7773.959999999999,7973.219999999999,9431.32,15493.890000000001,25184.44,52734.21,0.02563172437213468,0.18287467296775972,0.6428124589134927,0.6254433199151406,1.0939202936416295
Air Transport,5,12526.200000000003,16238.999999999998,16077.399999999998,17139.899999999998,-0.025956454121306205,0.29640273985725885,-0.009951351684217014,0.3683239929108584,9079.800000000001,9979.1,12109.6,14695.9,12860,20566.5,0.09904403180686794,0.21349620707278216,0.2135743542313535,-0.12492599976864294,0.5992612752721618
Apparel,344,60697.67099999999,72078.65500000009,77281.93599999993,79554.09499999993,-0.08710705970957966,0.18750281209307196,0.07218893027346085,0.3106614090679023,31828.011999999995,32483.907,39707.890000000014,70543.16299999996,66489.36399999996,86548.90500000012,0.02060747620680825,0.22238651896152817,0.7765527959304797,-0.05746551228501051,0.30169548621340647
Auto & Truck,12,100000.09999999999,125026.40000000001,132437.80000000002,134821.5,-0.0052107011367446,0.2502627497372505,0.059278680342711665,0.34821365178634833,85789,80279.897,85601.07200000001,97221.32199999999,100523.9,154601,-0.06421689260860952,0.06628278309823954,0.13574888407939523,0.03396968825418778,0.5379526659829157
Auto Parts,109,54877.140000000014,67547.49999999997,73125.47999999998,73164.54,-0.03558300709923801,0.23088593902670507,0.08257862985306663,0.3332425851638765,43187.19,35491.064,35765.84999999999,58983.630000000005,56901.880000000005,82794.25000000001,-0.17820390722341517,0.007742399607968631,0.6491605819517785,-0.03529369080878886,0.4550354048056058
Bank (Money Center),34,403389.7,441549.50000000006,498798.5,491977.9,-0.07011155257991841,0.09459785413459998,0.12965477256796798,0.21960947441146872,271223.4,328750.5000000001,327294.7,375644.0999999999,433804.39999999997,539911.4,0.21210227436128326,-0.004428282238354342,0.14772435972840348,0.1548282004162984,0.24459641257672837
Banks (Regional),5,9705.5,12433.3,12681,12587.599999999999,-0.12349068446387124,0.28105713255370657,0.019922305421730346,0.2969553346040903,11630.099999999999,16721.9,14013.899999999998,10815,11072.9,13343.7,0.43781222861368385,-0.16194331983805688,-0.2282662213944725,0.023846509477577493,0.2050772606995459
Beverage (Alcoholic),19,14451.429999999998,16630.839999999997,17555.72,18260.049999999996,-0.0943318303027264,0.15080929707302304,0.05561234429529738,0.26354623729277993,12987.71,11587.779999999999,11097.387,17364.47,15956.649999999998,20029.319999999996,-0.10778882497376374,-0.04231984038357639,0.5647350137469298,-0.08107474630668277,0.25523339798767286
Beverage (Soft),5,11012.66,12784.07,14851.04,14566.54,0.053471070980677604,0.1608521465295396,0.16168325110860637,0.3227085917480428,2044.7599999999998,2899.21,3581.02,5092.85,10453.69,19456.21,0.4178730022105286,0.2351709603650649,0.4221785971594687,1.0526208311652612,0.8611810757732434
Broadcasting,19,6345.92,6406.915999999999,8403.104,8698.500000000002,-0.16091845812261274,0.009611845091018978,0.31156768716805416,0.37072323634713356,12807.15,8127.478999999999,7313.966000000001,9926.34,7562.936000000001,9683.949999999999,-0.36539518940591786,-0.10009413743179141,0.35717612031557144,-0.23809420189113006,0.28044849249021775
