Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,18,13.176,0.013375096851403707,5.42,0.004325093843364572,0,7.7700000000000005,5.91,3.65,2.49,0.16831509483028828
Aerospace/Defense,16,1102.6808,0.6771270794630948,403.046,0.05412051114547155,376.22999999999996,407.71,255.31599999999997,259.49199999999996,249.816,0.10039060309304015
Apparel,344,288.9904000000001,0.011730926192022458,102.74500000000003,0.0014061373581264968,92.25399999999999,103.99300000000002,82.97800000000001,84.27600000000001,73.437,0.06947134781262698
Auto & Truck,12,10171.7302,0.18291481737434748,3378.639,0.03546394451372729,3416.82,3448.6990000000005,3312.628999999999,3326.821,3375.24,0.0002013268185847572
Auto Parts,109,458.1006,0.020016601446643186,145.72899999999998,0.0034879502614353097,140.214,162.55400000000003,175.34800000000004,162.644,131.467,0.0208121873878091
Beverage (Alcoholic),19,1.9944000000000004,0.0008867412968724853,0.024,6.401724197717253e-06,0.025,0.025,3.205,3.2670000000000003,3.359,-0.6277795347941469
Brokerage & Investment Banking,170,15.4826,0.0014124586707929185,7.218000000000001,0.001259712465132336,0.281,7.301,6.064000000000001,6.168,6.3549999999999995,0.025794259990908897
Building Materials,51,26.626,0.007729477002326842,9.252999999999998,0.0015900185396196087,8.366999999999999,9.363,8.388,8.532000000000002,7.502,0.042848211055902974
Business & Consumer Services,65,0.126,5.3392772896596e-05,0.026,3.424091512796554e-06,0.026,0.026,0.027999999999999997,0.262,0.25,-0.3640738736767455
Chemical (Basic),138,120.78159999999998,0.0057696022227543735,43.19699999999999,0.001709348474569617,36.74,43.808000000000014,36.333000000000006,36.873,30.929999999999996,0.06909114714256726
Chemical (Diversified),9,108.72319999999999,0.023624739276124698,36.748000000000005,0.0050525910547084465,37.138000000000005,37.281000000000006,32.984,33.513,34.296,0.01390682726698178
Chemical (Specialty),178,698.5029999999998,0.02390102675111821,245.45099999999996,0.004917823297127719,237.516,249.29599999999994,188.41500000000005,190.47799999999998,168.781,0.07777535864248519
Coal & Related Energy,4,40.518,0.007467687571326203,15.8,0.0009100402203218894,16,16,3.84,3.91,4.03,0.3142270692941147
Computer Services,156,1068.19,0.0260221346464702,352.46199999999993,0.0034028199066287192,352.84799999999996,355.61199999999997,379.121,342.16999999999996,344.488,0.004587200794059054
