Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,Beta_2020,Beta_2021,Beta_2022,Beta_2023,Average_Beta_2019_23
Advertising,18,1.1974133375606295,0.011608204872539581,0.21771419941052259,1.1877618892157615,0.021787050294671872,1.214216075930662,0.4365965522403492,0.47611391507233103,1.0570553975384862,1.96,1.16,1.415114409077933,1.415114409077933,1.4328889788173058
Aerospace/Defense,16,1.2966343159039944,0.0018034498881275812,0.2213284019114042,1.2949994892252163,0.12011982702338894,1.471790738100471,0.44873683182410007,0.36152889655525366,1.1555444586801127,1.3,1.53,1.6200288729066357,1.6200288729066357,1.5083696967827485
Air Transport,5,1.2023820188607475,0.5338387183040381,0.05162846306390795,0.8752954121784308,0.06708459164030438,0.9382366336058533,0.3919446718232616,0.2951642704047186,6.6407707128345415,0.33,1.27,1.0149692637733074,1.0149692637733074,0.9136350322304937
Apparel,344,0.7328179807521311,0.15205168211474615,0.14426417471486558,0.6623228665759747,0.014564470048695728,0.672111819033665,0.36958702818877576,0.3828828471348564,0.44347721364806764,0.5,0.7,0.781906964514595,0.781906964514595,0.6871851496125709
Auto & Truck,12,1.3457573733464028,0.19805531658915532,0.2137366017039548,1.1819002356082677,0.03689736371045221,1.227179940199998,0.3549660102223137,0.27586541616757027,0.2224404400277122,1.02,1.57,1.3295156994854185,1.3295156994854185,1.295242267834167
Auto Parts,109,1.1224973096102853,0.1234767382670403,0.21128749362807775,1.0331944712927479,0.026748217292710635,1.0615901143470976,0.35514535432011746,0.31720224855754675,0.4598735830554081,0.73,1.38,1.230776754613691,1.230776754613691,1.1266287247148958
Beverage (Alcoholic),19,0.6006155861857082,0.016137192875244892,0.14476234400297125,0.5939067942436683,0.009414010646436856,0.599550973491196,0.377992198221107,0.2958209822106093,0.9255525153147528,0.26,0.9,0.7841379406278306,0.7841379406278306,0.6655653709493714
Beverage (Soft),5,0.4593820280818523,0.02357067486422073,0.0882827277027073,0.45192549583423985,2.7366573392680798e-05,0.45193786382495915,0.5196744727819517,0.5365698410910166,0.7299532643136114,0.2,0.54,0.6057115577373972,0.6057115577373972,0.4806721958599507
Broadcasting,19,0.8486814729098937,0.0884235255241921,0.14689821998346622,0.799213010487423,0.12146802363779415,0.9097141959439837,0.36968925463735175,0.4004638144758087,0.48342216344963385,0.02,0.74,1.0569635904976402,1.0569635904976402,0.7567282753878528
Brokerage & Investment Banking,170,0.5462839120404231,0.6267122487942131,0.1362207168406473,0.3797069948171146,0.23965821086467556,0.4993898799761155,0.3975604659291432,0.41233670226885366,0.9403693707392847,0.35,0.42,0.528032135995811,0.528032135995811,0.46509083039354754
Building Materials,51,0.8755433893241724,0.06091702071360058,0.15865400358855386,0.8397354615697018,0.01712709889650352,0.8543683121458628,0.3506208016826919,0.3708508945521493,0.5609267790414119,0.68,1.04,1.1784032928365842,1.1784032928365842,0.9862349795638062
Business & Consumer Services,65,0.5557597703132835,0.028538826834831426,0.1506994795798062,0.5448747108005327,0.03715045138918009,0.5658980799094386,0.40567898717641077,0.40838233767444265,0.8745182571736401,0.54,0.64,0.6797117739924685,0.6797117739924685,0.6210643255788751
Cable TV,8,0.9903181667049161,0.09446867384966673,0.13238339196477242,0.9288923094677174,0.0949870973567403,1.0263857087061559,0.3091106577984288,0.32980523042202203,0.6013880767696508,0.61,1.13,1.1618259794265093,1.1618259794265093,1.0180075335118348
Chemical (Basic),138,0.8978960804003071,0.09628361124993061,0.20723748291861144,0.8412004110478762,0.018605048846444275,0.8571476856072152,0.3362546918745607,0.33796101582665705,0.4995748776205842,0.59,1.04,1.0529015054856072,1.0529015054856072,0.9185901393156859
Chemical (Diversified),9,0.8787258858218959,0.030695803435529464,0.2702533327754337,0.8602418162332136,0.01128154234371944,0.8700574056970516,0.21477732362980395,0.22150950133064853,0.5536746447772933,0.44,1.08,1.0145342878319115,1.0145342878319115,0.8838251962721749
