Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,18,29.183,42.684000000000005,0.683698809858495,37.4,1.4560000000000173,0.020232980516330035,0.11920490690285358,1.6052029178263811
Aerospace/Defense,16,239.09500000000003,308.077,0.7760884454211123,0.686,93.3331999999998,0.003361963799793059,0.02503949512106488,2.0759684742490254
Air Transport,5,626.6400000000001,951.3309999999999,0.6586981818105372,2.141,0,-0.03460870330292887,-0.34520643931547434,1.5463286700233827
Apparel,344,1782.5330000000006,861.9590000000005,2.068002074344603,-233.58899999999997,15.35739999999987,0.009612048146734371,0.44267977867451347,3.4536022278162224
Auto & Truck,12,3399.0490000000004,4392.532000000001,0.7738245276300775,54.3,2.597199999998338,-0.009830889551545742,-0.12755879304913562,1.8647945668130181
Auto Parts,109,1992.5350000000008,1485.7540000000001,1.3410934784627877,663.546,-8.716399999998885,0.027802565007349494,0.49918734880669596,2.105633709247423
Beverage (Alcoholic),19,182.09300000000002,92.329,1.9722189128009622,0.025,-1.9522000000000048,0.023429457000418787,0.30070641418509825,1.9761257647953916
Beverage (Soft),5,2.868,78.37400000000001,0.036593768341541835,0,0,-0.03981252165128163,-0.27747802928191645,2.100139083598545
Broadcasting,19,591.4750000000001,174.37099999999998,3.3920491366110204,3.5300000000000002,-0.03679999999997108,0.10807238791205125,3.2731785464726864,1.1527918296363007
Brokerage & Investment Banking,170,100.82,77.534,1.300332757241984,23.949,1.9841999999999942,0.008589919612613113,1.5013943922261728,0.6299352378923574
Building Materials,51,390.16900000000004,139.619,2.7945265329217372,0,0.8225999999999658,0.043195406284705945,0.7111009571318505,1.8456144249977378
Business & Consumer Services,65,163.82100000000005,141.931,1.154229872261874,110.91,-0.09239999999988413,0.01747703718629233,0.27452278767080496,3.610564386096642
Cable TV,8,157.666,190.12000000000003,0.829297285924679,3.01,0,-0.02608117193430638,-1.555354205741973,1.0190967175852292
Chemical (Basic),138,1654.4710000000005,793.839,2.0841392272236567,42.019999999999996,6.260199999999713,0.03596656440465114,0.43806359684093454,1.3424530650809987
Chemical (Diversified),9,757.89,213.81,3.5446892100463026,0,1.7055999999998903,0.07504167411420164,0.91000962793986,1.6887695143887318
Chemical (Specialty),178,2425.786,1251.4649999999995,1.938357045542625,143.492,38.55379999999877,0.02717598318397795,0.334818601710296,1.7553867427298473
Coal & Related Energy,4,1988.4,588.361,3.379557788500598,0,7.044000000000324,0.08104443818551807,0.49175266804543033,5.25176728949064
Computer Services,156,1269.367,2486.989,0.5104031421128119,581.569,-2.3857999999963795,-0.00616376306610114,-0.04901307936163216,2.542718851484091
Computers/Peripherals,8,4.272,1.854,2.3042071197411005,0,0,0.015167006429355496,0.2839914480085751,5.035851917366859
Construction Supplies,97,5632.644999999998,2421.296,2.326293439546424,311.497,20.2649999999976,0.06325706926485639,0.7775040574306537,1.1880865513791146
Diversified,15,213.336,201.54100000000003,1.0585240720250468,26.016,-2.152199999999766,0.003972833638176341,0.03941985529120981,0.6882101970709867
Drugs (Biotechnology),8,211.50199999999998,178.207,1.1868332893769604,1885.4,85.20419999999996,1.1481254934495115,10.91525855494399,0.7403244613413222
Drugs (Pharmaceutical),167,2685.5730000000003,1903.5869999999995,1.4107960392669214,1156.733,20.46180000000004,0.04778289184495454,0.38048963614923875,1.0610888963471274
Education,29,27.969,26.853,1.041559602279075,77.82200000000002,0.9320000000000022,0.17758675892491874,2.7027070305010765,1.0348100668569267
Electrical Equipment,111,702.9970000000001,391.0750000000001,1.7976014830914784,93.463,26.547400000000152,0.02097324177274742,0.38780973274618713,1.6384939240424585
Electronics (Consumer & Office),7,77.26500000000001,17.895999999999997,4.31744523915959,0,0.47760000000000247,0.033358936912631976,1.366634698444473,6.532208087467986
Electronics (General),35,93.47699999999999,42.126,2.2189858994445233,29.294,2.009399999999971,0.038426159452866634,0.5521104590770736,2.032162474488721
Engineering/Construction,155,1843.8549999999998,1145.3569999999995,1.609851775472626,43.38499999999999,64.46540000000005,0.014518917195426872,0.20971915343762132,1.1616867390887142
Entertainment,65,137.805,213.901,0.6442466374631255,9.013,-0.3629999999999711,-0.03186817652189607,-0.4715479101181359,0.8850900127323247
Environmental & Waste Services,14,50.77600000000001,10.761,4.718520583588887,1.4,0.5104000000000042,0.06784813813862414,1.0156061790872348,2.565105953429684
Farming/Agriculture,59,166.281,108.11200000000002,1.5380438804203045,6.5649999999999995,3.968999999999994,0.012709874901072647,0.20748712432113825,1.4328031506665584
Financial Svcs. (Non-bank & Insurance),274,784.196,762.8279999999997,1.0280115569958106,40.221000000000004,2.29320000000007,0.001341871921223663,0.02064121026481694,0.11124940469846564
Food Processing,192,1100.027000000001,677.492,1.6236752611100957,142.902,-0.2429999999994834,0.014072916608568412,0.24946936606167566,2.649718709639744
Food Wholesalers,34,5.093999999999999,4.965999999999999,1.0257752718485702,0,0,0.00014119806558650157,0.011490646063692479,5.440182239959723
Furn/Home Furnishings,43,224.216,149.83599999999996,1.4964094076189973,-0.309,0.3973999999999478,0.012181084121786633,0.3230161685866256,2.510805788744225
Green & Renewable Energy,16,1457.094,361.25999999999993,4.03336655040691,0,-0.10039999999980864,0.4150957319981378,1.0856747265695454,0.17349418698240385
Healthcare Products,11,32.437000000000005,9.007999999999997,3.6009103019538204,0,0.16340000000000288,0.1036823485464414,0.8543706411548389,1.152328458555271
Healthcare Support Services,37,62.318,53.97500000000001,1.1545715609078275,0.171,0.02740000000000009,0.00880581212054355,0.08631610118113513,1.886510368953505
Heathcare Information and Technology,14,248.113,137.92999999999998,1.7988327412455596,2.218,4.882199999999898,0.06202431299423611,0.546513368932359,0.7883122427250115
Homebuilding,1,0,0.0010000000000000009,0,0,0,-0.0011976047904191627,-0.0454545454545455,0.25558616467707373
Hospitals/Healthcare Facilities,32,563.242,279.94,2.012009716367793,65.563,1.5166000000001532,0.05907815367702417,0.5793865232973245,1.7556303587470659
Hotel/Gaming,60,284.34399999999994,232.242,1.224343572652664,19.471,-1.3985999999999876,0.017367730023846017,0.13875002942739126,0.8501957621905951
Household Products,37,307.89,309.228,0.9956730955799603,465.72499999999997,0.6013999999995576,0.03360545760464582,0.22198222493574662,1.9936501028291578
Information Services,20,52.538000000000004,108.37300000000002,0.48478864661862264,13.48,1.0079999999999814,-0.015430109593447766,-0.14574176647151296,3.206639961987776
Insurance (Life),7,174.88,103.67999999999999,1.6867283950617284,101.4,0,0.0012829031965547431,0.04563090136447249,22.128189573808037
Insurance (Prop/Cas.),2,31.799999999999997,8.799999999999983,3.6136363636363704,0,0,0.00311788309294003,0.0545727810900903,1.5204737355052251
Investments & Asset Management,102,242.35,138.10799999999998,1.7547861094216124,8.055999999999997,1.3161999999999807,0.02160253676392995,0.10329591779100393,0.23413335922621642
Machinery,161,631.5159999999998,312.83899999999977,2.0186613561608375,78.116,5.50180000000023,0.030629777065941614,0.33857846508350786,1.9026963555274279
Metals & Mining,42,3935.6820000000002,2685.117,1.4657394817432536,0,1.1841999999996915,0.02467711061929247,0.3100292976093687,1.5251084430135688
Office Equipment & Services,17,39.92000000000001,14.035,2.8443177769861068,0.493,0.06579999999999586,0.0522452963269564,0.6032318771255476,4.716822210740448
Oil/Gas (Integrated),1,6436.3,3766.1,1.7090093199861927,0,0.8400000000001455,0.03751945476100845,0.38408296577722734,1.4711499555911542
Oil/Gas (Production and Exploration),8,1234.721,331.37,3.7261097866433293,6.02,10.676000000000158,0.23299832249777652,0.7828555760487532,0.5983741710037512
Oil/Gas Distribution,11,234.303,321.244,0.7293614822378005,0,0,-0.010297269537582827,-0.09976036704334126,2.7470567871542397
Oilfield Svcs/Equip.,23,23639.217999999997,8828.885,2.6774862284422096,0,16.594199999999546,0.04571534374983947,0.6644480406773534,1.648334685691905
Packaging & Container,86,472.2419999999999,257.16799999999995,1.8363171156598022,0.024,-0.3261999999999148,0.03507747456059205,0.5706185839722605,1.35526542903185
Paper/Forest Products,49,342.22200000000004,226.55599999999998,1.5105404403326332,70.81099999999999,-1.1802000000001271,0.03238759797504975,0.26700773281855167,1.3240636754742259
Power,32,10940.861,6380.454000000001,1.71474647415372,-27.54499999999996,15.894800000000032,0.057009887714971924,0.3961301744583377,0.5878913057429522
Publishing & Newspapers,22,35.995000000000005,66.066,0.5448339539248631,5.178,0.48460000000000036,-0.01922251221075744,-0.37410946967074055,0.8421988233382695
R.E.I.T.,4,0.313,256.79999999999995,0.0012188473520249223,239.278,0,-0.01642393586562319,-0.04267602319342696,0.11327567567567567
Real Estate (Development),150,525.6999999999999,158.04400000000007,3.3262888815772804,408.103,0.004199999999968895,0.1291229939047327,0.9973968678205213,0.3984907487906665
Real Estate (General/Diversified),17,96.985,93.369,1.0387280574923154,3.83,-0.0024000000000228283,0.004347539133751235,0.022178220015414217,0.2042275285294244
Real Estate (Operations & Services),32,9.475,20.511999999999997,0.4619247269890796,0,0,-0.042922811274967325,-0.1156824233992432,0.33953933059536057
Recreation,12,21.057999999999996,18.300999999999995,1.150647505600787,0,0.0011999999999972033,0.018868905504969995,0.10650062573579445,0.47688103320646186
Reinsurance,1,15.2,1,15.2,0,0,0.0025636396461455133,0.019570710533553713,1.1046098866473626
Retail (Automotive),4,12.350999999999999,17.57,0.7029595902105862,65.9,0,0.08829884913630656,3.1411011144492536,3.455986924817702
Retail (Building Supply),4,5.263000000000001,6.8469999999999995,0.7686578063385426,0,-0.04399999999999693,-0.0027556322889690003,-0.268352221693732,5.695635072131792
Retail (Distributors),253,2509.5819999999985,420.33900000000006,5.970376291517081,116.52,0.07839999999987413,0.13162686268982535,3.138743073061498,1.4667042165430286
Retail (General),11,59.272,91.927,0.6447724825132986,9.28,0.23860000000000525,-0.013128257040655135,-0.9434992858083614,1.539463554797267
Retail (Grocery and Food),8,311.231,82.378,3.778083954453859,0,0,0.0397032797758117,0.8211828079222037,3.1804916275242685
Retail (Special Lines),43,308.649,426.83899999999994,0.723104027513887,221.45499999999998,-0.07359999999994216,0.011572891517081322,0.3180302828728131,2.0131683073510143
Rubber& Tires,16,878.921,540.719,1.6254672020032586,0,6.241400000000112,0.0314801875741494,0.439810926229989,1.396708338171317
Semiconductor,8,10.518,4.5440000000000005,2.314700704225352,0,-0.03020000000000067,0.05606829544382604,1.9227768275390278,1.0908600723192585
Semiconductor Equip,1,31.6,11.6,2.724137931034483,12.1,0.0041999999999999815,0.2028060644346178,9.66458615916955,1.2859066901265437
Shipbuilding & Marine,23,1387.9929999999997,654.417,2.120961099726932,1692.571,0,0.49391026808989424,1.7636765476700973,0.3809800843533658
Shoe,12,50.790000000000006,72.39200000000001,0.7015968615316609,0,-0.14640000000001407,-0.018982663843351406,-0.24638490385745235,1.3364865309405858
Software (Entertainment),5,10.571,21.302,0.4962444840860013,8.32,0.20340000000000202,-0.004316422976603407,-0.038961116465152344,0.24945564702378586
