Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Advertising,18,0.03167342733668136,0.011249856965198538,0.01137785622024691,0.011475000713346518,0.011608204872539581,126.88716126166152,0.12165850142389718,0.21771419941052259,0.049867499999999995,0.47611391507233103,0.09947427027533295,0.04298148471490383,0.06980126145993537
Aerospace/Defense,16,0.014383234448659585,0.0017981342289389783,0.0018013733400007318,0.0018002033116665493,0.0018034498881275812,63.99148736160434,0.06941101713315795,0.2213284019114042,0.1124,0.36152889655525366,0.030367120537610714,0.07847931935831069,0.012254369330121471
Air Transport,5,1.3894910318095313,0.3480409719310661,0.5338387183040381,0.3480409719310661,0.5338387183040381,1.1606232238516305,20.434010794714315,0.05162846306390795,0.17942,0.2951642704047186,0.04414623385597508,0.4954611674704806,0.04168568102444704
Apparel,344,0.5030546331355097,0.1319730823402999,0.15203800672001558,0.13198338622763417,0.15205168211474615,2.784195883939636,4.3301914841505615,0.14426417471486558,0.0792479518072289,0.3828828471348564,0.028637718381285062,0.29317193582770384,0.051781578683477256
Auto & Truck,12,0.4867094110414848,0.1653139999854228,0.19805531658915532,0.1653139999854228,0.19805531658915532,4.23528323180904,3.5523456615383897,0.2137366017039548,0.23122727272727275,0.27586541616757027,0.06634191283640457,0.19064503372902075,0.036035390292954286
Auto Parts,109,0.3856259180978011,0.10989617357352781,0.1234644434849038,0.10990591443620171,0.1234767382670403,4.886126196332463,2.494653269318649,0.21128749362807775,0.11337359999999996,0.31720224855754675,0.05007897772419629,0.2728359739426969,0.0556724089035173
Beverage (Alcoholic),19,0.13237012376692778,0.01588091941559915,0.016137192875244892,0.01588091941559915,0.016137192875244892,12.146798160858268,0.8236842641767158,0.14476234400297125,0.14642499999999997,0.2958209822106093,0.021669378676726248,0.2850243159313295,0.0533465166695963
Beverage (Soft),5,0.36276163204606937,0.023027891911174027,0.02357067486422073,0.023027891911174027,0.02357067486422073,11.797302272651203,1.3350567535072475,0.0882827277027073,0.1011,0.5365698410910166,0.021122902828279694,0.29769012228764363,0.11808786593650925
Broadcasting,19,0.0789276358947553,0.08123999844785304,0.0884235255241921,0.08123999844785304,0.0884235255241921,2.705108376737098,2.0239745859461604,0.14689821998346622,0.12796666666666665,0.4004638144758087,0.037028329674381154,0.03851850287156247,0.048053682660052346
Brokerage & Investment Banking,170,0.5919178270267854,0.38526058612629366,0.6267055233999403,0.3852631276728618,0.6267122487942131,3.798166042200749,500.47651159646756,0.1362207168406473,0.08900744444444447,0.41233670226885366,0.00207504088295717,0.018739117460094566,0.004706896925213283
Building Materials,51,0.27876856941526607,0.05739919570553011,0.060894490482100744,0.05741921330720681,0.06091702071360058,6.397800072525083,2.0104039053237064,0.15865400358855386,0.10614258064516129,0.3708508945521493,0.03304968722670326,0.39019057686666286,0.07427474052698135
Business & Consumer Services,65,0.17657111351557686,0.027736937920248915,0.028528223483999603,0.027746961116339414,0.028538826834831426,9.951205448283387,0.8925036850878965,0.1506994795798062,0.10315588235294121,0.40838233767444265,0.03243107577717406,0.16605447668835596,0.029273080687925706
Cable TV,8,0.1407837965892146,0.08631464390605546,0.09446867384966673,0.08631464390605546,0.09446867384966673,0.5508222496069348,0.5523622705776805,0.13238339196477242,0.08219333333333333,0.32980523042202203,0.1385022550389668,0.2922406931673321,0.07848058294229761
Chemical (Basic),138,0.2490709959020047,0.08782697575688535,0.09628324169064385,0.08782728325214366,0.09628361124993061,7.079850228606436,1.3996439870586737,0.20723748291861144,0.07359651162790694,0.33796101582665705,0.05756104209841543,0.4040905934821832,0.06626465537930244
Chemical (Diversified),9,0.1919751179701175,0.02978163230432664,0.030695803435529464,0.02978163230432664,0.030695803435529464,14.987214628672346,0.8952861556302492,0.2702533327754337,0.13960375,0.22150950133064853,0.030721323333187524,0.4764016831570567,0.10774053224155579
