Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Advertising,18,0.7543618909337013,37.260999999999996,38.0153618909337,2.251,0.06041169050750114,0.1602807070214283,0
Aerospace/Defense,16,0.10950512499638876,94.99399999999999,95.10350512499637,19.148000000000003,0.20157062551319038,0.9416145595038382,0
Air Transport,5,0,10979.194,10979.194,807.928,0.07358718681899601,0.07479835140799568,0
Apparel,344,1.183590439373802,13158.723000000007,13159.906590439381,755.9170000000001,0.05744607588441521,0.2544170590936389,0
Auto & Truck,12,0,30619.55,30619.55,2193.8920000000003,0.07165004057864993,0.0037322493332026755,0
Auto Parts,109,1.0179372659040382,10222.145999999999,10223.163937265903,657.0079999999999,0.06427300099215957,0.03706761054966357,0
Bank (Money Center),34,3236.9467955017462,308944.3,312181.24679550173,0,0,0.0003984537018485209,0
Banks (Regional),5,190.15322305406607,3284,3474.153223054066,0,0,0,0
Beverage (Alcoholic),19,0,323.217,323.217,30.014000000000003,0.09286021465455098,0.08854427213606804,0
Beverage (Soft),5,0,458.596,458.596,29.877,0.06514884560702666,0.08392698130008905,0
Broadcasting,19,0,856.289,856.289,87.934,0.10269196497911336,0.9286794925072502,0
Brokerage & Investment Banking,170,0.09947127817576984,9269.226,9269.325471278176,10.142,0.001094158239317932,0.52059017678784,0
Building Materials,51,0.39300496665578066,1062.21,1062.6030049666558,74.457,0.07009630863953455,0.23868049108952316,0
Business & Consumer Services,65,0.23794427167115373,640.187,640.4249442716712,64.16699999999999,0.10023165106445459,0.3157746297281181,0
Cable TV,8,0,145.3,145.3,47.066,0.32392291810048174,0,0
Chemical (Basic),138,0.02148359888633422,5597.236,5597.257483598886,395.002,0.07057090321008441,0.128433706983306,0
Chemical (Diversified),9,0,988.19,988.19,54.359,0.05500865218227264,0.04427521306147131,0
Chemical (Specialty),178,3.7734390031509975,10334.507999999998,10338.281439003149,946.7879999999999,0.09161423069196908,0.0878111106155578,0
