Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,18,2.1670000000000003,216.254,0.01002062389597418,2.1670000000000003,0.01002062389597418,-34.924,214.557,224.701,-0.16277259655942244,-0.15542431942893,-0.16149527870004718,0.021787050294671872
Aerospace/Defense,16,435.042,1415.381,0.3073674155580723,435.042,0.3073674155580723,280.342,814.6490000000001,800.2210000000001,0.34412612057462777,0.35033072113828545,0.19806822332644,0.12011982702338894
Air Transport,5,0.319,542.6399999999999,0.0005878667256376236,0.319,0.0005878667256376236,-16.464000000000002,1993.9509999999996,1530.5509999999995,-0.008256973215490253,-0.010756910419842272,-0.030340557275541805,0.06708459164030438
Apparel,344,341.5483600000002,1261.4489999999998,0.2707587544165481,442.57700000000017,0.35084811197281873,95.75500000000022,356.85299999999967,1087.5530000000008,0.2683317780710834,0.08804628372134521,0.07590873669882828,0.014564470048695728
Auto & Truck,12,1505.7930000000001,6376.973000000001,0.23612974368873757,1542.893,0.24194755097755624,1521.988,7685.5,7353.153000000002,0.19803369982434454,0.20698440519325514,0.23866934986238766,0.03689736371045221
Auto Parts,109,508.84146,1925.0960000000007,0.2643200442990894,507.853,0.26380658419112596,453.458,940.0229999999999,2453.951000000001,0.4823903244920604,0.18478690079793764,0.2355508504510943,0.026748217292710635
Bank (Money Center),34,4621.72,35838.46000000001,0.12895978231207478,4621.72,0.12895978231207478,1294.8740000000007,32343.760000000002,42845.22,0.04003473931293086,0.0302221344644747,0.036130849372433986,0.21853691696589705
Banks (Regional),5,66.53,733,0.09076398362892224,66.53,0.09076398362892224,55.765,597.15,494.78999999999996,0.09338524658795948,0.1127043796358051,0.07607776261937245,0.13083120484033056
Beverage (Soft),5,27.2811,241.083,0.11316061273503315,0,0,-0.066,316.077,317.724,-0.00020880987860552968,-0.00020772746157041963,-0.00027376463707519817,2.7366573392680798e-05
Brokerage & Investment Banking,170,163.01899999999998,623.0099999999995,0.2616635367008557,172.06899999999996,0.27618978828590246,90.41099999999996,1068.3889999999997,3322.9349999999995,0.08462367171507755,0.027208175904734812,0.14511966100062604,0.23965821086467556
Building Materials,51,66.851,359.4399999999999,0.18598653460939243,66.344,0.1845760071221901,-76.219,139.6679999999998,93.93699999999981,-0.5457155540281245,-0.8113842255980087,-0.2120492989094147,0.01712709889650352
