Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Advertising,18,2.1670000000000003,0,0.01002062389597418,0.0006617056554916685,3274.87,0.24849955012358674,0.049867499999999995,0.47611391507233103
Aerospace/Defense,16,435.042,0,0.3073674155580723,0.008249711145762874,52734.21,0.257568894780948,0.1124,0.36152889655525366
Apparel,344,341.5483600000002,0,0.2707587544165481,0.003946304808824557,86548.90500000012,0.12017638777186537,0.0792479518072289,0.3828828471348564
Auto & Truck,12,1505.7930000000001,0,0.23612974368873757,0.00973986584821573,154601,0.3763702351441578,0.23122727272727275,0.27586541616757027
Auto Parts,109,508.84146,0.017824805392233568,0.2643200442990894,0.006145855056359589,82794.25000000001,0.13531841999548025,0.11337359999999996,0.31720224855754675
Bank (Money Center),34,4621.72,0,0.12895978231207478,0.008560145238644712,539911.4,0.16003542007530566,0.25534588235294126,0.2706495720555369
Banks (Regional),5,66.53,0,0.09076398362892224,0.004985873483366682,13343.7,0.16502318879733438,0.26264,0.2546751927526404
Beverage (Alcoholic),19,39.927,0,0.14265094160982947,0.001993427635086963,20029.319999999996,0.15282765534454246,0.14642499999999997,0.2958209822106093
Beverage (Soft),5,27.2811,0,0.11316061273503315,0.0014021795611786673,19456.21,0.40215554558390065,0.1011,0.5365698410910166
Broadcasting,19,114.53399999999999,0.4199626311837533,0.5922987816229858,0.011827198612136576,9683.949999999999,0.05502401602585991,0.12796666666666665,0.4004638144758087
Brokerage & Investment Banking,170,163.01899999999998,0,0.2616635367008557,0.011021945922899588,14790.400999999998,0.12420793789623032,0.08900744444444447,0.41233670226885366
Building Materials,51,66.851,0.035152802501084504,0.18598653460939243,0.003832441403506761,17443.449999999997,0.15483092827912986,0.10614258064516129,0.3708508945521493
Business & Consumer Services,65,195.2412,0,0.39703748894243956,0.00870040251814589,22440.479000000003,0.18715617909020818,0.10315588235294121,0.40838233767444265
Cable TV,8,0.811,0,0.00015301886792452833,0.0005272821369035081,1538.076,-0.16277734330137653,0.08219333333333333,0.32980523042202203
Chemical (Basic),138,477.36499999999995,0.09623663234631781,0.26131728017412215,0.008211597593822057,58133.024000000005,0.12673454327385195,0.07359651162790694,0.33796101582665705
Chemical (Diversified),9,134.33100000000002,0.019801832786177427,0.22108095653461926,0.00417267729009412,32193,0.16347664657770125,0.13960375,0.22150950133064853
Chemical (Specialty),178,959.1053999999998,0,0.3010178243228313,0.007518309107859306,127569.29600000002,0.14906565422169793,0.09752018181818185,0.326397800285098
Coal & Related Energy,4,1842.7,0,0.5265242257719421,0.061549881942269374,29938.319,0.46306857237292237,0.1108,0.3396011708693104
Computer Services,156,9485.675,0.022349490152255902,0.7000207814258919,0.023728273967803037,399762.53700000007,0.2844606833385903,0.11841459459459458,0.4041511072893946
Computers/Peripherals,8,0.755,0,0.0971310948153866,0.0007683375719107995,982.6410000000001,0.30476377180944914,0.07921666666666667,0.4253075146252079
Construction Supplies,97,510.3092,0.07760001191434528,0.15541306146638698,0.0037557355167027974,135874.637,0.10752037884647246,0.11786485714285717,0.3246916921336131
Diversified,15,279.87999999999994,0.410890381592111,0.23466301776909146,0.006860057810963101,40798.49,0.12938808321183087,0.08896153846153844,0.30629082692160886
Drugs (Biotechnology),8,23.819,0,0.3763350818428869,0.0058932538955994195,4041.7400000000002,0.04729198609604251,0.0606525,0.3428267327992044
