Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,18,2.1670000000000003,0,37.091,37.091,0.042621624634152235,11.764,21.908000000000005,10.144000000000005,0.2722417541128796,-35.221
Aerospace/Defense,16,435.042,0,154.7,154.7,0.028152072143551914,66.145,51.717,-14.427999999999997,-0.15188327683853717,-21.308000000000007
Air Transport,5,0.319,0,16.783,16.783,-0.008761223637502612,2567.4480000000003,2104.0480000000002,-463.4000000000001,-0.04220710554891371,1065.308000000001
Apparel,344,341.5483600000002,102.986,346.82199999999995,243.83599999999996,0.023229896483124218,1507.1969999999992,2237.8970000000004,730.7000000000012,0.055529704516160176,103.36399999999952
Auto & Truck,12,1505.7930000000001,37.1,20.905,-16.195,-0.0009558321727502429,10141.967,9809.62,-332.34699999999975,-0.010854078521728757,205.65299999999888
Auto Parts,109,508.84146,0.004,54.395,54.391000000000005,0.0038232400784034485,2997.044000000001,4510.972000000002,1513.9280000000008,0.14810275650533664,15.986999999999853
Bank (Money Center),34,4621.72,0,3326.8459999999995,3326.8459999999995,0.014855917278137794,9100.699999999999,19602.16,10501.460000000001,0.0339914347019835,0
Banks (Regional),5,66.53,0,10.765,10.765,0.0024235670223783146,727.56,625.2,-102.3599999999999,-0.031169305724725913,0
Beverage (Alcoholic),19,39.927,0,34.174,34.174,0.01865974602346037,134.56799999999998,135.815,1.247000000000014,0.0038580891475386942,-54.86900000000003
Beverage (Soft),5,27.2811,0,0.066,0.066,0.00011009596698455488,0.642,2.289,1.6470000000000002,0.0035913963488560744,-6.720999999999989
Broadcasting,19,114.53399999999999,0,15.141,15.141,0.004308372601242915,634.507,691.9830000000001,57.47600000000011,0.06712219822980339,-42.245999999999995
Brokerage & Investment Banking,170,163.01899999999998,9.42,81.658,72.238,0.014401908505076793,9656.086,11910.632,2254.5460000000003,0.24322915419259386,0.8719999999999999
Building Materials,51,66.851,0,142.563,142.563,0.06140986431186733,216.537,170.80600000000004,-45.730999999999966,-0.04305269202888314,17.369
Business & Consumer Services,65,195.2412,26.661,60.81999999999999,34.15899999999999,0.01300077869941213,519.714,425.22399999999993,-94.49000000000012,-0.14759749885580326,-41.58099999999999
Cable TV,8,0.811,0,0,0,0,-94.09000000000002,-91.7,2.390000000000015,0.016448726772195558,-46.08999999999992
Chemical (Basic),138,477.36499999999995,7.42,82.05399999999999,74.63399999999999,0.0051778477694440364,2284.158999999999,2098.3719999999994,-185.7869999999998,-0.033192632935255866,12.342000000000041
Chemical (Diversified),9,134.33100000000002,0,0.002,0.002,5.380972879896685e-07,250.32000000000002,251.43599999999998,1.115999999999957,0.0011293374755866352,31.51400000000001
Chemical (Specialty),178,959.1053999999998,18.012999999999998,284.561,266.548,0.012470357240169235,5479.630000000001,4023.938,-1455.692000000001,-0.14085740704830857,5.873999999999683
Coal & Related Energy,4,1842.7,0,0,0,0,1.653,218.503,216.85,0.28491282469025503,2604.0879999999997
Computer Services,156,9485.675,3296.2799999999997,122.35100000000006,-3173.9289999999996,-0.06662882411874638,5799.773,4741.898,-1057.875,-0.13479013066758813,456.85100000000057
Computers/Peripherals,8,0.755,0,30.9,30.9,1.211527151538914,4.282,1.213,-3.069,-0.16402993051843934,-0.7629999999999995
Construction Supplies,97,510.3092,47.991,350.74300000000005,302.75200000000007,0.009913612159132806,5821.450999999999,11037.89,5216.439,0.19239024167875268,105.5469999999998
Diversified,15,279.87999999999994,0.578,0.001,-0.577,-6.259546622231479e-05,835.2230000000001,1495.6399999999999,660.4169999999998,0.12551416435736554,30.564999999999984
Drugs (Biotechnology),8,23.819,0,7.48,7.48,0.0055890800732856915,16.38,1584.9350000000002,1568.555,0.6992129950541943,-1.0549999999999997
Drugs (Pharmaceutical),167,1311.7649800000008,170.818,310.901,140.083,0.0041335230361811545,2916.764000000001,2655.0389999999984,-261.72500000000264,-0.03589555377900773,36.06299999999999
Education,29,4.347,0.331,24.057,23.726,0.04765194757201216,16.524,65.478,48.95399999999999,0.3007575152516757,38.25799999999998
Electrical Equipment,111,261.931,32.397999999999996,628.7080000000002,596.3100000000002,0.055834776776530676,618.381,901.8800000000003,283.49900000000036,0.07712214504237525,64.565
Electronics (Consumer & Office),7,0.001,0,7.1659999999999995,7.1659999999999995,0.03672423512530108,33.32299999999999,19.529999999999998,-13.792999999999996,-0.1182314569564807,-2.483999999999998
Electronics (General),35,18.714,5.82,392.8209999999999,387.0009999999999,0.40331971915680337,163.74300000000002,101.41499999999999,-62.32800000000003,-0.20121189425463992,1.3720000000000034
Engineering/Construction,155,739.6212,1251.3619999999999,201.87900000000002,-1049.4829999999997,-0.05146826705572957,6502.372999999998,5471.728999999999,-1030.6439999999984,-0.0341523369775186,706.6510000000035
Entertainment,65,9.372,6.298,25.980000000000004,19.682000000000002,0.02076153767445884,346.91400000000004,201.76700000000002,-145.14700000000002,-0.08084391316020179,74.00599999999999
Environmental & Waste Services,14,3.4299999999999997,0,26.624000000000002,26.624000000000002,0.09228422876949742,19.695999999999998,32.433,12.737000000000002,0.14915917181937421,14.935000000000045
Farming/Agriculture,59,63.125,18.517999999999997,36.244,17.726000000000003,0.006641336719818093,808.839,480.02200000000005,-328.817,-0.3438317904574881,-17.513000000000005
Financial Svcs. (Non-bank & Insurance),274,2988.1244500000016,381.153,1386.2619999999995,1005.1089999999995,0.01322999576343815,91093.12200000002,159317.00100000005,68223.87900000003,0.1571647012808576,-82.82200000000003
Food Processing,192,898.3333000000002,159.68,182.18200000000004,22.502000000000038,0.0017678024272205456,1710.9990000000003,1468.8319999999999,-242.16700000000037,-0.03598397410227295,53.69500000000005
Food Wholesalers,34,0.16999999999999998,1.677,6.678000000000001,5.001000000000001,0.036698392198014296,5.032,14.662999999999998,9.630999999999998,0.18960154342861643,4.010999999999996
Furn/Home Furnishings,43,62.802299999999995,29.6,163.972,134.372,0.04964935228087289,193.83300000000006,101.388,-92.44500000000005,-0.1362143477050068,10.814999999999998
Green & Renewable Energy,16,237.079,0,52.22,52.22,0.00939539837784543,1643.5950000000003,2558.8500000000004,915.2550000000001,0.08292466187263113,-4.5020000000000024
Healthcare Products,11,3.0460000000000003,0,0.092,0.092,0.00047815308174858494,2.015,3.715,1.6999999999999997,0.06780742690758244,0.30100000000000016
Healthcare Support Services,37,31.14528,0,9.667,9.667,0.014223141626708373,45.226,14.423999999999998,-30.802,-0.18191052709286876,-20.318000000000012
Heathcare Information and Technology,14,100.08300000000001,3.8379999999999996,49.638,45.8,0.016468481555660233,34.199,31.636000000000003,-2.5629999999999953,-0.005059727686758823,5.822999999999986
Homebuilding,1,0,0,0,0,0,0.402,0,-0.402,-28.714285714285715,0
Hospitals/Healthcare Facilities,32,53.12,0.429,140.28200000000004,139.85300000000004,0.03949255206494883,350.84400000000005,238.75900000000004,-112.08500000000001,-0.07645806488140591,67.49900000000002
Hotel/Gaming,60,43.38070000000001,2.065,247.98999999999998,245.92499999999998,0.07300985250777746,760.6860000000001,634.549,-126.13700000000017,-0.051447804361543066,275.35499999999996
Household Products,37,1412.745,47.09,2.1209999999999996,-44.969,-0.004532800231110419,284.005,489.958,205.95300000000003,0.2276176477089366,-11.736000000000047
Information Services,20,58.482,47.989,19.747,-28.241999999999997,-0.02180529497602668,99.24199999999999,101.74600000000001,2.504000000000019,0.0039189846949875175,33.36999999999992
Insurance (General),2,0,0,0.015,0.015,-8.123476848090983e-06,14.93,0,-14.93,-0.006943863076135994,9.600000000000001
Insurance (Life),7,204.1661,0.655,13.350000000000001,12.695000000000002,0.0013656411359724613,268.18,-21.2,-289.38,-0.5854339469957515,42.710000000000036
Insurance (Prop/Cas.),2,108.5416,0,3.11,3.11,0.0005091016238868518,0,0,0,0,-8.707000000000022
Investments & Asset Management,102,450.74460000000005,0,42.562999999999995,42.562999999999995,0.00225065030801754,1538.246,1577.36,39.113999999999805,0.008519094563604907,4.985000000000028
Machinery,161,179.72700000000003,26.533,60.244,33.711,0.0058832512070254835,651.4460000000001,823.3740000000001,171.928,0.07455684065778002,26.549999999999983
