Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,18,0.2884679769308927,0.19065732950626782,0.054998534129719674
Aerospace/Defense,16,0.29198935586814945,0.6948148867586653,0.2028785512322639
Air Transport,5,0.14754772472378994,-1.5509620699513442,-0.22884092455422037
Apparel,344,0.08587489994396119,0.43260899624181204,0.037150254267123095
Auto & Truck,12,0.14305280230993955,-0.1704663754589605,-0.02438569270902261
Auto Parts,109,0.1271706990478923,0.7047272392273343,0.08962065565063132
Bank (Money Center),34,7.825859036490694e-05,187.77775111832213,0.014695222104412218
Banks (Regional),5,0.0016023533302540712,13.768496645824934,0.022061996453029593
Beverage (Alcoholic),19,0.16332215047200002,0.9816751454957363,0.16032929582727717
Beverage (Soft),5,0.35584933296578297,-0.2755964734983715,-0.0980708212621176
Broadcasting,19,0.0600983906436817,12.005409330541955,0.7215057797842116
Brokerage & Investment Banking,170,0.0038800085445582656,-12.79487622640801,-0.04964422908502849
Building Materials,51,0.12737870599408893,0.6240339289091879,0.07948863436085964
Business & Consumer Services,65,0.2578406899670419,0.7343417753477866,0.18934319002729577
Cable TV,8,0.020304500852436017,0.4089645517203595,0.008303821089022154
Chemical (Basic),138,0.11810507290106584,0.44904275273304,0.05303422704723097
Chemical (Diversified),9,0.13843932822428917,0.5182966697365011,0.07175264277920748
Chemical (Specialty),178,0.14364726094527913,-0.03802426801803975,-0.005462081950240587
Coal & Related Energy,4,0.9228382670899976,0.6727317886014472,0.6208226380093141
Computer Services,156,0.3589371536023143,0.08090660198010091,0.029040385422372788
Computers/Peripherals,8,0.30068296401295336,1.5234297237879348,0.4580693648139911
Construction Supplies,97,0.1069344133591396,0.7133526559788568,0.07628194778528317
Diversified,15,0.07422456629083224,0.4584506574491142,0.0340283012149074
Drugs (Biotechnology),8,0.1162154814961654,12.357190985809162,1.4360969003558863
Drugs (Pharmaceutical),167,0.1409022427866403,0.4749557756995896,0.06692233402054064
Education,29,0.08422261504619093,2.923979113541599,0.24626516728291667
Electrical Equipment,111,0.10035290908571348,1.2081799283562413,0.12124437050951771
Electronics (Consumer & Office),7,0.17532872508201497,0.8331944268891485,0.14608291661191453
Electronics (General),35,0.15822108921442715,1.3749216627046357,0.21754160305763867
Engineering/Construction,155,0.0951501041694268,0.4315638874355901,0.04106334884525918
Entertainment,65,0.07020015010167709,-0.6344565756233208,-0.04453894684175316
Environmental & Waste Services,14,0.19541910182817634,1.9103969513428192,0.3733280563667
Farming/Agriculture,59,0.09293055905148623,0.5769400212772801,0.05361535871647399
Financial Svcs. (Non-bank & Insurance),274,0.008576951241028474,-0.06611738736935087,-0.0005670856076511143
Food Processing,192,0.17661396044513325,0.26393494696653186,0.0466145962836354
Food Wholesalers,34,0.0737226298416071,4.6247157286191,0.3409462057836442
Furn/Home Furnishings,43,0.09768393529536851,0.38167824087454266,0.0372838325852389
Green & Renewable Energy,16,0.0745014014636449,1.0527923844102256,0.07843450808881418
Healthcare Products,11,0.14425714315548824,1.1897467159812642,0.17162946232608126
Healthcare Support Services,37,0.2136890665007628,0.131063765033673,0.028006893602120903
Heathcare Information and Technology,14,0.10544414981591684,0.4130014844795989,0.04354859040366288
Homebuilding,1,0.006734006734006733,-131.86363636363637,-0.8879706152433424
Hospitals/Healthcare Facilities,32,0.18866981974450717,0.6447329816377844,0.12164165542893943
Hotel/Gaming,60,0.11547607625678236,0.1796883111839027,0.020749701124724785
Household Products,37,0.32427467194390713,0.17457041275447766,0.0566087633270707
Information Services,20,0.3617115759815366,0.20961900767393982,0.07582162162142658
Insurance (Life),7,0.5889021901148607,0.03344062985858705,0.019693260162542317
Insurance (Prop/Cas.),2,0.08720254603943159,0.0545727810900903,0.004758885455508421
Investments & Asset Management,102,0.05419665505427133,0.22813379791555846,0.012364088751850365
Machinery,161,0.18876372221571536,0.563616965759502,0.106390436360691
Metals & Mining,42,0.1544494758570719,0.28440266939578873,0.04392584322053167
